"CHARGE","compartmentCode","cyId","derivedUnits","EC Number","exponent","FORMULA","GENE_ASSOCIATION","kind","kineticLaw","label","math","metaId","multiplier","name","reversible","sbml compartment","sbml id","sbml type","sbml type ext","scale","selected","shared name","SUBSYSTEM","units","unitSid","value"
,,"_581400","mmol_per_gDW_per_hr","2.7.1.15",,,"b3752",,"R_RBK_FLUX_VALUE","ribokinase",,"_581400",,"ribokinase","false",,"R_RBK","reaction","reaction irreversible",,"false","ribokinase","Alternate Carbon Metabolism",,,
,,"_579338","mmol_per_gDW_per_hr","",,,"(b0314 or b1801)",,"R_CHLt2pp_FLUX_VALUE","choline transport via proton symport (periplasm)",,"_579338",,"choline transport via proton symport (periplasm)","false",,"R_CHLt2pp","reaction","reaction irreversible",,"false","choline transport via proton symport (periplasm)","Transport, Inner Membrane",,,
"1","2","_577386","substance",,,"C12H17N4OS",,,,"Thiamin",,"_577386",,"Thiamin",,"e","M_thm_e","species","species",,"false","Thiamin",,,,
,,"_579518","mmol_per_gDW_per_hr","4.1.1.20",,,"b2838",,"R_DAPDC_FLUX_VALUE","diaminopimelate decarboxylase",,"_579518",,"diaminopimelate decarboxylase","false",,"R_DAPDC","reaction","reaction irreversible",,"false","diaminopimelate decarboxylase","Threonine and Lysine Metabolism",,,
,,"_581199","mmol_per_gDW_per_hr","3.1.1.4",,,"b3821",,"R_PLIPA2E140pp_FLUX_VALUE","Phospholipase A2 (phosphatidylethanolamine, n-C14:0) (periplasm)",,"_581199",,"Phospholipase A2 (phosphatidylethanolamine, n-C14:0) (periplasm)","false",,"R_PLIPA2E140pp","reaction","reaction irreversible",,"false","Phospholipase A2 (phosphatidylethanolamine, n-C14:0) (periplasm)","Glycerophospholipid Metabolism",,,
"0","2","_577389","substance",,,"C4H9NO3",,,,"L-Threonine",,"_577389",,"L-Threonine",,"e","M_thr_DASH_L_e","species","species",,"false","L-Threonine",,,,
,,"_580616","mmol_per_gDW_per_hr","3.4.16.4",,,"(b0632 or b3182 or b0839 or b2010)",,"R_MDDCP2pp_FLUX_VALUE","murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)",,"_580616",,"murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)","false",,"R_MDDCP2pp","reaction","reaction irreversible",,"false","murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)","Murein Biosynthesis",,,
,,"_578331","mmol_per_gDW_per_hr","",,,"",,"R_EX_cu2_LPAREN_e_RPAREN__FLUX_VALUE","Cu2+ exchange",,"_578331",,"Cu2+ exchange","true",,"R_EX_cu2_LPAREN_e_RPAREN_","reaction","reaction reversible",,"false","Cu2+ exchange","",,,
,,"_580814","mmol_per_gDW_per_hr","",,,"(b0451 or s0001)",,"R_NH4tpp_FLUX_VALUE","ammonia reversible transport (periplasm)",,"_580814",,"ammonia reversible transport (periplasm)","true",,"R_NH4tpp","reaction","reaction reversible",,"false","ammonia reversible transport (periplasm)","Inorganic Ion Transport and Metabolism",,,
"-2","2","_577392","substance",,,"C4H8NO6P",,,,"L-Threonine O-3-phosphate",,"_577392",,"L-Threonine O-3-phosphate",,"e","M_thrp_e","species","species",,"false","L-Threonine O-3-phosphate",,,,
"0","2","_577395","substance",,,"C5H6N2O2",,,,"Thymine",,"_577395",,"Thymine",,"e","M_thym_e","species","species",,"false","Thymine",,,,
"0","2","_577398","substance",,,"C10H14N2O5",,,,"Thymidine",,"_577398",,"Thymidine",,"e","M_thymd_e","species","species",,"false","Thymidine",,,,
,,"_579911","mmol_per_gDW_per_hr","1.16.3.1",,,"b0123",,"R_FEROpp_FLUX_VALUE","ferroxidase",,"_579911",,"ferroxidase","false",,"R_FEROpp","reaction","reaction irreversible",,"false","ferroxidase","Inorganic Ion Transport and Metabolism",,,
,,"_578573","mmol_per_gDW_per_hr","",,,"",,"R_EX_octa_LPAREN_e_RPAREN__FLUX_VALUE","octanoate (n-C8:0) exchange",,"_578573",,"octanoate (n-C8:0) exchange","true",,"R_EX_octa_LPAREN_e_RPAREN_","reaction","reaction reversible",,"false","octanoate (n-C8:0) exchange","",,,
"1","2","_577401","substance",,,"C3H10N",,,,"trimethylamine",,"_577401",,"trimethylamine",,"e","M_tma_e","species","species",,"false","trimethylamine",,,,
,,"_580068","mmol_per_gDW_per_hr","",,,"b3627",,"R_GLCTR2_FLUX_VALUE","glucosyltransferase II (LPS core synthesis)",,"_580068",,"glucosyltransferase II (LPS core synthesis)","false",,"R_GLCTR2","reaction","reaction irreversible",,"false","glucosyltransferase II (LPS core synthesis)","Lipopolysaccharide Biosynthesis / Recycling",,,
"0","2","_577404","substance",,,"C3H9NO",,,,"Trimethylamine N-oxide",,"_577404",,"Trimethylamine N-oxide",,"e","M_tmao_e","species","species",,"false","Trimethylamine N-oxide",,,,
,,"_581801","mmol_per_gDW_per_hr","",,,"(b3454 and b3455 and b3457 and b3460 and b3456)",,"R_VALabcpp_FLUX_VALUE","L-valine transport via ABC system (periplasm)",,"_581801",,"L-valine transport via ABC system (periplasm)","false",,"R_VALabcpp","reaction","reaction irreversible",,"false","L-valine transport via ABC system (periplasm)","Transport, Inner Membrane",,,
,,"_580248","mmol_per_gDW_per_hr","1.1.1.35",,,"(b3846 or b2341)",,"R_HACD8_FLUX_VALUE","3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal",,"_580248",,"3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal","true",,"R_HACD8","reaction","reaction reversible",,"false","3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal","Membrane Lipid Metabolism",,,
,,"_579736","mmol_per_gDW_per_hr","1.3.1.10",,,"b1288",,"R_EAR80y_FLUX_VALUE","enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0)",,"_579736",,"enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0)","false",,"R_EAR80y","reaction","reaction irreversible",,"false","enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0)","Cell Envelope Biosynthesis",,,
,,"_578799","mmol_per_gDW_per_hr","4.2.1.61",,,"(b0954 or b0180)",,"R_3HAD160_FLUX_VALUE","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)",,"_578799",,"3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)","false",,"R_3HAD160","reaction","reaction irreversible",,"false","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)","Cell Envelope Biosynthesis",,,
"0","2","_577407","substance",,,"C12H22O11",,,,"Trehalose",,"_577407",,"Trehalose",,"e","M_tre_e","species","species",,"false","Trehalose",,,,
,,"_581007","mmol_per_gDW_per_hr","",,,"b0914",,"R_PA161abcpp_FLUX_VALUE","phosphatidate transport via ABC system (n-C16:1, periplasm)",,"_581007",,"phosphatidate transport via ABC system (n-C16:1, periplasm)","false",,"R_PA161abcpp","reaction","reaction irreversible",,"false","phosphatidate transport via ABC system (n-C16:1, periplasm)","Transport, Inner Membrane",,,
,,"_580436","mmol_per_gDW_per_hr","1.1.1.77",,,"",,"R_LCARR_FLUX_VALUE","lacaldehyde reductase (R-propane-1,2-diol forming)",,"_580436",,"lacaldehyde reductase (R-propane-1,2-diol forming)","true",,"R_LCARR","reaction","reaction reversible",,"false","lacaldehyde reductase (R-propane-1,2-diol forming)","Methylglyoxal Metabolism",,,
,,"_579163","mmol_per_gDW_per_hr","",,,"b3059",,"R_APG3PAT161_FLUX_VALUE","acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1)",,"_579163",,"acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1)","false",,"R_APG3PAT161","reaction","reaction irreversible",,"false","acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1)","Glycerophospholipid Metabolism",,,
"0","2","_577410","substance",,,"C11H12N2O2",,,,"L-Tryptophan",,"_577410",,"L-Tryptophan",,"e","M_trp_DASH_L_e","species","species",,"false","L-Tryptophan",,,,
"-2","2","_577413","substance",,,"O3S2",,,,"Thiosulfate",,"_577413",,"Thiosulfate",,"e","M_tsul_e","species","species",,"false","Thiosulfate",,,,
,,"_581601","mmol_per_gDW_per_hr","2.1.2.10",,,"b2551",,"R_THFAT_FLUX_VALUE","Tetrahydrofolate aminomethyltransferase",,"_581601",,"Tetrahydrofolate aminomethyltransferase","false",,"R_THFAT","reaction","reaction irreversible",,"false","Tetrahydrofolate aminomethyltransferase","Folate Metabolism",,,
,,"_578983","mmol_per_gDW_per_hr","",,,"(b1094 and b1090)",,"R_ACPPAT160_FLUX_VALUE","acyl-(acyl carrier protein):phosphate acyltransferase (C16:0)",,"_578983",,"acyl-(acyl carrier protein):phosphate acyltransferase (C16:0)","false",,"R_ACPPAT160","reaction","reaction irreversible",,"false","acyl-(acyl carrier protein):phosphate acyltransferase (C16:0)","Glycerophospholipid Metabolism",,,
,,"_579339","mmol_per_gDW_per_hr","",,,"(b0241 or b0929 or b1377 or b2215)",,"R_CHLtex_FLUX_VALUE","choline transport via diffusion (extracellular to periplasm)",,"_579339",,"choline transport via diffusion (extracellular to periplasm)","true",,"R_CHLtex","reaction","reaction reversible",,"false","choline transport via diffusion (extracellular to periplasm)","Transport, Outer Membrane Porin",,,
"-1","2","_577416","substance",,,"C14H27O2",,,,"tetradecanoate (n-C14:0)",,"_577416",,"tetradecanoate (n-C14:0)",,"e","M_ttdca_e","species","species",,"false","tetradecanoate (n-C14:0)",,,,
,,"_578333","mmol_per_gDW_per_hr","",,,"",,"R_EX_cyan_LPAREN_e_RPAREN__FLUX_VALUE","Hydrogen cyanide exchange",,"_578333",,"Hydrogen cyanide exchange","true",,"R_EX_cyan_LPAREN_e_RPAREN_","reaction","reaction reversible",,"false","Hydrogen cyanide exchange","",,,
,,"_581402","mmol_per_gDW_per_hr","2.7.1.16",,,"b0063",,"R_RBK_L1_FLUX_VALUE","L-ribulokinase (L-ribulose)",,"_581402",,"L-ribulokinase (L-ribulose)","false",,"R_RBK_L1","reaction","reaction irreversible",,"false","L-ribulokinase (L-ribulose)","Alternate Carbon Metabolism",,,
,,"_579519","mmol_per_gDW_per_hr","5.1.1.7",,,"b3809",,"R_DAPE_FLUX_VALUE","diaminopimelate epimerase",,"_579519",,"diaminopimelate epimerase","true",,"R_DAPE","reaction","reaction reversible",,"false","diaminopimelate epimerase","Threonine and Lysine Metabolism",,,
,,"_580815","mmol_per_gDW_per_hr","",,,"(b2710 and b2711)",,"R_NHFRBO_FLUX_VALUE","NADH:flavorubredoxin oxidoreductase",,"_580815",,"NADH:flavorubredoxin oxidoreductase","false",,"R_NHFRBO","reaction","reaction irreversible",,"false","NADH:flavorubredoxin oxidoreductase","Nitrogen Metabolism",,,
"-1","2","_577419","substance",,,"C14H25O2",,,,"tetradecenoate (n-C14:1)",,"_577419",,"tetradecenoate (n-C14:1)",,"e","M_ttdcea_e","species","species",,"false","tetradecenoate (n-C14:1)",,,,
,,"_580617","mmol_per_gDW_per_hr","3.4.16.4",,,"(b0632 or b3182 or b0839 or b2010)",,"R_MDDCP3pp_FLUX_VALUE","murein D,D-carboxypeptidase (murein5p5p) (periplasm)",,"_580617",,"murein D,D-carboxypeptidase (murein5p5p) (periplasm)","false",,"R_MDDCP3pp","reaction","reaction irreversible",,"false","murein D,D-carboxypeptidase (murein5p5p) (periplasm)","Murein Biosynthesis",,,
,,"_581201","mmol_per_gDW_per_hr","3.1.1.4",,,"b3821",,"R_PLIPA2E141pp_FLUX_VALUE","Phospholipase A2 (phosphatidylethanolamine, n-C14:1) (periplasm)",,"_581201",,"Phospholipase A2 (phosphatidylethanolamine, n-C14:1) (periplasm)","false",,"R_PLIPA2E141pp","reaction","reaction irreversible",,"false","Phospholipase A2 (phosphatidylethanolamine, n-C14:1) (periplasm)","Glycerophospholipid Metabolism",,,
"0","2","_577422","substance",,,"C22H24N2O8",,,,"tetracycline",,"_577422",,"tetracycline",,"e","M_ttrcyc_e","species","species",,"false","tetracycline",,,,
"-2","2","_577425","substance",,,"O4W1",,,,"tungstate",,"_577425",,"tungstate",,"e","M_tungs_e","species","species",,"false","tungstate",,,,
,,"_578574","mmol_per_gDW_per_hr","",,,"",,"R_EX_orn_LPAREN_e_RPAREN__FLUX_VALUE","Ornithine exchange",,"_578574",,"Ornithine exchange","true",,"R_EX_orn_LPAREN_e_RPAREN_","reaction","reaction reversible",,"false","Ornithine exchange","",,,
"1","2","_577428","substance",,,"C8H12NO",,,,"Tyramine",,"_577428",,"Tyramine",,"e","M_tym_e","species","species",,"false","Tyramine",,,,
,,"_579912","mmol_per_gDW_per_hr","",,,"s0001",,"R_FESD1s_FLUX_VALUE","iron-sulfur cluster damage (peroxide, spontaneous)",,"_579912",,"iron-sulfur cluster damage (peroxide, spontaneous)","false",,"R_FESD1s","reaction","reaction irreversible",,"false","iron-sulfur cluster damage (peroxide, spontaneous)","Cofactor and Prosthetic Group Biosynthesis",,,
"0","2","_577431","substance",,,"C9H11NO3",,,,"L-Tyrosine",,"_577431",,"L-Tyrosine",,"e","M_tyr_DASH_L_e","species","species",,"false","L-Tyrosine",,,,
"-2","2","_577434","substance",,,"C9H10NO6P",,,,"Phosphotyrosine",,"_577434",,"Phosphotyrosine",,"e","M_tyrp_e","species","species",,"false","Phosphotyrosine",,,,
,,"_580070","mmol_per_gDW_per_hr","",,,"b3626",,"R_GLCTR3_FLUX_VALUE","glucosyltransferase III (LPS core synthesis)",,"_580070",,"glucosyltransferase III (LPS core synthesis)","false",,"R_GLCTR3","reaction","reaction irreversible",,"false","glucosyltransferase III (LPS core synthesis)","Lipopolysaccharide Biosynthesis / Recycling",,,
,,"_578801","mmol_per_gDW_per_hr","4.2.1.61",,,"(b0180 or b0954)",,"R_3HAD161_FLUX_VALUE","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)",,"_578801",,"3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)","false",,"R_3HAD161","reaction","reaction irreversible",,"false","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)","Cell Envelope Biosynthesis",,,
"-2","2","_577437","substance",,,"C17H25N3O17P2",,,,"UDP-N-acetyl-D-glucosamine",,"_577437",,"UDP-N-acetyl-D-glucosamine",,"e","M_uacgam_e","species","species",,"false","UDP-N-acetyl-D-glucosamine",,,,
,,"_580250","mmol_per_gDW_per_hr","",,,"b1395",,"R_HADPCOADH3_FLUX_VALUE","3-hydroxyadipyl-CoA dehydrogenase (NAD+)",,"_580250",,"3-hydroxyadipyl-CoA dehydrogenase (NAD+)","true",,"R_HADPCOADH3","reaction","reaction reversible",,"false","3-hydroxyadipyl-CoA dehydrogenase (NAD+)","Alternate Carbon Metabolism",,,
,,"_579737","mmol_per_gDW_per_hr","",,,"(b3200 and b3201 and b3199 and b4261 and b4262)",,"R_ECA4COLIPAabctex_FLUX_VALUE","enterobacterial common antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",,"_579737",,"enterobacterial common antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)","false",,"R_ECA4COLIPAabctex","reaction","reaction irreversible",,"false","enterobacterial common antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)","Lipopolysaccharide Biosynthesis / Recycling",,,
,,"_581802","mmol_per_gDW_per_hr","",,,"(b0401 or (b2683 and b2682))",,"R_VALt2rpp_FLUX_VALUE","L-valine reversible transport via proton symport (periplasm)",,"_581802",,"L-valine reversible transport via proton symport (periplasm)","true",,"R_VALt2rpp","reaction","reaction reversible",,"false","L-valine reversible transport via proton symport (periplasm)","Transport, Inner Membrane",,,
,,"_580437","mmol_per_gDW_per_hr","1.1.1.77",,,"b2799",,"R_LCARS_FLUX_VALUE","lacaldehyde reductase (S-propane-1,2-diol forming)",,"_580437",,"lacaldehyde reductase (S-propane-1,2-diol forming)","true",,"R_LCARS","reaction","reaction reversible",,"false","lacaldehyde reductase (S-propane-1,2-diol forming)","Alternate Carbon Metabolism",,,
"-2","2","_577440","substance",,,"C17H25N3O17P2",,,,"UDP-N-acetyl-D-galactosamine",,"_577440",,"UDP-N-acetyl-D-galactosamine",,"e","M_udpacgal_e","species","species",,"false","UDP-N-acetyl-D-galactosamine",,,,
,,"_579165","mmol_per_gDW_per_hr","",,,"b3059",,"R_APG3PAT180_FLUX_VALUE","acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:0)",,"_579165",,"acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:0)","false",,"R_APG3PAT180","reaction","reaction irreversible",,"false","acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:0)","Glycerophospholipid Metabolism",,,
,,"_581009","mmol_per_gDW_per_hr","",,,"b0914",,"R_PA180abcpp_FLUX_VALUE","phosphatidate transport via ABC system (n-C18:0, periplasm)",,"_581009",,"phosphatidate transport via ABC system (n-C18:0, periplasm)","false",,"R_PA180abcpp","reaction","reaction irreversible",,"false","phosphatidate transport via ABC system (n-C18:0, periplasm)","Transport, Inner Membrane",,,
,,"_578334","mmol_per_gDW_per_hr","",,,"",,"R_EX_cynt_LPAREN_e_RPAREN__FLUX_VALUE","Cyanate exchange",,"_578334",,"Cyanate exchange","true",,"R_EX_cynt_LPAREN_e_RPAREN_","reaction","reaction reversible",,"false","Cyanate exchange","",,,
,,"_579341","mmol_per_gDW_per_hr","1.1.99.1",,,"b0311",,"R_CHOLD_FLUX_VALUE","choline dehydrogenase",,"_579341",,"choline dehydrogenase","false",,"R_CHOLD","reaction","reaction irreversible",,"false","choline dehydrogenase","Unassigned",,,
"-2","2","_577443","substance",,,"C15H22N2O17P2",,,,"UDPglucose",,"_577443",,"UDPglucose",,"e","M_udpg_e","species","species",,"false","UDPglucose",,,,
,,"_581603","mmol_per_gDW_per_hr","",,,"((b2480 and b3781) or (b2480 and b2582) or b1710)",,"R_THIORDXi_FLUX_VALUE","hydrogen peroxide reductase (thioredoxin)",,"_581603",,"hydrogen peroxide reductase (thioredoxin)","false",,"R_THIORDXi","reaction","reaction irreversible",,"false","hydrogen peroxide reductase (thioredoxin)","Unassigned",,,
,,"_579520","mmol_per_gDW_per_hr","",,,"",,"R_DAPabcpp_FLUX_VALUE","M-diaminopimelic acid ABC transport (periplasm)",,"_579520",,"M-diaminopimelic acid ABC transport (periplasm)","false",,"R_DAPabcpp","reaction","reaction irreversible",,"false","M-diaminopimelic acid ABC transport (periplasm)","Transport, Inner Membrane",,,
"-2","2","_577446","substance",,,"C15H22N2O17P2",,,,"UDPgalactose",,"_577446",,"UDPgalactose",,"e","M_udpgal_e","species","species",,"false","UDPgalactose",,,,
,,"_578985","mmol_per_gDW_per_hr","",,,"(b1094 and b1090)",,"R_ACPPAT161_FLUX_VALUE","acyl-(acyl carrier protein):phosphate acyltransferase (C16:1)",,"_578985",,"acyl-(acyl carrier protein):phosphate acyltransferase (C16:1)","false",,"R_ACPPAT161","reaction","reaction irreversible",,"false","acyl-(acyl carrier protein):phosphate acyltransferase (C16:1)","Glycerophospholipid Metabolism",,,
"-3","2","_577449","substance",,,"C15H19N2O18P2",,,,"UDP-D-glucuronate",,"_577449",,"UDP-D-glucuronate",,"e","M_udpglcur_e","species","species",,"false","UDP-D-glucuronate",,,,
