"drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","network"
"Aztreonam_Cephalexin",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Fosfomycin",2,19,19,51,35,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Imipenem",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Mecillinam",2,18,25,64,44,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Meropenem",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Penicillin G",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Piperacillin",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Cefotaxime",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Cephalexin",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Fosfomycin",2,19,19,51,35,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Imipenem",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Mecillinam",2,18,25,64,44,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Meropenem",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Penicillin G",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Piperacillin",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Cephalexin",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Fosfomycin",2,19,19,51,35,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Imipenem",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Mecillinam",2,18,25,64,44,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Meropenem",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Penicillin G",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Piperacillin",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Fosfomycin",2,19,19,51,35,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Imipenem",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Mecillinam",2,18,25,64,44,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Meropenem",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Penicillin G",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Piperacillin",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Clindamycin",2,55,55,135,95,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Doxycycline",2,55,55,152,104,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Fosfomycin",2,44,44,56,50,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Levofloxacin",2,16,27,57,42,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Mecillinam",2,53,53,65,59,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Moxifloxacin",2,16,27,57,42,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Pseudomonic acid",2,40,40,55,48,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Rifampicin",2,52,52,76,64,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Triclosan",2,50,50,62,56,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Fosfomycin",2,44,44,135,90,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Levofloxacin",2,32,32,135,84,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Mecillinam",2,63,63,135,99,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Metformin",2,33,33,135,84,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Moxifloxacin",2,32,32,135,84,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Novobiocin",2,55,55,135,95,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Pseudomonic acid",2,40,40,135,88,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Fosfomycin",2,44,44,152,98,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Levofloxacin",2,32,32,152,92,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Mecillinam",2,63,63,152,108,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Metformin",2,33,33,152,92,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Moxifloxacin",2,32,32,152,92,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Novobiocin",2,55,55,152,104,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Pseudomonic acid",2,40,40,152,96,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Rifampicin",2,73,73,152,112,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Triclosan",2,56,56,152,104,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Flucytosine_Mecillinam",2,14,14,63,38,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Imipenem",2,19,19,51,35,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Levofloxacin",2,26,26,50,38,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Mecillinam",2,44,44,63,54,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Meropenem",2,19,19,51,35,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Moxifloxacin",2,26,26,50,38,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Novobiocin",2,44,44,56,50,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Penicillin G",2,19,19,51,35,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Piperacillin",2,19,19,51,35,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Rifampicin",2,44,44,73,58,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Triclosan",2,44,44,56,50,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Imipenem_Mecillinam",2,18,25,64,44,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Imipenem_Meropenem",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Imipenem_Penicillin G",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Imipenem_Piperacillin",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Levofloxacin_Mecillinam",2,31,31,64,48,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Levofloxacin_Novobiocin",2,16,27,57,42,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Levofloxacin_Pseudomonic acid",2,25,25,48,36,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Levofloxacin_Rifampicin",2,30,30,75,53,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Levofloxacin_Triclosan",2,30,30,59,44,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Mecillinam_Meropenem",2,18,25,64,44,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Mecillinam_Moxifloxacin",2,31,31,64,48,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Mecillinam_Novobiocin",2,53,53,65,59,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Mecillinam_Penicillin G",2,18,25,64,44,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Mecillinam_Piperacillin",2,18,25,64,44,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Mecillinam_Rifampicin",2,58,58,78,68,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Mecillinam_Triclosan",2,56,56,63,60,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Meropenem_Penicillin G",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Meropenem_Piperacillin",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Metformin_Rifampicin",2,33,33,73,53,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Metformin_Trimethoprim",2,9,9,33,21,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Moxifloxacin_Novobiocin",2,16,27,57,42,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Moxifloxacin_Pseudomonic acid",2,25,25,48,36,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Moxifloxacin_Rifampicin",2,30,30,75,53,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Moxifloxacin_Triclosan",2,30,30,59,44,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Novobiocin_Pseudomonic acid",2,40,40,55,48,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Novobiocin_Rifampicin",2,52,52,76,64,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Novobiocin_Triclosan",2,50,50,62,56,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Penicillin G_Piperacillin",2,10,14,37,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Pseudomonic acid_Rifampicin",2,40,40,73,56,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Pseudomonic acid_Triclosan",2,40,40,56,48,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Rifampicin_Triclosan",2,54,54,74,64,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Rifampicin_Trimethoprim",2,9,9,73,41,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Amoxicillin",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Aztreonam",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Cefaclor",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Cefotaxime",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Cephalexin",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Flucytosine",3,14,14,40,28,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Imipenem",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Meropenem",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Metformin",3,33,33,40,36,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Penicillin G",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Piperacillin",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Sulfamonomethoxine",3,13,13,40,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"A22_Trimethoprim",3,9,9,40,24,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Ciprofloxacin",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Clindamycin",3,26,26,135,80,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Doxycycline",3,26,26,152,89,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Levofloxacin",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Metformin",3,15,15,44,30,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Moxifloxacin",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Novobiocin",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Pseudomonic acid",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Rifampicin",3,24,24,75,50,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Amoxicillin_Triclosan",3,23,23,59,41,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Ciprofloxacin",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Clindamycin",3,26,26,135,80,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Doxycycline",3,26,26,152,89,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Levofloxacin",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Metformin",3,15,15,44,30,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Moxifloxacin",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Novobiocin",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Pseudomonic acid",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Rifampicin",3,24,24,75,50,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Aztreonam_Triclosan",3,23,23,59,41,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Ciprofloxacin",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Clindamycin",3,26,26,135,80,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Doxycycline",3,26,26,152,89,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Levofloxacin",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Metformin",3,15,15,44,30,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Moxifloxacin",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Novobiocin",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Pseudomonic acid",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Rifampicin",3,24,24,75,50,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefaclor_Triclosan",3,23,23,59,41,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Ciprofloxacin",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Clindamycin",3,26,26,135,80,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Doxycycline",3,26,26,152,89,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Levofloxacin",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Metformin",3,15,15,44,30,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Moxifloxacin",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Novobiocin",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Pseudomonic acid",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Rifampicin",3,24,24,75,50,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cefotaxime_Triclosan",3,23,23,59,41,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Ciprofloxacin",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Clindamycin",3,26,26,135,80,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Doxycycline",3,26,26,152,89,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Levofloxacin",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Metformin",3,15,15,44,30,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Moxifloxacin",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Novobiocin",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Pseudomonic acid",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Rifampicin",3,24,24,75,50,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Cephalexin_Triclosan",3,23,23,59,41,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Flucytosine",3,14,14,55,34,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Fusidic acid",3,4,4,55,30,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Imipenem",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Meropenem",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Metformin",3,33,33,55,44,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Penicillin G",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Piperacillin",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Ciprofloxacin_Sulfamonomethoxine",3,13,13,55,34,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Flucytosine",3,14,14,135,74,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Fusidic acid",3,4,4,135,70,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Imipenem",3,26,26,135,80,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Meropenem",3,26,26,135,80,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Penicillin G",3,26,26,135,80,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Piperacillin",3,26,26,135,80,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Sulfamonomethoxine",3,13,13,135,74,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Clindamycin_Trimethoprim",3,9,9,135,72,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Flucytosine",3,14,14,152,83,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Imipenem",3,26,26,152,89,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Meropenem",3,26,26,152,89,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Penicillin G",3,26,26,152,89,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Piperacillin",3,26,26,152,89,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Sulfamonomethoxine",3,13,13,152,82,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Doxycycline_Trimethoprim",3,9,9,152,80,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Flucytosine_Fosfomycin",3,14,14,44,30,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Flucytosine_Levofloxacin",3,10,10,37,23,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Flucytosine_Moxifloxacin",3,10,10,37,23,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Flucytosine_Novobiocin",3,14,14,55,34,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Flucytosine_Pseudomonic acid",3,14,14,40,28,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Flucytosine_Rifampicin",3,14,14,73,44,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Flucytosine_Triclosan",3,14,14,56,36,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Fusidic acid",3,4,4,44,24,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Metformin",3,33,33,44,38,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Pseudomonic acid",3,40,40,44,42,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Sulfamonomethoxine",3,13,13,44,28,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fosfomycin_Trimethoprim",3,9,9,44,26,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fusidic acid_Mecillinam",3,4,4,63,34,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fusidic acid_Metformin",3,4,4,33,18,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fusidic acid_Novobiocin",3,4,4,55,30,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Fusidic acid_Triclosan",3,4,4,56,30,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Imipenem_Levofloxacin",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Imipenem_Metformin",3,15,15,44,30,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Imipenem_Moxifloxacin",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Imipenem_Novobiocin",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Imipenem_Pseudomonic acid",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Imipenem_Rifampicin",3,24,24,75,50,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Imipenem_Triclosan",3,23,23,59,41,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Levofloxacin_Meropenem",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Levofloxacin_Metformin",3,21,21,44,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Levofloxacin_Penicillin G",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Levofloxacin_Piperacillin",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Levofloxacin_Sulfamonomethoxine",3,11,11,34,23,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Mecillinam_Metformin",3,33,33,63,48,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Mecillinam_Pseudomonic acid",3,40,40,63,52,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Mecillinam_Sulfamonomethoxine",3,13,13,63,38,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Mecillinam_Trimethoprim",3,9,9,63,36,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Meropenem_Metformin",3,15,15,44,30,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Meropenem_Moxifloxacin",3,15,15,44,29,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Meropenem_Novobiocin",3,22,22,59,40,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Meropenem_Pseudomonic acid",3,18,18,48,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Meropenem_Rifampicin",3,24,24,75,50,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Meropenem_Triclosan",3,23,23,59,41,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Metformin_Moxifloxacin",3,21,21,44,33,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"Metformin_Novobiocin",3,33,33,55,44,"CX.INT.EcoliNet.v1.4039gene.67494link.txt"
