"drug1","drug2","code_3letter1","code_3letter2","drug_category1","drug_category2","targeted_cellular_process1","targeted_cellular_process2","use1","use2","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","drug_category","targeted_process","use","drugdrug","categorycategory","processprocess","useuse","clusters","Drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","Drug1","Drug2","rates","network_type"
"Amoxicillin","Meropenem","AMX","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.150878137,-0.127733475,-0.372150374,-0.290776153,0.073021789,-0.042094051,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Amoxicillin-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,"Amoxicillin_Meropenem",1,15,15,15,15,"Amoxicillin","Meropenem",44.4935588068113,"EcoCyc.goldstandardset.txt"
"Amoxicillin","Triclosan","AMX","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective",-0.12002459,-0.112074375,0.053588973,-0.076335029,0.030824085,0.069918062,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Amoxicillin-Triclosan","beta-lactam-other membrane","cell wall-membrane","anti-infective-antibiotic",5,"Amoxicillin_Triclosan",Inf,NA,14,15,14,"Amoxicillin","Triclosan",14.3477978545088,"EcoCyc.goldstandardset.txt"
"Amoxicillin","Metformin","AMX","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug",0.244481275,0.174963722,0.04650243,-0.049882376,-0.064780163,-0.081837398,"Antagonism","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Amoxicillin-Metformin","beta-lactam-human drug","cell wall-human","antibiotic-human-targeted drug",2,"Amoxicillin_Metformin",Inf,NA,6,15,10,"Amoxicillin","Metformin",24.6618347694973,"EcoCyc.goldstandardset.txt"
"Amoxicillin","Metformin","AMX","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug",0.244481275,0.174963722,0.04650243,-0.049882376,-0.064780163,-0.081837398,"Antagonism","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Amoxicillin-Metformin","beta-lactam-human drug","cell wall-human","antibiotic-human-targeted drug",2,"Amoxicillin_Metformin",Inf,NA,6,15,10,"Amoxicillin","Metformin",24.6618347694973,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Piperacillin","CTX","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.090653088,-0.267073127,-0.081659516,-0.04859844,-0.16672254,-0.085564501,"Additivity","Synergy","Additivity","Additivity","Synergy","Additivity","Same","Same","Same","Cefotaxime-Piperacillin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,"Cefotaxime_Piperacillin",1,15,15,15,15,"Cefotaxime","Piperacillin",44.4935588068113,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Piperacillin","CTX","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.090653088,-0.267073127,-0.081659516,-0.04859844,-0.16672254,-0.085564501,"Additivity","Synergy","Additivity","Additivity","Synergy","Additivity","Same","Same","Same","Cefotaxime-Piperacillin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,"Cefotaxime_Piperacillin",1,15,15,15,15,"Cefotaxime","Piperacillin",44.4935588068113,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Penicillin G","CTX","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.067795694,-0.164980844,0.02828608,0.028225663,0.091319742,-0.050502179,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Cefotaxime-Penicillin G","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",4,"Cefotaxime_Penicillin G",1,15,15,15,15,"Cefotaxime","Penicillin G",12.8146949047586,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Penicillin G","CTX","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.067795694,-0.164980844,0.02828608,0.028225663,0.091319742,-0.050502179,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Cefotaxime-Penicillin G","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",4,"Cefotaxime_Penicillin G",1,15,15,15,15,"Cefotaxime","Penicillin G",12.8146949047586,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Imipenem","CTX","IPM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.120425148,-0.162247698,-0.126510675,-0.061924199,0.303466247,-0.067377466,"Additivity","Synergy","Additivity","Additivity","Antagonism","Additivity","Same","Same","Same","Cefotaxime-Imipenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",4,"Cefotaxime_Imipenem",1,15,15,15,15,"Cefotaxime","Imipenem",12.8146949047586,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Imipenem","CTX","IPM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.120425148,-0.162247698,-0.126510675,-0.061924199,0.303466247,-0.067377466,"Additivity","Synergy","Additivity","Additivity","Antagonism","Additivity","Same","Same","Same","Cefotaxime-Imipenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",4,"Cefotaxime_Imipenem",1,15,15,15,15,"Cefotaxime","Imipenem",12.8146949047586,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Cephalexin","CTX","LEX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.054826246,0.02185658,-0.042966698,-0.042389718,0.10837719,0.036680225,"Additivity","Additivity","Additivity","Additivity","Antagonism","Additivity","Same","Same","Same","Cefotaxime-Cephalexin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",7,"Cefotaxime_Cephalexin",1,15,15,15,15,"Cefotaxime","Cephalexin",0.951753636237623,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Cephalexin","CTX","LEX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.054826246,0.02185658,-0.042966698,-0.042389718,0.10837719,0.036680225,"Additivity","Additivity","Additivity","Additivity","Antagonism","Additivity","Same","Same","Same","Cefotaxime-Cephalexin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",7,"Cefotaxime_Cephalexin",1,15,15,15,15,"Cefotaxime","Cephalexin",0.951753636237623,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Trimethoprim","CTX","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",0.132932792,0.082081466,-0.048415086,0.082274937,0.039053724,0.049758576,"Antagonism","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Cefotaxime-Trimethoprim","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",6,"Cefotaxime_Trimethoprim",Inf,NA,14,15,14,"Cefotaxime","Trimethoprim",16.4029556785712,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Trimethoprim","CTX","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",0.132932792,0.082081466,-0.048415086,0.082274937,0.039053724,0.049758576,"Antagonism","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Cefotaxime-Trimethoprim","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",6,"Cefotaxime_Trimethoprim",Inf,NA,14,15,14,"Cefotaxime","Trimethoprim",16.4029556785712,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Meropenem","CTX","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.192565341,-0.199999654,-0.306513719,-0.14933459,0.114267695,-0.04690954,"Synergy","Additivity","Synergy","Additivity","Additivity","Additivity","Same","Same","Same","Cefotaxime-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,"Cefotaxime_Meropenem",1,15,15,15,15,"Cefotaxime","Meropenem",44.4935588068113,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Meropenem","CTX","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.192565341,-0.199999654,-0.306513719,-0.14933459,0.114267695,-0.04690954,"Synergy","Additivity","Synergy","Additivity","Additivity","Additivity","Same","Same","Same","Cefotaxime-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,"Cefotaxime_Meropenem",1,15,15,15,15,"Cefotaxime","Meropenem",44.4935588068113,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Triclosan","CTX","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective",-0.087181683,-0.072882976,-0.039725987,-0.079975382,-0.166500629,-0.022675099,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Cefotaxime-Triclosan","beta-lactam-other membrane","cell wall-membrane","anti-infective-antibiotic",3,"Cefotaxime_Triclosan",Inf,NA,14,15,14,"Cefotaxime","Triclosan",14.4715296024275,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Metformin","CTX","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug",0.061928895,0.059585194,0.022727554,0.044265484,-0.427084321,-0.482831252,"Additivity","Additivity","Additivity","Additivity","Synergy","Synergy","Different","Different","Different","Cefotaxime-Metformin","beta-lactam-human drug","cell wall-human","antibiotic-human-targeted drug",5,"Cefotaxime_Metformin",Inf,NA,6,15,10,"Cefotaxime","Metformin",14.3477978545088,"EcoCyc.goldstandardset.txt"
"Cefotaxime","Metformin","CTX","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug",0.061928895,0.059585194,0.022727554,0.044265484,-0.427084321,-0.482831252,"Additivity","Additivity","Additivity","Additivity","Synergy","Synergy","Different","Different","Different","Cefotaxime-Metformin","beta-lactam-human drug","cell wall-human","antibiotic-human-targeted drug",5,"Cefotaxime_Metformin",Inf,NA,6,15,10,"Cefotaxime","Metformin",14.3477978545088,"EcoCyc.goldstandardset.txt"
"Cefaclor","Piperacillin","CEC","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.082078736,-0.080655113,-0.447316042,-0.27874853,0.05622461,-0.047710496,"Additivity","Additivity","Synergy","Synergy","Additivity","Additivity","Same","Same","Same","Cefaclor-Piperacillin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,"Cefaclor_Piperacillin",1,15,15,15,15,"Cefaclor","Piperacillin",44.4935588068113,"EcoCyc.goldstandardset.txt"
"Cefaclor","Piperacillin","CEC","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.082078736,-0.080655113,-0.447316042,-0.27874853,0.05622461,-0.047710496,"Additivity","Additivity","Synergy","Synergy","Additivity","Additivity","Same","Same","Same","Cefaclor-Piperacillin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,"Cefaclor_Piperacillin",1,15,15,15,15,"Cefaclor","Piperacillin",44.4935588068113,"EcoCyc.goldstandardset.txt"
"Cefaclor","Penicillin G","CEC","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.098012324,-0.087860084,-0.242966446,-0.121944543,-0.107721391,-0.04253101,"Additivity","Additivity","Synergy","Synergy","Synergy","Additivity","Same","Same","Same","Cefaclor-Penicillin G","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,"Cefaclor_Penicillin G",1,15,15,15,15,"Cefaclor","Penicillin G",44.4935588068113,"EcoCyc.goldstandardset.txt"
"Cefaclor","Penicillin G","CEC","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.098012324,-0.087860084,-0.242966446,-0.121944543,-0.107721391,-0.04253101,"Additivity","Additivity","Synergy","Synergy","Synergy","Additivity","Same","Same","Same","Cefaclor-Penicillin G","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,"Cefaclor_Penicillin G",1,15,15,15,15,"Cefaclor","Penicillin G",44.4935588068113,"EcoCyc.goldstandardset.txt"
"Cefaclor","Imipenem","CEC","IPM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.134147079,-0.104391079,-0.331819959,-0.214308066,-0.078322077,-0.03735207,"Additivity","Additivity","Synergy","Synergy","Additivity","Additivity","Same","Same","Same","Cefaclor-Imipenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,"Cefaclor_Imipenem",1,15,15,15,15,"Cefaclor","Imipenem",44.4935588068113,"EcoCyc.goldstandardset.txt"
"Cefaclor","Imipenem","CEC","IPM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.134147079,-0.104391079,-0.331819959,-0.214308066,-0.078322077,-0.03735207,"Additivity","Additivity","Synergy","Synergy","Additivity","Additivity","Same","Same","Same","Cefaclor-Imipenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,"Cefaclor_Imipenem",1,15,15,15,15,"Cefaclor","Imipenem",44.4935588068113,"EcoCyc.goldstandardset.txt"
"Cefaclor","Cephalexin","CEC","LEX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.066321953,-0.029873516,-0.097987431,-0.043807158,-0.04474955,0.021518299,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Cefaclor-Cephalexin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",10,"Cefaclor_Cephalexin",1,15,15,15,15,"Cefaclor","Cephalexin",6.22234506620617,"EcoCyc.goldstandardset.txt"
"Cefaclor","Cephalexin","CEC","LEX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.066321953,-0.029873516,-0.097987431,-0.043807158,-0.04474955,0.021518299,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Cefaclor-Cephalexin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",10,"Cefaclor_Cephalexin",1,15,15,15,15,"Cefaclor","Cephalexin",6.22234506620617,"EcoCyc.goldstandardset.txt"
"Cefaclor","Trimethoprim","CEC","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",-0.06542865,-0.137457937,0.102337273,0.053545253,0.041841562,-0.026783428,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Cefaclor-Trimethoprim","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",4,"Cefaclor_Trimethoprim",Inf,NA,14,15,14,"Cefaclor","Trimethoprim",12.8146949047586,"EcoCyc.goldstandardset.txt"
"Cefaclor","Trimethoprim","CEC","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",-0.06542865,-0.137457937,0.102337273,0.053545253,0.041841562,-0.026783428,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Cefaclor-Trimethoprim","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",4,"Cefaclor_Trimethoprim",Inf,NA,14,15,14,"Cefaclor","Trimethoprim",12.8146949047586,"EcoCyc.goldstandardset.txt"
"Cefaclor","Meropenem","CEC","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity","Same","Same","Same","Cefaclor-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,"Cefaclor_Meropenem",1,15,15,15,15,"Cefaclor","Meropenem",44.4935588068113,"EcoCyc.goldstandardset.txt"
"Cefaclor","Meropenem","CEC","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity","Same","Same","Same","Cefaclor-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,"Cefaclor_Meropenem",1,15,15,15,15,"Cefaclor","Meropenem",44.4935588068113,"EcoCyc.goldstandardset.txt"
"Cefaclor","Triclosan","CEC","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective",-0.078457379,-0.069077505,-0.050593308,-0.079213638,0.033967277,0.031549418,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Cefaclor-Triclosan","beta-lactam-other membrane","cell wall-membrane","anti-infective-antibiotic",3,"Cefaclor_Triclosan",Inf,NA,14,15,14,"Cefaclor","Triclosan",14.4715296024275,"EcoCyc.goldstandardset.txt"
