"boundaryCondition","chebi","compartmentCode","constant","cyId","derivedUnits","ec-code","exponent","fast","go","iJO1366","isbn","kegg.compound","kegg.genes","kind","kineticLaw","label","math","metaId","multiplier","name","reversible","sbml compartment","sbml id","sbml initial concentration","sbml type","sbml type ext","sbo","scale","selected","shared name","size","uniprot","units","unitSid","value"
,"CHEBI:58564","1",,"meta_s_0344","substance",,,,,"M_5aizc_c",,"C04751",,,,"5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate",,"meta_s_0344",,"5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate",,"cell","s_0344","0.1","species","species","SBO:0000247",,"false","5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate",,,,,"0.1"
,"CHEBI:29991","1",,"meta_s_1072","substance",,,,,"M_asp_DASH_L_c",,"C00049",,,,"L-Aspartate",,"meta_s_1072",,"L-Aspartate",,"cell","s_1072","0.1","species","species","SBO:0000247",,"false","L-Aspartate",,,,,"0.1"
,"CHEBI:43474","1",,"meta_s_1430","substance",,,,,"M_pi_c",,"C00009",,,,"Phosphate",,"meta_s_1430",,"Phosphate",,"cell","s_1430","0.1","species","species","SBO:0000247",,"false","Phosphate",,,,,"0.1"
"true",,"1","true","meta_e_0775","substance",,,,,,,,"eco:b2476",,,"purC",,"meta_e_0775",,"purC",,"cell","e_0775","0.001","species","species","SBO:0000252",,"false","purC",,"P0A7D7",,,"0.001"
,,,,"meta_r_1345","invalid","2.7.4.16",,"false",,,,,,,"cell*r_1345_Vmax*(s_0467*s_1643-s_0421*s_1644/r_1345_Keq)/(r_1345_Km0467*r_1345_Km1643)/(((1+s_0467/r_1345_Km0467)*(1+s_1643/r_1345_Km1643)+(1+s_0421/r_1345_Km0421)*(1+s_1644/r_1345_Km1644))-1)","thiamine-phosphate kinase",,"meta_r_1345",,"thiamine-phosphate kinase","true",,"r_1345",,"reaction","reaction reversible","SBO:0000176",,"false","thiamine-phosphate kinase",,,,,
,"CHEBI:58937","1",,"meta_s_1644","substance",,,,,"M_thmpp_c",,"C00068",,,,"Thiamine diphosphate",,"meta_s_1644",,"Thiamine diphosphate",,"cell","s_1644","0.1","species","species","SBO:0000247",,"false","Thiamine diphosphate",,,,,"0.1"
,"CHEBI:37575","1",,"meta_s_1643","substance",,,,,"M_thmmp_c",,"C01081",,,,"Thiamin monophosphate",,"meta_s_1643",,"Thiamin monophosphate",,"cell","s_1643","0.1","species","species","SBO:0000247",,"false","Thiamin monophosphate",,,,,"0.1"
"true",,"1","true","meta_e_0146","substance",,,,,,,,"eco:b0417",,,"thiL",,"meta_e_0146",,"thiL",,"cell","e_0146","0.001","species","species","SBO:0000252",,"false","thiL",,"P0AGG0",,,"0.001"
,,,,"meta_r_0457","invalid","2.7.4.14",,"false",,,,,,,"cell*r_0457_Vmax*(s_0467*s_0539-s_0421*s_0510/r_0457_Keq)/(r_0457_Km0467*r_0457_Km0539)/(((1+s_0467/r_0457_Km0467)*(1+s_0539/r_0457_Km0539)+(1+s_0421/r_0457_Km0421)*(1+s_0510/r_0457_Km0510))-1)","cytidylate kinase (CMP)",,"meta_r_0457",,"cytidylate kinase (CMP)","true",,"r_0457",,"reaction","reaction reversible","SBO:0000176",,"false","cytidylate kinase (CMP)",,,,,
,"CHEBI:58069","1",,"meta_s_0510","substance",,,,,"M_cdp_c",,"C00112",,,,"CDP",,"meta_s_0510",,"CDP",,"cell","s_0510","0.1","species","species","SBO:0000247",,"false","CDP",,,,,"0.1"
,"CHEBI:60377","1",,"meta_s_0539","substance",,,,,"M_cmp_c",,"C00055",,,,"CMP",,"meta_s_0539",,"CMP",,"cell","s_0539","0.1","species","species","SBO:0000247",,"false","CMP",,,,,"0.1"
"true",,"1","true","meta_e_0328","substance",,,,,,,,"eco:b0910",,,"cmk",,"meta_e_0328",,"cmk",,"cell","e_0328","0.001","species","species","SBO:0000252",,"false","cmk",,"P0A6I0",,,"0.001"
,,,,"meta_r_0515","invalid","2.5.1.15",,"false",,,,,,,"cell*r_0515_Vmax*(s_0318*s_0368-s_0767*s_0783/r_0515_Keq)/(r_0515_Km0318*r_0515_Km0368)/(((1+s_0318/r_0515_Km0318)*(1+s_0368/r_0515_Km0368)+(1+s_0767/r_0515_Km0767)*(1+s_0783/r_0515_Km0783))-1)","dihydropteroate synthase",,"meta_r_0515",,"dihydropteroate synthase","true",,"r_0515",,"reaction","reaction reversible","SBO:0000176",,"false","dihydropteroate synthase",,,,,
,"CHEBI:17839","1",,"meta_s_0767","substance",,,,,"M_dhpt_c",,"C00921",,,,"Dihydropteroate",,"meta_s_0767",,"Dihydropteroate",,"cell","s_0767","0.1","species","species","SBO:0000247",,"false","Dihydropteroate",,,,,"0.1"
,,"1",,"ef615daa_24c1_4fd1_a63e_db65949f3f33","substance",,,,,"M_6hmhptpp_c",,,,,,"6-hydroxymethyl-dihydropterin pyrophosphate",,"ef615daa_24c1_4fd1_a63e_db65949f3f33",,"6-hydroxymethyl-dihydropterin pyrophosphate",,"cell","s_0368","0.1","species","species","SBO:0000247",,"false","6-hydroxymethyl-dihydropterin pyrophosphate",,,,,"0.1"
"true",,"1","true","meta_e_0988","substance",,,,,,,,"eco:b3177",,,"folP",,"meta_e_0988",,"folP",,"cell","e_0988","0.001","species","species","SBO:0000252",,"false","folP",,"P0AC13",,,"0.001"
,"CHEBI:17836","1",,"meta_s_0318","substance",,,,,"M_4abz_c",,"C00568",,,,"4-Aminobenzoate",,"meta_s_0318",,"4-Aminobenzoate",,"cell","s_0318","0.1","species","species","SBO:0000247",,"false","4-Aminobenzoate",,,,,"0.1"
,,,,"meta_r_0154","invalid","1.1.1.100",,"false",,,,,,,"cell*r_0154_Vmax*(s_0304*s_1336-s_0028*s_1335/r_0154_Keq)/(r_0154_Km0304*r_0154_Km1336)/(((1+s_0304/r_0154_Km0304)*(1+s_1336/r_0154_Km1336)+(1+s_0028/r_0154_Km0028)*(1+s_1335/r_0154_Km1335))-1)","3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)",,"meta_r_0154",,"3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)","true",,"r_0154",,"reaction","reaction reversible","SBO:0000176",,"false","3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)",,,,,
,,"1",,"meta_s_0028","substance",,,,,"M_3hmrsACP_c",,"C04688",,,,"(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]",,"meta_s_0028",,"(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]",,"cell","s_0028","0.1","species","species","SBO:0000247",,"false","(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]",,,,,"0.1"
,"CHEBI:58349","1",,"meta_s_1335","substance",,,,,"M_nadp_c",,"C00006",,,,"Nicotinamide adenine dinucleotide phosphate",,"meta_s_1335",,"Nicotinamide adenine dinucleotide phosphate",,"cell","s_1335","0.1","species","species","SBO:0000247",,"false","Nicotinamide adenine dinucleotide phosphate",,,,,"0.1"
"true",,"1","true","meta_e_0374","substance",,,,,,,,"eco:b1093",,,"fabG",,"meta_e_0374",,"fabG",,"cell","e_0374","0.001","species","species","SBO:0000252",,"false","fabG",,"P0AEK2",,,"0.001"
,"CHEBI:57783","1",,"meta_s_1336","substance",,,,,"M_nadph_c",,"C00005",,,,"Nicotinamide adenine dinucleotide phosphate - reduced",,"meta_s_1336",,"Nicotinamide adenine dinucleotide phosphate - reduced",,"cell","s_1336","0.1","species","species","SBO:0000247",,"false","Nicotinamide adenine dinucleotide phosphate - reduced",,,,,"0.1"
,,"1",,"meta_s_0304","substance",,,,,"M_3omrsACP_c",,"C05759",,,,"3-Oxotetradecanoyl-[acyl-carrier protein]",,"meta_s_0304",,"3-Oxotetradecanoyl-[acyl-carrier protein]",,"cell","s_0304","0.1","species","species","SBO:0000247",,"false","3-Oxotetradecanoyl-[acyl-carrier protein]",,,,,"0.1"
,,,,"meta_r_1378","invalid",,,"false",,,"1555810845",,,,"cell*r_1378_Vmax*(s_0028*s_1735-s_0397*s_1734/r_1378_Keq)/(r_1378_Km0028*r_1378_Km1735)/(((1+s_0028/r_1378_Km0028)*(1+s_1735/r_1378_Km1735)+(1+s_0397/r_1378_Km0397)*(1+s_1734/r_1378_Km1734))-1)","UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase",,"meta_r_1378",,"UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase","true",,"r_1378",,"reaction","reaction reversible","SBO:0000176",,"false","UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase",,,,,
,"CHEBI:58271","1",,"meta_s_1734","substance",,,,,"M_u23ga_c",,"C04652",,,,"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine",,"meta_s_1734",,"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine",,"cell","s_1734","0.1","species","species","SBO:0000247",,"false","UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine",,,,,"0.1"
"true",,"1","true","meta_e_0081","substance",,,,,,,,"eco:b0179",,,"lpxD",,"meta_e_0081",,"lpxD",,"cell","e_0081","0.001","species","species","SBO:0000252",,"false","lpxD",,"P21645",,,"0.001"
,"CHEBI:58510","1",,"meta_s_1735","substance",,,,,"M_u3hga_c",,"C06022",,,,"UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine",,"meta_s_1735",,"UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine",,"cell","s_1735","0.1","species","species","SBO:0000247",,"false","UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine",,,,,"0.1"
,,,,"meta_r_0128","invalid","1.1.1.35",,"false",,,,,,,"cell*r_0128_Vmax*(s_0293*s_1334-s_0044*s_1333/r_0128_Keq)/(r_0128_Km0293*r_0128_Km1334)/(((1+s_0293/r_0128_Km0293)*(1+s_1334/r_0128_Km1334)+(1+s_0044/r_0128_Km0044)*(1+s_1333/r_0128_Km1333))-1)","3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)",,"meta_r_0128",,"3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)","true",,"r_0128",,"reaction","reaction reversible","SBO:0000176",,"false","3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)",,,,,
,"CHEBI:62616","1",,"meta_s_0044","substance",,,,,"M_3hdcoa_c",,"C05264",,,,"(S)-3-Hydroxydecanoyl-CoA",,"meta_s_0044",,"(S)-3-Hydroxydecanoyl-CoA",,"cell","s_0044","0.1","species","species","SBO:0000247",,"false","(S)-3-Hydroxydecanoyl-CoA",,,,,"0.1"
,"CHEBI:57540","1",,"meta_s_1333","substance",,,,,"M_nad_c",,"C00003",,,,"Nicotinamide adenine dinucleotide",,"meta_s_1333",,"Nicotinamide adenine dinucleotide",,"cell","s_1333","0.1","species","species","SBO:0000247",,"false","Nicotinamide adenine dinucleotide",,,,,"0.1"
,"CHEBI:62548","1",,"meta_s_0293","substance",,,,,"M_3odcoa_c",,"C05265",,,,"3-Oxodecanoyl-CoA",,"meta_s_0293",,"3-Oxodecanoyl-CoA",,"cell","s_0293","0.1","species","species","SBO:0000247",,"false","3-Oxodecanoyl-CoA",,,,,"0.1"
"true",,"1","true","meta_e_0735","substance",,,,,,,,"eco:b2341",,,"fadJ",,"meta_e_0735",,"fadJ",,"cell","e_0735","0.001","species","species","SBO:0000252",,"false","fadJ",,"P77399",,,"0.001"
,"CHEBI:57945","1",,"meta_s_1334","substance",,,,,"M_nadh_c",,"C00004",,,,"Nicotinamide adenine dinucleotide - reduced",,"meta_s_1334",,"Nicotinamide adenine dinucleotide - reduced",,"cell","s_1334","0.1","species","species","SBO:0000247",,"false","Nicotinamide adenine dinucleotide - reduced",,,,,"0.1"
"true",,"1","true","meta_e_1203","substance",,,,,,,,"eco:b3846",,,"fadB",,"meta_e_1203",,"fadB",,"cell","e_1203","0.001","species","species","SBO:0000252",,"false","fadB",,"P21177",,,"0.001"
,,,,"f543a19c_ed6a_4817_b804_5fca61a670b0","invalid",,,"false",,,,,,,"cell*r_1943_Vmax*(s_1263-s_1261)/r_1943_Km1263/((1+s_1263/r_1943_Km1263+1+s_1261/r_1943_Km1261)-1)","molybdate transport via diffusion (extracellular to periplasm)",,"f543a19c_ed6a_4817_b804_5fca61a670b0",,"molybdate transport via diffusion (extracellular to periplasm)","true",,"r_1943",,"reaction","reaction reversible","SBO:0000185",,"false","molybdate transport via diffusion (extracellular to periplasm)",,,,,
,"CHEBI:36264","1",,"meta_s_1261","substance",,,,,"M_mobd_c",,"C06232",,,,"Molybdate",,"meta_s_1261",,"Molybdate",,"cell","s_1261","0.1","species","species","SBO:0000247",,"false","Molybdate",,,,,"0.1"
