"network","drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","Drug1","Drug2","drugdrug","code_3letter1","code_3letter2","drug_cat","drug_category1","drug_category2","categorycategory","targ","targeted_cellular_process1","targeted_cellular_process2","processprocess","us","use1","use2","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","LF_ebw_D2","LF_ecr_D2","LF_stm_D2","LF_seo_D2","LF_pae_D2","LF_pau_D2","clusters","sigma.rate","type","connection_onoff"
"Co-functional (EcoCyc/GO-BP)","A22_Aztreonam",1.1667,12,12,53.8333,32.9167,"1","A22","Aztreonam","A22-Aztreonam","A22","ATM",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.116819962,-0.239493987,-0.131668911,-0.072461879,0.040283817,-0.069617853,"Additivity","Synergy","Additivity","Additivity","Additivity","Synergy",0,-1,0,0,0,-1,-2,"S","S","S","S","R","S","S","S","S","S","S","S","SS","SS","SS","SS","RS","SS",-1,-1,-1,-1,0,-1,-5,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional (GO-BP)","A22_Aztreonam",1.1667,12,12,48.6667,30.3333,"1","A22","Aztreonam","A22-Aztreonam","A22","ATM",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.116819962,-0.239493987,-0.131668911,-0.072461879,0.040283817,-0.069617853,"Additivity","Synergy","Additivity","Additivity","Additivity","Synergy",0,-1,0,0,0,-1,-2,"S","S","S","S","R","S","S","S","S","S","S","S","SS","SS","SS","SS","RS","SS",-1,-1,-1,-1,0,-1,-5,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Similar genomic context","A22_Aztreonam",2.5,17.1667,17.1667,26.1667,21.6667,"1","A22","Aztreonam","A22-Aztreonam","A22","ATM",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.116819962,-0.239493987,-0.131668911,-0.072461879,0.040283817,-0.069617853,"Additivity","Synergy","Additivity","Additivity","Additivity","Synergy",0,-1,0,0,0,-1,-2,"S","S","S","S","R","S","S","S","S","S","S","S","SS","SS","SS","SS","RS","SS",-1,-1,-1,-1,0,-1,-5,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-expression","A22_Aztreonam",3,17.6667,17.6667,48.1667,32.9167,"0","A22","Aztreonam","A22-Aztreonam","A22","ATM",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.116819962,-0.239493987,-0.131668911,-0.072461879,0.040283817,-0.069617853,"Additivity","Synergy","Additivity","Additivity","Additivity","Synergy",0,-1,0,0,0,-1,-2,"S","S","S","S","R","S","S","S","S","S","S","S","SS","SS","SS","SS","RS","SS",-1,-1,-1,-1,0,-1,-5,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"High-throughput PPI","A22_Aztreonam",2.6667,18.3333,18.5,72.1667,45.3333,"0","A22","Aztreonam","A22-Aztreonam","A22","ATM",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.116819962,-0.239493987,-0.131668911,-0.072461879,0.040283817,-0.069617853,"Additivity","Synergy","Additivity","Additivity","Additivity","Synergy",0,-1,0,0,0,-1,-2,"S","S","S","S","R","S","S","S","S","S","S","S","SS","SS","SS","SS","RS","SS",-1,-1,-1,-1,0,-1,-5,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"EN:allnetworks","A22_Aztreonam",1.8333,62.5,62.5,103.5,83,"1","A22","Aztreonam","A22-Aztreonam","A22","ATM",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.116819962,-0.239493987,-0.131668911,-0.072461879,0.040283817,-0.069617853,"Additivity","Synergy","Additivity","Additivity","Additivity","Synergy",0,-1,0,0,0,-1,-2,"S","S","S","S","R","S","S","S","S","S","S","S","SS","SS","SS","SS","RS","SS",-1,-1,-1,-1,0,-1,-5,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Similar phylogenetic profiles","A22_Cefaclor",5,1.5,1.75,25,13.375,"0","A22","Cefaclor","A22-Cefaclor","A22","CEC",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.160561269,-0.110830537,-0.260404099,-0.25570745,-0.031969583,-0.053619229,"Synergy","Additivity","Synergy","Additivity","Additivity","Additivity",-1,0,-1,0,0,0,-2,"S","S","S","S","R","S","S","S","S","S","R","R","SS","SS","SS","SS","RR","SR",-1,-1,-1,-1,1,0,-3,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,0.00314893046588041,"Additivity-Synergy","connected"
"Small/medium-scale PPI","A22_Cefaclor",3,2.8,3,6.6,4.8,"0","A22","Cefaclor","A22-Cefaclor","A22","CEC",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.160561269,-0.110830537,-0.260404099,-0.25570745,-0.031969583,-0.053619229,"Synergy","Additivity","Synergy","Additivity","Additivity","Additivity",-1,0,-1,0,0,0,-2,"S","S","S","S","R","S","S","S","S","S","R","R","SS","SS","SS","SS","RR","SR",-1,-1,-1,-1,1,0,-3,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","A22_Cefaclor",1.1667,12,12,53.8333,32.9167,"1","A22","Cefaclor","A22-Cefaclor","A22","CEC",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.160561269,-0.110830537,-0.260404099,-0.25570745,-0.031969583,-0.053619229,"Synergy","Additivity","Synergy","Additivity","Additivity","Additivity",-1,0,-1,0,0,0,-2,"S","S","S","S","R","S","S","S","S","S","R","R","SS","SS","SS","SS","RR","SR",-1,-1,-1,-1,1,0,-3,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional (GO-BP)","A22_Cefaclor",1.1667,12,12,48.6667,30.3333,"1","A22","Cefaclor","A22-Cefaclor","A22","CEC",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.160561269,-0.110830537,-0.260404099,-0.25570745,-0.031969583,-0.053619229,"Synergy","Additivity","Synergy","Additivity","Additivity","Additivity",-1,0,-1,0,0,0,-2,"S","S","S","S","R","S","S","S","S","S","R","R","SS","SS","SS","SS","RR","SR",-1,-1,-1,-1,1,0,-3,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,0.00314893046588041,"Additivity-Synergy","connected"
"Similar genomic context","A22_Cefaclor",2.5,17.1667,17.1667,26.1667,21.6667,"1","A22","Cefaclor","A22-Cefaclor","A22","CEC",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.160561269,-0.110830537,-0.260404099,-0.25570745,-0.031969583,-0.053619229,"Synergy","Additivity","Synergy","Additivity","Additivity","Additivity",-1,0,-1,0,0,0,-2,"S","S","S","S","R","S","S","S","S","S","R","R","SS","SS","SS","SS","RR","SR",-1,-1,-1,-1,1,0,-3,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-expression","A22_Cefaclor",3,17.6667,17.6667,48.1667,32.9167,"0","A22","Cefaclor","A22-Cefaclor","A22","CEC",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.160561269,-0.110830537,-0.260404099,-0.25570745,-0.031969583,-0.053619229,"Synergy","Additivity","Synergy","Additivity","Additivity","Additivity",-1,0,-1,0,0,0,-2,"S","S","S","S","R","S","S","S","S","S","R","R","SS","SS","SS","SS","RR","SR",-1,-1,-1,-1,1,0,-3,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,0.00314893046588041,"Additivity-Synergy","connected"
"High-throughput PPI","A22_Cefaclor",2.6667,18.3333,18.5,72.1667,45.3333,"0","A22","Cefaclor","A22-Cefaclor","A22","CEC",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.160561269,-0.110830537,-0.260404099,-0.25570745,-0.031969583,-0.053619229,"Synergy","Additivity","Synergy","Additivity","Additivity","Additivity",-1,0,-1,0,0,0,-2,"S","S","S","S","R","S","S","S","S","S","R","R","SS","SS","SS","SS","RR","SR",-1,-1,-1,-1,1,0,-3,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,0.00314893046588041,"Additivity-Synergy","connected"
"EN:allnetworks","A22_Cefaclor",1.8333,62.5,62.5,103.5,83,"1","A22","Cefaclor","A22-Cefaclor","A22","CEC",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.160561269,-0.110830537,-0.260404099,-0.25570745,-0.031969583,-0.053619229,"Synergy","Additivity","Synergy","Additivity","Additivity","Additivity",-1,0,-1,0,0,0,-2,"S","S","S","S","R","S","S","S","S","S","R","R","SS","SS","SS","SS","RR","SR",-1,-1,-1,-1,1,0,-3,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,0.00314893046588041,"Additivity-Synergy","connected"
"Similar phylogenetic profiles","A22_Cefotaxime",5,1.5,1.75,25,13.375,"0","A22","Cefotaxime","A22-Cefotaxime","A22","CTX",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.142714926,-0.179266974,-0.245271572,-0.165740597,-0.073620896,-0.133296097,"Additivity","Synergy","Synergy","Synergy","Additivity","Synergy",0,-1,-1,-1,0,-1,-4,"S","S","S","S","R","S","S","S","R","R","S","R","SS","SS","SR","SR","RS","SR",-1,-1,0,0,0,0,-2,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,2,0.00314893046588041,"Additivity-Synergy","connected"
"Small/medium-scale PPI","A22_Cefotaxime",3,2.8,3,6.6,4.8,"0","A22","Cefotaxime","A22-Cefotaxime","A22","CTX",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.142714926,-0.179266974,-0.245271572,-0.165740597,-0.073620896,-0.133296097,"Additivity","Synergy","Synergy","Synergy","Additivity","Synergy",0,-1,-1,-1,0,-1,-4,"S","S","S","S","R","S","S","S","R","R","S","R","SS","SS","SR","SR","RS","SR",-1,-1,0,0,0,0,-2,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","A22_Cefotaxime",1.1667,12,12,53.8333,32.9167,"1","A22","Cefotaxime","A22-Cefotaxime","A22","CTX",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.142714926,-0.179266974,-0.245271572,-0.165740597,-0.073620896,-0.133296097,"Additivity","Synergy","Synergy","Synergy","Additivity","Synergy",0,-1,-1,-1,0,-1,-4,"S","S","S","S","R","S","S","S","R","R","S","R","SS","SS","SR","SR","RS","SR",-1,-1,0,0,0,0,-2,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional (GO-BP)","A22_Cefotaxime",1.1667,12,12,48.6667,30.3333,"1","A22","Cefotaxime","A22-Cefotaxime","A22","CTX",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.142714926,-0.179266974,-0.245271572,-0.165740597,-0.073620896,-0.133296097,"Additivity","Synergy","Synergy","Synergy","Additivity","Synergy",0,-1,-1,-1,0,-1,-4,"S","S","S","S","R","S","S","S","R","R","S","R","SS","SS","SR","SR","RS","SR",-1,-1,0,0,0,0,-2,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,2,0.00314893046588041,"Additivity-Synergy","connected"
"Similar genomic context","A22_Cefotaxime",2.5,17.1667,17.1667,26.1667,21.6667,"1","A22","Cefotaxime","A22-Cefotaxime","A22","CTX",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.142714926,-0.179266974,-0.245271572,-0.165740597,-0.073620896,-0.133296097,"Additivity","Synergy","Synergy","Synergy","Additivity","Synergy",0,-1,-1,-1,0,-1,-4,"S","S","S","S","R","S","S","S","R","R","S","R","SS","SS","SR","SR","RS","SR",-1,-1,0,0,0,0,-2,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-expression","A22_Cefotaxime",3,17.6667,17.6667,48.1667,32.9167,"0","A22","Cefotaxime","A22-Cefotaxime","A22","CTX",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.142714926,-0.179266974,-0.245271572,-0.165740597,-0.073620896,-0.133296097,"Additivity","Synergy","Synergy","Synergy","Additivity","Synergy",0,-1,-1,-1,0,-1,-4,"S","S","S","S","R","S","S","S","R","R","S","R","SS","SS","SR","SR","RS","SR",-1,-1,0,0,0,0,-2,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,2,0.00314893046588041,"Additivity-Synergy","connected"
