"Drug1_Drug2","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","network"
"A22_Levofloxacin",1,46,46,99,72,"EcoliNet.v1.txt"
"A22_Meropenem",2,79,79,99,89,"EcoliNet.v1.txt"
"A22_Metformin",2,48,48,99,74,"EcoliNet.v1.txt"
"A22_Moxifloxacin",1,46,46,99,72,"EcoliNet.v1.txt"
"A22_Novobiocin",1,46,46,99,72,"EcoliNet.v1.txt"
"A22_Penicillin G",2,79,79,99,89,"EcoliNet.v1.txt"
"A22_Piperacillin",2,79,79,99,89,"EcoliNet.v1.txt"
"A22_Rifampicin",2,92,92,99,96,"EcoliNet.v1.txt"
"Amoxicillin_Aztreonam",1,48,48,86,67,"EcoliNet.v1.txt"
"Amoxicillin_Cefaclor",1,48,48,86,67,"EcoliNet.v1.txt"
"Amoxicillin_Cefotaxime",1,48,48,86,67,"EcoliNet.v1.txt"
"Amoxicillin_Cephalexin",1,48,48,86,67,"EcoliNet.v1.txt"
"Amoxicillin_Ciprofloxacin",2,47,47,75,61,"EcoliNet.v1.txt"
"Amoxicillin_Clindamycin",2,67,67,148,108,"EcoliNet.v1.txt"
"Amoxicillin_Doxycycline",2,65,65,270,167,"EcoliNet.v1.txt"
"Amoxicillin_Flucytosine",2,30,30,70,50,"EcoliNet.v1.txt"
"Amoxicillin_Fosfomycin",2,53,53,79,66,"EcoliNet.v1.txt"
"Amoxicillin_Fusidic acid",2,32,32,67,50,"EcoliNet.v1.txt"
"Amoxicillin_Imipenem",1,48,48,86,67,"EcoliNet.v1.txt"
"Amoxicillin_Levofloxacin",2,45,45,73,59,"EcoliNet.v1.txt"
"Amoxicillin_Mecillinam",2,44,44,91,68,"EcoliNet.v1.txt"
"Amoxicillin_Meropenem",1,48,48,86,67,"EcoliNet.v1.txt"
"Amoxicillin_Metformin",3,45,45,70,58,"EcoliNet.v1.txt"
"Amoxicillin_Moxifloxacin",2,45,45,73,59,"EcoliNet.v1.txt"
"Amoxicillin_Novobiocin",2,47,47,75,61,"EcoliNet.v1.txt"
"Amoxicillin_Penicillin G",1,48,48,86,67,"EcoliNet.v1.txt"
"Amoxicillin_Piperacillin",1,48,48,86,67,"EcoliNet.v1.txt"
"Amoxicillin_Rifampicin",2,61,61,98,80,"EcoliNet.v1.txt"
"Amoxicillin_Sulfamonomethoxine",2,50,50,76,63,"EcoliNet.v1.txt"
"Amoxicillin_Triclosan",2,54,54,90,72,"EcoliNet.v1.txt"
"Aztreonam_Cefaclor",1,48,48,86,67,"EcoliNet.v1.txt"
"Aztreonam_Cefotaxime",1,48,48,86,67,"EcoliNet.v1.txt"
"Aztreonam_Cephalexin",1,48,48,86,67,"EcoliNet.v1.txt"
"Aztreonam_Ciprofloxacin",2,47,47,75,61,"EcoliNet.v1.txt"
"Aztreonam_Clindamycin",2,67,67,148,108,"EcoliNet.v1.txt"
"Aztreonam_Doxycycline",2,65,65,270,167,"EcoliNet.v1.txt"
"Aztreonam_Flucytosine",2,30,30,70,50,"EcoliNet.v1.txt"
"Aztreonam_Fosfomycin",2,53,53,79,66,"EcoliNet.v1.txt"
"Aztreonam_Fusidic acid",2,32,32,67,50,"EcoliNet.v1.txt"
"Aztreonam_Imipenem",1,48,48,86,67,"EcoliNet.v1.txt"
"Aztreonam_Levofloxacin",2,45,45,73,59,"EcoliNet.v1.txt"
"Aztreonam_Mecillinam",2,44,44,91,68,"EcoliNet.v1.txt"
"Aztreonam_Meropenem",1,48,48,86,67,"EcoliNet.v1.txt"
"Aztreonam_Metformin",3,45,45,70,58,"EcoliNet.v1.txt"
"Aztreonam_Moxifloxacin",2,45,45,73,59,"EcoliNet.v1.txt"
"Aztreonam_Novobiocin",2,47,47,75,61,"EcoliNet.v1.txt"
"Aztreonam_Penicillin G",1,48,48,86,67,"EcoliNet.v1.txt"
"Aztreonam_Piperacillin",1,48,48,86,67,"EcoliNet.v1.txt"
"Aztreonam_Rifampicin",2,61,61,98,80,"EcoliNet.v1.txt"
"Aztreonam_Sulfamonomethoxine",2,50,50,76,63,"EcoliNet.v1.txt"
"Aztreonam_Triclosan",2,54,54,90,72,"EcoliNet.v1.txt"
"Cefaclor_Cefotaxime",1,48,48,86,67,"EcoliNet.v1.txt"
"Cefaclor_Cephalexin",1,48,48,86,67,"EcoliNet.v1.txt"
"Cefaclor_Ciprofloxacin",2,47,47,75,61,"EcoliNet.v1.txt"
"Cefaclor_Clindamycin",2,67,67,148,108,"EcoliNet.v1.txt"
"Cefaclor_Doxycycline",2,65,65,270,167,"EcoliNet.v1.txt"
"Cefaclor_Flucytosine",2,30,30,70,50,"EcoliNet.v1.txt"
"Cefaclor_Fosfomycin",2,53,53,79,66,"EcoliNet.v1.txt"
"Cefaclor_Fusidic acid",2,32,32,67,50,"EcoliNet.v1.txt"
"Cefaclor_Imipenem",1,48,48,86,67,"EcoliNet.v1.txt"
"Cefaclor_Levofloxacin",2,45,45,73,59,"EcoliNet.v1.txt"
"Cefaclor_Mecillinam",2,44,44,91,68,"EcoliNet.v1.txt"
"Cefaclor_Meropenem",1,48,48,86,67,"EcoliNet.v1.txt"
"Cefaclor_Metformin",3,45,45,70,58,"EcoliNet.v1.txt"
"Cefaclor_Moxifloxacin",2,45,45,73,59,"EcoliNet.v1.txt"
"Cefaclor_Novobiocin",2,47,47,75,61,"EcoliNet.v1.txt"
"Cefaclor_Penicillin G",1,48,48,86,67,"EcoliNet.v1.txt"
"Cefaclor_Piperacillin",1,48,48,86,67,"EcoliNet.v1.txt"
"Cefaclor_Rifampicin",2,61,61,98,80,"EcoliNet.v1.txt"
"Cefaclor_Sulfamonomethoxine",2,50,50,76,63,"EcoliNet.v1.txt"
"Cefaclor_Triclosan",2,54,54,90,72,"EcoliNet.v1.txt"
"Cefotaxime_Cephalexin",1,48,48,86,67,"EcoliNet.v1.txt"
"Cefotaxime_Ciprofloxacin",2,47,47,75,61,"EcoliNet.v1.txt"
"Cefotaxime_Clindamycin",2,67,67,148,108,"EcoliNet.v1.txt"
"Cefotaxime_Doxycycline",2,65,65,270,167,"EcoliNet.v1.txt"
"Cefotaxime_Flucytosine",2,30,30,70,50,"EcoliNet.v1.txt"
"Cefotaxime_Fosfomycin",2,53,53,79,66,"EcoliNet.v1.txt"
"Cefotaxime_Fusidic acid",2,32,32,67,50,"EcoliNet.v1.txt"
"Cefotaxime_Imipenem",1,48,48,86,67,"EcoliNet.v1.txt"
"Cefotaxime_Levofloxacin",2,45,45,73,59,"EcoliNet.v1.txt"
"Cefotaxime_Mecillinam",2,44,44,91,68,"EcoliNet.v1.txt"
"Cefotaxime_Meropenem",1,48,48,86,67,"EcoliNet.v1.txt"
"Cefotaxime_Metformin",3,45,45,70,58,"EcoliNet.v1.txt"
"Cefotaxime_Moxifloxacin",2,45,45,73,59,"EcoliNet.v1.txt"
"Cefotaxime_Novobiocin",2,47,47,75,61,"EcoliNet.v1.txt"
"Cefotaxime_Penicillin G",1,48,48,86,67,"EcoliNet.v1.txt"
"Cefotaxime_Piperacillin",1,48,48,86,67,"EcoliNet.v1.txt"
"Cefotaxime_Rifampicin",2,61,61,98,80,"EcoliNet.v1.txt"
"Cefotaxime_Sulfamonomethoxine",2,50,50,76,63,"EcoliNet.v1.txt"
"Cefotaxime_Triclosan",2,54,54,90,72,"EcoliNet.v1.txt"
"Cephalexin_Ciprofloxacin",2,47,47,75,61,"EcoliNet.v1.txt"
"Cephalexin_Clindamycin",2,67,67,148,108,"EcoliNet.v1.txt"
"Cephalexin_Doxycycline",2,65,65,270,167,"EcoliNet.v1.txt"
"Cephalexin_Flucytosine",2,30,30,70,50,"EcoliNet.v1.txt"
"Cephalexin_Fosfomycin",2,53,53,79,66,"EcoliNet.v1.txt"
"Cephalexin_Fusidic acid",2,32,32,67,50,"EcoliNet.v1.txt"
"Cephalexin_Imipenem",1,48,48,86,67,"EcoliNet.v1.txt"
"Cephalexin_Levofloxacin",2,45,45,73,59,"EcoliNet.v1.txt"
"Cephalexin_Mecillinam",2,44,44,91,68,"EcoliNet.v1.txt"
"Cephalexin_Meropenem",1,48,48,86,67,"EcoliNet.v1.txt"
"Cephalexin_Metformin",3,45,45,70,58,"EcoliNet.v1.txt"
"Cephalexin_Moxifloxacin",2,45,45,73,59,"EcoliNet.v1.txt"
"Cephalexin_Novobiocin",2,47,47,75,61,"EcoliNet.v1.txt"
"Cephalexin_Penicillin G",1,48,48,86,67,"EcoliNet.v1.txt"
"Cephalexin_Piperacillin",1,48,48,86,67,"EcoliNet.v1.txt"
"Cephalexin_Rifampicin",2,61,61,98,80,"EcoliNet.v1.txt"
"Cephalexin_Sulfamonomethoxine",2,50,50,76,63,"EcoliNet.v1.txt"
"Cephalexin_Triclosan",2,54,54,90,72,"EcoliNet.v1.txt"
"Ciprofloxacin_Clindamycin",2,58,58,148,103,"EcoliNet.v1.txt"
"Ciprofloxacin_Doxycycline",2,70,70,270,170,"EcoliNet.v1.txt"
"Ciprofloxacin_Flucytosine",2,56,56,70,63,"EcoliNet.v1.txt"
"Ciprofloxacin_Fosfomycin",2,67,67,70,68,"EcoliNet.v1.txt"
"Ciprofloxacin_Fusidic acid",2,32,32,58,45,"EcoliNet.v1.txt"
"Ciprofloxacin_Imipenem",2,64,64,74,69,"EcoliNet.v1.txt"
"Ciprofloxacin_Levofloxacin",1,45,45,70,58,"EcoliNet.v1.txt"
"Ciprofloxacin_Meropenem",2,64,64,74,69,"EcoliNet.v1.txt"
"Ciprofloxacin_Metformin",2,48,48,70,59,"EcoliNet.v1.txt"
"Ciprofloxacin_Moxifloxacin",1,45,45,70,58,"EcoliNet.v1.txt"
"Ciprofloxacin_Novobiocin",1,46,46,70,58,"EcoliNet.v1.txt"
"Ciprofloxacin_Penicillin G",2,64,64,74,69,"EcoliNet.v1.txt"
"Ciprofloxacin_Piperacillin",2,64,64,74,69,"EcoliNet.v1.txt"
"Ciprofloxacin_Rifampicin",2,58,58,92,75,"EcoliNet.v1.txt"
"Ciprofloxacin_Sulfamonomethoxine",2,59,59,70,64,"EcoliNet.v1.txt"
"Clindamycin_Rifampicin",1,92,92,148,120,"EcoliNet.v1.txt"
"Doxycycline_Fusidic acid",2,32,32,270,151,"EcoliNet.v1.txt"
"Doxycycline_Imipenem",2,79,79,270,174,"EcoliNet.v1.txt"
"Doxycycline_Levofloxacin",2,46,46,270,158,"EcoliNet.v1.txt"
"Doxycycline_Meropenem",2,79,79,270,174,"EcoliNet.v1.txt"
"Doxycycline_Metformin",2,48,48,270,159,"EcoliNet.v1.txt"
"Doxycycline_Moxifloxacin",2,46,46,270,158,"EcoliNet.v1.txt"
"Doxycycline_Novobiocin",2,46,46,270,158,"EcoliNet.v1.txt"
"Doxycycline_Penicillin G",2,79,79,270,174,"EcoliNet.v1.txt"
"Doxycycline_Piperacillin",2,79,79,270,174,"EcoliNet.v1.txt"
"Doxycycline_Rifampicin",1,92,92,270,181,"EcoliNet.v1.txt"
"Flucytosine_Fosfomycin",2,34,34,67,50,"EcoliNet.v1.txt"
"Flucytosine_Fusidic acid",2,22,22,44,33,"EcoliNet.v1.txt"
"Flucytosine_Imipenem",2,34,34,68,51,"EcoliNet.v1.txt"
"Flucytosine_Levofloxacin",2,26,26,53,39,"EcoliNet.v1.txt"
"Flucytosine_Meropenem",2,34,34,68,51,"EcoliNet.v1.txt"
"Flucytosine_Metformin",2,30,30,52,41,"EcoliNet.v1.txt"
"Flucytosine_Moxifloxacin",2,26,26,53,39,"EcoliNet.v1.txt"
"Flucytosine_Novobiocin",2,23,23,57,40,"EcoliNet.v1.txt"
"Flucytosine_Penicillin G",2,34,34,68,51,"EcoliNet.v1.txt"
"Flucytosine_Piperacillin",2,34,34,68,51,"EcoliNet.v1.txt"
"Flucytosine_Rifampicin",2,34,34,92,63,"EcoliNet.v1.txt"
"Flucytosine_Sulfamonomethoxine",2,34,34,59,46,"EcoliNet.v1.txt"
"Fosfomycin_Fusidic acid",3,32,32,67,50,"EcoliNet.v1.txt"
"Fosfomycin_Imipenem",2,67,67,79,73,"EcoliNet.v1.txt"
"Fosfomycin_Levofloxacin",2,46,46,67,56,"EcoliNet.v1.txt"
"Fosfomycin_Meropenem",2,67,67,79,73,"EcoliNet.v1.txt"
"Fosfomycin_Metformin",2,48,48,67,58,"EcoliNet.v1.txt"
"Fosfomycin_Moxifloxacin",2,46,46,67,56,"EcoliNet.v1.txt"
"Fosfomycin_Novobiocin",2,46,46,67,56,"EcoliNet.v1.txt"
"Fosfomycin_Penicillin G",2,67,67,79,73,"EcoliNet.v1.txt"
"Fosfomycin_Piperacillin",2,67,67,79,73,"EcoliNet.v1.txt"
"Fosfomycin_Rifampicin",3,67,67,92,80,"EcoliNet.v1.txt"
"Fusidic acid_Rifampicin",2,32,32,92,62,"EcoliNet.v1.txt"
"Imipenem_Levofloxacin",2,45,45,73,59,"EcoliNet.v1.txt"
"Imipenem_Mecillinam",2,44,44,91,68,"EcoliNet.v1.txt"
"Imipenem_Meropenem",1,48,48,86,67,"EcoliNet.v1.txt"
"Imipenem_Metformin",3,45,45,70,58,"EcoliNet.v1.txt"
"Imipenem_Moxifloxacin",2,45,45,73,59,"EcoliNet.v1.txt"
"Imipenem_Novobiocin",2,47,47,75,61,"EcoliNet.v1.txt"
"Imipenem_Penicillin G",1,48,48,86,67,"EcoliNet.v1.txt"
"Imipenem_Piperacillin",1,48,48,86,67,"EcoliNet.v1.txt"
"Imipenem_Rifampicin",2,61,61,98,80,"EcoliNet.v1.txt"
"Imipenem_Sulfamonomethoxine",2,50,50,76,63,"EcoliNet.v1.txt"
"Imipenem_Triclosan",2,54,54,90,72,"EcoliNet.v1.txt"
"Levofloxacin_Meropenem",2,51,51,70,61,"EcoliNet.v1.txt"
"Levofloxacin_Metformin",2,46,46,55,50,"EcoliNet.v1.txt"
"Levofloxacin_Moxifloxacin",1,44,44,59,51,"EcoliNet.v1.txt"
"Levofloxacin_Novobiocin",1,44,44,55,50,"EcoliNet.v1.txt"
"Levofloxacin_Penicillin G",2,51,51,70,61,"EcoliNet.v1.txt"
"Levofloxacin_Piperacillin",2,51,51,70,61,"EcoliNet.v1.txt"
"Levofloxacin_Rifampicin",2,51,51,92,72,"EcoliNet.v1.txt"
"Levofloxacin_Sulfamonomethoxine",2,49,49,63,56,"EcoliNet.v1.txt"
"Mecillinam_Meropenem",2,54,54,64,59,"EcoliNet.v1.txt"
"Mecillinam_Metformin",3,48,48,56,52,"EcoliNet.v1.txt"
"Mecillinam_Moxifloxacin",2,48,48,60,54,"EcoliNet.v1.txt"
"Mecillinam_Novobiocin",2,51,51,63,57,"EcoliNet.v1.txt"
"Mecillinam_Penicillin G",2,54,54,64,59,"EcoliNet.v1.txt"
"Mecillinam_Piperacillin",2,54,54,64,59,"EcoliNet.v1.txt"
"Mecillinam_Rifampicin",2,56,56,92,74,"EcoliNet.v1.txt"
"Mecillinam_Sulfamonomethoxine",3,56,56,59,58,"EcoliNet.v1.txt"
"Mecillinam_Triclosan",2,56,56,78,67,"EcoliNet.v1.txt"
"Meropenem_Metformin",3,45,45,70,58,"EcoliNet.v1.txt"
"Meropenem_Moxifloxacin",2,45,45,73,59,"EcoliNet.v1.txt"
"Meropenem_Novobiocin",2,47,47,75,61,"EcoliNet.v1.txt"
"Meropenem_Penicillin G",1,48,48,86,67,"EcoliNet.v1.txt"
"Meropenem_Piperacillin",1,48,48,86,67,"EcoliNet.v1.txt"
"Meropenem_Rifampicin",2,61,61,98,80,"EcoliNet.v1.txt"
"Meropenem_Sulfamonomethoxine",2,50,50,76,63,"EcoliNet.v1.txt"
"Meropenem_Triclosan",2,54,54,90,72,"EcoliNet.v1.txt"
"Metformin_Moxifloxacin",2,46,46,48,47,"EcoliNet.v1.txt"
"Metformin_Novobiocin",2,46,46,48,47,"EcoliNet.v1.txt"
"Metformin_Rifampicin",2,48,48,92,70,"EcoliNet.v1.txt"
"Moxifloxacin_Novobiocin",1,44,44,55,50,"EcoliNet.v1.txt"
"Moxifloxacin_Penicillin G",2,51,51,70,61,"EcoliNet.v1.txt"
"Moxifloxacin_Piperacillin",2,51,51,70,61,"EcoliNet.v1.txt"
"Moxifloxacin_Rifampicin",2,51,51,92,72,"EcoliNet.v1.txt"
"Moxifloxacin_Sulfamonomethoxine",2,49,49,63,56,"EcoliNet.v1.txt"
"Novobiocin_Penicillin G",2,64,64,74,69,"EcoliNet.v1.txt"
"Novobiocin_Piperacillin",2,64,64,74,69,"EcoliNet.v1.txt"
"Novobiocin_Rifampicin",2,58,58,92,75,"EcoliNet.v1.txt"
"Novobiocin_Sulfamonomethoxine",2,59,59,70,64,"EcoliNet.v1.txt"
"Penicillin G_Piperacillin",1,48,48,86,67,"EcoliNet.v1.txt"
"Penicillin G_Rifampicin",2,61,61,98,80,"EcoliNet.v1.txt"
"Penicillin G_Sulfamonomethoxine",2,50,50,76,63,"EcoliNet.v1.txt"
"Penicillin G_Triclosan",2,54,54,90,72,"EcoliNet.v1.txt"
"Piperacillin_Rifampicin",2,61,61,98,80,"EcoliNet.v1.txt"
"Piperacillin_Sulfamonomethoxine",2,50,50,76,63,"EcoliNet.v1.txt"
"Piperacillin_Triclosan",2,54,54,90,72,"EcoliNet.v1.txt"
"Pseudomonic acid_Rifampicin",2,92,92,122,107,"EcoliNet.v1.txt"
"Pseudomonic acid_Sulfamonomethoxine",2,59,59,122,90,"EcoliNet.v1.txt"
"Pseudomonic acid_Triclosan",2,78,78,122,100,"EcoliNet.v1.txt"
"Pseudomonic acid_Trimethoprim",1,71,71,122,96,"EcoliNet.v1.txt"
"A22_Amoxicillin",3,24,24,32,28,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Aztreonam",3,24,24,32,28,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Cefaclor",3,24,24,32,28,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Cefotaxime",3,24,24,32,28,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Cephalexin",3,24,24,32,28,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Ciprofloxacin",3,24,24,27,26,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Clindamycin",3,12,12,24,18,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Doxycycline",3,22,22,24,23,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Fusidic acid",2,24,24,30,27,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Imipenem",3,24,24,32,28,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Levofloxacin",3,24,24,27,26,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Meropenem",3,24,24,32,28,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Metformin",3,19,19,24,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Moxifloxacin",3,24,24,27,26,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Novobiocin",3,24,24,27,26,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Penicillin G",3,24,24,32,28,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Piperacillin",3,24,24,32,28,"GN.INT.EcoliNet.3568gene.23439link.txt"
"A22_Rifampicin",3,21,21,24,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Aztreonam",3,13,13,26,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Cefaclor",3,13,13,26,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Cefotaxime",3,13,13,26,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Cephalexin",3,13,13,26,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Ciprofloxacin",3,18,18,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Clindamycin",4,11,11,20,16,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Doxycycline",3,16,16,26,21,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Flucytosine",3,11,12,27,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Fosfomycin",2,17,17,46,31,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Fusidic acid",3,19,19,30,25,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Imipenem",3,13,13,26,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Levofloxacin",3,18,18,27,23,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Mecillinam",3,14,14,26,20,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Meropenem",3,13,13,26,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Metformin",3,15,15,24,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Moxifloxacin",3,18,18,27,23,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Novobiocin",3,18,18,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Penicillin G",3,13,13,26,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Piperacillin",3,13,13,26,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Rifampicin",3,16,16,25,20,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Sulfamonomethoxine",4,14,14,22,18,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Amoxicillin_Triclosan",3,18,18,25,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Cefaclor",3,13,13,26,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Cefotaxime",3,13,13,26,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Cephalexin",3,13,13,26,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Ciprofloxacin",3,18,18,26,22,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Clindamycin",4,11,11,20,16,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Doxycycline",3,16,16,26,21,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Flucytosine",3,11,12,27,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Fosfomycin",2,17,17,46,31,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Fusidic acid",3,19,19,30,25,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Imipenem",3,13,13,26,19,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Levofloxacin",3,18,18,27,23,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Aztreonam_Mecillinam",3,14,14,26,20,"GN.INT.EcoliNet.3568gene.23439link.txt"
