"network","KEGG1_KEGG2","KEGG1","KEGG2","drug_pair","path.length","K.edge","Degree1","Degree2","adjacency","mean_deg","min_deg","max_deg","min_bet","max_bet","mean_bet","drugdrug","code_3letter1","code_3letter2","drug_cat","drug_category1","drug_category2","categorycategory","targ","targeted_cellular_process1","targeted_cellular_process2","processprocess","us","use1","use2","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","LF_ebw_D2","LF_ecr_D2","LF_stm_D2","LF_seo_D2","LF_pae_D2","LF_pau_D2","clusters","sigma.rate","type","Drug1","Drug2"
"1","eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Cephalexin",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Cephalexin","AMX","LEX",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.061360214,0.052226283,-0.081519808,-0.080239589,-0.057792451,-0.029760282,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,9,0.000821135662615308,"Additivity","Amoxicillin","Cephalexin"
"1","eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Cephalexin",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Cephalexin","AMX","LEX",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.061360214,0.052226283,-0.081519808,-0.080239589,-0.057792451,-0.029760282,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,9,0.000821135662615308,"Additivity","Amoxicillin","Cephalexin"
"1","eco:b0084_eco:b3189","eco:b0084","eco:b3189","Amoxicillin_Fosfomycin",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Fosfomycin","AMX","FOF",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.235424396,-0.197434681,-0.233475371,-0.21533938,0.098113534,-0.079069555,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","R","S","S","SS","SS","RS","RR","RS","RS",-1,-1,0,1,0,0,-1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Fosfomycin"
"1","eco:b0149_eco:b3189","eco:b0149","eco:b3189","Amoxicillin_Fosfomycin",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Fosfomycin","AMX","FOF",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.235424396,-0.197434681,-0.233475371,-0.21533938,0.098113534,-0.079069555,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","R","S","S","SS","SS","RS","RR","RS","RS",-1,-1,0,1,0,0,-1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Fosfomycin"
"1","eco:b3189_eco:b3396","eco:b3189","eco:b3396","Amoxicillin_Fosfomycin",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Fosfomycin","AMX","FOF",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.235424396,-0.197434681,-0.233475371,-0.21533938,0.098113534,-0.079069555,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","R","S","S","SS","SS","RS","RR","RS","RS",-1,-1,0,1,0,0,-1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Fosfomycin"
"1","eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Imipenem",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Imipenem","AMX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.105926127,-0.202354674,-0.321397596,-0.157550957,-0.057216058,-0.048262283,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Imipenem"
"1","eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Imipenem",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Imipenem","AMX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.105926127,-0.202354674,-0.321397596,-0.157550957,-0.057216058,-0.048262283,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Imipenem"
"1","eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Imipenem",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Imipenem","AMX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.105926127,-0.202354674,-0.321397596,-0.157550957,-0.057216058,-0.048262283,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Imipenem"
"1","eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Meropenem",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Meropenem","AMX","MEM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.150878137,-0.127733475,-0.372150374,-0.290776153,0.073021789,-0.042094051,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,14,0.00784670396122041,"Additivity","Amoxicillin","Meropenem"
"1","eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Meropenem",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Meropenem","AMX","MEM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.150878137,-0.127733475,-0.372150374,-0.290776153,0.073021789,-0.042094051,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,14,0.00784670396122041,"Additivity","Amoxicillin","Meropenem"
"1","eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Meropenem",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Meropenem","AMX","MEM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.150878137,-0.127733475,-0.372150374,-0.290776153,0.073021789,-0.042094051,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,14,0.00784670396122041,"Additivity","Amoxicillin","Meropenem"
"1","eco:b0084_eco:b3426","eco:b0084","eco:b3426","Amoxicillin_Metformin",Inf,0,15,6,0,10.5,6,15,0,0,0,"Amoxicillin-Metformin","AMX","MF",0,"beta-lactam","human drug","beta-lactam-human drug",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.244481275,0.174963722,0.04650243,-0.049882376,-0.064780163,-0.081837398,"Antagonism","Additivity","Additivity","Additivity","Additivity","Additivity",1,0,0,0,0,0,1,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,1,0.00354172479112979,"Additivity-Antagonism","Amoxicillin","Metformin"
"1","eco:b0149_eco:b3426","eco:b0149","eco:b3426","Amoxicillin_Metformin",Inf,0,15,6,0,10.5,6,15,0,0,0,"Amoxicillin-Metformin","AMX","MF",0,"beta-lactam","human drug","beta-lactam-human drug",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.244481275,0.174963722,0.04650243,-0.049882376,-0.064780163,-0.081837398,"Antagonism","Additivity","Additivity","Additivity","Additivity","Additivity",1,0,0,0,0,0,1,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,1,0.00354172479112979,"Additivity-Antagonism","Amoxicillin","Metformin"
"1","eco:b3396_eco:b3426","eco:b3396","eco:b3426","Amoxicillin_Metformin",Inf,0,15,6,0,10.5,6,15,0,0,0,"Amoxicillin-Metformin","AMX","MF",0,"beta-lactam","human drug","beta-lactam-human drug",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.244481275,0.174963722,0.04650243,-0.049882376,-0.064780163,-0.081837398,"Antagonism","Additivity","Additivity","Additivity","Additivity","Additivity",1,0,0,0,0,0,1,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,1,0.00354172479112979,"Additivity-Antagonism","Amoxicillin","Metformin"
"1","eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Penicillin G",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Penicillin G","AMX","PEN",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.095728565,-0.218339027,-0.285003647,-0.263337696,-0.096389369,-0.020774024,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity",0,-1,0,0,0,0,-1,"S","S","R","R","R","R","R","S","S","S","R","R","SR","SS","RS","RS","RR","RR",0,-1,0,0,1,1,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Penicillin G"
"1","eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Penicillin G",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Penicillin G","AMX","PEN",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.095728565,-0.218339027,-0.285003647,-0.263337696,-0.096389369,-0.020774024,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity",0,-1,0,0,0,0,-1,"S","S","R","R","R","R","R","S","S","S","R","R","SR","SS","RS","RS","RR","RR",0,-1,0,0,1,1,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Penicillin G"
"1","eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Penicillin G",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Penicillin G","AMX","PEN",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.095728565,-0.218339027,-0.285003647,-0.263337696,-0.096389369,-0.020774024,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity",0,-1,0,0,0,0,-1,"S","S","R","R","R","R","R","S","S","S","R","R","SR","SS","RS","RS","RR","RR",0,-1,0,0,1,1,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Penicillin G"
"1","eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Piperacillin",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Piperacillin","AMX","PIP",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.185511961,-0.293649022,-0.473645304,-0.594606308,0.314074822,0.081068472,"Synergy","Synergy","Synergy","Synergy","Antagonism","Additivity",-1,-1,-1,-1,1,0,-3,"S","S","R","R","R","R","R","S","S","S","S","S","SR","SS","RS","RS","RS","RS",0,-1,0,0,0,0,-1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,14,0.00784670396122041,"Additivity-Antagonism-Synergy","Amoxicillin","Piperacillin"
