"drug_pair","Drug1","Drug2","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","network"
"Metformin_Sulfamonomethoxine","Metformin","Sulfamonomethoxine",Inf,0,3,6,4,0,"EcoCyc.goldstandardset.txt"
"Metformin_Triclosan","Metformin","Triclosan",Inf,0,6,14,10,0,"EcoCyc.goldstandardset.txt"
"Metformin_Trimethoprim","Metformin","Trimethoprim",Inf,0,6,14,10,0,"EcoCyc.goldstandardset.txt"
"Penicillin G_Piperacillin","Penicillin G","Piperacillin",1,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"Penicillin G_Pseudomonic acid","Penicillin G","Pseudomonic acid",Inf,0,15,22,18,0,"EcoCyc.goldstandardset.txt"
"Penicillin G_Sulfamonomethoxine","Penicillin G","Sulfamonomethoxine",Inf,0,3,15,9,0,"EcoCyc.goldstandardset.txt"
"Penicillin G_Triclosan","Penicillin G","Triclosan",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Penicillin G_Trimethoprim","Penicillin G","Trimethoprim",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Piperacillin_Pseudomonic acid","Piperacillin","Pseudomonic acid",Inf,0,15,22,18,0,"EcoCyc.goldstandardset.txt"
"Piperacillin_Sulfamonomethoxine","Piperacillin","Sulfamonomethoxine",Inf,0,3,15,9,0,"EcoCyc.goldstandardset.txt"
"Piperacillin_Triclosan","Piperacillin","Triclosan",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Piperacillin_Trimethoprim","Piperacillin","Trimethoprim",Inf,0,14,15,14,0,"EcoCyc.goldstandardset.txt"
"Pseudomonic acid_Sulfamonomethoxine","Pseudomonic acid","Sulfamonomethoxine",Inf,0,3,22,12,0,"EcoCyc.goldstandardset.txt"
"Pseudomonic acid_Triclosan","Pseudomonic acid","Triclosan",Inf,0,14,22,18,0,"EcoCyc.goldstandardset.txt"
"Pseudomonic acid_Trimethoprim","Pseudomonic acid","Trimethoprim",Inf,0,14,22,18,0,"EcoCyc.goldstandardset.txt"
"Sulfamonomethoxine_Triclosan","Sulfamonomethoxine","Triclosan",4,3,3,14,8,0,"EcoCyc.goldstandardset.txt"
"Sulfamonomethoxine_Trimethoprim","Sulfamonomethoxine","Trimethoprim",1,3,3,14,8,1,"EcoCyc.goldstandardset.txt"
"Triclosan_Trimethoprim","Triclosan","Trimethoprim",3,6,14,14,14,0,"EcoCyc.goldstandardset.txt"
"A22_Amoxicillin","A22","Amoxicillin",2,62,62,104,83,1,"EcoliNet.v1.txt"
"A22_Aztreonam","A22","Aztreonam",2,62,62,104,83,1,"EcoliNet.v1.txt"
"A22_Cefaclor","A22","Cefaclor",2,62,62,104,83,1,"EcoliNet.v1.txt"
"A22_Cefotaxime","A22","Cefotaxime",2,62,62,104,83,1,"EcoliNet.v1.txt"
"A22_Cephalexin","A22","Cephalexin",2,62,62,104,83,1,"EcoliNet.v1.txt"
"A22_Ciprofloxacin","A22","Ciprofloxacin",1,58,58,99,78,1,"EcoliNet.v1.txt"
"A22_Clindamycin","A22","Clindamycin",2,99,99,148,124,0,"EcoliNet.v1.txt"
"A22_Doxycycline","A22","Doxycycline",2,99,99,270,184,0,"EcoliNet.v1.txt"
"A22_Flucytosine","A22","Flucytosine",2,34,34,99,66,0,"EcoliNet.v1.txt"
"A22_Fosfomycin","A22","Fosfomycin",2,67,67,99,83,0,"EcoliNet.v1.txt"
"A22_Fusidic acid","A22","Fusidic acid",2,32,32,99,66,0,"EcoliNet.v1.txt"
"A22_Imipenem","A22","Imipenem",2,62,62,104,83,1,"EcoliNet.v1.txt"
"A22_Levofloxacin","A22","Levofloxacin",1,51,51,99,75,1,"EcoliNet.v1.txt"
"A22_Mecillinam","A22","Mecillinam",1,56,56,99,78,1,"EcoliNet.v1.txt"
"A22_Meropenem","A22","Meropenem",2,62,62,104,83,1,"EcoliNet.v1.txt"
"A22_Metformin","A22","Metformin",2,48,48,99,74,0,"EcoliNet.v1.txt"
"A22_Moxifloxacin","A22","Moxifloxacin",1,51,51,99,75,1,"EcoliNet.v1.txt"
"A22_Novobiocin","A22","Novobiocin",1,58,58,99,78,1,"EcoliNet.v1.txt"
"A22_Penicillin G","A22","Penicillin G",2,62,62,104,83,1,"EcoliNet.v1.txt"
"A22_Piperacillin","A22","Piperacillin",2,62,62,104,83,1,"EcoliNet.v1.txt"
"A22_Pseudomonic acid","A22","Pseudomonic acid",2,99,99,122,110,0,"EcoliNet.v1.txt"
"A22_Rifampicin","A22","Rifampicin",2,92,92,99,96,0,"EcoliNet.v1.txt"
"A22_Sulfamonomethoxine","A22","Sulfamonomethoxine",2,59,59,99,79,0,"EcoliNet.v1.txt"
"A22_Triclosan","A22","Triclosan",2,78,78,99,88,0,"EcoliNet.v1.txt"
"A22_Trimethoprim","A22","Trimethoprim",2,71,71,99,85,0,"EcoliNet.v1.txt"
"Amoxicillin_Aztreonam","Amoxicillin","Aztreonam",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Amoxicillin_Cefaclor","Amoxicillin","Cefaclor",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Amoxicillin_Cefotaxime","Amoxicillin","Cefotaxime",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Amoxicillin_Cephalexin","Amoxicillin","Cephalexin",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Amoxicillin_Ciprofloxacin","Amoxicillin","Ciprofloxacin",2,50,50,75,62,1,"EcoliNet.v1.txt"
"Amoxicillin_Clindamycin","Amoxicillin","Clindamycin",2,67,67,148,108,0,"EcoliNet.v1.txt"
"Amoxicillin_Doxycycline","Amoxicillin","Doxycycline",2,67,67,270,168,1,"EcoliNet.v1.txt"
"Amoxicillin_Flucytosine","Amoxicillin","Flucytosine",2,31,31,69,50,1,"EcoliNet.v1.txt"
"Amoxicillin_Fosfomycin","Amoxicillin","Fosfomycin",2,55,55,79,67,0,"EcoliNet.v1.txt"
"Amoxicillin_Fusidic acid","Amoxicillin","Fusidic acid",2,32,32,67,50,0,"EcoliNet.v1.txt"
"Amoxicillin_Imipenem","Amoxicillin","Imipenem",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Amoxicillin_Levofloxacin","Amoxicillin","Levofloxacin",2,46,46,72,59,1,"EcoliNet.v1.txt"
"Amoxicillin_Mecillinam","Amoxicillin","Mecillinam",2,50,50,75,63,1,"EcoliNet.v1.txt"
"Amoxicillin_Meropenem","Amoxicillin","Meropenem",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Amoxicillin_Metformin","Amoxicillin","Metformin",3,45,45,70,58,0,"EcoliNet.v1.txt"
"Amoxicillin_Moxifloxacin","Amoxicillin","Moxifloxacin",2,46,46,72,59,1,"EcoliNet.v1.txt"
"Amoxicillin_Novobiocin","Amoxicillin","Novobiocin",2,50,50,75,62,1,"EcoliNet.v1.txt"
"Amoxicillin_Penicillin G","Amoxicillin","Penicillin G",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Amoxicillin_Piperacillin","Amoxicillin","Piperacillin",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Amoxicillin_Pseudomonic acid","Amoxicillin","Pseudomonic acid",2,66,66,123,94,0,"EcoliNet.v1.txt"
"Amoxicillin_Rifampicin","Amoxicillin","Rifampicin",2,61,61,98,80,0,"EcoliNet.v1.txt"
"Amoxicillin_Sulfamonomethoxine","Amoxicillin","Sulfamonomethoxine",2,52,52,74,63,1,"EcoliNet.v1.txt"
"Amoxicillin_Triclosan","Amoxicillin","Triclosan",2,59,59,86,72,0,"EcoliNet.v1.txt"
"Amoxicillin_Trimethoprim","Amoxicillin","Trimethoprim",2,56,56,82,69,0,"EcoliNet.v1.txt"
"Aztreonam_Cefaclor","Aztreonam","Cefaclor",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Aztreonam_Cefotaxime","Aztreonam","Cefotaxime",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Aztreonam_Cephalexin","Aztreonam","Cephalexin",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Aztreonam_Ciprofloxacin","Aztreonam","Ciprofloxacin",2,50,50,75,62,1,"EcoliNet.v1.txt"
"Aztreonam_Clindamycin","Aztreonam","Clindamycin",2,67,67,148,108,0,"EcoliNet.v1.txt"
"Aztreonam_Doxycycline","Aztreonam","Doxycycline",2,67,67,270,168,1,"EcoliNet.v1.txt"
"Aztreonam_Flucytosine","Aztreonam","Flucytosine",2,31,31,69,50,1,"EcoliNet.v1.txt"
"Aztreonam_Fosfomycin","Aztreonam","Fosfomycin",2,55,55,79,67,0,"EcoliNet.v1.txt"
"Aztreonam_Fusidic acid","Aztreonam","Fusidic acid",2,32,32,67,50,0,"EcoliNet.v1.txt"
"Aztreonam_Imipenem","Aztreonam","Imipenem",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Aztreonam_Levofloxacin","Aztreonam","Levofloxacin",2,46,46,72,59,1,"EcoliNet.v1.txt"
"Aztreonam_Mecillinam","Aztreonam","Mecillinam",2,50,50,75,63,1,"EcoliNet.v1.txt"
"Aztreonam_Meropenem","Aztreonam","Meropenem",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Aztreonam_Metformin","Aztreonam","Metformin",3,45,45,70,58,0,"EcoliNet.v1.txt"
"Aztreonam_Moxifloxacin","Aztreonam","Moxifloxacin",2,46,46,72,59,1,"EcoliNet.v1.txt"
"Aztreonam_Novobiocin","Aztreonam","Novobiocin",2,50,50,75,62,1,"EcoliNet.v1.txt"
"Aztreonam_Penicillin G","Aztreonam","Penicillin G",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Aztreonam_Piperacillin","Aztreonam","Piperacillin",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Aztreonam_Pseudomonic acid","Aztreonam","Pseudomonic acid",2,66,66,123,94,0,"EcoliNet.v1.txt"
"Aztreonam_Rifampicin","Aztreonam","Rifampicin",2,61,61,98,80,0,"EcoliNet.v1.txt"
"Aztreonam_Sulfamonomethoxine","Aztreonam","Sulfamonomethoxine",2,52,52,74,63,1,"EcoliNet.v1.txt"
"Aztreonam_Triclosan","Aztreonam","Triclosan",2,59,59,86,72,0,"EcoliNet.v1.txt"
"Aztreonam_Trimethoprim","Aztreonam","Trimethoprim",2,56,56,82,69,0,"EcoliNet.v1.txt"
"Cefaclor_Cefotaxime","Cefaclor","Cefotaxime",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Cefaclor_Cephalexin","Cefaclor","Cephalexin",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Cefaclor_Ciprofloxacin","Cefaclor","Ciprofloxacin",2,50,50,75,62,1,"EcoliNet.v1.txt"
"Cefaclor_Clindamycin","Cefaclor","Clindamycin",2,67,67,148,108,0,"EcoliNet.v1.txt"
"Cefaclor_Doxycycline","Cefaclor","Doxycycline",2,67,67,270,168,1,"EcoliNet.v1.txt"
"Cefaclor_Flucytosine","Cefaclor","Flucytosine",2,31,31,69,50,1,"EcoliNet.v1.txt"
"Cefaclor_Fosfomycin","Cefaclor","Fosfomycin",2,55,55,79,67,0,"EcoliNet.v1.txt"
"Cefaclor_Fusidic acid","Cefaclor","Fusidic acid",2,32,32,67,50,0,"EcoliNet.v1.txt"
"Cefaclor_Imipenem","Cefaclor","Imipenem",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Cefaclor_Levofloxacin","Cefaclor","Levofloxacin",2,46,46,72,59,1,"EcoliNet.v1.txt"
"Cefaclor_Mecillinam","Cefaclor","Mecillinam",2,50,50,75,63,1,"EcoliNet.v1.txt"
"Cefaclor_Meropenem","Cefaclor","Meropenem",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Cefaclor_Metformin","Cefaclor","Metformin",3,45,45,70,58,0,"EcoliNet.v1.txt"
"Cefaclor_Moxifloxacin","Cefaclor","Moxifloxacin",2,46,46,72,59,1,"EcoliNet.v1.txt"
"Cefaclor_Novobiocin","Cefaclor","Novobiocin",2,50,50,75,62,1,"EcoliNet.v1.txt"
"Cefaclor_Penicillin G","Cefaclor","Penicillin G",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Cefaclor_Piperacillin","Cefaclor","Piperacillin",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Cefaclor_Pseudomonic acid","Cefaclor","Pseudomonic acid",2,66,66,123,94,0,"EcoliNet.v1.txt"
"Cefaclor_Rifampicin","Cefaclor","Rifampicin",2,61,61,98,80,0,"EcoliNet.v1.txt"
"Cefaclor_Sulfamonomethoxine","Cefaclor","Sulfamonomethoxine",2,52,52,74,63,1,"EcoliNet.v1.txt"
"Cefaclor_Triclosan","Cefaclor","Triclosan",2,59,59,86,72,0,"EcoliNet.v1.txt"
"Cefaclor_Trimethoprim","Cefaclor","Trimethoprim",2,56,56,82,69,0,"EcoliNet.v1.txt"
"Cefotaxime_Cephalexin","Cefotaxime","Cephalexin",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Cefotaxime_Ciprofloxacin","Cefotaxime","Ciprofloxacin",2,50,50,75,62,1,"EcoliNet.v1.txt"
"Cefotaxime_Clindamycin","Cefotaxime","Clindamycin",2,67,67,148,108,0,"EcoliNet.v1.txt"
"Cefotaxime_Doxycycline","Cefotaxime","Doxycycline",2,67,67,270,168,1,"EcoliNet.v1.txt"
"Cefotaxime_Flucytosine","Cefotaxime","Flucytosine",2,31,31,69,50,1,"EcoliNet.v1.txt"
"Cefotaxime_Fosfomycin","Cefotaxime","Fosfomycin",2,55,55,79,67,0,"EcoliNet.v1.txt"
"Cefotaxime_Fusidic acid","Cefotaxime","Fusidic acid",2,32,32,67,50,0,"EcoliNet.v1.txt"
"Cefotaxime_Imipenem","Cefotaxime","Imipenem",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Cefotaxime_Levofloxacin","Cefotaxime","Levofloxacin",2,46,46,72,59,1,"EcoliNet.v1.txt"
"Cefotaxime_Mecillinam","Cefotaxime","Mecillinam",2,50,50,75,63,1,"EcoliNet.v1.txt"
"Cefotaxime_Meropenem","Cefotaxime","Meropenem",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Cefotaxime_Metformin","Cefotaxime","Metformin",3,45,45,70,58,0,"EcoliNet.v1.txt"
"Cefotaxime_Moxifloxacin","Cefotaxime","Moxifloxacin",2,46,46,72,59,1,"EcoliNet.v1.txt"
"Cefotaxime_Novobiocin","Cefotaxime","Novobiocin",2,50,50,75,62,1,"EcoliNet.v1.txt"
"Cefotaxime_Penicillin G","Cefotaxime","Penicillin G",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Cefotaxime_Piperacillin","Cefotaxime","Piperacillin",1,48,48,86,67,1,"EcoliNet.v1.txt"
"Cefotaxime_Pseudomonic acid","Cefotaxime","Pseudomonic acid",2,66,66,123,94,0,"EcoliNet.v1.txt"
"Cefotaxime_Rifampicin","Cefotaxime","Rifampicin",2,61,61,98,80,0,"EcoliNet.v1.txt"
