"network","drug_pair","Drug1.x","Drug2.x","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","Drug1.y","Drug2.y","code_3letter1","code_3letter2","drug_category1","drug_category2","targeted_cellular_process1","targeted_cellular_process2","use1","use2","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","drug_category","targeted_process","use","drugdrug","categorycategory","processprocess","useuse","clusters","sigma.rate","connection_groups","connection_onoff","drug_cat","targ","us","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g"
"Co-functional (EcoCyc)","Amoxicillin_Sulfamonomethoxine","Amoxicillin","Sulfamonomethoxine",Inf,0,3,15,9,"0","Amoxicillin","Sulfamonomethoxine","AMX","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",0.047994639,-0.046296549,-0.050586416,-0.089903089,-0.033508523,-0.034663075,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Amoxicillin-Sulfamonomethoxine","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",10,14.8089165294977,73,"disconnected",0,0,1,0,0,0,0,0,0,0
"Co-functional (EcoCyc)","Amoxicillin_Triclosan","Amoxicillin","Triclosan",Inf,0,14,15,14,"0","Amoxicillin","Triclosan","AMX","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective",-0.12002459,-0.112074375,0.053588973,-0.076335029,0.030824085,0.069918062,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Amoxicillin-Triclosan","beta-lactam-other membrane","cell wall-membrane","anti-infective-antibiotic",5,23.9590177410958,127,"disconnected",0,0,0,0,0,0,0,0,0,0
"Co-functional (EcoCyc)","Amoxicillin_Trimethoprim","Amoxicillin","Trimethoprim",Inf,0,14,15,14,"0","Amoxicillin","Trimethoprim","AMX","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",-0.168981691,0.092046379,0.115637791,0.093074035,-0.034292259,-0.025290124,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Amoxicillin-Trimethoprim","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",8,14.1060091754375,133,"disconnected",0,0,1,-1,0,0,0,0,0,-1
"Co-functional (EcoCyc)","Aztreonam_Cefaclor","Aztreonam","Cefaclor",1,15,15,15,15,"1","Aztreonam","Cefaclor","ATM","CEC","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.601241705,-0.540875146,-0.457219817,-0.371843254,-0.05145117,-0.05087855,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity","Same","Same","Same","Aztreonam-Cefaclor","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,-1,-1,-1,-1,0,0,-4
"Co-functional (EcoCyc)","Aztreonam_Cefotaxime","Aztreonam","Cefotaxime",1,15,15,15,15,"1","Aztreonam","Cefotaxime","ATM","CTX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.155475145,-0.336561517,-0.02620361,-0.115233669,-0.090936121,-0.072521974,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Aztreonam-Cefotaxime","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,0,-1,0,0,0,0,-1
"Co-functional (EcoCyc)","Aztreonam_Cephalexin","Aztreonam","Cephalexin",1,15,15,15,15,"1","Aztreonam","Cephalexin","ATM","LEX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.044439867,-0.055188978,0.046077656,0.032785285,0.108489495,0.040785989,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Aztreonam-Cephalexin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",9,8.23960952517264,74,"connected",1,1,1,0,0,0,0,0,0,0
"Co-functional (EcoCyc)","Aztreonam_Fosfomycin","Aztreonam","Fosfomycin",1,15,15,15,15,"1","Aztreonam","Fosfomycin","ATM","FOF","beta-lactam","other cell wall","cell wall","cell wall","antibiotic","antibiotic",-0.052882904,-0.092676942,-0.150926623,-0.128645707,-0.119662554,-0.109122998,"Additivity","Additivity","Synergy","Synergy","Synergy","Additivity","Different","Same","Same","Aztreonam-Fosfomycin","beta-lactam-other cell wall","cell wall-cell wall","antibiotic-antibiotic",3,12.4986996306863,97,"connected",0,1,1,0,0,-1,-1,-1,0,-3
"Co-functional (EcoCyc)","Aztreonam_Imipenem","Aztreonam","Imipenem",1,15,15,15,15,"1","Aztreonam","Imipenem","ATM","IPM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.055647727,-0.167274742,-0.06413935,-0.069942261,0.41449373,0.149609192,"Additivity","Additivity","Additivity","Additivity","Antagonism","Synergy","Same","Same","Same","Aztreonam-Imipenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",2,27.5495261973854,74,"connected",1,1,1,0,0,0,0,1,-1,0
"Co-functional (EcoCyc)","Aztreonam_Meropenem","Aztreonam","Meropenem",1,15,15,15,15,"1","Aztreonam","Meropenem","ATM","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.066902764,-0.114398819,-0.268912269,-0.148477209,0.053407092,-0.052100663,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Aztreonam-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,0,0,0,0,0,0,0
"Co-functional (EcoCyc)","Aztreonam_Metformin","Aztreonam","Metformin",Inf,0,6,15,10,"0","Aztreonam","Metformin","ATM","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug",0.149239892,0.114543068,0.200605876,0.285351041,-0.214797764,-0.672078815,"Additivity","Additivity","Antagonism","Antagonism","Additivity","Synergy","Different","Different","Different","Aztreonam-Metformin","beta-lactam-human drug","cell wall-human","antibiotic-human-targeted drug",1,4.4086202089129,115,"disconnected",0,0,0,0,0,1,1,0,-1,1
"Co-functional (EcoCyc)","Aztreonam_Penicillin G","Aztreonam","Penicillin G",1,15,15,15,15,"1","Aztreonam","Penicillin G","ATM","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.241961917,-0.249976928,-0.039743293,0.043806868,-0.071174783,-0.037717709,"Synergy","Synergy","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Aztreonam-Penicillin G","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,-1,-1,0,0,0,0,-2
"Co-functional (EcoCyc)","Aztreonam_Piperacillin","Aztreonam","Piperacillin",1,15,15,15,15,"1","Aztreonam","Piperacillin","ATM","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.053355493,-0.121160695,0.128948557,-0.33471982,-0.149094916,-0.264765758,"Additivity","Additivity","Additivity","Synergy","Additivity","Synergy","Same","Same","Same","Aztreonam-Piperacillin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,0,0,0,-1,0,-1,-2
"Co-functional (EcoCyc)","Aztreonam_Sulfamonomethoxine","Aztreonam","Sulfamonomethoxine",Inf,0,3,15,9,"0","Aztreonam","Sulfamonomethoxine","ATM","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",-0.132319334,-0.133433702,0.052662782,0.113159173,0.046057832,0.054357816,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Aztreonam-Sulfamonomethoxine","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",4,9.63701383103426,73,"disconnected",0,0,1,0,0,0,0,0,0,0
"Co-functional (EcoCyc)","Aztreonam_Triclosan","Aztreonam","Triclosan",Inf,0,14,15,14,"0","Aztreonam","Triclosan","ATM","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective",-0.044586976,0.028322768,-0.029074005,-0.070143999,-0.055022251,0.02135433,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Aztreonam-Triclosan","beta-lactam-other membrane","cell wall-membrane","anti-infective-antibiotic",11,10.0492531778525,127,"disconnected",0,0,0,0,0,0,0,0,0,0
"Co-functional (EcoCyc)","Aztreonam_Trimethoprim","Aztreonam","Trimethoprim",Inf,0,14,15,14,"0","Aztreonam","Trimethoprim","ATM","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",0.110201345,0.240060197,0.125510127,0.071394699,0.067658294,0.10073066,"Additivity","Antagonism","Antagonism","Additivity","Additivity","Additivity","Different","Different","Same","Aztreonam-Trimethoprim","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",2,27.5495261973854,133,"disconnected",0,0,1,0,1,1,0,0,0,2
"Co-functional (EcoCyc)","Cefaclor_Cefotaxime","Cefaclor","Cefotaxime",1,15,15,15,15,"1","Cefaclor","Cefotaxime","CEC","CTX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.091854508,-0.205169976,-0.209889693,-0.09547083,-0.062511121,-0.072831418,"Additivity","Synergy","Synergy","Additivity","Additivity","Additivity","Same","Same","Same","Cefaclor-Cefotaxime","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,0,-1,-1,0,0,0,-2
"Co-functional (EcoCyc)","Cefaclor_Cephalexin","Cefaclor","Cephalexin",1,15,15,15,15,"1","Cefaclor","Cephalexin","CEC","LEX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.066321953,-0.029873516,-0.097987431,-0.043807158,-0.04474955,0.021518299,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Cefaclor-Cephalexin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",10,14.8089165294977,74,"connected",1,1,1,0,0,0,0,0,0,0
"Co-functional (EcoCyc)","Cefaclor_Fosfomycin","Cefaclor","Fosfomycin",1,15,15,15,15,"1","Cefaclor","Fosfomycin","CEC","FOF","beta-lactam","other cell wall","cell wall","cell wall","antibiotic","antibiotic",0.187394668,-0.073616533,-0.039214735,-0.107407435,0.034616527,-0.055164853,"Additivity","Additivity","Additivity","Synergy","Additivity","Additivity","Different","Same","Same","Cefaclor-Fosfomycin","beta-lactam-other cell wall","cell wall-cell wall","antibiotic-antibiotic",10,14.8089165294977,97,"connected",0,1,1,0,0,0,-1,0,0,-1
"Co-functional (EcoCyc)","Cefaclor_Imipenem","Cefaclor","Imipenem",1,15,15,15,15,"1","Cefaclor","Imipenem","CEC","IPM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.134147079,-0.104391079,-0.331819959,-0.214308066,-0.078322077,-0.03735207,"Additivity","Additivity","Synergy","Synergy","Additivity","Additivity","Same","Same","Same","Cefaclor-Imipenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,0,0,-1,-1,0,0,-2
"Co-functional (EcoCyc)","Cefaclor_Meropenem","Cefaclor","Meropenem",1,15,15,15,15,"1","Cefaclor","Meropenem","CEC","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity","Same","Same","Same","Cefaclor-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,0,0,-1,0,0,0,-1
"Co-functional (EcoCyc)","Cefaclor_Metformin","Cefaclor","Metformin",Inf,0,6,15,10,"0","Cefaclor","Metformin","CEC","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug",0.135305245,0.061734082,0.646215292,0.462285284,0.033465329,-0.038916479,"Additivity","Additivity","Antagonism","Additivity","Additivity","Additivity","Different","Different","Different","Cefaclor-Metformin","beta-lactam-human drug","cell wall-human","antibiotic-human-targeted drug",2,27.5495261973854,115,"disconnected",0,0,0,0,0,1,0,0,0,1
"Co-functional (EcoCyc)","Cefaclor_Penicillin G","Cefaclor","Penicillin G",1,15,15,15,15,"1","Cefaclor","Penicillin G","CEC","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.098012324,-0.087860084,-0.242966446,-0.121944543,-0.107721391,-0.04253101,"Additivity","Additivity","Synergy","Synergy","Synergy","Additivity","Same","Same","Same","Cefaclor-Penicillin G","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,0,0,-1,-1,-1,0,-3
"Co-functional (EcoCyc)","Cefaclor_Piperacillin","Cefaclor","Piperacillin",1,15,15,15,15,"1","Cefaclor","Piperacillin","CEC","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.082078736,-0.080655113,-0.447316042,-0.27874853,0.05622461,-0.047710496,"Additivity","Additivity","Synergy","Synergy","Additivity","Additivity","Same","Same","Same","Cefaclor-Piperacillin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,0,0,-1,-1,0,0,-2
"Co-functional (EcoCyc)","Cefaclor_Sulfamonomethoxine","Cefaclor","Sulfamonomethoxine",Inf,0,3,15,9,"0","Cefaclor","Sulfamonomethoxine","CEC","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",0.05053934,-0.071268486,0.068651423,0.01373386,0.043668347,-0.030850626,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Cefaclor-Sulfamonomethoxine","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",9,8.23960952517264,73,"disconnected",0,0,1,0,0,0,0,0,0,0
"Co-functional (EcoCyc)","Cefaclor_Triclosan","Cefaclor","Triclosan",Inf,0,14,15,14,"0","Cefaclor","Triclosan","CEC","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective",-0.078457379,-0.069077505,-0.050593308,-0.079213638,0.033967277,0.031549418,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Cefaclor-Triclosan","beta-lactam-other membrane","cell wall-membrane","anti-infective-antibiotic",3,12.4986996306863,127,"disconnected",0,0,0,0,0,0,0,0,0,0
"Co-functional (EcoCyc)","Cefaclor_Trimethoprim","Cefaclor","Trimethoprim",Inf,0,14,15,14,"0","Cefaclor","Trimethoprim","CEC","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",-0.06542865,-0.137457937,0.102337273,0.053545253,0.041841562,-0.026783428,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Cefaclor-Trimethoprim","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",4,9.63701383103426,133,"disconnected",0,0,1,0,-1,0,0,0,0,-1
"Co-functional (EcoCyc)","Cefotaxime_Cephalexin","Cefotaxime","Cephalexin",1,15,15,15,15,"1","Cefotaxime","Cephalexin","CTX","LEX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.054826246,0.02185658,-0.042966698,-0.042389718,0.10837719,0.036680225,"Additivity","Additivity","Additivity","Additivity","Antagonism","Additivity","Same","Same","Same","Cefotaxime-Cephalexin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",7,5.25611159023577,74,"connected",1,1,1,0,0,0,0,1,0,1
"Co-functional (EcoCyc)","Cefotaxime_Fosfomycin","Cefotaxime","Fosfomycin",1,15,15,15,15,"1","Cefotaxime","Fosfomycin","CTX","FOF","beta-lactam","other cell wall","cell wall","cell wall","antibiotic","antibiotic",-0.086770752,-0.156152589,-0.082016559,-0.071541959,-0.131966127,-0.098164736,"Additivity","Synergy","Additivity","Additivity","Synergy","Additivity","Different","Same","Same","Cefotaxime-Fosfomycin","beta-lactam-other cell wall","cell wall-cell wall","antibiotic-antibiotic",3,12.4986996306863,97,"connected",0,1,1,0,-1,0,0,-1,0,-2
"Co-functional (EcoCyc)","Cefotaxime_Imipenem","Cefotaxime","Imipenem",1,15,15,15,15,"1","Cefotaxime","Imipenem","CTX","IPM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.120425148,-0.162247698,-0.126510675,-0.061924199,0.303466247,-0.067377466,"Additivity","Synergy","Additivity","Additivity","Antagonism","Additivity","Same","Same","Same","Cefotaxime-Imipenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",4,9.63701383103426,74,"connected",1,1,1,0,-1,0,0,1,0,0
"Co-functional (EcoCyc)","Cefotaxime_Meropenem","Cefotaxime","Meropenem",1,15,15,15,15,"1","Cefotaxime","Meropenem","CTX","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.192565341,-0.199999654,-0.306513719,-0.14933459,0.114267695,-0.04690954,"Synergy","Additivity","Synergy","Additivity","Additivity","Additivity","Same","Same","Same","Cefotaxime-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,-1,0,-1,0,0,0,-2
"Co-functional (EcoCyc)","Cefotaxime_Metformin","Cefotaxime","Metformin",Inf,0,6,15,10,"0","Cefotaxime","Metformin","CTX","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug",0.061928895,0.059585194,0.022727554,0.044265484,-0.427084321,-0.482831252,"Additivity","Additivity","Additivity","Additivity","Synergy","Synergy","Different","Different","Different","Cefotaxime-Metformin","beta-lactam-human drug","cell wall-human","antibiotic-human-targeted drug",5,23.9590177410958,115,"disconnected",0,0,0,0,0,0,0,-1,-1,-2
"Co-functional (EcoCyc)","Cefotaxime_Penicillin G","Cefotaxime","Penicillin G",1,15,15,15,15,"1","Cefotaxime","Penicillin G","CTX","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.067795694,-0.164980844,0.02828608,0.028225663,0.091319742,-0.050502179,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Cefotaxime-Penicillin G","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",4,9.63701383103426,74,"connected",1,1,1,0,-1,0,0,0,0,-1
"Co-functional (EcoCyc)","Cefotaxime_Piperacillin","Cefotaxime","Piperacillin",1,15,15,15,15,"1","Cefotaxime","Piperacillin","CTX","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.090653088,-0.267073127,-0.081659516,-0.04859844,-0.16672254,-0.085564501,"Additivity","Synergy","Additivity","Additivity","Synergy","Additivity","Same","Same","Same","Cefotaxime-Piperacillin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,0,-1,0,0,-1,0,-2
"Co-functional (EcoCyc)","Cefotaxime_Sulfamonomethoxine","Cefotaxime","Sulfamonomethoxine",Inf,0,3,15,9,"0","Cefotaxime","Sulfamonomethoxine","CTX","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",-0.071951825,-0.052973081,-0.052526964,-0.049677216,0.065533748,0.033805804,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Cefotaxime-Sulfamonomethoxine","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",3,12.4986996306863,73,"disconnected",0,0,1,0,0,0,0,0,0,0
"Co-functional (EcoCyc)","Cefotaxime_Triclosan","Cefotaxime","Triclosan",Inf,0,14,15,14,"0","Cefotaxime","Triclosan","CTX","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective",-0.087181683,-0.072882976,-0.039725987,-0.079975382,-0.166500629,-0.022675099,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Cefotaxime-Triclosan","beta-lactam-other membrane","cell wall-membrane","anti-infective-antibiotic",3,12.4986996306863,127,"disconnected",0,0,0,0,0,0,0,0,0,0
"Co-functional (EcoCyc)","Cefotaxime_Trimethoprim","Cefotaxime","Trimethoprim",Inf,0,14,15,14,"0","Cefotaxime","Trimethoprim","CTX","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",0.132932792,0.082081466,-0.048415086,0.082274937,0.039053724,0.049758576,"Antagonism","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Cefotaxime-Trimethoprim","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",6,18.3669029182221,133,"disconnected",0,0,1,1,0,0,0,0,0,1
