"drugdrug","drug_pair","clusters"
"Cefsulodin-Reserpine","Cefsulodin_Reserpine",10
"Cefsulodin-Procaine","Cefsulodin_Procaine",1
"Cefsulodin-Theophylline","Cefsulodin_Theophylline",10
"Cefsulodin-Loperamide","Cefsulodin_Loperamide",5
"Cefsulodin-Verapamil","Cefsulodin_Verapamil",2
"Cefsulodin-Meropenem","Cefsulodin_Meropenem",13
"Cefsulodin-Colistin","Cefsulodin_Colistin",6
"Cefsulodin-CHIR-90","Cefsulodin_CHIR-90",3
"Cefsulodin-Triclosan","Cefsulodin_Triclosan",3
"Cefsulodin-Gentamicin","Cefsulodin_Gentamicin",12
"Azithromycin-Cefsulodin","Cefsulodin_Azithromycin",2
"Cefsulodin-Curcumin","Cefsulodin_Curcumin",12
"Berberine-Cefsulodin","Cefsulodin_Berberine",2
"Cefsulodin-Metformin","Cefsulodin_Metformin",11
"Cefsulodin-Phenformin","Cefsulodin_Phenformin",6
"Cefsulodin-Streptozotocin","Cefsulodin_Streptozotocin",3
"Cefsulodin-Diclofenac","Cefsulodin_Diclofenac",12
"Acetylsalisylic acid-Cefsulodin","Cefsulodin_Acetylsalisylic acid",2
"Cefsulodin-Ciclopirox","Cefsulodin_Ciclopirox",3
"Cefsulodin-Moxifloxacin","Cefsulodin_Moxifloxacin",5
"Cefsulodin-Phleomycin","Cefsulodin_Phleomycin",3
"Penicillin G-Piperacillin","Piperacillin_Penicillin G",5
"Imipenem-Piperacillin","Piperacillin_Imipenem",2
"Mecillinam-Piperacillin","Piperacillin_Mecillinam",13
"Aztreonam-Piperacillin","Piperacillin_Aztreonam",13
"Cephalexin-Piperacillin","Piperacillin_Cephalexin",7
"A22-Piperacillin","Piperacillin_A22",13
"Piperacillin-Teicoplanin","Piperacillin_Teicoplanin",8
"Metronidazole-Piperacillin","Piperacillin_Metronidazole",4
"Clofazimine-Piperacillin","Piperacillin_Clofazimine",9
"Doxorubicin-Piperacillin","Piperacillin_Doxorubicin",4
"Mitomycin C-Piperacillin","Piperacillin_Mitomycin C",2
"Piperacillin-Rifampicin","Piperacillin_Rifampicin",4
"Nitrofurantoin-Piperacillin","Piperacillin_Nitrofurantoin",4
"Bleomycin-Piperacillin","Piperacillin_Bleomycin",2
"Chlorhexidine-Piperacillin","Piperacillin_Chlorhexidine",2
"EGCG-Piperacillin","Piperacillin_EGCG",4
"Cerulenin-Piperacillin","Piperacillin_Cerulenin",1
"Nisin-Piperacillin","Piperacillin_Nisin",4
"Daptomycin-Piperacillin","Piperacillin_Daptomycin",9
"CCCP-Piperacillin","Piperacillin_CCCP",10
"Nonactin-Piperacillin","Piperacillin_Nonactin",9
"Piperacillin-Puromycin","Piperacillin_Puromycin",4
"Linezolid-Piperacillin","Piperacillin_Linezolid",9
"Minocycline-Piperacillin","Piperacillin_Minocycline",8
"Piperacillin-Tigecycline","Piperacillin_Tigecycline",4
"Piperacillin-Tobramycin","Piperacillin_Tobramycin",13
"Clarithromycin-Piperacillin","Piperacillin_Clarithromycin",1
"Caffeine-Piperacillin","Piperacillin_Caffeine",6
"Piperacillin-Reserpine","Piperacillin_Reserpine",6
"Piperacillin-Theophylline","Piperacillin_Theophylline",4
"Loperamide-Piperacillin","Piperacillin_Loperamide",8
"Meropenem-Piperacillin","Piperacillin_Meropenem",13
"Colistin-Piperacillin","Piperacillin_Colistin",3
"CHIR-90-Piperacillin","Piperacillin_CHIR-90",13
"Piperacillin-Triclosan","Piperacillin_Triclosan",3
"Gentamicin-Piperacillin","Piperacillin_Gentamicin",4
"Azithromycin-Piperacillin","Piperacillin_Azithromycin",2
"Curcumin-Piperacillin","Piperacillin_Curcumin",12
"Berberine-Piperacillin","Piperacillin_Berberine",2
"Metformin-Piperacillin","Piperacillin_Metformin",13
"Phenformin-Piperacillin","Piperacillin_Phenformin",10
"Piperacillin-Streptozotocin","Piperacillin_Streptozotocin",3
"Diclofenac-Piperacillin","Piperacillin_Diclofenac",7
"Acetylsalisylic acid-Piperacillin","Piperacillin_Acetylsalisylic acid",11
"Ciclopirox-Piperacillin","Piperacillin_Ciclopirox",3
"Moxifloxacin-Piperacillin","Piperacillin_Moxifloxacin",8
"Phleomycin-Piperacillin","Piperacillin_Phleomycin",12
"Imipenem-Penicillin G","Penicillin G_Imipenem",10
"Clofazimine-Penicillin G","Penicillin G_Clofazimine",1
"Doxorubicin-Penicillin G","Penicillin G_Doxorubicin",1
"Mitomycin C-Penicillin G","Penicillin G_Mitomycin C",1
"Bleomycin-Penicillin G","Penicillin G_Bleomycin",1
"Cerulenin-Penicillin G","Penicillin G_Cerulenin",1
"Daptomycin-Penicillin G","Penicillin G_Daptomycin",1
"Nonactin-Penicillin G","Penicillin G_Nonactin",1
"Penicillin G-Puromycin","Penicillin G_Puromycin",1
"Linezolid-Penicillin G","Penicillin G_Linezolid",1
"Penicillin G-Tigecycline","Penicillin G_Tigecycline",8
"Clarithromycin-Penicillin G","Penicillin G_Clarithromycin",4
"Caffeine-Penicillin G","Penicillin G_Caffeine",5
"Penicillin G-Reserpine","Penicillin G_Reserpine",6
"Penicillin G-Theophylline","Penicillin G_Theophylline",4
"Meropenem-Penicillin G","Penicillin G_Meropenem",13
"Colistin-Penicillin G","Penicillin G_Colistin",4
"CHIR-90-Penicillin G","Penicillin G_CHIR-90",13
"Penicillin G-Triclosan","Penicillin G_Triclosan",3
"Gentamicin-Penicillin G","Penicillin G_Gentamicin",8
"Azithromycin-Penicillin G","Penicillin G_Azithromycin",4
"Curcumin-Penicillin G","Penicillin G_Curcumin",8
"Berberine-Penicillin G","Penicillin G_Berberine",1
"Metformin-Penicillin G","Penicillin G_Metformin",2
"Penicillin G-Phenformin","Penicillin G_Phenformin",10
"Penicillin G-Streptozotocin","Penicillin G_Streptozotocin",10
"Diclofenac-Penicillin G","Penicillin G_Diclofenac",7
"Acetylsalisylic acid-Penicillin G","Penicillin G_Acetylsalisylic acid",11
"Ciclopirox-Penicillin G","Penicillin G_Ciclopirox",3
"Moxifloxacin-Penicillin G","Penicillin G_Moxifloxacin",1
"Penicillin G-Phleomycin","Penicillin G_Phleomycin",4
"Doxorubicin-Imipenem","Imipenem_Doxorubicin",4
"Imipenem-Mitomycin C","Imipenem_Mitomycin C",8
"Bleomycin-Imipenem","Imipenem_Bleomycin",4
"Cerulenin-Imipenem","Imipenem_Cerulenin",3
"Daptomycin-Imipenem","Imipenem_Daptomycin",12
"Imipenem-Linezolid","Imipenem_Linezolid",2
"Imipenem-Tigecycline","Imipenem_Tigecycline",4
"Imipenem-Meropenem","Imipenem_Meropenem",13
"Colistin-Imipenem","Imipenem_Colistin",2
"CHIR-90-Imipenem","Imipenem_CHIR-90",4
"Imipenem-Triclosan","Imipenem_Triclosan",3
"Gentamicin-Imipenem","Imipenem_Gentamicin",12
"Azithromycin-Imipenem","Imipenem_Azithromycin",5
"Curcumin-Imipenem","Imipenem_Curcumin",10
"Berberine-Imipenem","Imipenem_Berberine",1
"Imipenem-Metformin","Imipenem_Metformin",1
"Imipenem-Phenformin","Imipenem_Phenformin",3
"Imipenem-Streptozotocin","Imipenem_Streptozotocin",2
"Diclofenac-Imipenem","Imipenem_Diclofenac",12
"Acetylsalisylic acid-Imipenem","Imipenem_Acetylsalisylic acid",11
"Ciclopirox-Imipenem","Imipenem_Ciclopirox",5
"Imipenem-Moxifloxacin","Imipenem_Moxifloxacin",2
"Imipenem-Phleomycin","Imipenem_Phleomycin",11
"Mecillinam-Penicillin G","Mecillinam_Penicillin G",13
"Imipenem-Mecillinam","Mecillinam_Imipenem",3
"Aztreonam-Mecillinam","Mecillinam_Aztreonam",13
"A22-Mecillinam","Mecillinam_A22",5
"Mecillinam-Teicoplanin","Mecillinam_Teicoplanin",2
"Mecillinam-Metronidazole","Mecillinam_Metronidazole",5
"Clofazimine-Mecillinam","Mecillinam_Clofazimine",2
"Doxorubicin-Mecillinam","Mecillinam_Doxorubicin",4
"Mecillinam-Mitomycin C","Mecillinam_Mitomycin C",8
"Mecillinam-Rifampicin","Mecillinam_Rifampicin",2
"Bleomycin-Mecillinam","Mecillinam_Bleomycin",3
"Chlorhexidine-Mecillinam","Mecillinam_Chlorhexidine",2
"EGCG-Mecillinam","Mecillinam_EGCG",12
"Cerulenin-Mecillinam","Mecillinam_Cerulenin",5
"Mecillinam-Nisin","Mecillinam_Nisin",4
"Daptomycin-Mecillinam","Mecillinam_Daptomycin",8
"Mecillinam-Nonactin","Mecillinam_Nonactin",12
"Mecillinam-Puromycin","Mecillinam_Puromycin",2
"Linezolid-Mecillinam","Mecillinam_Linezolid",8
"Mecillinam-Minocycline","Mecillinam_Minocycline",2
"Mecillinam-Tigecycline","Mecillinam_Tigecycline",8
"Mecillinam-Tobramycin","Mecillinam_Tobramycin",1
