"value","Drug1","Drug2"
6,"Cefaclor","Moxifloxacin"
6,"Cefaclor","Novobiocin"
6,"Cefotaxime","Ciprofloxacin"
6,"Cefotaxime","Levofloxacin"
6,"Cefotaxime","Metformin"
6,"Cefotaxime","Moxifloxacin"
6,"Cefotaxime","Novobiocin"
6,"Cephalexin","Ciprofloxacin"
6,"Cephalexin","Levofloxacin"
6,"Cephalexin","Metformin"
6,"Cephalexin","Moxifloxacin"
6,"Cephalexin","Novobiocin"
6,"Doxycycline","Metformin"
6,"Ciprofloxacin","Imipenem"
6,"Imipenem","Levofloxacin"
6,"Imipenem","Metformin"
6,"Imipenem","Moxifloxacin"
6,"Imipenem","Novobiocin"
6,"Levofloxacin","Metformin"
6,"Ciprofloxacin","Meropenem"
6,"Levofloxacin","Meropenem"
6,"Meropenem","Metformin"
6,"Meropenem","Moxifloxacin"
6,"Meropenem","Novobiocin"
6,"Metformin","Moxifloxacin"
6,"Ciprofloxacin","Penicillin G"
6,"Levofloxacin","Penicillin G"
6,"Metformin","Penicillin G"
6,"Moxifloxacin","Penicillin G"
6,"Novobiocin","Penicillin G"
6,"Ciprofloxacin","Piperacillin"
6,"Levofloxacin","Piperacillin"
6,"Metformin","Piperacillin"
6,"Moxifloxacin","Piperacillin"
6,"Novobiocin","Piperacillin"
6,"Metformin","Rifampicin"
6,"Ciprofloxacin","Triclosan"
6,"Levofloxacin","Triclosan"
6,"Moxifloxacin","Triclosan"
6,"Novobiocin","Triclosan"
