"value","Drug1","Drug2"
1,"Rifampicin","Triclosan"
1,"Ciprofloxacin","Triclosan"
1,"Levofloxacin","Triclosan"
1,"Metformin","Triclosan"
1,"Moxifloxacin","Triclosan"
1,"Novobiocin","Triclosan"
2,"Amoxicillin","Aztreonam"
2,"Amoxicillin","Cefaclor"
2,"Amoxicillin","Cefotaxime"
2,"Amoxicillin","Cephalexin"
2,"Amoxicillin","Ciprofloxacin"
2,"Amoxicillin","Clindamycin"
2,"Amoxicillin","Imipenem"
2,"Amoxicillin","Levofloxacin"
2,"Amoxicillin","Meropenem"
2,"Amoxicillin","Moxifloxacin"
2,"Amoxicillin","Novobiocin"
2,"Amoxicillin","Penicillin G"
2,"Amoxicillin","Piperacillin"
2,"Amoxicillin","Rifampicin"
2,"Amoxicillin","Aztreonam"
2,"Aztreonam","Cefaclor"
2,"Aztreonam","Cefotaxime"
2,"Aztreonam","Cephalexin"
2,"Aztreonam","Ciprofloxacin"
2,"Aztreonam","Clindamycin"
2,"Aztreonam","Imipenem"
2,"Aztreonam","Levofloxacin"
2,"Aztreonam","Meropenem"
2,"Aztreonam","Moxifloxacin"
2,"Aztreonam","Novobiocin"
2,"Aztreonam","Penicillin G"
2,"Aztreonam","Piperacillin"
2,"Aztreonam","Rifampicin"
2,"Amoxicillin","Cefaclor"
2,"Aztreonam","Cefaclor"
2,"Cefaclor","Cefotaxime"
2,"Cefaclor","Cephalexin"
2,"Cefaclor","Ciprofloxacin"
2,"Cefaclor","Clindamycin"
2,"Cefaclor","Imipenem"
2,"Cefaclor","Levofloxacin"
2,"Cefaclor","Meropenem"
2,"Cefaclor","Moxifloxacin"
2,"Cefaclor","Novobiocin"
2,"Cefaclor","Penicillin G"
2,"Cefaclor","Piperacillin"
2,"Cefaclor","Rifampicin"
2,"Amoxicillin","Cefotaxime"
2,"Aztreonam","Cefotaxime"
2,"Cefaclor","Cefotaxime"
2,"Cefotaxime","Cephalexin"
2,"Cefotaxime","Ciprofloxacin"
2,"Cefotaxime","Clindamycin"
2,"Cefotaxime","Imipenem"
2,"Cefotaxime","Levofloxacin"
2,"Cefotaxime","Meropenem"
2,"Cefotaxime","Moxifloxacin"
2,"Cefotaxime","Novobiocin"
2,"Cefotaxime","Penicillin G"
2,"Cefotaxime","Piperacillin"
2,"Cefotaxime","Rifampicin"
2,"Amoxicillin","Cephalexin"
2,"Aztreonam","Cephalexin"
2,"Cefaclor","Cephalexin"
2,"Cefotaxime","Cephalexin"
2,"Cephalexin","Ciprofloxacin"
2,"Cephalexin","Clindamycin"
2,"Cephalexin","Imipenem"
2,"Cephalexin","Levofloxacin"
2,"Cephalexin","Meropenem"
2,"Cephalexin","Moxifloxacin"
2,"Cephalexin","Novobiocin"
2,"Cephalexin","Penicillin G"
2,"Cephalexin","Piperacillin"
2,"Cephalexin","Rifampicin"
2,"Amoxicillin","Clindamycin"
2,"Aztreonam","Clindamycin"
2,"Cefaclor","Clindamycin"
2,"Cefotaxime","Clindamycin"
2,"Cephalexin","Clindamycin"
2,"Ciprofloxacin","Clindamycin"
2,"Clindamycin","Doxycycline"
2,"Clindamycin","Imipenem"
2,"Clindamycin","Meropenem"
2,"Clindamycin","Novobiocin"
2,"Clindamycin","Penicillin G"
2,"Clindamycin","Piperacillin"
2,"Clindamycin","Rifampicin"
2,"Doxycycline","Rifampicin"
2,"Amoxicillin","Imipenem"
2,"Aztreonam","Imipenem"
2,"Cefaclor","Imipenem"
2,"Cefotaxime","Imipenem"
2,"Cephalexin","Imipenem"
2,"Ciprofloxacin","Imipenem"
2,"Clindamycin","Imipenem"
2,"Imipenem","Levofloxacin"
2,"Imipenem","Meropenem"
2,"Imipenem","Moxifloxacin"
2,"Imipenem","Novobiocin"
2,"Imipenem","Penicillin G"
2,"Imipenem","Piperacillin"
2,"Imipenem","Rifampicin"
2,"Amoxicillin","Meropenem"
2,"Aztreonam","Meropenem"
2,"Cefaclor","Meropenem"
2,"Cefotaxime","Meropenem"
2,"Cephalexin","Meropenem"
2,"Ciprofloxacin","Meropenem"
2,"Clindamycin","Meropenem"
2,"Imipenem","Meropenem"
2,"Levofloxacin","Meropenem"
2,"Meropenem","Moxifloxacin"
2,"Meropenem","Novobiocin"
2,"Meropenem","Penicillin G"
2,"Meropenem","Piperacillin"
2,"Meropenem","Rifampicin"
2,"Amoxicillin","Penicillin G"
2,"Aztreonam","Penicillin G"
2,"Cefaclor","Penicillin G"
2,"Cefotaxime","Penicillin G"
2,"Cephalexin","Penicillin G"
2,"Ciprofloxacin","Penicillin G"
2,"Clindamycin","Penicillin G"
2,"Imipenem","Penicillin G"
2,"Levofloxacin","Penicillin G"
2,"Meropenem","Penicillin G"
2,"Moxifloxacin","Penicillin G"
2,"Novobiocin","Penicillin G"
2,"Penicillin G","Piperacillin"
2,"Penicillin G","Rifampicin"
2,"Amoxicillin","Piperacillin"
2,"Aztreonam","Piperacillin"
2,"Cefaclor","Piperacillin"
2,"Cefotaxime","Piperacillin"
2,"Cephalexin","Piperacillin"
2,"Ciprofloxacin","Piperacillin"
2,"Clindamycin","Piperacillin"
2,"Imipenem","Piperacillin"
2,"Levofloxacin","Piperacillin"
2,"Meropenem","Piperacillin"
2,"Moxifloxacin","Piperacillin"
2,"Novobiocin","Piperacillin"
2,"Penicillin G","Piperacillin"
2,"Piperacillin","Rifampicin"
2,"Amoxicillin","Rifampicin"
2,"Aztreonam","Rifampicin"
2,"Cefaclor","Rifampicin"
2,"Cefotaxime","Rifampicin"
2,"Cephalexin","Rifampicin"
2,"Ciprofloxacin","Rifampicin"
2,"Imipenem","Rifampicin"
2,"Levofloxacin","Rifampicin"
2,"Meropenem","Rifampicin"
2,"Moxifloxacin","Rifampicin"
2,"Novobiocin","Rifampicin"
2,"Penicillin G","Rifampicin"
2,"Piperacillin","Rifampicin"
