"value","Drug1","Drug2"
3,"Amoxicillin","Cefotaxime"
3,"Amoxicillin","Cephalexin"
3,"Amoxicillin","Flucytosine"
3,"Amoxicillin","Fosfomycin"
3,"Amoxicillin","Imipenem"
3,"Amoxicillin","Levofloxacin"
3,"Amoxicillin","Meropenem"
3,"Amoxicillin","Metformin"
3,"Amoxicillin","Moxifloxacin"
3,"Amoxicillin","Penicillin G"
3,"Amoxicillin","Piperacillin"
3,"Amoxicillin","Triclosan"
3,"Amoxicillin","Trimethoprim"
3,"Amoxicillin","Aztreonam"
3,"Aztreonam","Cefaclor"
3,"Aztreonam","Cefotaxime"
3,"Aztreonam","Cephalexin"
3,"Aztreonam","Flucytosine"
3,"Aztreonam","Fosfomycin"
3,"Aztreonam","Imipenem"
3,"Aztreonam","Levofloxacin"
3,"Aztreonam","Meropenem"
3,"Aztreonam","Metformin"
3,"Aztreonam","Moxifloxacin"
3,"Aztreonam","Penicillin G"
3,"Aztreonam","Piperacillin"
3,"Aztreonam","Triclosan"
3,"Aztreonam","Trimethoprim"
3,"Amoxicillin","Cefaclor"
3,"Aztreonam","Cefaclor"
3,"Cefaclor","Cefotaxime"
3,"Cefaclor","Cephalexin"
3,"Cefaclor","Flucytosine"
3,"Cefaclor","Fosfomycin"
3,"Cefaclor","Imipenem"
3,"Cefaclor","Levofloxacin"
3,"Cefaclor","Meropenem"
3,"Cefaclor","Metformin"
3,"Cefaclor","Moxifloxacin"
3,"Cefaclor","Penicillin G"
3,"Cefaclor","Piperacillin"
3,"Cefaclor","Triclosan"
3,"Cefaclor","Trimethoprim"
3,"Amoxicillin","Cefotaxime"
3,"Aztreonam","Cefotaxime"
3,"Cefaclor","Cefotaxime"
3,"Cefotaxime","Cephalexin"
3,"Cefotaxime","Flucytosine"
3,"Cefotaxime","Fosfomycin"
3,"Cefotaxime","Imipenem"
3,"Cefotaxime","Levofloxacin"
3,"Cefotaxime","Meropenem"
3,"Cefotaxime","Metformin"
3,"Cefotaxime","Moxifloxacin"
3,"Cefotaxime","Penicillin G"
3,"Cefotaxime","Piperacillin"
3,"Cefotaxime","Triclosan"
3,"Cefotaxime","Trimethoprim"
3,"Amoxicillin","Cephalexin"
3,"Aztreonam","Cephalexin"
3,"Cefaclor","Cephalexin"
3,"Cefotaxime","Cephalexin"
3,"Cephalexin","Flucytosine"
3,"Cephalexin","Fosfomycin"
3,"Cephalexin","Imipenem"
3,"Cephalexin","Levofloxacin"
3,"Cephalexin","Meropenem"
3,"Cephalexin","Metformin"
3,"Cephalexin","Moxifloxacin"
3,"Cephalexin","Penicillin G"
3,"Cephalexin","Piperacillin"
3,"Cephalexin","Triclosan"
3,"Cephalexin","Trimethoprim"
3,"Clindamycin","Metformin"
3,"Clindamycin","Triclosan"
3,"Doxycycline","Metformin"
3,"Doxycycline","Triclosan"
3,"Doxycycline","Trimethoprim"
3,"Flucytosine","Metformin"
3,"Flucytosine","Rifampicin"
3,"Flucytosine","Trimethoprim"
3,"Amoxicillin","Fosfomycin"
3,"Aztreonam","Fosfomycin"
3,"Cefaclor","Fosfomycin"
3,"Cefotaxime","Fosfomycin"
3,"Cephalexin","Fosfomycin"
3,"Ciprofloxacin","Fosfomycin"
3,"Clindamycin","Fosfomycin"
3,"Flucytosine","Fosfomycin"
3,"Fosfomycin","Imipenem"
3,"Fosfomycin","Levofloxacin"
3,"Fosfomycin","Meropenem"
3,"Fosfomycin","Moxifloxacin"
3,"Fosfomycin","Novobiocin"
3,"Fosfomycin","Penicillin G"
3,"Fosfomycin","Piperacillin"
3,"Fosfomycin","Trimethoprim"
3,"Amoxicillin","Imipenem"
3,"Aztreonam","Imipenem"
3,"Cefaclor","Imipenem"
3,"Cefotaxime","Imipenem"
3,"Cephalexin","Imipenem"
3,"Flucytosine","Imipenem"
3,"Fosfomycin","Imipenem"
3,"Imipenem","Levofloxacin"
3,"Imipenem","Meropenem"
3,"Imipenem","Metformin"
3,"Imipenem","Moxifloxacin"
3,"Imipenem","Penicillin G"
3,"Imipenem","Piperacillin"
3,"Imipenem","Triclosan"
3,"Imipenem","Trimethoprim"
3,"Amoxicillin","Meropenem"
3,"Aztreonam","Meropenem"
3,"Cefaclor","Meropenem"
3,"Cefotaxime","Meropenem"
3,"Cephalexin","Meropenem"
3,"Flucytosine","Meropenem"
3,"Fosfomycin","Meropenem"
3,"Imipenem","Meropenem"
3,"Levofloxacin","Meropenem"
3,"Meropenem","Metformin"
3,"Meropenem","Moxifloxacin"
3,"Meropenem","Penicillin G"
3,"Meropenem","Piperacillin"
3,"Meropenem","Triclosan"
3,"Meropenem","Trimethoprim"
3,"Amoxicillin","Penicillin G"
3,"Aztreonam","Penicillin G"
3,"Cefaclor","Penicillin G"
3,"Cefotaxime","Penicillin G"
3,"Cephalexin","Penicillin G"
3,"Flucytosine","Penicillin G"
3,"Fosfomycin","Penicillin G"
3,"Imipenem","Penicillin G"
3,"Levofloxacin","Penicillin G"
3,"Meropenem","Penicillin G"
3,"Metformin","Penicillin G"
3,"Moxifloxacin","Penicillin G"
3,"Penicillin G","Piperacillin"
3,"Penicillin G","Triclosan"
3,"Penicillin G","Trimethoprim"
3,"Amoxicillin","Piperacillin"
3,"Aztreonam","Piperacillin"
3,"Cefaclor","Piperacillin"
3,"Cefotaxime","Piperacillin"
3,"Cephalexin","Piperacillin"
3,"Flucytosine","Piperacillin"
3,"Fosfomycin","Piperacillin"
3,"Imipenem","Piperacillin"
3,"Levofloxacin","Piperacillin"
3,"Meropenem","Piperacillin"
3,"Metformin","Piperacillin"
3,"Moxifloxacin","Piperacillin"
3,"Penicillin G","Piperacillin"
3,"Piperacillin","Triclosan"
3,"Piperacillin","Trimethoprim"
3,"Amoxicillin","Pseudomonic acid"
3,"Aztreonam","Pseudomonic acid"
3,"Cefaclor","Pseudomonic acid"
3,"Cefotaxime","Pseudomonic acid"
3,"Cephalexin","Pseudomonic acid"
3,"Fosfomycin","Pseudomonic acid"
3,"Imipenem","Pseudomonic acid"
3,"Meropenem","Pseudomonic acid"
3,"Metformin","Pseudomonic acid"
3,"Penicillin G","Pseudomonic acid"
3,"Piperacillin","Pseudomonic acid"
3,"Metformin","Rifampicin"
3,"Rifampicin","Triclosan"
3,"Rifampicin","Trimethoprim"
3,"Ciprofloxacin","Triclosan"
3,"Levofloxacin","Triclosan"
3,"Metformin","Triclosan"
3,"Moxifloxacin","Triclosan"
3,"Novobiocin","Triclosan"
3,"Metformin","Trimethoprim"
3,"Triclosan","Trimethoprim"
4,"Amoxicillin","Flucytosine"
4,"Aztreonam","Flucytosine"
4,"Cefaclor","Flucytosine"
4,"Cefotaxime","Flucytosine"
4,"Cephalexin","Flucytosine"
4,"Flucytosine","Imipenem"
4,"Flucytosine","Meropenem"
4,"Flucytosine","Penicillin G"
4,"Flucytosine","Piperacillin"
4,"Flucytosine","Triclosan"
4,"Fosfomycin","Metformin"
4,"Ciprofloxacin","Metformin"
4,"Levofloxacin","Metformin"
4,"Metformin","Moxifloxacin"
4,"Metformin","Novobiocin"
4,"Metformin","Triclosan"
4,"Flucytosine","Pseudomonic acid"
4,"Pseudomonic acid","Triclosan"
4,"Pseudomonic acid","Trimethoprim"
4,"Amoxicillin","Trimethoprim"
4,"Aztreonam","Trimethoprim"
4,"Cefaclor","Trimethoprim"
4,"Cefotaxime","Trimethoprim"
4,"Cephalexin","Trimethoprim"
4,"Ciprofloxacin","Trimethoprim"
4,"Flucytosine","Trimethoprim"
4,"Imipenem","Trimethoprim"
4,"Levofloxacin","Trimethoprim"
4,"Meropenem","Trimethoprim"
4,"Moxifloxacin","Trimethoprim"
4,"Novobiocin","Trimethoprim"
4,"Penicillin G","Trimethoprim"
4,"Piperacillin","Trimethoprim"
5,"Amoxicillin","Metformin"
5,"Aztreonam","Metformin"
5,"Cefaclor","Metformin"
5,"Cefotaxime","Metformin"
5,"Cephalexin","Metformin"
5,"Flucytosine","Metformin"
5,"Imipenem","Metformin"
5,"Meropenem","Metformin"
5,"Metformin","Penicillin G"
5,"Metformin","Piperacillin"
5,"Metformin","Trimethoprim"
