"drugdrug","drug_pair","clusters"
"Aztreonam-Procaine","Aztreonam_Procaine",1
"Aztreonam-Theophylline","Aztreonam_Theophylline",3
"Aztreonam-Verapamil","Aztreonam_Verapamil",2
"Aztreonam-Meropenem","Aztreonam_Meropenem",2
"Aztreonam-Triclosan","Aztreonam_Triclosan",2
"Aztreonam-Gentamicin","Aztreonam_Gentamicin",4
"Aztreonam-Berberine","Aztreonam_Berberine",1
"Aztreonam-Metformin","Aztreonam_Metformin",1
"Aztreonam-Diclofenac","Aztreonam_Diclofenac",1
"Cephalexin-Imipenem","Cephalexin_Imipenem",1
"Cephalexin-Teicoplanin","Cephalexin_Teicoplanin",2
"Cephalexin-Metronidazole","Cephalexin_Metronidazole",3
"Cephalexin-Clofazimine","Cephalexin_Clofazimine",1
"Cephalexin-Doxorubicin","Cephalexin_Doxorubicin",1
"Cephalexin-Mitomycin C","Cephalexin_Mitomycin C",2
"Cephalexin-Ciprofloxacin","Cephalexin_Ciprofloxacin",4
"Cephalexin-Levofloxacin","Cephalexin_Levofloxacin",4
"Cephalexin-Sulfamonomethoxine","Cephalexin_Sulfamonomethoxine",2
"Cephalexin-Cerulenin","Cephalexin_Cerulenin",1
"Cephalexin-Nisin","Cephalexin_Nisin",3
"Cephalexin-Daptomycin","Cephalexin_Daptomycin",1
"Cephalexin-Nonactin","Cephalexin_Nonactin",1
"Cephalexin-Paraquat","Cephalexin_Paraquat",2
"Cephalexin-Linezolid","Cephalexin_Linezolid",1
"Cephalexin-Tigecycline","Cephalexin_Tigecycline",1
"Cephalexin-Spiramycin","Cephalexin_Spiramycin",4
"Cephalexin-Erythromycin","Cephalexin_Erythromycin",4
"Cephalexin-Clarithromycin","Cephalexin_Clarithromycin",2
"Cephalexin-Reserpine","Cephalexin_Reserpine",1
"Cephalexin-Procaine","Cephalexin_Procaine",1
"Cephalexin-Theophylline","Cephalexin_Theophylline",1
"Cephalexin-Verapamil","Cephalexin_Verapamil",1
"Cephalexin-Meropenem","Cephalexin_Meropenem",2
"Cephalexin-Triclosan","Cephalexin_Triclosan",2
"Cephalexin-Gentamicin","Cephalexin_Gentamicin",2
"Cephalexin-Metformin","Cephalexin_Metformin",1
"Cephalexin-Diclofenac","Cephalexin_Diclofenac",4
"Teicoplanin-Tigecycline","Teicoplanin_Tigecycline",4
"Teicoplanin-Theophylline","Teicoplanin_Theophylline",2
"Teicoplanin-Verapamil","Teicoplanin_Verapamil",2
"Teicoplanin-Triclosan","Teicoplanin_Triclosan",2
"Bacitracin-Imipenem","Bacitracin_Imipenem",2
"Bacitracin-Cephalexin","Bacitracin_Cephalexin",3
"Bacitracin-Teicoplanin","Bacitracin_Teicoplanin",2
"Bacitracin-Metronidazole","Bacitracin_Metronidazole",2
"Bacitracin-Clofazimine","Bacitracin_Clofazimine",1
"Bacitracin-Doxorubicin","Bacitracin_Doxorubicin",3
"Bacitracin-Mitomycin C","Bacitracin_Mitomycin C",2
"Bacitracin-Ciprofloxacin","Bacitracin_Ciprofloxacin",2
"Bacitracin-Levofloxacin","Bacitracin_Levofloxacin",3
"Bacitracin-Sulfamonomethoxine","Bacitracin_Sulfamonomethoxine",3
"Bacitracin-Cerulenin","Bacitracin_Cerulenin",2
"Bacitracin-Nisin","Bacitracin_Nisin",2
"Bacitracin-Daptomycin","Bacitracin_Daptomycin",1
"Bacitracin-Nonactin","Bacitracin_Nonactin",1
"Bacitracin-Paraquat","Bacitracin_Paraquat",2
"Bacitracin-Linezolid","Bacitracin_Linezolid",1
"Bacitracin-Tigecycline","Bacitracin_Tigecycline",4
"Bacitracin-Spiramycin","Bacitracin_Spiramycin",1
"Bacitracin-Erythromycin","Bacitracin_Erythromycin",4
"Bacitracin-Clarithromycin","Bacitracin_Clarithromycin",3
"Bacitracin-Caffeine","Bacitracin_Caffeine",3
"Bacitracin-Reserpine","Bacitracin_Reserpine",1
"Bacitracin-Procaine","Bacitracin_Procaine",1
"Bacitracin-Theophylline","Bacitracin_Theophylline",2
"Bacitracin-Verapamil","Bacitracin_Verapamil",2
"Bacitracin-Meropenem","Bacitracin_Meropenem",2
"Bacitracin-Triclosan","Bacitracin_Triclosan",2
"Bacitracin-Gentamicin","Bacitracin_Gentamicin",2
"Bacitracin-Berberine","Bacitracin_Berberine",1
"Bacitracin-Metformin","Bacitracin_Metformin",1
"Bacitracin-Diclofenac","Bacitracin_Diclofenac",1
"Metronidazole-Teicoplanin","Metronidazole_Teicoplanin",2
"Metronidazole-Mitomycin C","Metronidazole_Mitomycin C",2
"Metronidazole-Sulfamonomethoxine","Metronidazole_Sulfamonomethoxine",2
"Metronidazole-Nisin","Metronidazole_Nisin",2
"Metronidazole-Nonactin","Metronidazole_Nonactin",1
"Metronidazole-Paraquat","Metronidazole_Paraquat",2
"Metronidazole-Tigecycline","Metronidazole_Tigecycline",2
"Metronidazole-Spiramycin","Metronidazole_Spiramycin",2
"Metronidazole-Reserpine","Metronidazole_Reserpine",3
"Metronidazole-Procaine","Metronidazole_Procaine",3
"Metronidazole-Theophylline","Metronidazole_Theophylline",4
"Metronidazole-Verapamil","Metronidazole_Verapamil",2
"Metronidazole-Triclosan","Metronidazole_Triclosan",2
"Clofazimine-Imipenem","Clofazimine_Imipenem",2
"Clofazimine-Teicoplanin","Clofazimine_Teicoplanin",3
"Clofazimine-Metronidazole","Clofazimine_Metronidazole",3
"Clofazimine-Doxorubicin","Clofazimine_Doxorubicin",1
"Clofazimine-Mitomycin C","Clofazimine_Mitomycin C",3
"Clofazimine-Levofloxacin","Clofazimine_Levofloxacin",3
"Clofazimine-Sulfamonomethoxine","Clofazimine_Sulfamonomethoxine",3
"Clofazimine-Nisin","Clofazimine_Nisin",3
"Clofazimine-Daptomycin","Clofazimine_Daptomycin",1
"Clofazimine-Nonactin","Clofazimine_Nonactin",1
"Clofazimine-Paraquat","Clofazimine_Paraquat",4
"Clofazimine-Linezolid","Clofazimine_Linezolid",3
"Clofazimine-Tigecycline","Clofazimine_Tigecycline",1
"Clofazimine-Spiramycin","Clofazimine_Spiramycin",3
"Clofazimine-Erythromycin","Clofazimine_Erythromycin",1
"Clofazimine-Reserpine","Clofazimine_Reserpine",2
"Clofazimine-Procaine","Clofazimine_Procaine",2
"Clofazimine-Theophylline","Clofazimine_Theophylline",4
"Clofazimine-Verapamil","Clofazimine_Verapamil",3
"Clofazimine-Meropenem","Clofazimine_Meropenem",2
"Clofazimine-Triclosan","Clofazimine_Triclosan",4
"Clofazimine-Gentamicin","Clofazimine_Gentamicin",2
"Clofazimine-Metformin","Clofazimine_Metformin",3
"Clofazimine-Diclofenac","Clofazimine_Diclofenac",1
"Doxorubicin-Imipenem","Doxorubicin_Imipenem",3
"Doxorubicin-Teicoplanin","Doxorubicin_Teicoplanin",1
"Doxorubicin-Metronidazole","Doxorubicin_Metronidazole",1
"Doxorubicin-Mitomycin C","Doxorubicin_Mitomycin C",2
"Doxorubicin-Levofloxacin","Doxorubicin_Levofloxacin",2
"Doxorubicin-Sulfamonomethoxine","Doxorubicin_Sulfamonomethoxine",4
"Doxorubicin-Nisin","Doxorubicin_Nisin",1
"Doxorubicin-Nonactin","Doxorubicin_Nonactin",1
"Doxorubicin-Paraquat","Doxorubicin_Paraquat",2
"Doxorubicin-Linezolid","Doxorubicin_Linezolid",1
"Doxorubicin-Tigecycline","Doxorubicin_Tigecycline",4
"Doxorubicin-Spiramycin","Doxorubicin_Spiramycin",3
"Doxorubicin-Erythromycin","Doxorubicin_Erythromycin",3
"Doxorubicin-Reserpine","Doxorubicin_Reserpine",1
"Doxorubicin-Procaine","Doxorubicin_Procaine",1
"Doxorubicin-Theophylline","Doxorubicin_Theophylline",3
"Doxorubicin-Verapamil","Doxorubicin_Verapamil",3
"Doxorubicin-Meropenem","Doxorubicin_Meropenem",2
"Doxorubicin-Triclosan","Doxorubicin_Triclosan",2
"Doxorubicin-Gentamicin","Doxorubicin_Gentamicin",4
"Doxorubicin-Metformin","Doxorubicin_Metformin",1
"Mitomycin C-Teicoplanin","Mitomycin C_Teicoplanin",3
"Mitomycin C-Sulfamonomethoxine","Mitomycin C_Sulfamonomethoxine",2
"Mitomycin C-Nisin","Mitomycin C_Nisin",2
"Mitomycin C-Nonactin","Mitomycin C_Nonactin",3
"Mitomycin C-Paraquat","Mitomycin C_Paraquat",1
"Mitomycin C-Tigecycline","Mitomycin C_Tigecycline",2
"Mitomycin C-Spiramycin","Mitomycin C_Spiramycin",4
"Mitomycin C-Reserpine","Mitomycin C_Reserpine",2
"Mitomycin C-Procaine","Mitomycin C_Procaine",1
"Mitomycin C-Theophylline","Mitomycin C_Theophylline",3
"Mitomycin C-Verapamil","Mitomycin C_Verapamil",2
"Mitomycin C-Triclosan","Mitomycin C_Triclosan",1
"Ciprofloxacin-Imipenem","Ciprofloxacin_Imipenem",1
"Ciprofloxacin-Teicoplanin","Ciprofloxacin_Teicoplanin",1
"Ciprofloxacin-Metronidazole","Ciprofloxacin_Metronidazole",3
"Ciprofloxacin-Clofazimine","Ciprofloxacin_Clofazimine",1
"Ciprofloxacin-Doxorubicin","Ciprofloxacin_Doxorubicin",3
"Ciprofloxacin-Mitomycin C","Ciprofloxacin_Mitomycin C",3
"Ciprofloxacin-Levofloxacin","Ciprofloxacin_Levofloxacin",2
"Ciprofloxacin-Sulfamonomethoxine","Ciprofloxacin_Sulfamonomethoxine",1
"Ciprofloxacin-Nisin","Ciprofloxacin_Nisin",3
"Ciprofloxacin-Daptomycin","Ciprofloxacin_Daptomycin",1
"Ciprofloxacin-Nonactin","Ciprofloxacin_Nonactin",1
"Ciprofloxacin-Paraquat","Ciprofloxacin_Paraquat",1
"Ciprofloxacin-Linezolid","Ciprofloxacin_Linezolid",1
"Ciprofloxacin-Tigecycline","Ciprofloxacin_Tigecycline",3
"Ciprofloxacin-Spiramycin","Ciprofloxacin_Spiramycin",1
"Ciprofloxacin-Erythromycin","Ciprofloxacin_Erythromycin",1
"Ciprofloxacin-Clarithromycin","Ciprofloxacin_Clarithromycin",1
"Ciprofloxacin-Reserpine","Ciprofloxacin_Reserpine",1
"Ciprofloxacin-Procaine","Ciprofloxacin_Procaine",1
"Ciprofloxacin-Theophylline","Ciprofloxacin_Theophylline",2
"Ciprofloxacin-Verapamil","Ciprofloxacin_Verapamil",2
"Ciprofloxacin-Meropenem","Ciprofloxacin_Meropenem",3
"Ciprofloxacin-Triclosan","Ciprofloxacin_Triclosan",3
"Ciprofloxacin-Gentamicin","Ciprofloxacin_Gentamicin",3
"Ciprofloxacin-Metformin","Ciprofloxacin_Metformin",1
"Ciprofloxacin-Diclofenac","Ciprofloxacin_Diclofenac",1
"Levofloxacin-Teicoplanin","Levofloxacin_Teicoplanin",3
"Levofloxacin-Metronidazole","Levofloxacin_Metronidazole",2
"Levofloxacin-Mitomycin C","Levofloxacin_Mitomycin C",3
"Levofloxacin-Sulfamonomethoxine","Levofloxacin_Sulfamonomethoxine",3
"Levofloxacin-Nisin","Levofloxacin_Nisin",3
"Levofloxacin-Nonactin","Levofloxacin_Nonactin",1
"Levofloxacin-Paraquat","Levofloxacin_Paraquat",1
"Levofloxacin-Linezolid","Levofloxacin_Linezolid",1
"Levofloxacin-Tigecycline","Levofloxacin_Tigecycline",3
"Levofloxacin-Spiramycin","Levofloxacin_Spiramycin",3
"Levofloxacin-Reserpine","Levofloxacin_Reserpine",3
"Levofloxacin-Procaine","Levofloxacin_Procaine",2
"Levofloxacin-Theophylline","Levofloxacin_Theophylline",3
"Levofloxacin-Verapamil","Levofloxacin_Verapamil",2
"Levofloxacin-Meropenem","Levofloxacin_Meropenem",2
"Levofloxacin-Triclosan","Levofloxacin_Triclosan",3
"Levofloxacin-Metformin","Levofloxacin_Metformin",4
"Sulfamonomethoxine-Teicoplanin","Sulfamonomethoxine_Teicoplanin",2
"Sulfamonomethoxine-Tigecycline","Sulfamonomethoxine_Tigecycline",4
"Sulfamonomethoxine-Theophylline","Sulfamonomethoxine_Theophylline",2
"Sulfamonomethoxine-Verapamil","Sulfamonomethoxine_Verapamil",4
"Sulfamonomethoxine-Triclosan","Sulfamonomethoxine_Triclosan",2
"Cerulenin-Imipenem","Cerulenin_Imipenem",2
"Cerulenin-Teicoplanin","Cerulenin_Teicoplanin",3
"Cerulenin-Metronidazole","Cerulenin_Metronidazole",2
"Cerulenin-Clofazimine","Cerulenin_Clofazimine",1
"Cerulenin-Doxorubicin","Cerulenin_Doxorubicin",1
"Cerulenin-Mitomycin C","Cerulenin_Mitomycin C",1
"Cerulenin-Ciprofloxacin","Cerulenin_Ciprofloxacin",1
"Cerulenin-Levofloxacin","Cerulenin_Levofloxacin",1
"Cerulenin-Sulfamonomethoxine","Cerulenin_Sulfamonomethoxine",3
"Cerulenin-Nisin","Cerulenin_Nisin",3
"Cerulenin-Daptomycin","Cerulenin_Daptomycin",3
"Cerulenin-Nonactin","Cerulenin_Nonactin",1
"Cerulenin-Paraquat","Cerulenin_Paraquat",2
"Cerulenin-Linezolid","Cerulenin_Linezolid",1
"Cerulenin-Tigecycline","Cerulenin_Tigecycline",3
"Cerulenin-Spiramycin","Cerulenin_Spiramycin",1
"Cerulenin-Erythromycin","Cerulenin_Erythromycin",1
"Cerulenin-Clarithromycin","Cerulenin_Clarithromycin",1
"Cerulenin-Reserpine","Cerulenin_Reserpine",1
"Cerulenin-Procaine","Cerulenin_Procaine",2
"Cerulenin-Theophylline","Cerulenin_Theophylline",1
"Cerulenin-Verapamil","Cerulenin_Verapamil",3
"Cerulenin-Meropenem","Cerulenin_Meropenem",2
"Cerulenin-Triclosan","Cerulenin_Triclosan",4
"Cerulenin-Gentamicin","Cerulenin_Gentamicin",4
"Cerulenin-Metformin","Cerulenin_Metformin",2
"Cerulenin-Diclofenac","Cerulenin_Diclofenac",1
"Nisin-Teicoplanin","Nisin_Teicoplanin",3
"Nisin-Sulfamonomethoxine","Nisin_Sulfamonomethoxine",3
"Nisin-Nonactin","Nisin_Nonactin",1
"Nisin-Paraquat","Nisin_Paraquat",2
"Nisin-Tigecycline","Nisin_Tigecycline",2
"Nisin-Spiramycin","Nisin_Spiramycin",3
"Nisin-Reserpine","Nisin_Reserpine",1
"Nisin-Procaine","Nisin_Procaine",4
"Nisin-Theophylline","Nisin_Theophylline",4
"Nisin-Verapamil","Nisin_Verapamil",3
"Nisin-Triclosan","Nisin_Triclosan",2
"Daptomycin-Imipenem","Daptomycin_Imipenem",4
"Daptomycin-Teicoplanin","Daptomycin_Teicoplanin",3
"Daptomycin-Metronidazole","Daptomycin_Metronidazole",3
"Daptomycin-Doxorubicin","Daptomycin_Doxorubicin",1
"Daptomycin-Mitomycin C","Daptomycin_Mitomycin C",2
"Daptomycin-Levofloxacin","Daptomycin_Levofloxacin",4
"Daptomycin-Sulfamonomethoxine","Daptomycin_Sulfamonomethoxine",2
"Daptomycin-Nisin","Daptomycin_Nisin",3
"Daptomycin-Nonactin","Daptomycin_Nonactin",2
"Daptomycin-Paraquat","Daptomycin_Paraquat",2
"Daptomycin-Linezolid","Daptomycin_Linezolid",3
"Daptomycin-Tigecycline","Daptomycin_Tigecycline",3
"Daptomycin-Spiramycin","Daptomycin_Spiramycin",3
"Daptomycin-Erythromycin","Daptomycin_Erythromycin",2
"Daptomycin-Reserpine","Daptomycin_Reserpine",2
"Daptomycin-Procaine","Daptomycin_Procaine",3
"Daptomycin-Theophylline","Daptomycin_Theophylline",1
"Daptomycin-Verapamil","Daptomycin_Verapamil",3
"Daptomycin-Meropenem","Daptomycin_Meropenem",2
"Daptomycin-Triclosan","Daptomycin_Triclosan",4
"Daptomycin-Gentamicin","Daptomycin_Gentamicin",4
"Daptomycin-Metformin","Daptomycin_Metformin",1
"Daptomycin-Diclofenac","Daptomycin_Diclofenac",1
"Nonactin-Teicoplanin","Nonactin_Teicoplanin",1
"Nonactin-Sulfamonomethoxine","Nonactin_Sulfamonomethoxine",1
"Nonactin-Paraquat","Nonactin_Paraquat",2
"Nonactin-Tigecycline","Nonactin_Tigecycline",2
"Nonactin-Spiramycin","Nonactin_Spiramycin",3
"Nonactin-Reserpine","Nonactin_Reserpine",2
"Nonactin-Procaine","Nonactin_Procaine",3
"Nonactin-Theophylline","Nonactin_Theophylline",4
"Nonactin-Verapamil","Nonactin_Verapamil",4
"Nonactin-Triclosan","Nonactin_Triclosan",2
"Paraquat-Teicoplanin","Paraquat_Teicoplanin",2
"Paraquat-Sulfamonomethoxine","Paraquat_Sulfamonomethoxine",2
"Paraquat-Tigecycline","Paraquat_Tigecycline",2
"Paraquat-Spiramycin","Paraquat_Spiramycin",2
"Paraquat-Reserpine","Paraquat_Reserpine",3
"Paraquat-Procaine","Paraquat_Procaine",2
"Paraquat-Theophylline","Paraquat_Theophylline",2
"Paraquat-Verapamil","Paraquat_Verapamil",2
"Paraquat-Triclosan","Paraquat_Triclosan",3
"Linezolid-Teicoplanin","Linezolid_Teicoplanin",1
"Linezolid-Metronidazole","Linezolid_Metronidazole",1
"Linezolid-Mitomycin C","Linezolid_Mitomycin C",1
"Linezolid-Sulfamonomethoxine","Linezolid_Sulfamonomethoxine",4
"Linezolid-Nisin","Linezolid_Nisin",1
"Linezolid-Nonactin","Linezolid_Nonactin",1
"Linezolid-Paraquat","Linezolid_Paraquat",2
"Linezolid-Tigecycline","Linezolid_Tigecycline",2
"Linezolid-Spiramycin","Linezolid_Spiramycin",4
"Linezolid-Reserpine","Linezolid_Reserpine",2
"Linezolid-Procaine","Linezolid_Procaine",2
"Linezolid-Theophylline","Linezolid_Theophylline",1
"Linezolid-Verapamil","Linezolid_Verapamil",1
"Linezolid-Meropenem","Linezolid_Meropenem",2
"Linezolid-Triclosan","Linezolid_Triclosan",2
"Linezolid-Metformin","Linezolid_Metformin",2
"Tigecycline-Verapamil","Tigecycline_Verapamil",3
"Tigecycline-Triclosan","Tigecycline_Triclosan",4
"Spiramycin-Teicoplanin","Spiramycin_Teicoplanin",2
"Spiramycin-Sulfamonomethoxine","Spiramycin_Sulfamonomethoxine",2
"Spiramycin-Tigecycline","Spiramycin_Tigecycline",3
"Spiramycin-Theophylline","Spiramycin_Theophylline",3
"Spiramycin-Verapamil","Spiramycin_Verapamil",3
"Spiramycin-Triclosan","Spiramycin_Triclosan",2
"Erythromycin-Imipenem","Erythromycin_Imipenem",4
"Erythromycin-Teicoplanin","Erythromycin_Teicoplanin",1
"Erythromycin-Metronidazole","Erythromycin_Metronidazole",3
"Erythromycin-Mitomycin C","Erythromycin_Mitomycin C",1
"Erythromycin-Levofloxacin","Erythromycin_Levofloxacin",3
"Erythromycin-Sulfamonomethoxine","Erythromycin_Sulfamonomethoxine",3
"Erythromycin-Nisin","Erythromycin_Nisin",2
"Erythromycin-Nonactin","Erythromycin_Nonactin",2
"Erythromycin-Paraquat","Erythromycin_Paraquat",3
"Erythromycin-Linezolid","Erythromycin_Linezolid",4
"Erythromycin-Tigecycline","Erythromycin_Tigecycline",3
"Erythromycin-Spiramycin","Erythromycin_Spiramycin",3
"Erythromycin-Reserpine","Erythromycin_Reserpine",3
"Erythromycin-Procaine","Erythromycin_Procaine",2
"Erythromycin-Theophylline","Erythromycin_Theophylline",3
"Erythromycin-Verapamil","Erythromycin_Verapamil",3
"Erythromycin-Meropenem","Erythromycin_Meropenem",4
"Erythromycin-Triclosan","Erythromycin_Triclosan",3
"Erythromycin-Gentamicin","Erythromycin_Gentamicin",1
"Erythromycin-Metformin","Erythromycin_Metformin",1
"Clarithromycin-Imipenem","Clarithromycin_Imipenem",4
"Clarithromycin-Teicoplanin","Clarithromycin_Teicoplanin",2
"Clarithromycin-Metronidazole","Clarithromycin_Metronidazole",2
"Clarithromycin-Clofazimine","Clarithromycin_Clofazimine",1
"Clarithromycin-Doxorubicin","Clarithromycin_Doxorubicin",2
"Clarithromycin-Mitomycin C","Clarithromycin_Mitomycin C",1
"Clarithromycin-Levofloxacin","Clarithromycin_Levofloxacin",1
"Clarithromycin-Sulfamonomethoxine","Clarithromycin_Sulfamonomethoxine",3
"Clarithromycin-Nisin","Clarithromycin_Nisin",3
"Clarithromycin-Daptomycin","Clarithromycin_Daptomycin",4
"Clarithromycin-Nonactin","Clarithromycin_Nonactin",2
"Clarithromycin-Paraquat","Clarithromycin_Paraquat",1
"Clarithromycin-Linezolid","Clarithromycin_Linezolid",3
"Clarithromycin-Tigecycline","Clarithromycin_Tigecycline",1
"Clarithromycin-Spiramycin","Clarithromycin_Spiramycin",1
"Clarithromycin-Erythromycin","Clarithromycin_Erythromycin",1
"Clarithromycin-Reserpine","Clarithromycin_Reserpine",2
"Clarithromycin-Procaine","Clarithromycin_Procaine",2
"Clarithromycin-Theophylline","Clarithromycin_Theophylline",3
"Clarithromycin-Verapamil","Clarithromycin_Verapamil",3
"Clarithromycin-Meropenem","Clarithromycin_Meropenem",4
"Clarithromycin-Triclosan","Clarithromycin_Triclosan",2
"Clarithromycin-Gentamicin","Clarithromycin_Gentamicin",1
"Clarithromycin-Metformin","Clarithromycin_Metformin",1
"Clarithromycin-Diclofenac","Clarithromycin_Diclofenac",2
"Caffeine-Imipenem","Caffeine_Imipenem",3
"Caffeine-Cephalexin","Caffeine_Cephalexin",2
"Caffeine-Teicoplanin","Caffeine_Teicoplanin",3
"Caffeine-Metronidazole","Caffeine_Metronidazole",4
"Caffeine-Clofazimine","Caffeine_Clofazimine",4
"Caffeine-Doxorubicin","Caffeine_Doxorubicin",1
"Caffeine-Mitomycin C","Caffeine_Mitomycin C",2
"Caffeine-Ciprofloxacin","Caffeine_Ciprofloxacin",1
"Caffeine-Levofloxacin","Caffeine_Levofloxacin",1
"Caffeine-Sulfamonomethoxine","Caffeine_Sulfamonomethoxine",2
"Caffeine-Cerulenin","Caffeine_Cerulenin",1
"Caffeine-Nisin","Caffeine_Nisin",1
"Caffeine-Daptomycin","Caffeine_Daptomycin",1
"Caffeine-Nonactin","Caffeine_Nonactin",1
"Caffeine-Paraquat","Caffeine_Paraquat",2
"Caffeine-Linezolid","Caffeine_Linezolid",1
"Caffeine-Tigecycline","Caffeine_Tigecycline",3
"Caffeine-Spiramycin","Caffeine_Spiramycin",2
"Caffeine-Erythromycin","Caffeine_Erythromycin",3
"Caffeine-Clarithromycin","Caffeine_Clarithromycin",3
"Caffeine-Reserpine","Caffeine_Reserpine",3
"Caffeine-Procaine","Caffeine_Procaine",1
"Caffeine-Theophylline","Caffeine_Theophylline",4
"Caffeine-Verapamil","Caffeine_Verapamil",4
"Caffeine-Meropenem","Caffeine_Meropenem",2
"Caffeine-Triclosan","Caffeine_Triclosan",1
"Caffeine-Gentamicin","Caffeine_Gentamicin",1
"Caffeine-Metformin","Caffeine_Metformin",1
"Caffeine-Diclofenac","Caffeine_Diclofenac",4
"Reserpine-Teicoplanin","Reserpine_Teicoplanin",2
"Reserpine-Sulfamonomethoxine","Reserpine_Sulfamonomethoxine",3
"Reserpine-Tigecycline","Reserpine_Tigecycline",1
"Reserpine-Spiramycin","Reserpine_Spiramycin",3
"Reserpine-Theophylline","Reserpine_Theophylline",4
"Reserpine-Verapamil","Reserpine_Verapamil",3
"Reserpine-Triclosan","Reserpine_Triclosan",1
"Procaine-Teicoplanin","Procaine_Teicoplanin",3
"Procaine-Sulfamonomethoxine","Procaine_Sulfamonomethoxine",1
"Procaine-Tigecycline","Procaine_Tigecycline",2
"Procaine-Spiramycin","Procaine_Spiramycin",2
"Procaine-Reserpine","Procaine_Reserpine",3
"Procaine-Theophylline","Procaine_Theophylline",3
"Procaine-Verapamil","Procaine_Verapamil",1
"Procaine-Triclosan","Procaine_Triclosan",4
"Theophylline-Tigecycline","Theophylline_Tigecycline",3
"Theophylline-Verapamil","Theophylline_Verapamil",3
"Theophylline-Triclosan","Theophylline_Triclosan",2
"Meropenem-Teicoplanin","Meropenem_Teicoplanin",2
"Meropenem-Metronidazole","Meropenem_Metronidazole",2
"Meropenem-Mitomycin C","Meropenem_Mitomycin C",3
"Meropenem-Sulfamonomethoxine","Meropenem_Sulfamonomethoxine",2
"Meropenem-Nisin","Meropenem_Nisin",2
"Meropenem-Nonactin","Meropenem_Nonactin",1
"Meropenem-Paraquat","Meropenem_Paraquat",2
"Meropenem-Tigecycline","Meropenem_Tigecycline",3
"Meropenem-Spiramycin","Meropenem_Spiramycin",4
"Meropenem-Reserpine","Meropenem_Reserpine",4
"Meropenem-Procaine","Meropenem_Procaine",1
"Meropenem-Theophylline","Meropenem_Theophylline",2
"Meropenem-Verapamil","Meropenem_Verapamil",2
"Triclosan-Verapamil","Triclosan_Verapamil",4
"Gentamicin-Imipenem","Gentamicin_Imipenem",4
"Gentamicin-Teicoplanin","Gentamicin_Teicoplanin",4
"Gentamicin-Metronidazole","Gentamicin_Metronidazole",4
"Gentamicin-Mitomycin C","Gentamicin_Mitomycin C",3
"Gentamicin-Levofloxacin","Gentamicin_Levofloxacin",1
"Gentamicin-Sulfamonomethoxine","Gentamicin_Sulfamonomethoxine",2
"Gentamicin-Nisin","Gentamicin_Nisin",4
"Gentamicin-Nonactin","Gentamicin_Nonactin",3
"Gentamicin-Paraquat","Gentamicin_Paraquat",4
"Gentamicin-Linezolid","Gentamicin_Linezolid",2
"Gentamicin-Tigecycline","Gentamicin_Tigecycline",4
"Gentamicin-Spiramycin","Gentamicin_Spiramycin",1
