drug_pair,Drug1,Drug2,clusters
Acetylsalisylic acid_Bleomycin,Acetylsalisylic acid,Bleomycin,1
Acetylsalisylic acid_Caffeine,Acetylsalisylic acid,Caffeine,2
Acetylsalisylic acid_CCCP,Acetylsalisylic acid,CCCP,4
Acetylsalisylic acid_Cefaclor,Acetylsalisylic acid,Cefaclor,1
Acetylsalisylic acid_Cefotaxime,Acetylsalisylic acid,Cefotaxime,1
Acetylsalisylic acid_Cefsulodin,Acetylsalisylic acid,Cefsulodin,2
Acetylsalisylic acid_Cephalexin,Acetylsalisylic acid,Cephalexin,2
Acetylsalisylic acid_Cerulenin,Acetylsalisylic acid,Cerulenin,4
Acetylsalisylic acid_Chloramphenicol,Acetylsalisylic acid,Chloramphenicol,4
Acetylsalisylic acid_Chlorhexidine,Acetylsalisylic acid,Chlorhexidine,2
Acetylsalisylic acid_Ciprofloxacin,Acetylsalisylic acid,Ciprofloxacin,1
Acetylsalisylic acid_Clarithromycin,Acetylsalisylic acid,Clarithromycin,1
Acetylsalisylic acid_Clindamycin,Acetylsalisylic acid,Clindamycin,1
Acetylsalisylic acid_Clofazimine,Acetylsalisylic acid,Clofazimine,4
Acetylsalisylic acid_Cycloserine D,Acetylsalisylic acid,Cycloserine D,2
Acetylsalisylic acid_Daptomycin,Acetylsalisylic acid,Daptomycin,4
Acetylsalisylic acid_Doxorubicin,Acetylsalisylic acid,Doxorubicin,4
Acetylsalisylic acid_Doxycycline,Acetylsalisylic acid,Doxycycline,4
Acetylsalisylic acid_EGCG,Acetylsalisylic acid,EGCG,2
Acetylsalisylic acid_Erythromycin,Acetylsalisylic acid,Erythromycin,1
Acetylsalisylic acid_Fosfomycin,Acetylsalisylic acid,Fosfomycin,2
Acetylsalisylic acid_Fusidic acid,Acetylsalisylic acid,Fusidic acid,2
Acetylsalisylic acid_Imipenem,Acetylsalisylic acid,Imipenem,2
Acetylsalisylic acid_Levofloxacin,Acetylsalisylic acid,Levofloxacin,1
Acetylsalisylic acid_Linezolid,Acetylsalisylic acid,Linezolid,2
Acetylsalisylic acid_Loperamide,Acetylsalisylic acid,Loperamide,4
Acetylsalisylic acid_Mecillinam,Acetylsalisylic acid,Mecillinam,3
Acetylsalisylic acid_Metronidazole,Acetylsalisylic acid,Metronidazole,4
Acetylsalisylic acid_Minocycline,Acetylsalisylic acid,Minocycline,2
Acetylsalisylic acid_Mitomycin C,Acetylsalisylic acid,Mitomycin C,2
Acetylsalisylic acid_Nisin,Acetylsalisylic acid,Nisin,2
Acetylsalisylic acid_Nitrofurantoin,Acetylsalisylic acid,Nitrofurantoin,2
Acetylsalisylic acid_Nonactin,Acetylsalisylic acid,Nonactin,2
Acetylsalisylic acid_Novobiocin,Acetylsalisylic acid,Novobiocin,1
Acetylsalisylic acid_Oxacillin,Acetylsalisylic acid,Oxacillin,2
Acetylsalisylic acid_Paraquat,Acetylsalisylic acid,Paraquat,4
Acetylsalisylic acid_Penicillin G,Acetylsalisylic acid,Penicillin G,2
Acetylsalisylic acid_Piperacillin,Acetylsalisylic acid,Piperacillin,2
Acetylsalisylic acid_Polymyxin B,Acetylsalisylic acid,Polymyxin B,2
Acetylsalisylic acid_Procaine,Acetylsalisylic acid,Procaine,4
Acetylsalisylic acid_Puromycin,Acetylsalisylic acid,Puromycin,4
Acetylsalisylic acid_Reserpine,Acetylsalisylic acid,Reserpine,1
Acetylsalisylic acid_Rifampicin,Acetylsalisylic acid,Rifampicin,2
Acetylsalisylic acid_Spectinomycin,Acetylsalisylic acid,Spectinomycin,2
Acetylsalisylic acid_Spiramycin,Acetylsalisylic acid,Spiramycin,2
Acetylsalisylic acid_Sulfamonomethoxine,Acetylsalisylic acid,Sulfamonomethoxine,2
Acetylsalisylic acid_Teicoplanin,Acetylsalisylic acid,Teicoplanin,2
Acetylsalisylic acid_Theophylline,Acetylsalisylic acid,Theophylline,2
Acetylsalisylic acid_Tigecycline,Acetylsalisylic acid,Tigecycline,2
Acetylsalisylic acid_Tobramycin,Acetylsalisylic acid,Tobramycin,1
Acetylsalisylic acid_Trimethoprim,Acetylsalisylic acid,Trimethoprim,1
Acetylsalisylic acid_Vanillin,Acetylsalisylic acid,Vanillin,1
Acetylsalisylic acid_Verapamil,Acetylsalisylic acid,Verapamil,4
Amikacin_Amoxicillin,Amikacin,Amoxicillin,2
Amikacin_Azithromycin,Amikacin,Azithromycin,1
Amikacin_Aztreonam,Amikacin,Aztreonam,2
Amikacin_Bacitracin,Amikacin,Bacitracin,1
Amikacin_Benzalkonium,Amikacin,Benzalkonium,1
Amikacin_Berberine,Amikacin,Berberine,1
Amikacin_Bleomycin,Amikacin,Bleomycin,2
Amikacin_Caffeine,Amikacin,Caffeine,3
Amikacin_CCCP,Amikacin,CCCP,1
Amikacin_Cefaclor,Amikacin,Cefaclor,2
Amikacin_Cefotaxime,Amikacin,Cefotaxime,2
Amikacin_Cefsulodin,Amikacin,Cefsulodin,1
Amikacin_Cephalexin,Amikacin,Cephalexin,1
Amikacin_Cerulenin,Amikacin,Cerulenin,2
Amikacin_CHIR-90,Amikacin,CHIR-90,2
Amikacin_Chloramphenicol,Amikacin,Chloramphenicol,1
Amikacin_Chlorhexidine,Amikacin,Chlorhexidine,1
Amikacin_Ciclopirox,Amikacin,Ciclopirox,1
Amikacin_Ciprofloxacin,Amikacin,Ciprofloxacin,2
Amikacin_Clarithromycin,Amikacin,Clarithromycin,1
Amikacin_Clindamycin,Amikacin,Clindamycin,1
Amikacin_Clofazimine,Amikacin,Clofazimine,4
Amikacin_Colistin,Amikacin,Colistin,1
Amikacin_Curcumin,Amikacin,Curcumin,1
Amikacin_Cycloserine D,Amikacin,Cycloserine D,1
Amikacin_Daptomycin,Amikacin,Daptomycin,1
Amikacin_Diclofenac,Amikacin,Diclofenac,3
Amikacin_Doxorubicin,Amikacin,Doxorubicin,1
Amikacin_Doxycycline,Amikacin,Doxycycline,2
Amikacin_EGCG,Amikacin,EGCG,1
Amikacin_Erythromycin,Amikacin,Erythromycin,1
Amikacin_Fosfomycin,Amikacin,Fosfomycin,4
Amikacin_Fusidic acid,Amikacin,Fusidic acid,2
Amikacin_Gentamicin,Amikacin,Gentamicin,2
Amikacin_Imipenem,Amikacin,Imipenem,2
Amikacin_Levofloxacin,Amikacin,Levofloxacin,2
Amikacin_Linezolid,Amikacin,Linezolid,1
Amikacin_Loperamide,Amikacin,Loperamide,1
Amikacin_Mecillinam,Amikacin,Mecillinam,2
Amikacin_Meropenem,Amikacin,Meropenem,2
Amikacin_Metformin,Amikacin,Metformin,1
Amikacin_Metronidazole,Amikacin,Metronidazole,3
Amikacin_Minocycline,Amikacin,Minocycline,2
Amikacin_Mitomycin C,Amikacin,Mitomycin C,2
Amikacin_Moxifloxacin,Amikacin,Moxifloxacin,2
Amikacin_Nisin,Amikacin,Nisin,3
Amikacin_Nitrofurantoin,Amikacin,Nitrofurantoin,2
Amikacin_Nonactin,Amikacin,Nonactin,4
Amikacin_Novobiocin,Amikacin,Novobiocin,2
Amikacin_Oxacillin,Amikacin,Oxacillin,1
Amikacin_Paraquat,Amikacin,Paraquat,2
Amikacin_Penicillin G,Amikacin,Penicillin G,2
Amikacin_Phenformin,Amikacin,Phenformin,3
Amikacin_Phleomycin,Amikacin,Phleomycin,1
Amikacin_Piperacillin,Amikacin,Piperacillin,2
Amikacin_Polymyxin B,Amikacin,Polymyxin B,1
Amikacin_Procaine,Amikacin,Procaine,1
Amikacin_Puromycin,Amikacin,Puromycin,2
Amikacin_Reserpine,Amikacin,Reserpine,1
Amikacin_Rifampicin,Amikacin,Rifampicin,1
Amikacin_Spectinomycin,Amikacin,Spectinomycin,1
Amikacin_Spiramycin,Amikacin,Spiramycin,1
Amikacin_Streptozotocin,Amikacin,Streptozotocin,2
Amikacin_Sulfamonomethoxine,Amikacin,Sulfamonomethoxine,3
Amikacin_Teicoplanin,Amikacin,Teicoplanin,3
Amikacin_Theophylline,Amikacin,Theophylline,1
Amikacin_Tigecycline,Amikacin,Tigecycline,3
Amikacin_Tobramycin,Amikacin,Tobramycin,2
Amikacin_Triclosan,Amikacin,Triclosan,3
Amikacin_Trimethoprim,Amikacin,Trimethoprim,1
Amikacin_Vanillin,Amikacin,Vanillin,4
Amikacin_Verapamil,Amikacin,Verapamil,4
Amoxicillin_Azithromycin,Amoxicillin,Azithromycin,1
Amoxicillin_Aztreonam,Amoxicillin,Aztreonam,2
Amoxicillin_Bacitracin,Amoxicillin,Bacitracin,2
Amoxicillin_Benzalkonium,Amoxicillin,Benzalkonium,1
Amoxicillin_Berberine,Amoxicillin,Berberine,1
Amoxicillin_Bleomycin,Amoxicillin,Bleomycin,3
Amoxicillin_Caffeine,Amoxicillin,Caffeine,1
Amoxicillin_CCCP,Amoxicillin,CCCP,4
Amoxicillin_Cefaclor,Amoxicillin,Cefaclor,2
Amoxicillin_Cefotaxime,Amoxicillin,Cefotaxime,2
Amoxicillin_Cefsulodin,Amoxicillin,Cefsulodin,2
Amoxicillin_Cephalexin,Amoxicillin,Cephalexin,4
Amoxicillin_Cerulenin,Amoxicillin,Cerulenin,3
Amoxicillin_CHIR-90,Amoxicillin,CHIR-90,1
Amoxicillin_Chloramphenicol,Amoxicillin,Chloramphenicol,2
Amoxicillin_Chlorhexidine,Amoxicillin,Chlorhexidine,1
Amoxicillin_Ciclopirox,Amoxicillin,Ciclopirox,1
Amoxicillin_Ciprofloxacin,Amoxicillin,Ciprofloxacin,1
Amoxicillin_Clarithromycin,Amoxicillin,Clarithromycin,1
Amoxicillin_Clindamycin,Amoxicillin,Clindamycin,3
Amoxicillin_Clofazimine,Amoxicillin,Clofazimine,1
Amoxicillin_Colistin,Amoxicillin,Colistin,1
Amoxicillin_Curcumin,Amoxicillin,Curcumin,1
Amoxicillin_Cycloserine D,Amoxicillin,Cycloserine D,2
Amoxicillin_Daptomycin,Amoxicillin,Daptomycin,1
Amoxicillin_Diclofenac,Amoxicillin,Diclofenac,2
Amoxicillin_Doxorubicin,Amoxicillin,Doxorubicin,3
Amoxicillin_Doxycycline,Amoxicillin,Doxycycline,1
Amoxicillin_EGCG,Amoxicillin,EGCG,3
Amoxicillin_Erythromycin,Amoxicillin,Erythromycin,3
Amoxicillin_Fosfomycin,Amoxicillin,Fosfomycin,2
Amoxicillin_Fusidic acid,Amoxicillin,Fusidic acid,1
Amoxicillin_Gentamicin,Amoxicillin,Gentamicin,2
Amoxicillin_Imipenem,Amoxicillin,Imipenem,2
Amoxicillin_Levofloxacin,Amoxicillin,Levofloxacin,1
Amoxicillin_Linezolid,Amoxicillin,Linezolid,1
Amoxicillin_Loperamide,Amoxicillin,Loperamide,1
Amoxicillin_Mecillinam,Amoxicillin,Mecillinam,2
Amoxicillin_Meropenem,Amoxicillin,Meropenem,2
Amoxicillin_Metformin,Amoxicillin,Metformin,1
Amoxicillin_Metronidazole,Amoxicillin,Metronidazole,1
Amoxicillin_Minocycline,Amoxicillin,Minocycline,1
Amoxicillin_Mitomycin C,Amoxicillin,Mitomycin C,3
Amoxicillin_Moxifloxacin,Amoxicillin,Moxifloxacin,1
Amoxicillin_Nisin,Amoxicillin,Nisin,2
Amoxicillin_Nitrofurantoin,Amoxicillin,Nitrofurantoin,1
Amoxicillin_Nonactin,Amoxicillin,Nonactin,1
Amoxicillin_Novobiocin,Amoxicillin,Novobiocin,4
Amoxicillin_Oxacillin,Amoxicillin,Oxacillin,2
Amoxicillin_Paraquat,Amoxicillin,Paraquat,2
Amoxicillin_Penicillin G,Amoxicillin,Penicillin G,2
Amoxicillin_Phenformin,Amoxicillin,Phenformin,2
Amoxicillin_Phleomycin,Amoxicillin,Phleomycin,1
Amoxicillin_Piperacillin,Amoxicillin,Piperacillin,2
Amoxicillin_Polymyxin B,Amoxicillin,Polymyxin B,3
Amoxicillin_Procaine,Amoxicillin,Procaine,1
Amoxicillin_Puromycin,Amoxicillin,Puromycin,1
Amoxicillin_Reserpine,Amoxicillin,Reserpine,1
Amoxicillin_Rifampicin,Amoxicillin,Rifampicin,1
Amoxicillin_Spectinomycin,Amoxicillin,Spectinomycin,4
Amoxicillin_Spiramycin,Amoxicillin,Spiramycin,2
Amoxicillin_Streptozotocin,Amoxicillin,Streptozotocin,1
Amoxicillin_Sulfamonomethoxine,Amoxicillin,Sulfamonomethoxine,2
Amoxicillin_Teicoplanin,Amoxicillin,Teicoplanin,2
Amoxicillin_Theophylline,Amoxicillin,Theophylline,2
Amoxicillin_Tigecycline,Amoxicillin,Tigecycline,3
Amoxicillin_Tobramycin,Amoxicillin,Tobramycin,2
Amoxicillin_Triclosan,Amoxicillin,Triclosan,2
Amoxicillin_Trimethoprim,Amoxicillin,Trimethoprim,3
Amoxicillin_Vanillin,Amoxicillin,Vanillin,1
Amoxicillin_Verapamil,Amoxicillin,Verapamil,1
Azithromycin_Aztreonam,Azithromycin,Aztreonam,1
Azithromycin_Bacitracin,Azithromycin,Bacitracin,1
Azithromycin_Benzalkonium,Azithromycin,Benzalkonium,1
Azithromycin_Bleomycin,Azithromycin,Bleomycin,1
Azithromycin_Caffeine,Azithromycin,Caffeine,2
Azithromycin_CCCP,Azithromycin,CCCP,4
Azithromycin_Cefaclor,Azithromycin,Cefaclor,1
Azithromycin_Cefotaxime,Azithromycin,Cefotaxime,1
Azithromycin_Cefsulodin,Azithromycin,Cefsulodin,2
Azithromycin_Cephalexin,Azithromycin,Cephalexin,2
Azithromycin_Cerulenin,Azithromycin,Cerulenin,1
Azithromycin_Chloramphenicol,Azithromycin,Chloramphenicol,1
Azithromycin_Chlorhexidine,Azithromycin,Chlorhexidine,2
Azithromycin_Ciprofloxacin,Azithromycin,Ciprofloxacin,1
Azithromycin_Clarithromycin,Azithromycin,Clarithromycin,1
Azithromycin_Clindamycin,Azithromycin,Clindamycin,1
Azithromycin_Clofazimine,Azithromycin,Clofazimine,1
Azithromycin_Cycloserine D,Azithromycin,Cycloserine D,4
Azithromycin_Daptomycin,Azithromycin,Daptomycin,2
Azithromycin_Doxorubicin,Azithromycin,Doxorubicin,1
Azithromycin_Doxycycline,Azithromycin,Doxycycline,2
Azithromycin_EGCG,Azithromycin,EGCG,4
Azithromycin_Erythromycin,Azithromycin,Erythromycin,1
Azithromycin_Fosfomycin,Azithromycin,Fosfomycin,1
Azithromycin_Fusidic acid,Azithromycin,Fusidic acid,2
Azithromycin_Imipenem,Azithromycin,Imipenem,2
Azithromycin_Levofloxacin,Azithromycin,Levofloxacin,1
Azithromycin_Linezolid,Azithromycin,Linezolid,2
Azithromycin_Loperamide,Azithromycin,Loperamide,1
Azithromycin_Mecillinam,Azithromycin,Mecillinam,1
Azithromycin_Metronidazole,Azithromycin,Metronidazole,4
Azithromycin_Minocycline,Azithromycin,Minocycline,2
Azithromycin_Mitomycin C,Azithromycin,Mitomycin C,1
Azithromycin_Nisin,Azithromycin,Nisin,4
Azithromycin_Nitrofurantoin,Azithromycin,Nitrofurantoin,4
Azithromycin_Nonactin,Azithromycin,Nonactin,2
Azithromycin_Novobiocin,Azithromycin,Novobiocin,1
Azithromycin_Oxacillin,Azithromycin,Oxacillin,4
Azithromycin_Paraquat,Azithromycin,Paraquat,1
Azithromycin_Penicillin G,Azithromycin,Penicillin G,3
Azithromycin_Piperacillin,Azithromycin,Piperacillin,1
Azithromycin_Polymyxin B,Azithromycin,Polymyxin B,2
Azithromycin_Procaine,Azithromycin,Procaine,2
Azithromycin_Puromycin,Azithromycin,Puromycin,1
Azithromycin_Reserpine,Azithromycin,Reserpine,1
Azithromycin_Rifampicin,Azithromycin,Rifampicin,1
Azithromycin_Spectinomycin,Azithromycin,Spectinomycin,4
Azithromycin_Spiramycin,Azithromycin,Spiramycin,1
Azithromycin_Sulfamonomethoxine,Azithromycin,Sulfamonomethoxine,3
Azithromycin_Teicoplanin,Azithromycin,Teicoplanin,2
Azithromycin_Theophylline,Azithromycin,Theophylline,1
Azithromycin_Tigecycline,Azithromycin,Tigecycline,3
Azithromycin_Tobramycin,Azithromycin,Tobramycin,1
Azithromycin_Trimethoprim,Azithromycin,Trimethoprim,1
Azithromycin_Vanillin,Azithromycin,Vanillin,1
Azithromycin_Verapamil,Azithromycin,Verapamil,1
Aztreonam_Bacitracin,Aztreonam,Bacitracin,2
Aztreonam_Benzalkonium,Aztreonam,Benzalkonium,1
Aztreonam_Berberine,Aztreonam,Berberine,1
Aztreonam_Bleomycin,Aztreonam,Bleomycin,1
Aztreonam_Caffeine,Aztreonam,Caffeine,1
Aztreonam_CCCP,Aztreonam,CCCP,3
Aztreonam_Cefaclor,Aztreonam,Cefaclor,2
Aztreonam_Cefotaxime,Aztreonam,Cefotaxime,2
Aztreonam_Cefsulodin,Aztreonam,Cefsulodin,2
Aztreonam_Cephalexin,Aztreonam,Cephalexin,1
Aztreonam_Cerulenin,Aztreonam,Cerulenin,3
Aztreonam_CHIR-90,Aztreonam,CHIR-90,2
Aztreonam_Chloramphenicol,Aztreonam,Chloramphenicol,3
Aztreonam_Chlorhexidine,Aztreonam,Chlorhexidine,1
Aztreonam_Ciclopirox,Aztreonam,Ciclopirox,1
Aztreonam_Ciprofloxacin,Aztreonam,Ciprofloxacin,1
Aztreonam_Clarithromycin,Aztreonam,Clarithromycin,1
Aztreonam_Clindamycin,Aztreonam,Clindamycin,1
Aztreonam_Clofazimine,Aztreonam,Clofazimine,3
Aztreonam_Colistin,Aztreonam,Colistin,1
Aztreonam_Curcumin,Aztreonam,Curcumin,1
Aztreonam_Cycloserine D,Aztreonam,Cycloserine D,2
Aztreonam_Daptomycin,Aztreonam,Daptomycin,3
Aztreonam_Diclofenac,Aztreonam,Diclofenac,1
Aztreonam_Doxorubicin,Aztreonam,Doxorubicin,2
Aztreonam_Doxycycline,Aztreonam,Doxycycline,1
Aztreonam_EGCG,Aztreonam,EGCG,1
Aztreonam_Erythromycin,Aztreonam,Erythromycin,1
Aztreonam_Fosfomycin,Aztreonam,Fosfomycin,2
Aztreonam_Fusidic acid,Aztreonam,Fusidic acid,4
Aztreonam_Gentamicin,Aztreonam,Gentamicin,1
Aztreonam_Imipenem,Aztreonam,Imipenem,2
Aztreonam_Levofloxacin,Aztreonam,Levofloxacin,1
Aztreonam_Linezolid,Aztreonam,Linezolid,3
Aztreonam_Loperamide,Aztreonam,Loperamide,3
Aztreonam_Mecillinam,Aztreonam,Mecillinam,2
Aztreonam_Meropenem,Aztreonam,Meropenem,2
Aztreonam_Metformin,Aztreonam,Metformin,1
Aztreonam_Metronidazole,Aztreonam,Metronidazole,2
Aztreonam_Minocycline,Aztreonam,Minocycline,1
Aztreonam_Mitomycin C,Aztreonam,Mitomycin C,1
Aztreonam_Moxifloxacin,Aztreonam,Moxifloxacin,1
Aztreonam_Nisin,Aztreonam,Nisin,2
Aztreonam_Nitrofurantoin,Aztreonam,Nitrofurantoin,1
Aztreonam_Nonactin,Aztreonam,Nonactin,3
Aztreonam_Novobiocin,Aztreonam,Novobiocin,1
Aztreonam_Oxacillin,Aztreonam,Oxacillin,2
Aztreonam_Paraquat,Aztreonam,Paraquat,1
Aztreonam_Penicillin G,Aztreonam,Penicillin G,2
Aztreonam_Phenformin,Aztreonam,Phenformin,3
Aztreonam_Phleomycin,Aztreonam,Phleomycin,1
Aztreonam_Piperacillin,Aztreonam,Piperacillin,2
Aztreonam_Polymyxin B,Aztreonam,Polymyxin B,1
Aztreonam_Procaine,Aztreonam,Procaine,1
Aztreonam_Puromycin,Aztreonam,Puromycin,1
Aztreonam_Reserpine,Aztreonam,Reserpine,1
Aztreonam_Rifampicin,Aztreonam,Rifampicin,1
Aztreonam_Spectinomycin,Aztreonam,Spectinomycin,1
Aztreonam_Spiramycin,Aztreonam,Spiramycin,3
Aztreonam_Streptozotocin,Aztreonam,Streptozotocin,2
Aztreonam_Sulfamonomethoxine,Aztreonam,Sulfamonomethoxine,3
Aztreonam_Teicoplanin,Aztreonam,Teicoplanin,1
Aztreonam_Theophylline,Aztreonam,Theophylline,3
Aztreonam_Tigecycline,Aztreonam,Tigecycline,3
Aztreonam_Tobramycin,Aztreonam,Tobramycin,2
Aztreonam_Triclosan,Aztreonam,Triclosan,2
Aztreonam_Trimethoprim,Aztreonam,Trimethoprim,1
Aztreonam_Vanillin,Aztreonam,Vanillin,1
Aztreonam_Verapamil,Aztreonam,Verapamil,2
Bacitracin_Benzalkonium,Bacitracin,Benzalkonium,1
Bacitracin_Berberine,Bacitracin,Berberine,1
Bacitracin_Bleomycin,Bacitracin,Bleomycin,2
Bacitracin_Caffeine,Bacitracin,Caffeine,3
Bacitracin_CCCP,Bacitracin,CCCP,1
Bacitracin_Cefaclor,Bacitracin,Cefaclor,2
Bacitracin_Cefotaxime,Bacitracin,Cefotaxime,2
Bacitracin_Cefsulodin,Bacitracin,Cefsulodin,2
Bacitracin_Cephalexin,Bacitracin,Cephalexin,3
Bacitracin_Cerulenin,Bacitracin,Cerulenin,2
Bacitracin_CHIR-90,Bacitracin,CHIR-90,2
Bacitracin_Chloramphenicol,Bacitracin,Chloramphenicol,1
Bacitracin_Chlorhexidine,Bacitracin,Chlorhexidine,3
Bacitracin_Ciclopirox,Bacitracin,Ciclopirox,1
Bacitracin_Ciprofloxacin,Bacitracin,Ciprofloxacin,2
Bacitracin_Clarithromycin,Bacitracin,Clarithromycin,3
Bacitracin_Clindamycin,Bacitracin,Clindamycin,3
Bacitracin_Clofazimine,Bacitracin,Clofazimine,1
Bacitracin_Colistin,Bacitracin,Colistin,2
Bacitracin_Curcumin,Bacitracin,Curcumin,1
Bacitracin_Cycloserine D,Bacitracin,Cycloserine D,2
Bacitracin_Daptomycin,Bacitracin,Daptomycin,1
Bacitracin_Diclofenac,Bacitracin,Diclofenac,1
Bacitracin_Doxorubicin,Bacitracin,Doxorubicin,3
Bacitracin_Doxycycline,Bacitracin,Doxycycline,1
Bacitracin_EGCG,Bacitracin,EGCG,1
Bacitracin_Erythromycin,Bacitracin,Erythromycin,1
Bacitracin_Fosfomycin,Bacitracin,Fosfomycin,2
Bacitracin_Fusidic acid,Bacitracin,Fusidic acid,3
Bacitracin_Gentamicin,Bacitracin,Gentamicin,2
Bacitracin_Imipenem,Bacitracin,Imipenem,2
Bacitracin_Levofloxacin,Bacitracin,Levofloxacin,2
Bacitracin_Linezolid,Bacitracin,Linezolid,1
Bacitracin_Loperamide,Bacitracin,Loperamide,2
Bacitracin_Mecillinam,Bacitracin,Mecillinam,2
Bacitracin_Meropenem,Bacitracin,Meropenem,2
Bacitracin_Metformin,Bacitracin,Metformin,1
Bacitracin_Metronidazole,Bacitracin,Metronidazole,2
Bacitracin_Minocycline,Bacitracin,Minocycline,2
Bacitracin_Mitomycin C,Bacitracin,Mitomycin C,2
Bacitracin_Moxifloxacin,Bacitracin,Moxifloxacin,2
Bacitracin_Nisin,Bacitracin,Nisin,2
Bacitracin_Nitrofurantoin,Bacitracin,Nitrofurantoin,2
Bacitracin_Nonactin,Bacitracin,Nonactin,1
Bacitracin_Novobiocin,Bacitracin,Novobiocin,2
Bacitracin_Oxacillin,Bacitracin,Oxacillin,4
Bacitracin_Paraquat,Bacitracin,Paraquat,2
Bacitracin_Penicillin G,Bacitracin,Penicillin G,2
Bacitracin_Phenformin,Bacitracin,Phenformin,2
Bacitracin_Phleomycin,Bacitracin,Phleomycin,3
Bacitracin_Piperacillin,Bacitracin,Piperacillin,4
Bacitracin_Polymyxin B,Bacitracin,Polymyxin B,2
Bacitracin_Procaine,Bacitracin,Procaine,1
Bacitracin_Puromycin,Bacitracin,Puromycin,3
Bacitracin_Reserpine,Bacitracin,Reserpine,3
Bacitracin_Rifampicin,Bacitracin,Rifampicin,2
Bacitracin_Spectinomycin,Bacitracin,Spectinomycin,1
Bacitracin_Spiramycin,Bacitracin,Spiramycin,1
Bacitracin_Streptozotocin,Bacitracin,Streptozotocin,4
Bacitracin_Sulfamonomethoxine,Bacitracin,Sulfamonomethoxine,2
Bacitracin_Teicoplanin,Bacitracin,Teicoplanin,2
Bacitracin_Theophylline,Bacitracin,Theophylline,2
Bacitracin_Tigecycline,Bacitracin,Tigecycline,4
