Species,Plate,Column,Row,Drug name,Prestwick,FLC+Prestwick,%Inhibition,Residuals,Hit?
C.albicans,4,10,G,Amodiaquin dihydrochloride dihydrate,104.55,98.96,5.35,5.59,
C.albicans,2,3,C,Amoxapine,99.18,101.24,-2.07,-2.05,
C.albicans,5,8,D,Amoxicillin,100.2,100.78,-0.58,-0.58,
C.albicans,6,11,A,Amphotericin B,7.66,8.65,-12.93,-0.99,
C.albicans,2,5,D,Ampicillin trihydrate,97.56,97.04,0.54,0.52,
C.albicans,1,9,A,Amprolium hydrochloride,104.2,92.53,11.2,11.67,
C.albicans,3,2,C,Ampyrone,75.15,108.12,-43.86,-32.97,
C.albicans,10,11,H,Amrinone,92.35,102.42,-10.91,-10.08,
C.albicans,1,10,E,Amyleine hydrochloride,96.58,100.38,-3.93,-3.79,
C.albicans,9,10,C,Anabasine,97.8,102.81,-5.12,-5.01,
C.albicans,6,2,B,Androsterone,86.22,81.74,5.2,4.49,
C.albicans,6,3,B,Anisomycin,107.13,100.18,6.49,6.96,
C.albicans,4,9,B,Antazoline hydrochloride,94.78,100.48,-6.02,-5.71,
C.albicans,3,3,G,Antimycin A,56.22,46.09,18.03,10.14,
C.albicans,1,10,C,Antipyrine,97.69,93.75,4.03,3.94,
C.albicans,1,11,C,"Antipyrine, 4-hydroxy",100.75,101.46,-0.71,-0.72,
C.albicans,6,5,B,Apigenin,77.86,83.66,-7.45,-5.8,
C.albicans,13,6,E,Apramycin,97.89,100.74,-2.91,-2.85,
C.albicans,13,7,G,Arbutin,106.59,99.59,6.57,7,
C.albicans,11,7,H,Arcaine sulfate,99.82,100.26,-0.45,-0.45,
C.albicans,6,3,A,Arecoline hydrobromide,99.12,105.61,-6.55,-6.49,
C.albicans,7,9,B,Artemisinin,6.34,21.67,-241.86,-15.33,
C.albicans,13,3,H,Articaine hydrochloride,97.14,101.07,-4.04,-3.93,
C.albicans,5,6,A,Ascorbic acid,100.78,98.73,2.03,2.04,
C.albicans,13,10,C,Asiaticoside,100.12,103.21,-3.08,-3.08,
C.albicans,6,6,B,"Aspartic acid, N-acetyl (R,S)",105.24,96.16,8.62,9.08,
C.albicans,2,7,F,Astemizole,93.54,97.43,-4.16,-3.89,
C.albicans,7,5,F,Atovaquone,75.76,75.18,0.77,0.58,
C.albicans,10,8,B,Atractyloside potassium salt,101.37,104.52,-3.11,-3.15,
C.albicans,1,6,A,Atracurium besylate,95.99,100.31,-4.49,-4.31,
C.albicans,8,6,A,Atropine sulfate monohydrate,103.77,95.51,7.97,8.27,
C.albicans,9,2,E,Austricine,98.93,100.99,-2.08,-2.05,
C.albicans,9,11,B,Avermectin B1,90.73,85.86,5.37,4.87,
C.albicans,2,4,B,Azacyclonol,108.99,102.28,6.15,6.7,
C.albicans,11,7,G,Azacytidine-5,99.03,101.92,-2.93,-2.9,
C.albicans,1,2,A,Azaguanine-8,97.23,91.58,5.81,5.65,
C.albicans,14,8,H,Azaperone,101.76,6.08,94.03,95.69,yes
C.albicans,13,4,E,Azapropazone,98.48,100.08,-1.62,-1.6,
C.albicans,2,5,B,Azathioprine,102.44,98.41,3.93,4.03,
C.albicans,7,4,A,"Azathymine, 6",104.08,107.73,-3.51,-3.65,
C.albicans,11,2,C,Azlocillin sodium salt,93.17,96.75,-3.84,-3.58,
C.albicans,3,6,C,Aztreonam,115.11,107.62,6.51,7.49,
C.albicans,6,7,B,Bacampicillin hydrochloride,105.93,107.38,-1.37,-1.45,
C.albicans,12,10,D,Bacitracin,102.91,89.6,12.94,13.32,
C.albicans,2,6,A,"Baclofen (R,S)",113.16,106.67,5.74,6.49,
C.albicans,5,2,E,Bambuterol hydrochloride,79.54,107.95,-35.71,-28.4,
C.albicans,11,6,F,Beclomethasone dipropionate,92.84,91.32,1.64,1.52,
C.albicans,12,3,A,Bemegride,111.53,101.8,8.72,9.73,
C.albicans,10,5,G,Bendroflumethiazide,100.94,100.23,0.7,0.71,
C.albicans,5,8,E,Benfluorex hydrochloride,105.05,100.6,4.23,4.45,
C.albicans,9,5,B,Benfotiamine,102.86,101.95,0.89,0.91,
C.albicans,1,8,F,Benoxinate hydrochloride,106.13,93.75,11.67,12.38,
C.albicans,7,5,A,Benperidol,97.21,107.74,-10.84,-10.53,
C.albicans,12,9,F,Benserazide hydrochloride,102.17,99.55,2.56,2.61,
C.albicans,9,8,B,Benzamil hydrochloride,99.84,99.6,0.24,0.24,
C.albicans,13,9,G,Benzathine benzylpenicillin,94.61,104.03,-9.96,-9.42,
C.albicans,5,11,E,Benzbromarone,2.95,28.53,-866.59,-25.58,
C.albicans,9,9,G,Benzethonium chloride,4.79,0,NA,4.79,
C.albicans,9,3,H,Benzocaine,96.61,96.72,-0.11,-0.11,
C.albicans,1,3,B,Benzonatate,102.78,91.06,11.4,11.72,
C.albicans,11,5,C,Benzthiazide,106.43,99.99,6.05,6.44,
C.albicans,4,8,F,Benzydamine hydrochloride,100.64,101.09,-0.45,-0.45,
C.albicans,14,9,D,Benzylpenicillin sodium,94.42,96.29,-1.97,-1.86,
C.albicans,12,7,F,Bephenium hydroxynaphthoate,85.07,89.34,-5.02,-4.27,
C.albicans,5,9,E,Bepridil hydrochloride,102.09,104.68,-2.54,-2.59,
C.albicans,8,7,C,Berberine chloride,96.61,99.99,-3.5,-3.39,
C.albicans,11,2,B,Bergenin monohydrate,105.59,100.61,4.71,4.98,
C.albicans,9,3,E,beta- Belladonnine dichloroethylate,94.46,94.33,0.14,0.13,
C.albicans,9,7,D,Beta-Escin,97.74,98.49,-0.77,-0.75,
C.albicans,7,4,G,Betahistine mesylate,97.86,100.23,-2.43,-2.37,
C.albicans,5,3,E,Betamethasone,96.51,99.96,-3.57,-3.45,
C.albicans,13,6,C,Beta-sistosterol,86.56,82.46,4.73,4.09,
C.albicans,5,3,G,Betaxolol hydrochloride,89.28,95.58,-7.06,-6.3,
C.albicans,1,4,E,Betazole hydrochloride,100.54,101.99,-1.44,-1.45,
C.albicans,14,4,D,Bethanechol chloride,98.85,99.75,-0.91,-0.9,
C.albicans,9,9,A,Betonicine,101.32,103.28,-1.94,-1.96,
C.albicans,13,11,C,Betulin,86.85,87.23,-0.44,-0.38,
C.albicans,6,8,B,Betulinic acid,59.62,63.3,-6.17,-3.68,
C.albicans,5,9,F,Bezafibrate,99.03,100.12,-1.1,-1.09,
C.albicans,8,10,C,Bicuculline (+),96.76,104.29,-7.79,-7.53,
C.albicans,6,9,B,Biotin,101.35,107.53,-6.11,-6.19,
C.albicans,7,3,C,Biperiden hydrochloride,99.74,104.86,-5.14,-5.12,
C.albicans,6,10,B,Bisacodyl,105.09,100.98,3.91,4.11,
C.albicans,5,11,A,Bisoprolol fumarate,100.03,109.35,-9.31,-9.31,
C.albicans,8,11,D,Boldine,105.2,93.14,11.47,12.06,
C.albicans,12,3,G,Bretylium tosylate,97.02,101.79,-4.92,-4.77,
C.albicans,5,6,E,Brinzolamide,101.38,97.35,3.98,4.04,
C.albicans,2,2,E,Bromocryptine mesylate,91.96,105.02,-14.21,-13.06,
C.albicans,9,5,G,Bromopride,100.41,95.09,5.31,5.33,
C.albicans,7,10,C,Bromperidol,95.51,99.29,-3.95,-3.77,
C.albicans,6,6,H,Brompheniramine maleate,111.88,104.49,6.6,7.39,
C.albicans,11,4,B,Bucladesine sodium salt,95.53,104.31,-9.2,-8.79,
C.albicans,7,9,D,Budesonide,108.1,104.87,2.99,3.23,
C.albicans,4,4,A,Bufexamac,102.66,88.73,13.57,13.93,yes
C.albicans,6,7,C,Buflomedil hydrochloride,103.92,100.48,3.31,3.44,
C.albicans,4,7,D,Bumetanide,105.78,91.54,13.46,14.24,
C.albicans,4,6,G,Bupivacaine hydrochloride,98.5,97.55,0.97,0.95,
C.albicans,4,10,A,Bupropion hydrochloride,96.32,94.76,1.63,1.57,
C.albicans,5,10,E,Buspirone hydrochloride,100.18,100.77,-0.58,-0.58,
C.albicans,11,2,D,Butacaine,108.77,102.09,6.15,6.68,
C.albicans,10,2,E,Butamben,100.32,95.03,5.27,5.29,
C.albicans,9,11,A,Butirosin disulfate salt,103.02,103.6,-0.57,-0.58,
C.albicans,6,9,A,Butoconazole nitrate,6.64,7.05,-6.17,-0.41,
C.albicans,12,5,B,Butylparaben,75.06,82.2,-9.51,-7.14,
C.albicans,12,3,C,Caffeic acid,97.52,104.12,-6.76,-6.59,
C.albicans,6,11,B,Calciferol,111.56,110.27,1.16,1.29,
C.albicans,8,6,D,Calycanthine,95.04,106.73,-12.3,-11.69,
C.albicans,3,11,D,"Camptothecine (S,+)",57.13,10.93,80.87,46.2,yes
C.albicans,8,10,E,"Canavanine sulfate monohydrate (L,+)",94.57,99.97,-5.71,-5.4,
C.albicans,2,9,G,Canrenoic acid potassium salt,102.39,101.5,0.87,0.89,
C.albicans,12,6,A,Cantharidin,12.38,2.31,81.3,10.06,
C.albicans,11,10,H,Capsaicin,106.63,99.35,6.83,7.28,
C.albicans,1,10,B,Captopril,100.78,102.97,-2.17,-2.18,
C.albicans,11,11,H,Carbachol,106.24,104.28,1.84,1.96,
C.albicans,1,3,F,Carbamazepine,95.01,100.92,-6.22,-5.91,
C.albicans,6,4,B,Carbarsone,106.81,95.21,10.86,11.6,
C.albicans,11,8,D,Carbenoxolone disodium salt,93.05,83.43,10.33,9.62,
C.albicans,5,8,G,Carbetapentane citrate,116.33,101.41,12.83,14.92,
C.albicans,6,10,D,Carbimazole,94.85,100.17,-5.61,-5.32,
C.albicans,11,2,A,Carbinoxamine maleate salt,100.99,100.01,0.97,0.98,
C.albicans,6,3,C,Carcinine,102.34,100.97,1.35,1.38,
C.albicans,6,4,C,Carisoprodol,104.09,100,3.93,4.09,
C.albicans,6,7,E,Carteolol hydrochloride,110.17,103.37,6.18,6.81,
C.albicans,11,8,B,"Catechin-(+,-) hydrate",102.28,101.74,0.53,0.54,
C.albicans,7,6,A,Cefaclor,89.44,107.74,-20.47,-18.3,
C.albicans,6,5,D,Cefadroxil,104.24,100.97,3.14,3.27,
C.albicans,13,7,D,Cefalonium,108.67,95.63,12,13.04,
C.albicans,10,8,C,Cefamandole sodium salt,102.61,96.16,6.28,6.44,
C.albicans,10,7,B,Cefazolin sodium salt,101.02,101.01,0,0,
C.albicans,14,9,H,Cefepime hydrochloride,96.1,99.22,-3.25,-3.12,
C.albicans,6,3,G,Cefixime,95.72,87.35,8.75,8.37,
C.albicans,9,11,F,Cefmetazole sodium salt,107.95,103.39,4.22,4.55,
C.albicans,5,8,A,Cefoperazone dihydrate,109.08,100.04,8.28,9.04,
C.albicans,6,11,G,Ceforanide,97.99,104.01,-6.15,-6.02,
C.albicans,2,10,F,Cefotaxime sodium salt,99.35,102.34,-3.02,-3,
C.albicans,6,4,H,Cefotetan,101.63,101.29,0.33,0.34,
C.albicans,7,3,A,Cefotiam hydrochloride,99.38,101.66,-2.29,-2.27,
C.albicans,11,3,D,Cefoxitin sodium salt,103.78,100.27,3.39,3.51,
C.albicans,11,5,B,Cefsulodin sodium salt,105.96,100.61,5.05,5.35,
C.albicans,7,10,A,Ceftazidime pentahydrate,97.54,98.16,-0.63,-0.62,
C.albicans,9,11,H,Cefuroxime sodium salt,100.97,97.66,3.27,3.31,
C.albicans,6,9,C,Cephaeline dihydrochloride heptahydrate,100.7,97.12,3.55,3.58,
C.albicans,5,9,D,Cephalexin monohydrate,107.56,98.33,8.58,9.22,
C.albicans,6,5,C,"Cephalosporanic acid, 7-amino",110.05,102.24,7.09,7.8,
C.albicans,9,10,H,Cephalothin sodium salt,104.36,98.77,5.35,5.58,
C.albicans,7,4,C,Cetirizine dihydrochloride,98.7,98.66,0.05,0.05,
C.albicans,8,8,C,Chelidonine (+),105.71,103.69,1.91,2.02,
C.albicans,4,6,E,Chenodiol,106.37,90.07,15.33,16.3,
C.albicans,6,6,C,Chicago sky blue 6B,97.4,88.15,9.49,9.24,
C.albicans,14,10,D,Chlorambucil,99.15,103.88,-4.77,-4.73,
C.albicans,1,2,D,Chloramphenicol,106.65,105.52,1.06,1.13,
C.albicans,2,4,G,Chlorhexidine,1.46,2.56,NA,-1.1,
C.albicans,5,7,B,Chlormezanone,90.6,104.03,-14.82,-13.43,
C.albicans,6,8,C,Chlorogenic acid,98.62,94.88,3.8,3.75,
C.albicans,11,8,A,Chloropyramine hydrochloride,86.04,95.33,-10.8,-9.29,
C.albicans,7,9,G,Chloroquine diphosphate,105.11,99.28,5.54,5.83,
C.albicans,4,2,B,Chlorothiazide,94.9,101.48,-6.93,-6.57,
C.albicans,10,8,D,Chlorotrianisene,102.27,99.13,3.08,3.15,
C.albicans,2,8,D,Chlorpheniramine maleate,94.96,105.38,-10.97,-10.42,
C.albicans,3,5,H,Chlorphensin carbamate,100.99,85.75,15.09,15.24,yes
C.albicans,1,5,G,Chlorpromazine hydrochloride,102.23,99.86,2.32,2.37,
C.albicans,5,4,A,Chlorpropamide,95.41,89.32,6.39,6.1,
C.albicans,5,9,C,Chlorprothixene hydrochloride,97.29,92.62,4.8,4.67,
C.albicans,2,6,G,Chlortetracycline hydrochloride,101.44,98.82,2.59,2.62,
C.albicans,5,2,D,Chlorthalidone,110.04,94.4,14.21,15.64,
C.albicans,3,4,A,Chlorzoxazone,102.91,99.15,3.65,3.76,
C.albicans,6,10,C,Cholecalciferol,98.47,107.23,-8.9,-8.76,
C.albicans,8,6,F,"Chrysene-1,4-quinone",15.78,21.04,-33.33,-5.26,
C.albicans,12,10,A,Chrysin,94.64,78.74,16.8,15.9,yes
C.albicans,7,2,G,Ciclopirox ethanolamine,0,0,NA,0,
C.albicans,1,7,C,Cimetidine,97.74,98.64,-0.93,-0.91,
C.albicans,8,9,E,Cinchonine,98.58,93.61,5.05,4.98,
C.albicans,4,9,D,Cinnarizine,101.15,106.77,-5.55,-5.62,
C.albicans,10,11,F,Cinoxacin,99.4,93.58,5.85,5.82,
C.albicans,14,7,D,Ciprofibrate,87.7,86.37,1.51,1.33,
C.albicans,2,4,D,Ciprofloxacin hydrochloride,105.09,108.35,-3.1,-3.26,
C.albicans,6,11,C,Cisapride,107.16,100.8,5.93,6.36,
C.albicans,9,3,F,Citalopram Hydrobromide,100.12,98.77,1.34,1.34,
C.albicans,5,11,F,Clebopride maleate,99.38,104.69,-5.34,-5.3,
C.albicans,4,7,G,Clemastine fumarate,98.14,99.19,-1.07,-1.05,
C.albicans,3,8,G,Clemizole hydrochloride,0,21.88,#¿NOMBRE?,-21.88,
C.albicans,5,6,C,Clenbuterol hydrochloride,97.71,104.03,-6.47,-6.32,
C.albicans,11,3,C,Clidinium bromide,105.69,104.46,1.16,1.23,
C.albicans,2,8,F,Clindamycin hydrochloride,102.14,99.43,2.66,2.71,
C.albicans,12,7,A,Clioquinol,12.48,1.15,90.77,11.33,
C.albicans,10,2,G,Clobetasol propionate,93.27,95.78,-2.69,-2.51,
C.albicans,14,10,H,Clocortolone pivalate,84.5,93.94,-11.18,-9.44,
C.albicans,5,7,F,Clofazimine,21.09,43.32,-105.39,-22.23,
C.albicans,10,4,G,Clofibric acid,97.47,92.21,5.39,5.26,
C.albicans,4,10,H,Clofilium tosylate,69.28,73.87,-6.62,-4.59,
C.albicans,5,8,H,"Clomiphene citrate (Z,E)",46.37,51.11,-10.23,-4.74,
C.albicans,4,10,C,Clomipramine hydrochloride,94.99,104.27,-9.77,-9.28,
C.albicans,4,9,A,Clonidine hydrochloride,94.44,89.54,5.19,4.9,
C.albicans,5,5,D,Clopamide,98.87,102.56,-3.74,-3.7,
C.albicans,10,4,H,Cloperastine hydrochloride,105.77,103.55,2.09,2.21,
C.albicans,5,5,C,Clorgyline hydrochloride,104.41,95.37,8.65,9.04,
C.albicans,7,11,F,Clorsulon,103.23,100.24,2.89,2.99,
C.albicans,4,8,C,Clotrimazole,1.66,1.93,NA,-0.27,
C.albicans,3,7,C,Cloxacillin sodium salt,98.09,105.78,-7.85,-7.7,
C.albicans,5,11,C,Clozapine,105.81,102.09,3.52,3.72,
C.albicans,5,4,E,Colchicine,95.84,92.13,3.87,3.71,
C.albicans,7,7,A,Colistin sulfate,87.12,104.05,-19.43,-16.93,
C.albicans,14,4,E,Condelphine,98.55,90.17,8.5,8.38,
C.albicans,8,9,H,Conessine,98.33,103.09,-4.85,-4.77,
C.albicans,8,7,D,Convolamine hydrochloride,104.5,102.4,2.01,2.1,
C.albicans,6,2,D,Coralyne chloride hydrate,124.72,105.46,15.44,19.26,
C.albicans,6,3,D,Corticosterone,104.59,99.53,4.83,5.05,
C.albicans,4,4,D,Cortisone,103.29,105.85,-2.48,-2.56,
C.albicans,8,9,B,Corynanthine hydrochloride,96.22,103.37,-7.43,-7.15,
C.albicans,2,3,A,Cotinine (-),100,101.41,-1.41,-1.41,
C.albicans,11,3,B,Cromolyn disodium salt,100.11,100.11,0,0,
C.albicans,12,2,H,Crotamiton,100.51,101.05,-0.54,-0.55,
C.albicans,6,4,D,Cyanocobalamin,105.76,101.44,4.09,4.32,
C.albicans,14,11,H,Cyclacillin,109.7,107.97,1.58,1.73,
C.albicans,7,11,C,Cyclizine hydrochloride,110.12,103.58,5.94,6.54,
C.albicans,6,6,E,Cyclobenzaprine hydrochloride,108.16,103.05,4.72,5.11,
C.albicans,10,11,G,Cycloheximide,0,0,NA,0,
C.albicans,13,5,D,Cyclopenthiazide,97.29,100.24,-3.03,-2.95,
C.albicans,14,6,F,Cyclopentolate hydrochloride,102.52,103.71,-1.17,-1.2,
C.albicans,6,6,D,Cyclosporin A,88.06,93.75,-6.47,-5.69,
C.albicans,2,4,C,Cyproheptadine hydrochloride,109.8,105.94,3.51,3.86,
C.albicans,14,5,D,Cyproterone acetate,102.21,99.26,2.89,2.95,
C.albicans,8,5,G,Cytisine (-),100.99,106.23,-5.19,-5.24,
C.albicans,8,5,B,Dacarbazine,93.32,101.9,-9.19,-8.58,
C.albicans,2,6,C,Danazol,98.39,78.32,20.4,20.07,yes
C.albicans,4,2,F,Dantrolene sodium salt,95.58,100.4,-5.04,-4.82,
C.albicans,1,6,D,Dapsone,98.54,95.67,2.91,2.87,
C.albicans,7,8,A,Daunorubicin hydrochloride,24.36,14.04,42.36,10.32,
C.albicans,14,7,E,D-cycloserine,102.67,98.11,4.44,4.56,
C.albicans,5,3,F,Debrisoquin sulfate,99.27,102.56,-3.32,-3.3,
C.albicans,13,9,A,Decamethonium bromide,98.71,101.44,-2.77,-2.73,
C.albicans,10,6,A,Deferoxamine mesylate,99.74,96.02,3.74,3.73,
C.albicans,2,4,E,Dehydrocholic acid,108.78,95.15,12.52,13.62,
C.albicans,12,8,F,Dehydroisoandosterone 3-acetate,91.54,104.42,-14.07,-12.88,
C.albicans,9,5,C,Delcorine,104.15,101.34,2.7,2.81,
C.albicans,9,10,D,Delsoline,108.55,99.91,7.96,8.65,
C.albicans,9,4,D,Deltaline,102.29,98.76,3.44,3.52,
C.albicans,8,7,F,Demecarium bromide,62.18,80.95,-30.2,-18.78,
C.albicans,10,4,D,Demeclocycline hydrochloride,104.77,107.17,-2.29,-2.4,
C.albicans,13,2,A,Denatonium benzoate,97.07,98.64,-1.62,-1.57,
C.albicans,12,8,H,Deoxycorticosterone,78.82,87.9,-11.51,-9.07,
C.albicans,13,4,F,Deptropine citrate,97.58,99.75,-2.22,-2.17,
C.albicans,5,9,G,Dequalinium dichloride,0.39,0.49,NA,-0.1,
C.albicans,5,4,C,Desipramine hydrochloride,110.04,102.4,6.94,7.64,
C.albicans,2,11,E,Dexamethasone acetate,92.07,101.53,-10.27,-9.46,
C.albicans,5,10,D,Dextromethorphan hydrobromide monohydrate,100.2,102.23,-2.03,-2.03,
C.albicans,2,8,A,Diazoxide,96.23,101.75,-5.73,-5.52,
C.albicans,1,7,H,Dibucaine,93.14,102.11,-9.63,-8.97,
C.albicans,11,10,A,Dichlorphenamide,101.87,98.72,3.09,3.15,
C.albicans,8,5,D,Diclofenac sodium,72.67,89.42,-23.04,-16.74,
C.albicans,6,11,E,Dicloxacillin sodium salt,99.99,105.46,-5.47,-5.47,
C.albicans,10,6,G,Dicumarol,92.89,97.09,-4.52,-4.2,
C.albicans,1,9,E,Dicyclomine hydrochloride,100.46,99.69,0.77,0.77,
C.albicans,10,9,H,Dienestrol,88.6,95.74,-8.06,-7.14,
C.albicans,4,5,E,Diethylcarbamazine citrate,107.92,97.45,9.7,10.47,
C.albicans,10,7,D,Diethylstilbestrol,102.32,94.29,7.85,8.03,
C.albicans,8,10,F,Diflorasone Diacetate,107.41,102.69,4.39,4.72,
C.albicans,1,10,D,Diflunisal,75.81,66.09,12.82,9.72,
C.albicans,6,7,D,Digitoxigenin,104.09,95.2,8.54,8.89,
C.albicans,12,4,A,Digoxigenin,113.91,105.07,7.76,8.84,
C.albicans,6,8,D,Digoxin,105.07,106.1,-0.98,-1.03,
C.albicans,8,3,A,Dihydroergocristine mesylate,100.13,96.95,3.18,3.18,
C.albicans,2,11,G,Dihydroergotamine tartrate,95.6,104.51,-9.31,-8.9,
C.albicans,8,10,A,Dihydroergotoxine mesylate,9.11,0,100,9.11,
C.albicans,2,10,H,Dihydrostreptomycin sulfate,100,98.67,1.33,1.33,
C.albicans,3,7,H,Dilazep dihydrochloride,98.09,98.26,-0.18,-0.17,
C.albicans,12,4,C,Diloxanide furoate,97.87,104.1,-6.37,-6.23,
C.albicans,2,5,F,Diltiazem hydrochloride,99.1,102.34,-3.27,-3.24,
C.albicans,13,4,C,Dimaprit dihydrochloride,96.1,103.54,-7.74,-7.44,
C.albicans,4,6,C,Dimenhydrinate,104.6,101.74,2.74,2.86,
