Species,Plate,Row,Column,Compound Name,Average Relative Growth: DMSO + Compound,Average Relative Growth: AmpB + Compound,Average Relative Growth: Ben + Compound,Average Relative Growth: CF + Compound,Average Relative Growth: Cyp + Compound,Average Relative Growth: FL + Compound,Average Relative Growth: TB + Compound
C.albicans,90,C,4,(±)-Ibotenic acid,102.15,99.1,99,99.83,99.32,94.58,104.17
C.albicans,90,K,4,(±)-Ibuprofen,85.16,84.92,86.17,91.41,83.87,100.31,86.48
C.albicans,90,O,4,(±)-Isoproterenol hydrochloride,101.85,97.87,99.67,100.27,105.32,102.02,103.19
C.albicans,90,L,17,(±)-Methoxyverapamil hydrochloride,99.55,100.11,101.56,28.94,98.89,109.46,102.18
C.albicans,90,B,17,(±)-Metoprolol (+)-tartrate,98.82,102.91,100.29,103.62,106.24,105.59,105.45
C.albicans,90,L,6,(±)-Muscarine chloride,102.72,102.64,100.98,100.07,103.83,99.52,102.98
C.albicans,88,I,4,(±)-Nipecotic acid,102.89,102.59,100.48,99.73,104.38,92.79,99.29
C.albicans,85,N,22,(±)-Nipecotic acid ,102.5,100.19,104.07,95.84,103.04,89.63,102.56
C.albicans,88,K,8,(±)-Norepinephrine (+)bitartrate,105.73,93.4,98.12,98.94,101.45,105.3,100.68
C.albicans,90,L,18,(±)-Normetanephrine hydrochloride,102.78,101.55,102.45,103.74,101.36,107.69,98.59
C.albicans,91,A,11,(±)-Octoclothepin maleate,102.09,98.17,97.72,25.35,102.43,105.6,99.6
C.albicans,91,K,5,(±)-Octopamine hydrochloride,103.9,101.22,107.29,99.45,100.92,102.92,100.72
C.albicans,88,J,9,(±)-p-Aminoglutethimide,97.51,102.22,99.16,97.05,103.79,91.22,103.11
C.albicans,89,I,13,(±)-p-Chlorophenylalanine,96.8,101.63,98.6,100.3,102.19,98.56,97.86
C.albicans,91,O,18,"(±)-PD 128,907 hydrochloride",102.54,99.16,100.48,99.68,99.57,103.34,102.35
C.albicans,91,I,14,(±)-PPHT hydrochloride,99.17,98.7,95.93,98.25,97.13,100.55,96.82
C.albicans,91,C,13,(±)-Propranolol hydrochloride,97.84,101.65,105.77,99.99,98.8,94.52,99.05
C.albicans,91,M,22,(±)-Quinpirole dihydrochloride,100.85,100.01,104.11,102.71,103.16,97.65,106.16
C.albicans,91,F,8,"(±)-SKF 38393, N-allyl-, hydrobromide",100.52,94.96,99.65,100.02,99.32,98.3,96.07
C.albicans,89,H,13,(±)-SKF-38393 hydrochloride,101.61,94.73,98.54,99.21,96.52,102.55,100.47
C.albicans,91,D,11,(±)-Sotalol hydrochloride,99.8,99.36,102.92,100.02,103.64,99.62,101.65
C.albicans,91,B,21,(±)-Sulpiride,102.85,103.63,103.46,101.44,102.28,100,94.54
C.albicans,91,J,11,(±)-Synephrine,103.25,101.12,74.03,99.46,98.33,108.16,101.46
C.albicans,91,P,16,(±)-Taxifolin,99.55,99.15,101.88,101.01,99.76,98.47,97.86
C.albicans,92,B,6,(±)-Thalidomide,100.4,8.12,103.58,99.22,99,102.56,101.93
C.albicans,92,E,9,(±)-Thalidomide,101.21,102.42,100.14,100.72,98.47,99.09,94.64
C.albicans,91,O,4,(±)-threo-1-Phenyl-2-decanoylamino-3-morpholino-1-propanol hydrochloride,99.79,93.05,98.76,99.74,100.54,29.05,100.07
C.albicans,90,I,5,(±)-Vanillylmandelic acid,98.47,95.36,99.25,100.97,105.99,101.69,104.87
C.albicans,92,B,19,(±)-Verapamil hydrochloride,98.09,101.08,102.94,101.65,100.96,97.34,102.81
C.albicans,92,G,15,(±)-Verapamil hydrochloride,99.37,101.23,97.87,79.86,101.52,102.77,101.51
C.albicans,92,B,10,(±)-Vesamicol hydrochloride,90.27,88.54,91.83,90.61,93.91,96.71,92.09
C.albicans,92,E,17,(±)-Vesamicol hydrochloride,98.72,102.61,97.56,101.59,100.72,96.97,102.25
C.albicans,89,K,10,"(2S,1'S,2'S)-2-(carboxycyclopropyl)glycine",105.98,102.92,100.15,101.78,97.76,98.55,96.93
C.albicans,91,J,16,"(6R)-5,6,7,8-Tetrahydro-L-biopterin hydrochloride",99.7,105.99,97.76,102.1,102.63,99.12,102.58
C.albicans,85,G,5,"(d,l)-Tetrahydroberberine",104.1,95.85,94.38,98.24,97.63,133.88,97.73
C.albicans,91,F,12,(E)-4-amino-2-butenoic acid,100.64,97.6,100.79,98.65,98.07,107.28,97.75
C.albicans,88,D,12,(E)-5-(2-Bromovinyl)-2'-deoxyuridine,98.56,105.19,99.68,98.09,95.68,92.09,99.92
C.albicans,85,O,4,(R) -Naproxen sodium salt,90.3,90.99,95.77,98.69,93.93,119.95,93.23
C.albicans,85,P,8,(R)-(+)-Atenolol,101.45,103.75,95.74,97.01,98.81,93.03,102.5
C.albicans,86,G,12,(R)-Propranolol hydrochloride,98.61,100.7,91.34,100.1,99.27,90.09,99.03
C.albicans,89,N,7,"(R,R)-cis-Diethyl tetrahydro-2,8-chrysenediol",96.9,92.2,93.03,92.32,98.55,113.4,96.4
C.albicans,84,L,13,(S)-(-)-Atenolol,97.33,101.7,110.72,102.95,99.69,103.34,101.28
C.albicans,86,I,20,(S)-(-)-Cycloserine,97.72,97.43,99.7,81.58,103.58,75.64,96.4
C.albicans,91,M,12,(S)-(-)-propafenone hydrochloride,100.82,102.32,98.51,67.82,97.62,101.8,103.32
C.albicans,89,E,4,(S)-(+)-Camptothecin,99.05,96.83,98.64,99.55,104.77,74.6,97.69
C.albicans,89,A,18,"(S)-3,5-Dihydroxyphenylglycine",99.74,99.59,100.71,99.91,102.19,101.27,99.92
C.albicans,89,D,10,(S)-ENBA,101.03,98.32,102.66,100.79,97.6,99.57,95.78
C.albicans,90,J,17,(S)-MAP4 hydrochloride,97.84,103.54,99.72,101.51,101.12,100.39,103.04
C.albicans,86,I,4,(S)-propranolol hydrochloride,100.6,101.81,104.91,101.79,100.73,86.07,99.72
C.albicans,91,M,8,(S)-Propranolol hydrochloride,100.23,106.36,99.87,103.07,99.82,102.3,101.05
C.albicans,89,H,7,(Z)-Guggulsterone,87.91,88.38,88.01,86.02,88.1,102.8,95.28
C.albicans,91,N,4,1-(1-Naphthyl)piperazine hydrochloride,101.27,98.76,102.18,95.87,101.17,101.64,100.14
C.albicans,89,C,3,"1-(2-Chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane",100.59,99.86,98.88,94.35,105.77,98.75,92.88
C.albicans,91,B,6,1-(2-Methoxyphenyl)piperazine hydrochloride,101.59,103.18,100.67,100.57,100.68,95.13,99.65
C.albicans,98,K,10,1-(2-TRIFLUOROMETHYLPHENYL)IMIDAZOLE,104.94,103.07,102.09,101.5,100.78,102.32,97.69
C.albicans,88,P,20,1-(4-Chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid,98.65,106,100.83,101.61,97.26,107.3,100.47
C.albicans,89,F,12,1-(4-Fluorobenzyl)-5-methoxy-2-methylindole-3-acetic acid,97.78,104.21,99.35,93.66,99.27,96.94,96.16
C.albicans,90,E,11,1-(4-Hydroxybenzyl)imidazole-2-thiol,101.51,99.31,100.66,99.48,98.54,96.98,102.59
C.albicans,90,I,6,1-(5-Isoquinolinylsulfonyl)-2-methylpiperazine dihydrochloride,97.24,98.78,106.83,100.47,102.78,104.28,104.06
C.albicans,90,E,6,1-(5-Isoquinolinylsulfonyl)-3-methylpiperazine dihydrochloride,97.39,98.37,100.75,99.78,104.06,98.62,103.24
C.albicans,89,E,8,1-(m-Chlorophenyl)-biguanide hydrochloride,105.64,102.9,103.72,99.45,103.62,90.84,102.06
C.albicans,89,L,17,"1,10-Diaminodecane",100.72,105.59,101.61,102.28,101.83,106.07,101.42
C.albicans,91,E,12,"1,10-Phenanthroline monohydrate",96.57,107.18,98.69,5.28,-0.05,94.52,0.95
C.albicans,89,O,22,"1,1-Dimethyl-4-phenyl-piperazinium iodide",102.28,101.24,104.24,99.31,100.43,105.13,105.48
C.albicans,92,I,12,"1,2alpha-EPOXYDEACETOXYDIHYDROGEDUNIN",100.85,106.66,99.64,81.94,101.01,98.44,100.86
C.albicans,90,C,11,"1,3,5-tris(4-hydroxyphenyl)-4-propyl-1H-pyrazole",100.19,52.06,102.21,94.67,102.17,96.78,99.86
C.albicans,92,G,16,"1,3-DIDEACETYL-7-DEACETOXY-7-OXOKHIVORIN",98.76,98.07,93.18,91.47,100.57,99.48,97.52
C.albicans,91,G,15,"1,3-Dimethyl-8-phenylxanthine",97.8,101.01,102.56,99.56,95.34,103.45,95.61
C.albicans,89,D,15,"1,3-Dipropyl-7-methylxanthine",97.59,100.48,99.25,100.1,97.1,102.34,102.02
C.albicans,88,N,11,"1,3-Dipropyl-8-p-sulfophenylxanthine",102.74,98.89,100.38,101.22,100.45,94.91,103.2
C.albicans,91,A,8,"1,3-PBIT dihydrobromide",99.89,98.69,97.95,98.25,99.02,96.51,102.12
C.albicans,89,I,14,"1,4-Dideoxy-1,4-imino-D-arabinitol",101.68,99.32,99.91,101.34,97.65,100.76,97.87
C.albicans,97,D,6,"1,4-NAPHTHOQUINONE",-5.26,-3.75,0.05,1.02,0.36,-8.19,0.4
C.albicans,91,E,8,"1,4-PBIT dihydrobromide",98.56,99.68,99.34,96.62,100.85,104.38,98.77
C.albicans,90,C,12,"1,5-Isoquinolinediol",101.16,99.51,99.85,98.79,99.29,88.06,99.46
C.albicans,92,I,16,"1,7-DIDEACETOXY-1,7-DIOXO-3-DEACETYLKHIVORIN",103.52,103.99,98.24,101.54,101.66,99.41,100.35
C.albicans,92,O,22,"1,7-DIDEACETOXY-1,7-DIOXOKHIVORIN",102.88,106.5,100.95,109.31,102.97,103.56,103.92
C.albicans,89,M,20,"1,7-Dimethylxanthine",103.13,103.59,99.77,103.32,104.01,101.89,101.94
C.albicans,91,P,22,1-[2-(Trifluoromethyl)phenyl]imidazole,103.93,103.31,99.68,101.21,98.52,96.44,101.95
C.albicans,94,N,21,10-HYDROXYCAMPTOTHECIN,103.06,100.72,99.6,106.09,100.67,97.76,99.37
C.albicans,93,P,8,11a-ACETOXYPROGESTERONE,101.99,100.81,102.2,101.28,99.46,109.99,103.31
C.albicans,92,F,10,12a-HYDROXY-5-DEOXYDEHYDROMUNDUSERONE,93.11,93.93,90.65,90.48,92.83,105.63,96.08
C.albicans,92,J,7,12a-HYDROXY-9-DEMETHYLMUNDUSERONE-8-CARBOXYLIC ACID,102.14,103.7,103.21,100.3,101.45,98.62,99.93
C.albicans,91,J,3,13-cis-retinoic acid,100.47,-2.31,101.55,69.58,103.92,96,98.86
C.albicans,92,F,3,"13-METHYL-4,4-BISNOR-8,11,13-PODOCARPATRIEN-3-ONE",99.49,101.36,94.24,100.67,100.53,104.4,99.98
C.albicans,92,C,20,1400W dihydrochloride,98.99,102.12,101.77,97.01,99.3,103.28,100.07
C.albicans,92,K,17,1400W dihydrochloride,99.63,107.56,99.32,104.06,102.78,99.97,99.79
C.albicans,94,K,19,15-NORCARYOPHYLLEN-3-ONE,100.37,103.18,99.01,104.06,103.39,100.47,98.11
C.albicans,90,A,11,17alpha-hydroxyprogesterone,98.04,96.46,94.52,97.8,97.21,113.72,98.14
C.albicans,93,E,20,18alpha-GLYCYRRHETINIC ACID,97.64,104.77,93.53,102.1,101.69,101.08,100.98
C.albicans,93,J,6,"18-AMINOABIETA-8,11,13-TRIENE SULFATE",99.5,4.18,92.12,100.52,93.7,25.57,96.52
C.albicans,88,B,6,"1-Allyl-3,7-dimethyl-8-p-sulfophenylxanthine",98.9,104.68,102.52,99.68,101.56,97.84,101.67
C.albicans,88,H,15,1-Amino-1-cyclohexanecarboxylic acid hydrochloride,98.76,101.3,100.76,97.8,99,103.47,98.6
C.albicans,88,K,14,1-Aminobenzotriazole,99.45,105.84,97.7,99.43,100.14,99.22,99.47
C.albicans,98,K,13,1-AMINOCYCLOBUTANE CARBOXYLIC ACID,101.06,104.92,98.87,102.29,102.89,101.77,101.31
C.albicans,88,O,6,1-Aminocyclopropanecarboxylic acid hydrochloride,97.71,95.51,98.22,98.29,102.2,103.86,102.84
C.albicans,88,F,21,1-benzoyl-5-methoxy-2-methylindole-3-acetic acid,99.3,99.95,101.24,101.02,95.35,103.56,101.35
C.albicans,89,J,9,1-Deoxynojirimycin hydrochloride,97.69,100.74,100.01,97.97,102.35,103.02,103.81
C.albicans,94,K,5,"1-HYDROXY-3,6,7-TRIMETHOXY-2,8-DIPRENYLXANTHONE",100.7,101.41,103.36,86.12,101.83,95.71,105.13
C.albicans,90,H,15,1-Methylhistamine dihydrochloride,104.4,100.35,99.01,101.02,99.08,97.01,101.6
C.albicans,90,H,4,1-Methylimidazole,101.02,104.99,106.19,100.27,100.36,95.74,101.49
C.albicans,93,G,3,1-MONOPALMITIN,105.45,0.87,103.71,-0.23,102.38,100.09,103.18
C.albicans,91,C,17,1-Phenyl-3-(2-thiazolyl)-2-thiourea,92.37,92.87,97.09,93.94,96.67,99.72,91.47
C.albicans,91,E,16,1-Phenylbiguanide,100.76,96.01,101.58,93.12,98.42,97.59,98.02
C.albicans,98,A,13,1-PHENYLBIGUANIDE HYDROCHLORIDE,101.65,96.42,101.17,96.76,99.3,100,101.01
C.albicans,94,E,17,"1R,2S-PHENYLPROPYLAMINE",98.2,102.02,98.35,98.74,100.76,102.23,103.58
C.albicans,88,O,18,2-(2-Aminoethyl)isothiourea dihydrobromide,101.97,101.17,101.8,98.09,101.96,110.24,100.89
C.albicans,98,M,10,"2-(N,N-DIETHYLAMINO)DIAZENOLATE-2-OXIDE DIETHYLAMONIUM SALT",98.38,108.31,101.61,101.35,98.79,104.63,102.57
C.albicans,97,P,11,"2,2'-AZO-bis-2-AMINOPROPANE",97.61,101.38,100.06,101.17,94.11,101.01,98.81
C.albicans,89,P,3,"2,2'-Bipyridyl",100.48,101.37,97.95,95.25,100.03,90.41,103.37
C.albicans,92,F,13,"2,3,4-TRIHYDROXY-4'-ETHOXYBENZOPHENONE",84.94,85.43,75.43,89.12,86.63,90.45,93.85
C.albicans,89,M,16,"2,3-Butanedione",97.87,104.52,101.35,101.24,98.92,99.16,102.58
C.albicans,88,B,12,"2,3-Butanedione monoxime",98.01,96.54,101.42,39.65,94.3,102.05,97.34
C.albicans,97,B,13,"2,3-DICHLORO-5,8-DIHYDROXYNAPTHOQUINONE",-3.85,-2.18,0.84,1.52,1.22,-6.09,2.08
C.albicans,89,C,14,"2',3'-didehydro-3'-deoxythymidine",102.5,104.93,100.62,101.44,102.67,94.47,99.21
C.albicans,89,G,22,"2',3'-dideoxycytidine",99.1,99.68,100.67,102.87,101.15,102.65,105.04
C.albicans,93,N,12,"2',3-DIHYDROXY-4,4',6'-TRIMETHOXYCHALCONE",93.99,91.3,91.64,14.55,98.25,97.96,97.93
C.albicans,92,H,13,"2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE",88.47,84.93,91.43,90.41,95.22,87.88,86.2
C.albicans,97,F,9,"2,3-DIMERCAPTOSUCCINIC ACID",97.05,100.52,73.72,-0.22,0.1,99.04,61.71
C.albicans,89,O,20,"2,3-Dimethoxy-1,4-naphthoquinone",84.82,92.15,84.85,93.26,85.68,96.8,95.33
C.albicans,97,F,16,"2,4,5-TRICHLOROPHENOXYACETIC ACID",98.04,93.91,92.55,93.18,86,97.83,96.3
C.albicans,97,D,16,"2,4,5-TRICHLOROPHENOXYACETIC ACID, METHYL ESTER",100.4,95.08,97.69,101.71,100.82,95.01,95.79
C.albicans,89,D,19,"2,4-Diamino-6-pyrimidinone",98.37,106.49,101.47,100.4,100.58,101.65,94.14
C.albicans,97,N,14,"2,4-DICHLOROPHENOXYACETIC ACID",100.38,102.48,98.92,102.43,99.73,97.97,98.12
C.albicans,98,I,20,"2,4-DICHLOROPHENOXYACETIC ACID, ISOOCTYL ESTER",99.8,101.66,100.21,104.63,100.08,102.37,96.72
C.albicans,98,E,20,"2,4-DICHLOROPHENOXYACETIC ACID, METHYL ESTER",96.73,93.77,91.79,100.6,98.48,102.69,98.13
C.albicans,97,P,14,"2,4-DICHLOROPHENOXYBUTYRIC ACID",74.28,81.03,80.78,86.31,81.73,76.23,76.05
C.albicans,97,P,18,"2,4-DICHLOROPHENOXYBUTYRIC ACID, METHYL ESTER",85.08,87,90.58,95.76,91.36,94.86,89.15
C.albicans,93,B,12,"2',4-DIHYDROXY-3,4',6'-TRIMETHOXYCHALCONE",99.97,96,100.12,102.31,100.78,99.91,96.67
C.albicans,93,L,12,"2',4'-DIHYDROXY-4-METHOXYCHALCONE",82.9,80.57,70.49,87.71,80.16,84.73,67.18
C.albicans,94,G,5,"2',4'-DIHYDROXY-6'-METHOXYACETOPHENONE",99.04,101.5,100.78,100.21,97.95,104.05,104.35
C.albicans,93,H,10,"2',4'-DIHYDROXYCHALCONE",77.04,77.65,77.15,88.02,85.47,85.18,77.89
C.albicans,97,J,11,"2',4-DIHYDROXYCHALCONE",84.52,83.62,66.34,90.55,48.28,81.24,79.66
C.albicans,92,N,11,"2',4'-DIHYDROXYCHALCONE 4'-GLUCOSIDE",90.6,91.41,95.75,89.15,93.21,94.62,96.54
C.albicans,97,J,14,"2,4-DINITROPHENOL",75.65,84.46,75.68,87.7,70.77,79.65,74.36
C.albicans,89,K,14,"2,4-Dinitrophenyl 2-fluoro-2-deoxy-beta-D-glucopyranoside",91.95,91.12,91.61,94.35,90.76,104.89,97.3
C.albicans,92,H,14,"2,5-DIHYDROXY-3,4-DIMETHOXY-4'-ETHOXYBENZOPHENONE",93.32,91.35,95.96,101.54,95.12,98.44,88.47
C.albicans,93,D,12,"2',5'-DIHYDROXY-4-METHOXYCHALCONE",76.36,75.25,79.65,85.81,86.4,80.59,78.27
C.albicans,97,L,9,"2,5-DI-t-BUTYL-4-HYDROXYANISOLE",101.68,98.5,102.5,102.41,105.69,103.39,102.88
C.albicans,90,P,21,"2,6-Difluoro-4-[2-(phenylsulfonylamino)ethylthio]phenoxyacetamide",99.52,104.54,103.03,102.11,101.47,100.35,103.44
C.albicans,94,C,7,"2,6-DIHYDROXY-4-METHOXYTOLUENE",102.28,103.9,103.19,103.49,101.47,83.74,105.21
C.albicans,97,J,19,"2,6-DI-t-BUTYL-4-METHYLPHENOL",100.87,99.2,100.31,106.38,98.46,106.39,102.65
C.albicans,93,B,10,21-ACETOXYPREGNENOLONE,98.96,96.09,95.88,89.56,97.92,104.45,97.71
C.albicans,94,G,13,2-ACETYLPYRROLE,101.47,96.94,99.75,98.89,101.53,98.92,102.41
C.albicans,85,H,8,2-Aminobenzenesulfonamide,102.7,105.04,93.84,102.36,101.33,97.99,100.58
C.albicans,98,M,19,2-AMINOGUANIDINE HEMISULFATE,100.59,100.8,100.74,103.43,102.43,107.62,101.79
C.albicans,92,P,15,2-BENZOYL-5-METHOXYBENZOQUINONE,99.16,99.94,99.27,98.55,97.17,104.43,95.64
C.albicans,89,C,10,2-Chloro-2-deoxy-D-glucose,100.72,100.79,101.92,99.41,98.17,91.11,100.1
