,EC BW,EC BW,EC BW,EC iAi1,EC iAi1,EC iAi1,ST LT2,ST LT2,ST LT2,ST 14028s,ST 14028s,ST 14028s,PAO1,PAO1,PAO1,PA14,PA14,PA14
Amoxicillin_Erythromycin,-0.009503133,-0.09492726,0.063710976,0,-0.08025584,0.045019481,0.018020485,-0.017030998,0.072934683,0.035551301,-0.014519078,0.056126267,-0.005742542,-0.034292259,0.011002723,-0.002522353,-0.025290124,0.019412497
Amoxicillin_Trimethoprim,-0.080695879,-0.168981691,-0.040815006,0.044372798,-0.019762082,0.092046379,0.033533019,-0.025898308,0.093074035,0.053188191,0.019144984,0.115637791,-0.013282096,-0.033508523,0.015814435,-0.012928859,-0.034663075,0.006944743
Amoxicillin_Sulfamonomethoxine,0.022337545,-0.038416966,0.047994639,0,-0.046296549,0.013637556,-0.054147527,-0.089903089,-0.026119761,-0.017842249,-0.050586416,0.037597963,-0.007862001,-0.04568319,0.026527593,-0.008165776,-0.046070907,0.021600993
Amoxicillin_Paraquat,0.000788741,-0.06338344,0.040675892,-0.00591712,-0.077865579,0.000963744,-0.027897438,-0.075074593,0.017668694,0.000816377,-0.036784796,0.032604551,-0.00677962,-0.043793347,0.036116673,0.018538832,-0.015433655,0.029389096
Amoxicillin_Procaine,0.086362593,0.03957537,0.233405322,0.095213438,0.01754663,0.261823236,0.013705842,-0.012341216,0.041476244,0.002284007,-0.016083617,0.060998534,-0.018082358,-0.040222895,0.014560539,-0.012191259,-0.041942197,0.008419534
Amoxicillin_Vanillin,0.053808452,-0.00360697,0.179480173,0.100523721,0.027289323,0.487941821,0.006294561,-0.028421003,0.045917831,0.007284288,-0.020599217,0.045493266,0.009373342,-0.031618028,0.042960884,0.0121419,-0.0171344,0.036032726
Amoxicillin_Verapamil,0.026396724,-0.017536483,0.051194444,0.001793093,-0.021950941,0.052841851,-0.002126996,-0.033789411,0.042275553,-5.54E-05,-0.05371644,0.0409297,0.018660151,-0.011736248,0.09200542,0,0,0.213789549
Amoxicillin_Levofloxacin,0,-0.00679647,0.041196462,0,0,0.104154232,0,0,0.071997404,0.001843379,0,0.075445848,0.14132175,0.029988021,0.314074822,0.006070206,-0.015718357,0.081068472
Amoxicillin_Piperacillin,-0.080220537,-0.185511961,-0.02137581,-0.195039187,-0.293649022,0,-0.11532336,-0.594606308,-0.025552764,-0.154621935,-0.473645304,-0.02432465,0.015557847,-0.041268669,0.028521342,0.001082732,-0.038461742,0.02553881
Amoxicillin_Nitrofurantoin,0.02333273,-0.061528505,0.07383716,0.002980596,-0.025534913,0.08283902,-0.002036792,-0.028514628,0.020000139,-0.001891988,-0.023077554,0.036861862,-0.007163015,-0.035096202,0.028631076,-0.005098683,-0.024957476,0.017600402
Amoxicillin_CCCP,0.003268204,-0.026249113,0.045364396,0.008201776,-0.033954946,0.054131169,-0.014750803,-0.049746304,0.025657851,0.005460239,-0.032432084,0.061780481,-0.029610637,-0.057792451,0.002694439,-0.006369245,-0.029760282,0.02422044
Amoxicillin_Cephalexin,0.019581954,-0.016825757,0.061360214,0.016329789,-0.00508592,0.052226283,-0.027065927,-0.080239589,0.031155372,-0.024900048,-0.081519808,0.025134927,-0.003556524,-0.026747104,0.017027216,0.000459223,-0.014551638,0.029940943
Amoxicillin_Mecillinam,-0.130032421,-0.191183394,-0.005117894,0,-0.138135399,0,-0.020289075,-0.441930634,0.00216624,-0.099862376,-0.469801302,0,0.016423581,-0.000285223,0.047542801,-0.067878694,-0.13341336,-0.024434044
Amoxicillin_A22,-0.045236141,-0.144406458,0,-0.022893666,-0.107771087,0.013318866,-0.036259004,-0.089881073,0.017005195,-0.039268659,-0.122702154,0.00226298,0.023656549,-0.029219729,0.068018335,-0.005891297,-0.025587824,0.021312173
Amoxicillin_Loperamide,0.004715226,-0.035268199,0.050598585,0.004023395,-0.022152967,0.062930226,0.029238775,-0.01181057,0.059415164,0.018482771,-0.013415745,0.04188044,0,-0.036858263,0,0,0,0
Amoxicillin_Minocycline,0.021210418,-0.013702502,0.069340845,0.019455265,-0.007543117,0.068264457,0.022289393,-0.024811178,0.061436214,0.056676544,0.015875637,0.090197155,-0.123098481,-0.17221269,0,0,-0.034888823,0.016607958
Amoxicillin_Tobramycin,-0.040956817,-0.081119612,-0.001870053,0.001885518,-0.024334927,0.056760914,0,-0.029764792,0.023539296,-0.018195578,-0.076970649,0.030373299,-0.003854604,-0.019738438,0.038148748,-0.009703807,-0.043324381,0.013813581
Amoxicillin_Teicoplanin,-0.009479272,-0.060894629,0.038953637,0.028053111,-0.002007101,0.064722835,-0.021544597,-0.048222997,0.014275546,-0.007426409,-0.030942876,0.032520524,0.03472562,0,0.143799441,0.034954544,0.000190318,0.103050643
Amoxicillin_Chlorhexidine,0.000666261,-0.035445817,0.05557787,0,-0.031666814,0.098055642,0.044356747,-0.001323967,0.116018728,0.02253921,-0.024379261,0.081111979,-0.015474785,-0.040419038,0.012691171,-0.006959275,-0.028436748,0.021241915
Amoxicillin_Metronidazole,0.015123983,-0.022808093,0.063426595,0.007082807,-0.020004083,0.066117595,0.022372375,-0.017838449,0.050756283,0.031364442,-0.009088624,0.054744704,-0.008257866,-0.025395574,0.012838994,0.006174212,-0.007182579,0.025511642
Amoxicillin_Nisin,-0.029912462,-0.076069055,0.028295987,0.001140078,-0.058640791,0.034868737,-0.003243002,-0.042445903,0.02583911,0.007061353,-0.025279246,0.041031559,-0.010395043,-0.043519353,0.017627278,-0.010217548,-0.045969135,0.01228484
Amoxicillin_EGCG,-0.01576923,-0.082112177,0.021519834,0.038235479,-0.00586422,0.101948413,0.000632914,-0.029671116,0.029795846,0.013630635,-0.037137975,0.053224112,-0.049018938,-0.094832386,0.029033947,-0.012901762,-0.044148154,0.009616464
Amoxicillin_Rifampicin,-2.04E-05,-0.07006101,0.102283465,0.048143755,0.007395297,0.201708819,-0.013267573,-0.027930604,0.030674652,0,-0.035555856,0.045657681,0.009147469,-0.011248676,0.053311115,-0.005742407,-0.028703126,0.020411234
Amoxicillin_Aztreonam,-0.399919439,-0.524618664,-0.125418628,-0.155446237,-0.290350251,0,-0.034647049,-0.540616504,0,0,-0.29869208,0.003068708,0,-0.072012457,0.049157751,0.003459541,-0.051357278,0.054671314
Amoxicillin_Penicillin G,-0.050323617,-0.095728565,0.005639044,-0.099159695,-0.218339027,0.005982738,-0.029427972,-0.263337696,0.02121232,-0.009720386,-0.285003647,0.048212977,-0.034708151,-0.096389369,-0.001279481,-0.011269507,-0.020774024,0.019440353
Amoxicillin_Theophylline,-0.005810455,-0.039776384,0.038746755,0.017624702,-0.02979038,0.06529733,-0.00204719,-0.035048331,0.029980324,0.033367064,0.008241263,0.062061452,0.005091415,-0.012724146,0.036153297,-0.005406628,-0.031377724,0.015228617
Amoxicillin_Clofazimine,0.00700823,-0.017578454,0.066663136,0.004548117,-0.022354254,0.051100742,0.021937815,-0.033795867,0.064926528,0.04168792,-0.007273017,0.070548588,0.01345508,-0.025382257,0.0444618,-0.012757864,-0.031819789,0.020640915
Amoxicillin_Clarithromycin,0.021692969,-0.03424017,0.077276014,-0.023702728,-0.11667294,0.002575476,0.009429643,-0.036919781,0.05340249,0.002230602,-0.023373794,0.050501313,-0.020250826,-0.059762105,0.015049146,0.039241162,0.005983933,0.07616931
Amoxicillin_Caffeine,0.057436147,-0.004001712,0.16000844,0.011258737,-0.008107962,0.064247745,0.001254178,-0.035137281,0.025899282,0.010703884,-0.044590479,0.059030539,-0.000197538,-0.033340038,0.034517347,-0.003962497,-0.030900458,0.030265495
Amoxicillin_Reserpine,0.023086879,-0.013260857,0.069692494,0,-0.056486788,0.045737126,0.002666666,-0.027334529,0.050116499,0.000932417,-0.029341338,0.048061732,-0.031398055,-0.050922455,-0.012294391,-0.019616295,-0.054463758,0.014439839
Amoxicillin_Puromycin,0.034146891,-0.007461843,0.109955131,0.006403968,-0.012613275,0.136538228,0.021271311,-0.02217052,0.05844233,-0.005829667,-0.036068855,0.036769239,-0.019608445,-0.050129381,0.00918126,0.009088929,-0.019483391,0.028484835
Amoxicillin_Pyocyanin,0.079606803,0.036130747,0.14456515,-0.016127493,-0.068684335,0.016425975,0.032888257,-0.009491186,0.077881157,0.001733855,-0.050906877,0.038484564,-0.019366403,-0.046725432,0.009229152,-0.009692362,-0.032321663,0.003271196
Amoxicillin_Pseudomonic acid,0.023520542,-0.002489916,0.069366629,0,-0.035762258,0.05339192,0.011207562,-0.028916714,0.04279533,0.018292327,-0.038345546,0.049519226,-0.029811081,-0.057216058,0,0,-0.048262283,0
Amoxicillin_Nonactin,0.036848617,-0.010740169,0.083863858,0.011360603,-0.002375468,0.055654795,-0.012139525,-0.050636927,0.054106697,-0.003303649,-0.032825906,0.008245718,0.007731741,-0.012543145,0.016456465,-0.002042434,-0.022183858,0.012799434
Amoxicillin_Imipenem,-0.032835543,-0.105926127,0.01161119,-0.027233823,-0.202354674,0.024172511,-0.038342144,-0.157550957,0.017530718,-0.158934111,-0.321397596,0.000141483,-0.029200346,-0.047751806,-0.005211739,0.001759787,-0.016204449,0.026729241
Amoxicillin_Bleomycin,-0.049396667,-0.125651414,0.021736856,0,-0.055473118,0.058523278,0.007474947,-0.063008585,0.073391103,0.040229618,-0.025216059,0.099075469,-0.014217598,-0.051253729,0.010818998,-0.018010132,-0.038320548,0.006260305
Amoxicillin_Linezolid,0.01658045,-0.030567838,0.054880468,0.029004028,0,0.074324488,0.006924436,-0.040214167,0.036697149,0.027572145,-0.009529385,0.05616659,0.014990289,-0.004677302,0.047818106,-0.008409582,-0.02199686,0.012266099
Amoxicillin_Doxorubicin,0.005848929,-0.040201094,0.034642784,0.03254946,0,0.066710218,0.002675408,-0.027215612,0.035249313,0.019778348,-0.005964785,0.051094592,0.024514657,-0.003388892,0.055892084,-0.002729791,-0.025333556,0.028705744
Amoxicillin_Daptomycin,0.026086967,-0.012485422,0.080788904,0.023232183,0,0.075569246,0.030998992,-0.010776325,0.052842662,0.026330515,-0.026932578,0.061205313,-0.006486374,-0.031395525,0.038820822,-0.010748211,-0.048397929,0.019775011
Amoxicillin_Cerulenin,-0.021429118,-0.113381056,0.070365263,0.0262281,-0.018614474,0.086800493,0.017271219,-0.034476024,0.044673716,-0.023135132,-0.085780104,0.029224392,0.029271738,-0.004266487,0.089492823,0.005938263,-0.060828206,0.118613231
Amoxicillin_Tigecycline,-0.007629662,-0.049338245,0.036810065,0.030286555,-0.017319937,0.079134104,0.006609571,-0.038149185,0.046734993,0.011545197,-0.021325364,0.043038528,0.026059107,0,0.073021789,0,-0.042094051,0.021135515
Amoxicillin_Mitomycin C,-0.030544928,-0.075749199,0.0250019,0.059592943,0.005025069,0.099528198,0.068741494,0.015639254,0.180633578,0.089091927,0.033785909,0.131922192,0,0,0.034392994,0,-0.004187263,0
Amoxicillin_Meropenem,-0.076209765,-0.150878137,-0.006815248,-0.1000987,-0.127733475,0.010215806,-0.150759221,-0.290776153,0,-0.047427609,-0.372150374,0,-0.022137478,-0.064780163,-0.001959462,-0.046446091,-0.081837398,-0.008726713
Amoxicillin_Colistin,0.012914014,-0.041517071,0.156678455,0.0378642,-0.046197119,0.30303328,-0.001842447,-0.051028218,0.019751265,0.109317838,0.031746622,0.153915178,-0.006044753,-0.027623941,0.02850149,-0.001694873,-0.013827362,0.00977339
Amoxicillin_Metformin,0.117787701,0.039955089,0.244481275,0.051925818,-0.001293457,0.174963722,-0.015411145,-0.049882376,0.009603676,0.022544445,0.014561204,0.04650243,-0.022663508,-0.068790933,0.010202377,-0.0203023,-0.028404935,0.00098564
Amoxicillin_Phenformin,-0.052975554,-0.139911982,-0.002532719,0.021928803,-0.027417083,0.063173746,-0.043320246,-0.073434418,0.001278462,0.046469704,-0.034507205,0.065629198,-0.039140888,-0.065698472,0.020301548,-0.018770796,-0.039153447,0.009675913
Amoxicillin_Azithromycin,0.049499247,0.013319352,0.092214529,0.044141531,0.031009961,0.231014169,0.01486273,0.004849201,0.044270402,-0.027461504,-0.041175615,0.008538193,0.012305374,-0.023466068,0.035885183,-0.0214963,-0.038833397,0.002357214
Amoxicillin_Curcumin,0.061601369,0.013848345,0.149272874,0.106234152,0.043542929,0.361110821,0.050074487,0.006040554,0.069618049,-0.02100175,-0.05974463,0.030314305,0.016538383,-0.007055855,0.037895098,-0.024516018,-0.059856304,-0.005228973
Amoxicillin_Berberine,0.048470433,0.020511054,0.12227291,0.107023775,0.054485791,0.367673079,-0.00063459,-0.024274282,0.066920607,-0.016094659,-0.051421607,0.003128077,-0.044902409,-0.072229301,-0.018036053,0.006479198,-0.01486342,0.021227252
Amoxicillin_Diclofenac,-0.077560934,-0.121545227,-0.013597929,0.019973968,-0.022831742,0.065017869,-0.013378731,-0.058904177,0.009879623,0.003384748,-0.014652467,0.027456891,0.002616648,-0.003213748,0.020015256,0.036700162,0.008045494,0.046461406
Amoxicillin_Acetylsalisylic acid,-0.087630898,-0.226499889,-0.028506445,-0.003936989,-0.047909379,0.084216996,-0.021153938,-0.066307799,0.012113452,-0.042872475,-0.061038835,-0.006076427,0.003263724,-0.01197001,0.030824085,0.022884025,0.01471187,0.069918062
Amoxicillin_Ciclopirox,0.069609159,-0.017349548,0.138456769,0.032069144,-0.012040588,0.121642773,-0.015885422,-0.093680631,0.053121284,0.08493328,0.05224272,0.168149315,-0.025944615,-0.040041676,0.024357593,0.047962422,0,0.377123892
Amoxicillin_Triclosan,-0.040933115,-0.12002459,0.011279745,-0.06852287,-0.112074375,-0.035074724,-0.037005434,-0.076335029,0.035207452,0.031348617,-0.00845347,0.053588973,0.012889565,-0.016227594,0.057140021,0.011834999,-0.051843613,0.022199085
Amoxicillin_CHIR-90,0,0,0.105808319,-0.032825135,-0.159405961,0.07064297,-0.018452365,-0.102971535,0,0.052231242,0.016436495,0.186148651,0.00533676,-0.02017391,0.042572221,0.04786827,-0.014078501,0.079342136
Amoxicillin_Phleomycin,0.02024509,-0.050107242,0.089558472,0.054945801,0.005524118,0.157394795,0.009571936,0,0.126797862,0.035516701,0.023463703,0.057091003,0,-0.373856037,0,0,-0.132220928,0
Amoxicillin_Moxifloxacin,0.010154278,-0.047191453,0.159454576,0.072955451,-0.023406865,0.183461778,0.019554624,0.007512359,0.05856352,0.078754141,0.036589955,0.10857565,-0.019454733,-0.027830437,0.010042407,-0.033164165,-0.075493241,-8.94E-05
Amoxicillin_Gentamicin,-0.002434931,-0.181197069,0.068631348,0.062787032,0.007111274,0.237688381,-0.008827171,-0.111849127,0,0.02482448,-0.010433301,0.085452292,0.019552583,-0.04963767,0.142934102,0.054139649,0,0.143544158
Amoxicillin_Streptozotocin,0.00253363,-0.037511852,0.038465681,0.08439887,0.025533794,0.124468655,0.015144313,-0.015683375,0.041979497,-0.038702925,-0.07223133,0.001752189,0.00945238,-0.022747812,0.056802393,-0.007964336,-0.036721299,0.01716297
Chloramphenicol_Ciprofloxacin,0.048391916,0,0.095215157,0.016268855,0,0.260333177,0.091233861,0.014670491,0.227700867,0.03772988,0.005713361,0.2314505,0.024092548,-0.009903972,0.046018781,0.007028926,-0.025149394,0.045635016
Chloramphenicol_Cycloserine D,0.004424359,-0.017031523,0.043599187,0.023644656,0,0.154221061,-0.018197029,-0.06188516,0.021474657,0,-0.023659232,0.037365482,-0.001680255,-0.036005419,0.017679285,0.002378432,-0.019099334,0.039406311
Chloramphenicol_Doxycycline,-0.051509778,-0.107798923,0.033472294,0,-0.001064366,0,0.03320971,-0.011240042,0.064364938,0.026393896,-0.006740541,0.057317069,0.034739019,0.000668769,0.070008839,0.02944005,-0.003541578,0.110364698
Chloramphenicol_Spectinomycin,0.004419041,-0.032679368,0.069772178,0,-0.139751354,0,0.035382389,-0.025914676,0.067837274,0.014252387,-0.027548247,0.036498357,-0.010356091,-0.034799753,0.036267574,-0.013071305,-0.035842271,0.006407397
Chloramphenicol_Fosfomycin,0.049407412,-0.027536143,0.0965634,0.168158321,0.11345016,0.244966999,-0.001302827,-0.062609311,0.039915349,-0.00511775,-0.035449892,0.032904767,0.008520729,-0.021736623,0.043681315,-0.008411523,-0.050502787,0.005946496
Chloramphenicol_Oxacillin,0.02415706,-0.026629642,0.051177833,0,-0.040002355,0.065376487,0.025249414,-0.010131131,0.048675374,0.004389779,-0.012324276,0.029040674,0.001480157,-0.02092771,0.033214747,-0.015626985,-0.046196831,0.011451801
Chloramphenicol_Novobiocin,0.018999702,-0.048127533,0.055179322,0,0,0.075003378,0.005941222,-0.052498288,0.038976155,0.102204304,0.032486084,0.211022786,0.000302719,-0.030280819,0.02089529,0,-0.040473751,0.044844548
Chloramphenicol_Bacitracin,0.010912327,-0.012712204,0.052539244,0,-0.000928953,0.071567145,0.042242034,0.000900571,0.071456201,0.03828202,0.00414318,0.059600842,-0.0022479,-0.023569278,0.014621285,-0.010077904,-0.045635951,0.004036258
Chloramphenicol_Polymyxin B,-0.025384987,-0.123552092,-0.001257113,0,-0.036956378,0.034411489,0.025940408,-0.014331425,0.045784679,-0.012126861,-0.034225887,0.012855502,0.021418576,-0.010635657,0.095458181,0.023776304,-0.001990598,0.09950326
Chloramphenicol_Fusidic acid,-0.115819001,-0.160244394,-0.052637234,-0.217720139,-0.327036317,0,-0.015296577,-0.041609093,0.036285143,-0.038118677,-0.062030246,0.020909491,0.026170901,-0.007176266,0.099725751,-0.005810316,-0.028938507,0.019306312
Chloramphenicol_Amikacin,0,-0.021889951,0.047307892,0,-0.072096683,0.036421207,0.018525811,-0.013082966,0.071322085,-0.024121151,-0.056445519,0.013055735,0.029508464,-0.005645903,0.102983747,0.009304472,0,0.119492358
Chloramphenicol_Cefotaxime,-0.009598977,-0.042989221,0.025344002,0,-0.121933424,0.043308007,0.030231572,-0.002242681,0.090725568,0.017500379,0.000830856,0.036002097,0.004146649,-0.021581012,0.029951204,-0.01352068,-0.043547557,0
Chloramphenicol_PMS,0.068390835,0.002457356,0.142034605,0,-0.145853101,0.022320047,0.061109489,0.012949361,0.101349754,0.119713565,0.065584925,0.188369322,0.013918216,-0.017466487,0.066784809,0.006821203,-0.020142438,0.038540155
Chloramphenicol_Benzalkonium,-0.020834494,-0.125863774,0.004598181,0,0,0.020867586,-0.015473646,-0.064691294,0.03773587,-0.006039049,-0.031029288,0.010810916,-0.000170208,-0.014332902,0.021357263,0.012999654,-0.019329727,0.035996524
Chloramphenicol_Cefaclor,0.031363872,-0.008028506,0.076034381,-0.00363278,-0.172747233,0.017590006,0.018575237,-0.017933802,0.129773798,0.028707967,0,0.071675358,0.004367157,-0.024315371,0.029583465,-0.004594981,-0.034437558,0.021775417
Chloramphenicol_Cefsulodin,0.001105044,-0.053667106,0.04173587,0,-0.072529986,0.034157779,-0.028060381,-0.069651051,0.035457675,-0.004951031,-0.039382875,0.025285869,0.013820344,-0.019787777,0.037523805,0.035247313,0,0.06910335
Chloramphenicol_Clindamycin,0.000975869,-0.02328234,0.023619981,0,-0.018510973,0.054433301,0.031390341,0.00146077,0.053002153,0.047434942,0.019352225,0.09779504,0.006766729,-0.012285241,0.028029553,0.007284358,-0.00868304,0.032919735
Chloramphenicol_Spiramycin,0.006756146,-0.024848873,0.038775084,0.009986739,0,0.048527556,0.022575909,-0.009137137,0.050621157,0.027237921,0.001808692,0.042111388,0.009521788,-0.019046682,0.03410428,0,-0.018939003,0.01310978
Chloramphenicol_Erythromycin,-0.020637888,-0.106733913,0.037308137,0,-0.099454814,0.046003071,0.050929017,-0.001732388,0.090651704,0.045045573,0.002422946,0.078482798,0.002000084,-0.039365512,0.039247435,0.005804118,-0.010223401,0.04623109
Chloramphenicol_Trimethoprim,0.047529678,0.005702316,0.118255356,0.088759394,0.045968724,0.154370017,0.068223399,0.009297048,0.109468283,0.067569212,0.008697048,0.130620877,-0.039317753,-0.210660724,0.015137507,-0.034716745,-0.075914891,0
Chloramphenicol_Sulfamonomethoxine,-0.009256457,-0.078888048,0.031789108,-0.004430486,-0.108384416,0,-0.004878464,-0.039475077,0.042265072,-0.019575057,-0.059010757,0.0280349,-0.014307189,-0.045361509,0.01295168,0.016471957,-0.006790914,0.036010124
Chloramphenicol_Paraquat,0.007872162,-0.034187797,0.036738889,0.026775494,-0.020485954,0.104889191,0.0528191,-0.012959952,0.123081741,0.0388654,0.012390699,0.115388983,0.013987758,-0.013114842,0.053547209,0.023858266,0,0.044729193
Chloramphenicol_Procaine,-0.046423452,-0.106504369,0.020973574,0,-0.042904329,0.037557256,-0.03867212,-0.238325263,0.016712771,-0.008371309,-0.086890197,0.030983014,0,-0.040593293,0.084253644,0,0,0.136268655
Chloramphenicol_Vanillin,0.051520552,0.016895005,0.096272761,0.101289611,0.048380514,0.299039392,0.032536757,0.01406771,0.066389403,0.039593135,0.021652991,0.085928876,0.060298591,0.002004751,0.132162307,0.044143763,0,0.103681937
Chloramphenicol_Verapamil,-0.055331166,-0.115419866,-0.027850097,0,-0.039945606,0.024559007,0.000508977,-0.046965725,0.047976436,-0.033548537,-0.050356401,0.023995659,0.037302557,-0.013407776,0.080889951,0.068514692,0.027517789,0.119993622
Chloramphenicol_Levofloxacin,0,-0.005467765,0.033061479,0,0,0.126379017,0.029309403,0,0.199408006,0.076048867,0,0.134739504,0.006727316,-0.013734585,0.026355251,0.017728516,-0.000381015,0.042946097
Chloramphenicol_Piperacillin,-0.025944233,-0.051638263,0.01219118,-0.053519251,-0.234045149,0,0.056168665,-1.72E-05,0.0894254,0.03501618,-0.029651769,0.072919733,-0.014963427,-0.041953876,0.009078407,0.008676002,-0.007284461,0.026114288
Chloramphenicol_Nitrofurantoin,0.000789584,-0.026097997,0.0627375,-0.032756271,-0.256771691,0,-0.001052233,-0.029671339,0.034178473,0.0101163,-0.023958831,0.030304997,-0.013337572,-0.038251089,0.018128759,0.004161939,-0.013616765,0.047848416
Chloramphenicol_CCCP,-0.015277866,-0.041326904,0.012681143,-0.036255105,-0.100905915,0.001099474,-0.008770503,-0.047202556,0.031745985,-0.054285115,-0.12482091,-0.004260941,0.024471063,0.007332903,0.046395499,0.04994225,0,0.096671336
Chloramphenicol_Cephalexin,0.017649069,-0.005121226,0.039076129,0.009120566,-0.014786159,0.035746437,0.002768713,-0.044273615,0.043928435,-0.05049513,-0.104142634,-0.021330596,0.026275577,-0.045882285,0.077041763,0.025558071,-0.014804429,0.046620538
Chloramphenicol_Mecillinam,0.070514509,-0.001149372,0.130579848,0,0,0.216958935,0,-0.020123723,0.046092413,0.023992287,-0.006489833,0.070375227,0,-0.039891113,0.120488829,0,0,0
