"drugdrug","drug_pair","clusters"
"Bleomycin-Oxacillin","Oxacillin_Bleomycin",3
"Oxacillin-Polymyxin B","Oxacillin_Polymyxin B",4
"Chlorhexidine-Oxacillin","Oxacillin_Chlorhexidine",3
"Benzalkonium-Oxacillin","Oxacillin_Benzalkonium",1
"EGCG-Oxacillin","Oxacillin_EGCG",1
"Cerulenin-Oxacillin","Oxacillin_Cerulenin",1
"Nisin-Oxacillin","Oxacillin_Nisin",2
"Daptomycin-Oxacillin","Oxacillin_Daptomycin",1
"CCCP-Oxacillin","Oxacillin_CCCP",1
"Nonactin-Oxacillin","Oxacillin_Nonactin",1
"Oxacillin-Paraquat","Oxacillin_Paraquat",2
"Fusidic acid-Oxacillin","Oxacillin_Fusidic acid",4
"Oxacillin-Puromycin","Oxacillin_Puromycin",2
"Linezolid-Oxacillin","Oxacillin_Linezolid",1
"Clindamycin-Oxacillin","Oxacillin_Clindamycin",3
"Minocycline-Oxacillin","Oxacillin_Minocycline",3
"Oxacillin-Tigecycline","Oxacillin_Tigecycline",2
"Amikacin-Oxacillin","Oxacillin_Amikacin",1
"Oxacillin-Tobramycin","Oxacillin_Tobramycin",1
"Oxacillin-Spiramycin","Oxacillin_Spiramycin",3
"Erythromycin-Oxacillin","Oxacillin_Erythromycin",1
"Clarithromycin-Oxacillin","Oxacillin_Clarithromycin",3
"Caffeine-Oxacillin","Oxacillin_Caffeine",3
"Oxacillin-Vanillin","Oxacillin_Vanillin",3
"Oxacillin-Reserpine","Oxacillin_Reserpine",1
"Oxacillin-Procaine","Oxacillin_Procaine",1
"Oxacillin-Theophylline","Oxacillin_Theophylline",2
"Loperamide-Oxacillin","Oxacillin_Loperamide",1
"Oxacillin-Verapamil","Oxacillin_Verapamil",2
"Meropenem-Oxacillin","Oxacillin_Meropenem",2
"Colistin-Oxacillin","Oxacillin_Colistin",4
"CHIR-90-Oxacillin","Oxacillin_CHIR-90",2
"Oxacillin-Triclosan","Oxacillin_Triclosan",2
"Gentamicin-Oxacillin","Oxacillin_Gentamicin",1
"Azithromycin-Oxacillin","Oxacillin_Azithromycin",4
"Curcumin-Oxacillin","Oxacillin_Curcumin",1
"Berberine-Oxacillin","Oxacillin_Berberine",1
"Metformin-Oxacillin","Oxacillin_Metformin",1
"Oxacillin-Phenformin","Oxacillin_Phenformin",2
"Oxacillin-Streptozotocin","Oxacillin_Streptozotocin",4
"Diclofenac-Oxacillin","Oxacillin_Diclofenac",1
"Acetylsalisylic acid-Oxacillin","Oxacillin_Acetylsalisylic acid",2
"Ciclopirox-Oxacillin","Oxacillin_Ciclopirox",4
"Moxifloxacin-Oxacillin","Oxacillin_Moxifloxacin",2
"Oxacillin-Phleomycin","Oxacillin_Phleomycin",1
"Cefaclor-Cefotaxime","Cefotaxime_Cefaclor",2
"Cefotaxime-Cefsulodin","Cefotaxime_Cefsulodin",2
"Cefotaxime-Piperacillin","Cefotaxime_Piperacillin",2
"Cefotaxime-Penicillin G","Cefotaxime_Penicillin G",3
"Cefotaxime-Imipenem","Cefotaxime_Imipenem",2
"Cefotaxime-Mecillinam","Cefotaxime_Mecillinam",2
"Aztreonam-Cefotaxime","Cefotaxime_Aztreonam",2
"Cefotaxime-Cephalexin","Cefotaxime_Cephalexin",4
"A22-Cefotaxime","Cefotaxime_A22",2
"Cefotaxime-Teicoplanin","Cefotaxime_Teicoplanin",2
"Cefotaxime-Metronidazole","Cefotaxime_Metronidazole",4
"Cefotaxime-Clofazimine","Cefotaxime_Clofazimine",1
"Cefotaxime-Doxorubicin","Cefotaxime_Doxorubicin",1
"Cefotaxime-Mitomycin C","Cefotaxime_Mitomycin C",1
"Cefotaxime-Rifampicin","Cefotaxime_Rifampicin",4
"Cefotaxime-Levofloxacin","Cefotaxime_Levofloxacin",2
"Cefotaxime-Trimethoprim","Cefotaxime_Trimethoprim",1
"Cefotaxime-Sulfamonomethoxine","Cefotaxime_Sulfamonomethoxine",2
"Cefotaxime-Nitrofurantoin","Cefotaxime_Nitrofurantoin",4
"Bleomycin-Cefotaxime","Cefotaxime_Bleomycin",4
"Cefotaxime-Chlorhexidine","Cefotaxime_Chlorhexidine",3
"Benzalkonium-Cefotaxime","Cefotaxime_Benzalkonium",1
"Cefotaxime-EGCG","Cefotaxime_EGCG",1
"Cefotaxime-Cerulenin","Cefotaxime_Cerulenin",1
"Cefotaxime-Nisin","Cefotaxime_Nisin",4
"Cefotaxime-Daptomycin","Cefotaxime_Daptomycin",1
"CCCP-Cefotaxime","Cefotaxime_CCCP",1
"Cefotaxime-Nonactin","Cefotaxime_Nonactin",1
"Cefotaxime-Paraquat","Cefotaxime_Paraquat",4
"Cefotaxime-Puromycin","Cefotaxime_Puromycin",1
"Cefotaxime-Linezolid","Cefotaxime_Linezolid",1
"Cefotaxime-Clindamycin","Cefotaxime_Clindamycin",1
"Cefotaxime-Minocycline","Cefotaxime_Minocycline",1
"Cefotaxime-Tigecycline","Cefotaxime_Tigecycline",1
"Cefotaxime-Tobramycin","Cefotaxime_Tobramycin",2
"Cefotaxime-Spiramycin","Cefotaxime_Spiramycin",3
"Cefotaxime-Erythromycin","Cefotaxime_Erythromycin",1
"Cefotaxime-Clarithromycin","Cefotaxime_Clarithromycin",1
"Caffeine-Cefotaxime","Cefotaxime_Caffeine",1
"Cefotaxime-Vanillin","Cefotaxime_Vanillin",1
"Cefotaxime-Reserpine","Cefotaxime_Reserpine",1
"Cefotaxime-Procaine","Cefotaxime_Procaine",1
"Cefotaxime-Theophylline","Cefotaxime_Theophylline",3
"Cefotaxime-Loperamide","Cefotaxime_Loperamide",1
"Cefotaxime-Verapamil","Cefotaxime_Verapamil",2
"Cefotaxime-Meropenem","Cefotaxime_Meropenem",2
"Cefotaxime-Colistin","Cefotaxime_Colistin",1
"Cefotaxime-CHIR-90","Cefotaxime_CHIR-90",2
"Cefotaxime-Triclosan","Cefotaxime_Triclosan",2
"Cefotaxime-Gentamicin","Cefotaxime_Gentamicin",4
"Azithromycin-Cefotaxime","Cefotaxime_Azithromycin",1
"Cefotaxime-Curcumin","Cefotaxime_Curcumin",1
"Berberine-Cefotaxime","Cefotaxime_Berberine",1
"Cefotaxime-Metformin","Cefotaxime_Metformin",1
"Cefotaxime-Phenformin","Cefotaxime_Phenformin",2
"Cefotaxime-Streptozotocin","Cefotaxime_Streptozotocin",4
"Cefotaxime-Diclofenac","Cefotaxime_Diclofenac",1
"Acetylsalisylic acid-Cefotaxime","Cefotaxime_Acetylsalisylic acid",1
"Cefotaxime-Ciclopirox","Cefotaxime_Ciclopirox",1
"Cefotaxime-Moxifloxacin","Cefotaxime_Moxifloxacin",2
"Cefotaxime-Phleomycin","Cefotaxime_Phleomycin",3
"Cefaclor-Cefsulodin","Cefaclor_Cefsulodin",2
"Cefaclor-Piperacillin","Cefaclor_Piperacillin",2
"Cefaclor-Penicillin G","Cefaclor_Penicillin G",2
"Cefaclor-Imipenem","Cefaclor_Imipenem",2
"Cefaclor-Mecillinam","Cefaclor_Mecillinam",2
"Aztreonam-Cefaclor","Cefaclor_Aztreonam",2
"Cefaclor-Cephalexin","Cefaclor_Cephalexin",4
"A22-Cefaclor","Cefaclor_A22",2
"Cefaclor-Teicoplanin","Cefaclor_Teicoplanin",4
"Cefaclor-Metronidazole","Cefaclor_Metronidazole",4
"Cefaclor-Clofazimine","Cefaclor_Clofazimine",1
"Cefaclor-Doxorubicin","Cefaclor_Doxorubicin",1
"Cefaclor-Mitomycin C","Cefaclor_Mitomycin C",1
"Cefaclor-Rifampicin","Cefaclor_Rifampicin",2
"Cefaclor-Levofloxacin","Cefaclor_Levofloxacin",1
"Cefaclor-Trimethoprim","Cefaclor_Trimethoprim",3
"Cefaclor-Sulfamonomethoxine","Cefaclor_Sulfamonomethoxine",1
"Cefaclor-Nitrofurantoin","Cefaclor_Nitrofurantoin",1
"Bleomycin-Cefaclor","Cefaclor_Bleomycin",2
"Cefaclor-Chlorhexidine","Cefaclor_Chlorhexidine",1
"Cefaclor-EGCG","Cefaclor_EGCG",2
"Cefaclor-Cerulenin","Cefaclor_Cerulenin",3
"Cefaclor-Nisin","Cefaclor_Nisin",3
"Cefaclor-Daptomycin","Cefaclor_Daptomycin",1
"CCCP-Cefaclor","Cefaclor_CCCP",1
"Cefaclor-Nonactin","Cefaclor_Nonactin",1
"Cefaclor-Paraquat","Cefaclor_Paraquat",2
"Cefaclor-Puromycin","Cefaclor_Puromycin",1
"Cefaclor-Linezolid","Cefaclor_Linezolid",1
"Cefaclor-Clindamycin","Cefaclor_Clindamycin",1
"Cefaclor-Minocycline","Cefaclor_Minocycline",1
"Cefaclor-Tigecycline","Cefaclor_Tigecycline",1
"Cefaclor-Tobramycin","Cefaclor_Tobramycin",4
"Cefaclor-Spiramycin","Cefaclor_Spiramycin",1
"Cefaclor-Erythromycin","Cefaclor_Erythromycin",1
"Cefaclor-Clarithromycin","Cefaclor_Clarithromycin",3
"Caffeine-Cefaclor","Cefaclor_Caffeine",1
"Cefaclor-Vanillin","Cefaclor_Vanillin",1
"Cefaclor-Reserpine","Cefaclor_Reserpine",3
"Cefaclor-Procaine","Cefaclor_Procaine",1
"Cefaclor-Theophylline","Cefaclor_Theophylline",1
"Cefaclor-Loperamide","Cefaclor_Loperamide",1
"Cefaclor-Verapamil","Cefaclor_Verapamil",1
"Cefaclor-Meropenem","Cefaclor_Meropenem",2
"Cefaclor-Colistin","Cefaclor_Colistin",1
"Cefaclor-CHIR-90","Cefaclor_CHIR-90",2
"Cefaclor-Triclosan","Cefaclor_Triclosan",2
"Cefaclor-Gentamicin","Cefaclor_Gentamicin",1
"Azithromycin-Cefaclor","Cefaclor_Azithromycin",1
"Cefaclor-Curcumin","Cefaclor_Curcumin",4
"Berberine-Cefaclor","Cefaclor_Berberine",4
"Cefaclor-Metformin","Cefaclor_Metformin",1
"Cefaclor-Phenformin","Cefaclor_Phenformin",2
"Cefaclor-Streptozotocin","Cefaclor_Streptozotocin",4
"Cefaclor-Diclofenac","Cefaclor_Diclofenac",4
"Acetylsalisylic acid-Cefaclor","Cefaclor_Acetylsalisylic acid",1
"Cefaclor-Ciclopirox","Cefaclor_Ciclopirox",2
"Cefaclor-Moxifloxacin","Cefaclor_Moxifloxacin",3
"Cefaclor-Phleomycin","Cefaclor_Phleomycin",3
"Cefsulodin-Piperacillin","Cefsulodin_Piperacillin",2
"Cefsulodin-Penicillin G","Cefsulodin_Penicillin G",2
"Cefsulodin-Imipenem","Cefsulodin_Imipenem",2
"Cefsulodin-Mecillinam","Cefsulodin_Mecillinam",2
"Aztreonam-Cefsulodin","Cefsulodin_Aztreonam",2
"Cefsulodin-Cephalexin","Cefsulodin_Cephalexin",4
"A22-Cefsulodin","Cefsulodin_A22",3
"Cefsulodin-Teicoplanin","Cefsulodin_Teicoplanin",2
"Cefsulodin-Metronidazole","Cefsulodin_Metronidazole",1
"Cefsulodin-Clofazimine","Cefsulodin_Clofazimine",4
"Cefsulodin-Doxorubicin","Cefsulodin_Doxorubicin",1
"Cefsulodin-Mitomycin C","Cefsulodin_Mitomycin C",2
"Cefsulodin-Rifampicin","Cefsulodin_Rifampicin",2
"Cefsulodin-Levofloxacin","Cefsulodin_Levofloxacin",3
"Cefsulodin-Trimethoprim","Cefsulodin_Trimethoprim",2
"Cefsulodin-Sulfamonomethoxine","Cefsulodin_Sulfamonomethoxine",2
"Cefsulodin-Nitrofurantoin","Cefsulodin_Nitrofurantoin",2
"Bleomycin-Cefsulodin","Cefsulodin_Bleomycin",3
"Cefsulodin-Chlorhexidine","Cefsulodin_Chlorhexidine",1
"Cefsulodin-EGCG","Cefsulodin_EGCG",2
"Cefsulodin-Cerulenin","Cefsulodin_Cerulenin",4
"Cefsulodin-Nisin","Cefsulodin_Nisin",1
"Cefsulodin-Daptomycin","Cefsulodin_Daptomycin",1
"CCCP-Cefsulodin","Cefsulodin_CCCP",1
"Cefsulodin-Nonactin","Cefsulodin_Nonactin",4
"Cefsulodin-Paraquat","Cefsulodin_Paraquat",2
"Cefsulodin-Puromycin","Cefsulodin_Puromycin",3
"Cefsulodin-Linezolid","Cefsulodin_Linezolid",1
"Cefsulodin-Clindamycin","Cefsulodin_Clindamycin",1
"Cefsulodin-Minocycline","Cefsulodin_Minocycline",3
"Cefsulodin-Tigecycline","Cefsulodin_Tigecycline",1
"Cefsulodin-Tobramycin","Cefsulodin_Tobramycin",4
"Cefsulodin-Spiramycin","Cefsulodin_Spiramycin",1
"Cefsulodin-Erythromycin","Cefsulodin_Erythromycin",1
"Cefsulodin-Clarithromycin","Cefsulodin_Clarithromycin",3
"Caffeine-Cefsulodin","Cefsulodin_Caffeine",3
"Cefsulodin-Vanillin","Cefsulodin_Vanillin",3
"Cefsulodin-Reserpine","Cefsulodin_Reserpine",4
"Cefsulodin-Procaine","Cefsulodin_Procaine",1
"Cefsulodin-Theophylline","Cefsulodin_Theophylline",4
"Cefsulodin-Loperamide","Cefsulodin_Loperamide",2
"Cefsulodin-Verapamil","Cefsulodin_Verapamil",1
"Cefsulodin-Meropenem","Cefsulodin_Meropenem",2
"Cefsulodin-Colistin","Cefsulodin_Colistin",1
"Cefsulodin-CHIR-90","Cefsulodin_CHIR-90",2
"Cefsulodin-Triclosan","Cefsulodin_Triclosan",2
"Cefsulodin-Gentamicin","Cefsulodin_Gentamicin",4
"Azithromycin-Cefsulodin","Cefsulodin_Azithromycin",2
"Cefsulodin-Curcumin","Cefsulodin_Curcumin",4
"Berberine-Cefsulodin","Cefsulodin_Berberine",1
"Cefsulodin-Metformin","Cefsulodin_Metformin",1
"Cefsulodin-Phenformin","Cefsulodin_Phenformin",1
"Cefsulodin-Streptozotocin","Cefsulodin_Streptozotocin",2
"Cefsulodin-Diclofenac","Cefsulodin_Diclofenac",4
"Acetylsalisylic acid-Cefsulodin","Cefsulodin_Acetylsalisylic acid",2
"Cefsulodin-Ciclopirox","Cefsulodin_Ciclopirox",2
"Cefsulodin-Moxifloxacin","Cefsulodin_Moxifloxacin",2
"Cefsulodin-Phleomycin","Cefsulodin_Phleomycin",2
"Penicillin G-Piperacillin","Piperacillin_Penicillin G",2
"Imipenem-Piperacillin","Piperacillin_Imipenem",2
"Mecillinam-Piperacillin","Piperacillin_Mecillinam",2
"Aztreonam-Piperacillin","Piperacillin_Aztreonam",2
"Cephalexin-Piperacillin","Piperacillin_Cephalexin",4
"A22-Piperacillin","Piperacillin_A22",2
"Piperacillin-Teicoplanin","Piperacillin_Teicoplanin",3
"Metronidazole-Piperacillin","Piperacillin_Metronidazole",3
"Clofazimine-Piperacillin","Piperacillin_Clofazimine",1
"Doxorubicin-Piperacillin","Piperacillin_Doxorubicin",3
"Mitomycin C-Piperacillin","Piperacillin_Mitomycin C",1
"Piperacillin-Rifampicin","Piperacillin_Rifampicin",3
"Nitrofurantoin-Piperacillin","Piperacillin_Nitrofurantoin",3
"Bleomycin-Piperacillin","Piperacillin_Bleomycin",1
"Chlorhexidine-Piperacillin","Piperacillin_Chlorhexidine",1
"EGCG-Piperacillin","Piperacillin_EGCG",3
"Cerulenin-Piperacillin","Piperacillin_Cerulenin",1
"Nisin-Piperacillin","Piperacillin_Nisin",3
"Daptomycin-Piperacillin","Piperacillin_Daptomycin",1
"CCCP-Piperacillin","Piperacillin_CCCP",2
"Nonactin-Piperacillin","Piperacillin_Nonactin",1
"Piperacillin-Puromycin","Piperacillin_Puromycin",3
"Linezolid-Piperacillin","Piperacillin_Linezolid",1
"Minocycline-Piperacillin","Piperacillin_Minocycline",3
"Piperacillin-Tigecycline","Piperacillin_Tigecycline",3
"Piperacillin-Tobramycin","Piperacillin_Tobramycin",2
"Clarithromycin-Piperacillin","Piperacillin_Clarithromycin",1
"Caffeine-Piperacillin","Piperacillin_Caffeine",1
"Piperacillin-Reserpine","Piperacillin_Reserpine",1
"Piperacillin-Theophylline","Piperacillin_Theophylline",3
"Loperamide-Piperacillin","Piperacillin_Loperamide",3
"Meropenem-Piperacillin","Piperacillin_Meropenem",2
"Colistin-Piperacillin","Piperacillin_Colistin",2
"CHIR-90-Piperacillin","Piperacillin_CHIR-90",2
"Piperacillin-Triclosan","Piperacillin_Triclosan",2
"Gentamicin-Piperacillin","Piperacillin_Gentamicin",2
"Azithromycin-Piperacillin","Piperacillin_Azithromycin",1
"Curcumin-Piperacillin","Piperacillin_Curcumin",1
"Berberine-Piperacillin","Piperacillin_Berberine",1
"Metformin-Piperacillin","Piperacillin_Metformin",2
"Phenformin-Piperacillin","Piperacillin_Phenformin",4
"Piperacillin-Streptozotocin","Piperacillin_Streptozotocin",2
"Diclofenac-Piperacillin","Piperacillin_Diclofenac",4
"Acetylsalisylic acid-Piperacillin","Piperacillin_Acetylsalisylic acid",2
"Ciclopirox-Piperacillin","Piperacillin_Ciclopirox",2
"Moxifloxacin-Piperacillin","Piperacillin_Moxifloxacin",3
"Phleomycin-Piperacillin","Piperacillin_Phleomycin",4
"Imipenem-Penicillin G","Penicillin G_Imipenem",4
"Clofazimine-Penicillin G","Penicillin G_Clofazimine",1
"Doxorubicin-Penicillin G","Penicillin G_Doxorubicin",1
"Mitomycin C-Penicillin G","Penicillin G_Mitomycin C",1
"Bleomycin-Penicillin G","Penicillin G_Bleomycin",1
"Cerulenin-Penicillin G","Penicillin G_Cerulenin",1
"Daptomycin-Penicillin G","Penicillin G_Daptomycin",1
"Nonactin-Penicillin G","Penicillin G_Nonactin",1
"Penicillin G-Puromycin","Penicillin G_Puromycin",1
"Linezolid-Penicillin G","Penicillin G_Linezolid",1
"Penicillin G-Tigecycline","Penicillin G_Tigecycline",3
"Clarithromycin-Penicillin G","Penicillin G_Clarithromycin",3
"Caffeine-Penicillin G","Penicillin G_Caffeine",2
"Penicillin G-Reserpine","Penicillin G_Reserpine",1
"Penicillin G-Theophylline","Penicillin G_Theophylline",3
"Meropenem-Penicillin G","Penicillin G_Meropenem",2
"Colistin-Penicillin G","Penicillin G_Colistin",3
"CHIR-90-Penicillin G","Penicillin G_CHIR-90",2
"Penicillin G-Triclosan","Penicillin G_Triclosan",2
"Gentamicin-Penicillin G","Penicillin G_Gentamicin",3
"Azithromycin-Penicillin G","Penicillin G_Azithromycin",3
"Curcumin-Penicillin G","Penicillin G_Curcumin",3
"Berberine-Penicillin G","Penicillin G_Berberine",1
"Metformin-Penicillin G","Penicillin G_Metformin",1
"Penicillin G-Phenformin","Penicillin G_Phenformin",2
"Penicillin G-Streptozotocin","Penicillin G_Streptozotocin",2
"Diclofenac-Penicillin G","Penicillin G_Diclofenac",4
"Acetylsalisylic acid-Penicillin G","Penicillin G_Acetylsalisylic acid",2
"Ciclopirox-Penicillin G","Penicillin G_Ciclopirox",2
"Moxifloxacin-Penicillin G","Penicillin G_Moxifloxacin",1
"Penicillin G-Phleomycin","Penicillin G_Phleomycin",3
"Doxorubicin-Imipenem","Imipenem_Doxorubicin",3
"Imipenem-Mitomycin C","Imipenem_Mitomycin C",3
"Bleomycin-Imipenem","Imipenem_Bleomycin",3
"Cerulenin-Imipenem","Imipenem_Cerulenin",2
"Daptomycin-Imipenem","Imipenem_Daptomycin",4
"Imipenem-Linezolid","Imipenem_Linezolid",1
"Imipenem-Tigecycline","Imipenem_Tigecycline",3
"Imipenem-Meropenem","Imipenem_Meropenem",2
"Colistin-Imipenem","Imipenem_Colistin",1
"CHIR-90-Imipenem","Imipenem_CHIR-90",2
"Imipenem-Triclosan","Imipenem_Triclosan",2
"Gentamicin-Imipenem","Imipenem_Gentamicin",1
"Azithromycin-Imipenem","Imipenem_Azithromycin",2
"Curcumin-Imipenem","Imipenem_Curcumin",4
"Berberine-Imipenem","Imipenem_Berberine",1
"Imipenem-Metformin","Imipenem_Metformin",1
"Imipenem-Phenformin","Imipenem_Phenformin",2
"Imipenem-Streptozotocin","Imipenem_Streptozotocin",1
"Diclofenac-Imipenem","Imipenem_Diclofenac",4
"Acetylsalisylic acid-Imipenem","Imipenem_Acetylsalisylic acid",2
"Ciclopirox-Imipenem","Imipenem_Ciclopirox",2
"Imipenem-Moxifloxacin","Imipenem_Moxifloxacin",1
"Imipenem-Phleomycin","Imipenem_Phleomycin",2
"Mecillinam-Penicillin G","Mecillinam_Penicillin G",2
"Imipenem-Mecillinam","Mecillinam_Imipenem",2
"Aztreonam-Mecillinam","Mecillinam_Aztreonam",2
"A22-Mecillinam","Mecillinam_A22",2
"Mecillinam-Teicoplanin","Mecillinam_Teicoplanin",1
"Mecillinam-Metronidazole","Mecillinam_Metronidazole",2
"Clofazimine-Mecillinam","Mecillinam_Clofazimine",1
"Doxorubicin-Mecillinam","Mecillinam_Doxorubicin",2
"Mecillinam-Mitomycin C","Mecillinam_Mitomycin C",3
"Mecillinam-Rifampicin","Mecillinam_Rifampicin",1
"Bleomycin-Mecillinam","Mecillinam_Bleomycin",2
"Chlorhexidine-Mecillinam","Mecillinam_Chlorhexidine",1
"EGCG-Mecillinam","Mecillinam_EGCG",1
"Cerulenin-Mecillinam","Mecillinam_Cerulenin",2
"Mecillinam-Nisin","Mecillinam_Nisin",3
"Daptomycin-Mecillinam","Mecillinam_Daptomycin",3
"Mecillinam-Nonactin","Mecillinam_Nonactin",4
"Mecillinam-Puromycin","Mecillinam_Puromycin",1
"Linezolid-Mecillinam","Mecillinam_Linezolid",3
"Mecillinam-Minocycline","Mecillinam_Minocycline",1
"Mecillinam-Tigecycline","Mecillinam_Tigecycline",3
"Mecillinam-Tobramycin","Mecillinam_Tobramycin",1
