drug_pair,Drug1,Drug2,clusters
Acetylsalisylic acid_Imipenem,Acetylsalisylic acid,Imipenem,11
Acetylsalisylic acid_Levofloxacin,Acetylsalisylic acid,Levofloxacin,2
Acetylsalisylic acid_Linezolid,Acetylsalisylic acid,Linezolid,11
Acetylsalisylic acid_Loperamide,Acetylsalisylic acid,Loperamide,7
Acetylsalisylic acid_Mecillinam,Acetylsalisylic acid,Mecillinam,8
Acetylsalisylic acid_Metronidazole,Acetylsalisylic acid,Metronidazole,12
Acetylsalisylic acid_Minocycline,Acetylsalisylic acid,Minocycline,11
Acetylsalisylic acid_Mitomycin C,Acetylsalisylic acid,Mitomycin C,10
Acetylsalisylic acid_Nisin,Acetylsalisylic acid,Nisin,11
Acetylsalisylic acid_Nitrofurantoin,Acetylsalisylic acid,Nitrofurantoin,3
Acetylsalisylic acid_Nonactin,Acetylsalisylic acid,Nonactin,11
Acetylsalisylic acid_Novobiocin,Acetylsalisylic acid,Novobiocin,2
Acetylsalisylic acid_Oxacillin,Acetylsalisylic acid,Oxacillin,11
Acetylsalisylic acid_Paraquat,Acetylsalisylic acid,Paraquat,7
Acetylsalisylic acid_Penicillin G,Acetylsalisylic acid,Penicillin G,11
Acetylsalisylic acid_Piperacillin,Acetylsalisylic acid,Piperacillin,11
Acetylsalisylic acid_Polymyxin B,Acetylsalisylic acid,Polymyxin B,3
Acetylsalisylic acid_Procaine,Acetylsalisylic acid,Procaine,12
Acetylsalisylic acid_Puromycin,Acetylsalisylic acid,Puromycin,11
Acetylsalisylic acid_Reserpine,Acetylsalisylic acid,Reserpine,6
Acetylsalisylic acid_Rifampicin,Acetylsalisylic acid,Rifampicin,3
Acetylsalisylic acid_Spectinomycin,Acetylsalisylic acid,Spectinomycin,11
Acetylsalisylic acid_Spiramycin,Acetylsalisylic acid,Spiramycin,11
Acetylsalisylic acid_Sulfamonomethoxine,Acetylsalisylic acid,Sulfamonomethoxine,11
Acetylsalisylic acid_Teicoplanin,Acetylsalisylic acid,Teicoplanin,11
Acetylsalisylic acid_Theophylline,Acetylsalisylic acid,Theophylline,3
Acetylsalisylic acid_Tigecycline,Acetylsalisylic acid,Tigecycline,11
Acetylsalisylic acid_Tobramycin,Acetylsalisylic acid,Tobramycin,2
Acetylsalisylic acid_Trimethoprim,Acetylsalisylic acid,Trimethoprim,6
Acetylsalisylic acid_Vanillin,Acetylsalisylic acid,Vanillin,6
Acetylsalisylic acid_Verapamil,Acetylsalisylic acid,Verapamil,12
Amikacin_Amoxicillin,Amikacin,Amoxicillin,13
Amikacin_Azithromycin,Amikacin,Azithromycin,2
Amikacin_Aztreonam,Amikacin,Aztreonam,13
Amikacin_Bacitracin,Amikacin,Bacitracin,9
Amikacin_Benzalkonium,Amikacin,Benzalkonium,2
Amikacin_Berberine,Amikacin,Berberine,2
Amikacin_Bleomycin,Amikacin,Bleomycin,5
Amikacin_Caffeine,Amikacin,Caffeine,4
Amikacin_CCCP,Amikacin,CCCP,6
Amikacin_Cefaclor,Amikacin,Cefaclor,10
Amikacin_Cefotaxime,Amikacin,Cefotaxime,5
Amikacin_Cefsulodin,Amikacin,Cefsulodin,1
Amikacin_Cephalexin,Amikacin,Cephalexin,9
Amikacin_Cerulenin,Amikacin,Cerulenin,10
Amikacin_CHIR-90,Amikacin,CHIR-90,13
Amikacin_Chloramphenicol,Amikacin,Chloramphenicol,9
Amikacin_Chlorhexidine,Amikacin,Chlorhexidine,2
Amikacin_Ciclopirox,Amikacin,Ciclopirox,12
Amikacin_Ciprofloxacin,Amikacin,Ciprofloxacin,3
Amikacin_Clarithromycin,Amikacin,Clarithromycin,2
Amikacin_Clindamycin,Amikacin,Clindamycin,9
Amikacin_Clofazimine,Amikacin,Clofazimine,12
Amikacin_Colistin,Amikacin,Colistin,2
Amikacin_Curcumin,Amikacin,Curcumin,2
Amikacin_Cycloserine D,Amikacin,Cycloserine D,6
Amikacin_Daptomycin,Amikacin,Daptomycin,2
Amikacin_Diclofenac,Amikacin,Diclofenac,8
Amikacin_Doxorubicin,Amikacin,Doxorubicin,9
Amikacin_Doxycycline,Amikacin,Doxycycline,3
Amikacin_EGCG,Amikacin,EGCG,2
Amikacin_Erythromycin,Amikacin,Erythromycin,2
Amikacin_Fosfomycin,Amikacin,Fosfomycin,7
Amikacin_Fusidic acid,Amikacin,Fusidic acid,5
Amikacin_Gentamicin,Amikacin,Gentamicin,5
Amikacin_Imipenem,Amikacin,Imipenem,3
Amikacin_Levofloxacin,Amikacin,Levofloxacin,3
Amikacin_Linezolid,Amikacin,Linezolid,12
Amikacin_Loperamide,Amikacin,Loperamide,1
Amikacin_Mecillinam,Amikacin,Mecillinam,5
Amikacin_Meropenem,Amikacin,Meropenem,3
Amikacin_Metformin,Amikacin,Metformin,2
Amikacin_Metronidazole,Amikacin,Metronidazole,8
Amikacin_Minocycline,Amikacin,Minocycline,2
Amikacin_Mitomycin C,Amikacin,Mitomycin C,3
Amikacin_Moxifloxacin,Amikacin,Moxifloxacin,13
Amikacin_Nisin,Amikacin,Nisin,4
Amikacin_Nitrofurantoin,Amikacin,Nitrofurantoin,13
Amikacin_Nonactin,Amikacin,Nonactin,10
Amikacin_Novobiocin,Amikacin,Novobiocin,3
Amikacin_Oxacillin,Amikacin,Oxacillin,6
Amikacin_Paraquat,Amikacin,Paraquat,3
Amikacin_Penicillin G,Amikacin,Penicillin G,10
Amikacin_Phenformin,Amikacin,Phenformin,4
Amikacin_Phleomycin,Amikacin,Phleomycin,2
Amikacin_Piperacillin,Amikacin,Piperacillin,13
Amikacin_Polymyxin B,Amikacin,Polymyxin B,2
Amikacin_Procaine,Amikacin,Procaine,2
Amikacin_Puromycin,Amikacin,Puromycin,3
Amikacin_Reserpine,Amikacin,Reserpine,6
Amikacin_Rifampicin,Amikacin,Rifampicin,12
Amikacin_Spectinomycin,Amikacin,Spectinomycin,2
Amikacin_Spiramycin,Amikacin,Spiramycin,9
Amikacin_Streptozotocin,Amikacin,Streptozotocin,13
Amikacin_Sulfamonomethoxine,Amikacin,Sulfamonomethoxine,8
Amikacin_Teicoplanin,Amikacin,Teicoplanin,8
Amikacin_Theophylline,Amikacin,Theophylline,9
Amikacin_Tigecycline,Amikacin,Tigecycline,8
Amikacin_Tobramycin,Amikacin,Tobramycin,13
Amikacin_Triclosan,Amikacin,Triclosan,8
Amikacin_Trimethoprim,Amikacin,Trimethoprim,6
Amikacin_Vanillin,Amikacin,Vanillin,12
Amikacin_Verapamil,Amikacin,Verapamil,12
Amoxicillin_Azithromycin,Amoxicillin,Azithromycin,2
Amoxicillin_Aztreonam,Amoxicillin,Aztreonam,13
Amoxicillin_Bacitracin,Amoxicillin,Bacitracin,10
Amoxicillin_Benzalkonium,Amoxicillin,Benzalkonium,2
Amoxicillin_Berberine,Amoxicillin,Berberine,2
Amoxicillin_Bleomycin,Amoxicillin,Bleomycin,8
Amoxicillin_Caffeine,Amoxicillin,Caffeine,12
Amoxicillin_CCCP,Amoxicillin,CCCP,12
Amoxicillin_Cefaclor,Amoxicillin,Cefaclor,13
Amoxicillin_Cefotaxime,Amoxicillin,Cefotaxime,13
Amoxicillin_Cefsulodin,Amoxicillin,Cefsulodin,13
Amoxicillin_Cephalexin,Amoxicillin,Cephalexin,7
Amoxicillin_Cerulenin,Amoxicillin,Cerulenin,8
Amoxicillin_CHIR-90,Amoxicillin,CHIR-90,2
Amoxicillin_Chloramphenicol,Amoxicillin,Chloramphenicol,10
Amoxicillin_Chlorhexidine,Amoxicillin,Chlorhexidine,2
Amoxicillin_Ciclopirox,Amoxicillin,Ciclopirox,12
Amoxicillin_Ciprofloxacin,Amoxicillin,Ciprofloxacin,2
Amoxicillin_Clarithromycin,Amoxicillin,Clarithromycin,9
Amoxicillin_Clindamycin,Amoxicillin,Clindamycin,8
Amoxicillin_Clofazimine,Amoxicillin,Clofazimine,2
Amoxicillin_Colistin,Amoxicillin,Colistin,2
Amoxicillin_Curcumin,Amoxicillin,Curcumin,2
Amoxicillin_Cycloserine D,Amoxicillin,Cycloserine D,13
Amoxicillin_Daptomycin,Amoxicillin,Daptomycin,2
Amoxicillin_Diclofenac,Amoxicillin,Diclofenac,5
Amoxicillin_Doxorubicin,Amoxicillin,Doxorubicin,8
Amoxicillin_Doxycycline,Amoxicillin,Doxycycline,2
Amoxicillin_EGCG,Amoxicillin,EGCG,8
Amoxicillin_Erythromycin,Amoxicillin,Erythromycin,4
Amoxicillin_Fosfomycin,Amoxicillin,Fosfomycin,13
Amoxicillin_Fusidic acid,Amoxicillin,Fusidic acid,9
Amoxicillin_Gentamicin,Amoxicillin,Gentamicin,4
Amoxicillin_Imipenem,Amoxicillin,Imipenem,13
Amoxicillin_Levofloxacin,Amoxicillin,Levofloxacin,2
Amoxicillin_Linezolid,Amoxicillin,Linezolid,12
Amoxicillin_Loperamide,Amoxicillin,Loperamide,2
Amoxicillin_Mecillinam,Amoxicillin,Mecillinam,13
Amoxicillin_Meropenem,Amoxicillin,Meropenem,13
Amoxicillin_Metformin,Amoxicillin,Metformin,2
Amoxicillin_Metronidazole,Amoxicillin,Metronidazole,1
Amoxicillin_Minocycline,Amoxicillin,Minocycline,1
Amoxicillin_Mitomycin C,Amoxicillin,Mitomycin C,8
Amoxicillin_Moxifloxacin,Amoxicillin,Moxifloxacin,2
Amoxicillin_Nisin,Amoxicillin,Nisin,5
Amoxicillin_Nitrofurantoin,Amoxicillin,Nitrofurantoin,12
Amoxicillin_Nonactin,Amoxicillin,Nonactin,6
Amoxicillin_Novobiocin,Amoxicillin,Novobiocin,10
Amoxicillin_Oxacillin,Amoxicillin,Oxacillin,13
Amoxicillin_Paraquat,Amoxicillin,Paraquat,3
Amoxicillin_Penicillin G,Amoxicillin,Penicillin G,13
Amoxicillin_Phenformin,Amoxicillin,Phenformin,5
Amoxicillin_Phleomycin,Amoxicillin,Phleomycin,2
Amoxicillin_Piperacillin,Amoxicillin,Piperacillin,13
Amoxicillin_Polymyxin B,Amoxicillin,Polymyxin B,8
Amoxicillin_Procaine,Amoxicillin,Procaine,2
Amoxicillin_Puromycin,Amoxicillin,Puromycin,1
Amoxicillin_Reserpine,Amoxicillin,Reserpine,9
Amoxicillin_Rifampicin,Amoxicillin,Rifampicin,2
Amoxicillin_Spectinomycin,Amoxicillin,Spectinomycin,7
Amoxicillin_Spiramycin,Amoxicillin,Spiramycin,5
Amoxicillin_Streptozotocin,Amoxicillin,Streptozotocin,6
Amoxicillin_Sulfamonomethoxine,Amoxicillin,Sulfamonomethoxine,10
Amoxicillin_Teicoplanin,Amoxicillin,Teicoplanin,5
Amoxicillin_Theophylline,Amoxicillin,Theophylline,5
Amoxicillin_Tigecycline,Amoxicillin,Tigecycline,8
Amoxicillin_Tobramycin,Amoxicillin,Tobramycin,3
Amoxicillin_Triclosan,Amoxicillin,Triclosan,5
Amoxicillin_Trimethoprim,Amoxicillin,Trimethoprim,8
Amoxicillin_Vanillin,Amoxicillin,Vanillin,2
Amoxicillin_Verapamil,Amoxicillin,Verapamil,6
Azithromycin_Aztreonam,Azithromycin,Aztreonam,2
Azithromycin_Bacitracin,Azithromycin,Bacitracin,2
Azithromycin_Benzalkonium,Azithromycin,Benzalkonium,2
Azithromycin_Bleomycin,Azithromycin,Bleomycin,12
Azithromycin_Caffeine,Azithromycin,Caffeine,11
Azithromycin_CCCP,Azithromycin,CCCP,7
Azithromycin_Cefaclor,Azithromycin,Cefaclor,2
Azithromycin_Cefotaxime,Azithromycin,Cefotaxime,1
Azithromycin_Cefsulodin,Azithromycin,Cefsulodin,2
Azithromycin_Cephalexin,Azithromycin,Cephalexin,3
Azithromycin_Cerulenin,Azithromycin,Cerulenin,1
Azithromycin_Chloramphenicol,Azithromycin,Chloramphenicol,2
Azithromycin_Chlorhexidine,Azithromycin,Chlorhexidine,2
Azithromycin_Ciprofloxacin,Azithromycin,Ciprofloxacin,2
Azithromycin_Clarithromycin,Azithromycin,Clarithromycin,2
Azithromycin_Clindamycin,Azithromycin,Clindamycin,2
Azithromycin_Clofazimine,Azithromycin,Clofazimine,1
Azithromycin_Cycloserine D,Azithromycin,Cycloserine D,7
Azithromycin_Daptomycin,Azithromycin,Daptomycin,11
Azithromycin_Doxorubicin,Azithromycin,Doxorubicin,6
Azithromycin_Doxycycline,Azithromycin,Doxycycline,3
Azithromycin_EGCG,Azithromycin,EGCG,10
Azithromycin_Erythromycin,Azithromycin,Erythromycin,2
Azithromycin_Fosfomycin,Azithromycin,Fosfomycin,2
Azithromycin_Fusidic acid,Azithromycin,Fusidic acid,13
Azithromycin_Imipenem,Azithromycin,Imipenem,5
Azithromycin_Levofloxacin,Azithromycin,Levofloxacin,2
Azithromycin_Linezolid,Azithromycin,Linezolid,5
Azithromycin_Loperamide,Azithromycin,Loperamide,1
Azithromycin_Mecillinam,Azithromycin,Mecillinam,2
Azithromycin_Metronidazole,Azithromycin,Metronidazole,10
Azithromycin_Minocycline,Azithromycin,Minocycline,2
Azithromycin_Mitomycin C,Azithromycin,Mitomycin C,2
Azithromycin_Nisin,Azithromycin,Nisin,7
Azithromycin_Nitrofurantoin,Azithromycin,Nitrofurantoin,12
Azithromycin_Nonactin,Azithromycin,Nonactin,5
Azithromycin_Novobiocin,Azithromycin,Novobiocin,2
Azithromycin_Oxacillin,Azithromycin,Oxacillin,7
Azithromycin_Paraquat,Azithromycin,Paraquat,2
Azithromycin_Penicillin G,Azithromycin,Penicillin G,4
Azithromycin_Piperacillin,Azithromycin,Piperacillin,2
Azithromycin_Polymyxin B,Azithromycin,Polymyxin B,3
Azithromycin_Procaine,Azithromycin,Procaine,13
Azithromycin_Puromycin,Azithromycin,Puromycin,2
Azithromycin_Reserpine,Azithromycin,Reserpine,9
Azithromycin_Rifampicin,Azithromycin,Rifampicin,2
Azithromycin_Spectinomycin,Azithromycin,Spectinomycin,12
Azithromycin_Spiramycin,Azithromycin,Spiramycin,2
Azithromycin_Sulfamonomethoxine,Azithromycin,Sulfamonomethoxine,4
Azithromycin_Teicoplanin,Azithromycin,Teicoplanin,3
Azithromycin_Theophylline,Azithromycin,Theophylline,6
Azithromycin_Tigecycline,Azithromycin,Tigecycline,8
Azithromycin_Tobramycin,Azithromycin,Tobramycin,2
Azithromycin_Trimethoprim,Azithromycin,Trimethoprim,2
Azithromycin_Vanillin,Azithromycin,Vanillin,1
Azithromycin_Verapamil,Azithromycin,Verapamil,9
Aztreonam_Bacitracin,Aztreonam,Bacitracin,5
Aztreonam_Benzalkonium,Aztreonam,Benzalkonium,1
Aztreonam_Berberine,Aztreonam,Berberine,2
Aztreonam_Bleomycin,Aztreonam,Bleomycin,12
Aztreonam_Caffeine,Aztreonam,Caffeine,2
Aztreonam_CCCP,Aztreonam,CCCP,4
Aztreonam_Cefaclor,Aztreonam,Cefaclor,13
Aztreonam_Cefotaxime,Aztreonam,Cefotaxime,13
Aztreonam_Cefsulodin,Aztreonam,Cefsulodin,13
Aztreonam_Cephalexin,Aztreonam,Cephalexin,9
Aztreonam_Cerulenin,Aztreonam,Cerulenin,8
Aztreonam_CHIR-90,Aztreonam,CHIR-90,3
Aztreonam_Chloramphenicol,Aztreonam,Chloramphenicol,8
Aztreonam_Chlorhexidine,Aztreonam,Chlorhexidine,2
Aztreonam_Ciclopirox,Aztreonam,Ciclopirox,2
Aztreonam_Ciprofloxacin,Aztreonam,Ciprofloxacin,2
Aztreonam_Clarithromycin,Aztreonam,Clarithromycin,1
Aztreonam_Clindamycin,Aztreonam,Clindamycin,2
Aztreonam_Clofazimine,Aztreonam,Clofazimine,8
Aztreonam_Colistin,Aztreonam,Colistin,2
Aztreonam_Curcumin,Aztreonam,Curcumin,2
Aztreonam_Cycloserine D,Aztreonam,Cycloserine D,13
Aztreonam_Daptomycin,Aztreonam,Daptomycin,8
Aztreonam_Diclofenac,Aztreonam,Diclofenac,1
Aztreonam_Doxorubicin,Aztreonam,Doxorubicin,5
Aztreonam_Doxycycline,Aztreonam,Doxycycline,2
Aztreonam_EGCG,Aztreonam,EGCG,2
Aztreonam_Erythromycin,Aztreonam,Erythromycin,1
Aztreonam_Fosfomycin,Aztreonam,Fosfomycin,3
Aztreonam_Fusidic acid,Aztreonam,Fusidic acid,12
Aztreonam_Gentamicin,Aztreonam,Gentamicin,2
Aztreonam_Imipenem,Aztreonam,Imipenem,2
Aztreonam_Levofloxacin,Aztreonam,Levofloxacin,1
Aztreonam_Linezolid,Aztreonam,Linezolid,8
Aztreonam_Loperamide,Aztreonam,Loperamide,8
Aztreonam_Mecillinam,Aztreonam,Mecillinam,13
Aztreonam_Meropenem,Aztreonam,Meropenem,13
Aztreonam_Metformin,Aztreonam,Metformin,1
Aztreonam_Metronidazole,Aztreonam,Metronidazole,5
Aztreonam_Minocycline,Aztreonam,Minocycline,9
Aztreonam_Mitomycin C,Aztreonam,Mitomycin C,2
Aztreonam_Moxifloxacin,Aztreonam,Moxifloxacin,2
Aztreonam_Nisin,Aztreonam,Nisin,5
Aztreonam_Nitrofurantoin,Aztreonam,Nitrofurantoin,2
Aztreonam_Nonactin,Aztreonam,Nonactin,4
Aztreonam_Novobiocin,Aztreonam,Novobiocin,2
Aztreonam_Oxacillin,Aztreonam,Oxacillin,3
Aztreonam_Paraquat,Aztreonam,Paraquat,2
Aztreonam_Penicillin G,Aztreonam,Penicillin G,13
Aztreonam_Phenformin,Aztreonam,Phenformin,8
Aztreonam_Phleomycin,Aztreonam,Phleomycin,2
Aztreonam_Piperacillin,Aztreonam,Piperacillin,13
Aztreonam_Polymyxin B,Aztreonam,Polymyxin B,1
Aztreonam_Procaine,Aztreonam,Procaine,2
Aztreonam_Puromycin,Aztreonam,Puromycin,2
Aztreonam_Reserpine,Aztreonam,Reserpine,6
Aztreonam_Rifampicin,Aztreonam,Rifampicin,2
Aztreonam_Spectinomycin,Aztreonam,Spectinomycin,1
Aztreonam_Spiramycin,Aztreonam,Spiramycin,8
Aztreonam_Streptozotocin,Aztreonam,Streptozotocin,2
Aztreonam_Sulfamonomethoxine,Aztreonam,Sulfamonomethoxine,4
Aztreonam_Teicoplanin,Aztreonam,Teicoplanin,9
Aztreonam_Theophylline,Aztreonam,Theophylline,4
Aztreonam_Tigecycline,Aztreonam,Tigecycline,4
Aztreonam_Tobramycin,Aztreonam,Tobramycin,13
Aztreonam_Triclosan,Aztreonam,Triclosan,11
Aztreonam_Trimethoprim,Aztreonam,Trimethoprim,2
Aztreonam_Vanillin,Aztreonam,Vanillin,2
Aztreonam_Verapamil,Aztreonam,Verapamil,3
Bacitracin_Benzalkonium,Bacitracin,Benzalkonium,12
Bacitracin_Berberine,Bacitracin,Berberine,6
Bacitracin_Bleomycin,Bacitracin,Bleomycin,3
Bacitracin_Caffeine,Bacitracin,Caffeine,4
Bacitracin_CCCP,Bacitracin,CCCP,6
Bacitracin_Cefaclor,Bacitracin,Cefaclor,4
Bacitracin_Cefotaxime,Bacitracin,Cefotaxime,3
Bacitracin_Cefsulodin,Bacitracin,Cefsulodin,5
Bacitracin_Cephalexin,Bacitracin,Cephalexin,4
Bacitracin_Cerulenin,Bacitracin,Cerulenin,3
Bacitracin_CHIR-90,Bacitracin,CHIR-90,13
Bacitracin_Chloramphenicol,Bacitracin,Chloramphenicol,2
Bacitracin_Chlorhexidine,Bacitracin,Chlorhexidine,4
Bacitracin_Ciclopirox,Bacitracin,Ciclopirox,2
Bacitracin_Ciprofloxacin,Bacitracin,Ciprofloxacin,3
Bacitracin_Clarithromycin,Bacitracin,Clarithromycin,4
Bacitracin_Clindamycin,Bacitracin,Clindamycin,4
Bacitracin_Clofazimine,Bacitracin,Clofazimine,9
Bacitracin_Colistin,Bacitracin,Colistin,13
Bacitracin_Curcumin,Bacitracin,Curcumin,2
Bacitracin_Cycloserine D,Bacitracin,Cycloserine D,3
Bacitracin_Daptomycin,Bacitracin,Daptomycin,2
Bacitracin_Diclofenac,Bacitracin,Diclofenac,2
Bacitracin_Doxorubicin,Bacitracin,Doxorubicin,4
Bacitracin_Doxycycline,Bacitracin,Doxycycline,1
Bacitracin_EGCG,Bacitracin,EGCG,1
Bacitracin_Erythromycin,Bacitracin,Erythromycin,12
Bacitracin_Fosfomycin,Bacitracin,Fosfomycin,13
Bacitracin_Fusidic acid,Bacitracin,Fusidic acid,4
Bacitracin_Gentamicin,Bacitracin,Gentamicin,3
Bacitracin_Imipenem,Bacitracin,Imipenem,13
Bacitracin_Levofloxacin,Bacitracin,Levofloxacin,3
Bacitracin_Linezolid,Bacitracin,Linezolid,9
Bacitracin_Loperamide,Bacitracin,Loperamide,5
Bacitracin_Mecillinam,Bacitracin,Mecillinam,3
Bacitracin_Meropenem,Bacitracin,Meropenem,13
Bacitracin_Metformin,Bacitracin,Metformin,1
Bacitracin_Metronidazole,Bacitracin,Metronidazole,3
Bacitracin_Minocycline,Bacitracin,Minocycline,5
Bacitracin_Mitomycin C,Bacitracin,Mitomycin C,3
Bacitracin_Moxifloxacin,Bacitracin,Moxifloxacin,3
Bacitracin_Nisin,Bacitracin,Nisin,5
Bacitracin_Nitrofurantoin,Bacitracin,Nitrofurantoin,4
Bacitracin_Nonactin,Bacitracin,Nonactin,9
Bacitracin_Novobiocin,Bacitracin,Novobiocin,13
Bacitracin_Oxacillin,Bacitracin,Oxacillin,12
Bacitracin_Paraquat,Bacitracin,Paraquat,5
Bacitracin_Penicillin G,Bacitracin,Penicillin G,10
Bacitracin_Phenformin,Bacitracin,Phenformin,11
Bacitracin_Phleomycin,Bacitracin,Phleomycin,8
Bacitracin_Piperacillin,Bacitracin,Piperacillin,7
Bacitracin_Polymyxin B,Bacitracin,Polymyxin B,13
Bacitracin_Procaine,Bacitracin,Procaine,6
Bacitracin_Puromycin,Bacitracin,Puromycin,4
Bacitracin_Reserpine,Bacitracin,Reserpine,8
Bacitracin_Rifampicin,Bacitracin,Rifampicin,10
Bacitracin_Spectinomycin,Bacitracin,Spectinomycin,1
Bacitracin_Spiramycin,Bacitracin,Spiramycin,9
Bacitracin_Streptozotocin,Bacitracin,Streptozotocin,7
Bacitracin_Sulfamonomethoxine,Bacitracin,Sulfamonomethoxine,4
Bacitracin_Teicoplanin,Bacitracin,Teicoplanin,3
Bacitracin_Theophylline,Bacitracin,Theophylline,5
Bacitracin_Tigecycline,Bacitracin,Tigecycline,12
