"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00889100579503058,6,205,2.625,"Catalytic activity, acting on a protein","http://amigo.geneontology.org/amigo/term/GO:0140096","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.00889100579503058,6,39,2.625,"Sulfur compound binding","http://amigo.geneontology.org/amigo/term/GO:1901681","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,108,2.25,"Peptidoglycan metabolic process, and cell division site","","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,73,2.25,"Peptidoglycan metabolic process","http://amigo.geneontology.org/amigo/term/GO:0000270","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,75,2.25,"Aminoglycan metabolic process","http://amigo.geneontology.org/amigo/term/GO:0006022","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,47,2.25,"Aminoglycan biosynthetic process","http://amigo.geneontology.org/amigo/term/GO:0006023","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,47,2.25,"Glycosaminoglycan biosynthetic process","http://amigo.geneontology.org/amigo/term/GO:0006024","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,17,2.25,"Drug binding","http://amigo.geneontology.org/amigo/term/GO:0008144","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,49,2.25,"Regulation of cell shape","http://amigo.geneontology.org/amigo/term/GO:0008360","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,47,2.25,"Peptidoglycan biosynthetic process","http://amigo.geneontology.org/amigo/term/GO:0009252","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,50,2.25,"Peptidoglycan-based cell wall biogenesis","http://amigo.geneontology.org/amigo/term/GO:0009273","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,50,2.25,"Regulation of anatomical structure morphogenesis","http://amigo.geneontology.org/amigo/term/GO:0022603","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,49,2.25,"Regulation of cell morphogenesis","http://amigo.geneontology.org/amigo/term/GO:0022604","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,73,2.25,"Glycosaminoglycan metabolic process","http://amigo.geneontology.org/amigo/term/GO:0030203","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,46,2.25,"Carboxylic acid binding","http://amigo.geneontology.org/amigo/term/GO:0031406","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,32,2.25,"Amide binding","http://amigo.geneontology.org/amigo/term/GO:0033218","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,52,2.25,"Cell wall biogenesis","http://amigo.geneontology.org/amigo/term/GO:0042546","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,46,2.25,"Organic acid binding","http://amigo.geneontology.org/amigo/term/GO:0043177","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,57,2.25,"Cell wall macromolecule metabolic process","http://amigo.geneontology.org/amigo/term/GO:0044036","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,49,2.25,"Cell wall macromolecule biosynthetic process","http://amigo.geneontology.org/amigo/term/GO:0044038","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,103,2.25,"External encapsulating structure organization","http://amigo.geneontology.org/amigo/term/GO:0045229","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,50,2.25,"Regulation of developmental process","http://amigo.geneontology.org/amigo/term/GO:0050793","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,49,2.25,"Cellular component macromolecule biosynthetic process","http://amigo.geneontology.org/amigo/term/GO:0070589","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,94,2.25,"Cell wall organization or biogenesis","http://amigo.geneontology.org/amigo/term/GO:0071554","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,80,2.25,"Cell wall organization","http://amigo.geneontology.org/amigo/term/GO:0071555","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,255,2.25,"Carbohydrate derivative biosynthetic process","http://amigo.geneontology.org/amigo/term/GO:1901137","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,5,13,2.625,"Carboxypeptidase","","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3396"
0.0162867060699878,6,48,2.25,"Cell shape","","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,469,2.25,"Hydrolase","","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,6,41,2.25,"Peptidoglycan synthesis","","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,5,83,2.625,"Protease","","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3396"
0.0162867060699878,6,63,2.25,"Cell wall biogenesis/degradation","","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.0162867060699878,5,933,2.625,"Cell inner membrane","","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3396"
0.051370255704621,4,55,2.625,"Cell wall biogenesis/degradation, and Peptidase family M23","","ECO:B0149 ECO:B0839 ECO:B3182 ECO:B3396"
0.051370255704621,4,32,2.625,"Carboxypeptidase activity, and peptidoglycan turnover","","ECO:B0149 ECO:B0839 ECO:B3182 ECO:B3396"
0.051370255704621,4,15,2.625,"Serine-type carboxypeptidase activity, and lppc putative lipoprotein","","ECO:B0149 ECO:B0839 ECO:B3182 ECO:B3396"
0.051370255704621,6,390,1.96875,"Carbohydrate derivative metabolic process","http://amigo.geneontology.org/amigo/term/GO:1901135","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.051370255704621,4,945,2.625,"Transmembrane","","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B3396"
0.051370255704621,4,900,2.625,"Transmembrane helix","","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B3396"
0.051370255704621,4,5,2.625,"Penicillin binding protein transpeptidase domain","http://pfam.xfam.org/family/PF00905","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B3396"
0.0567407824373769,5,1035,2.1875,"Integral component of membrane","http://amigo.geneontology.org/amigo/term/GO:0016021","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3396"
0.0567407824373769,5,1057,2.1875,"Intrinsic component of membrane","http://amigo.geneontology.org/amigo/term/GO:0031224","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3396"
0.0567407824373769,5,1195,2.1875,"Membrane","","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3396"
0.0567407824373769,5,1079,2.1875,"Cell membrane","","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3396"
0.0579943149928484,8,472,1.5,"Macromolecule biosynthetic process","http://amigo.geneontology.org/amigo/term/GO:0009059","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396 ECO:B3987 ECO:B3988"
0.0579943149928484,8,468,1.5,"Cellular macromolecule biosynthetic process","http://amigo.geneontology.org/amigo/term/GO:0034645","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396 ECO:B3987 ECO:B3988"
0.106261859582543,6,408,1.75,"Protein metabolic process","http://amigo.geneontology.org/amigo/term/GO:0019538","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.106261859582543,6,341,1.75,"Cellular component biogenesis","http://amigo.geneontology.org/amigo/term/GO:0044085","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.106261859582543,6,657,1.75,"Regulation of biological process","http://amigo.geneontology.org/amigo/term/GO:0050789","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.106261859582543,6,168,1.75,"Regulation of biological quality","http://amigo.geneontology.org/amigo/term/GO:0065008","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.112437957639196,8,379,1.4,"Response to chemical","http://amigo.geneontology.org/amigo/term/GO:0042221","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396 ECO:B3987 ECO:B3988"
0.136689549961861,5,1190,1.875,"Plasma membrane","http://amigo.geneontology.org/amigo/term/GO:0005886","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3396"
0.136689549961861,3,7,2.625,"Peptidoglycan glycosyltransferase activity","http://amigo.geneontology.org/amigo/term/GO:0008955","ECO:B0084 ECO:B0149 ECO:B3396"
0.136689549961861,3,86,2.625,"Transferase activity, transferring glycosyl groups","http://amigo.geneontology.org/amigo/term/GO:0016757","ECO:B0084 ECO:B0149 ECO:B3396"
0.136689549961861,3,32,2.625,"Transferase activity, transferring hexosyl groups","http://amigo.geneontology.org/amigo/term/GO:0016758","ECO:B0084 ECO:B0149 ECO:B3396"
0.136689549961861,3,241,2.625,"Periplasmic space","http://amigo.geneontology.org/amigo/term/GO:0042597","ECO:B0149 ECO:B0839 ECO:B3182"
0.136689549961861,5,1299,1.875,"Cell periphery","http://amigo.geneontology.org/amigo/term/GO:0071944","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3396"
0.149769618744459,4,371,2.1,"Integral component of plasma membrane","http://amigo.geneontology.org/amigo/term/GO:0005887","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839"
0.149769618744459,4,391,2.1,"Intrinsic component of plasma membrane","http://amigo.geneontology.org/amigo/term/GO:0031226","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839"
0.192117814408836,8,882,1.3125,"Cellular macromolecule metabolic process","http://amigo.geneontology.org/amigo/term/GO:0044260","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396 ECO:B3987 ECO:B3988"
0.192117814408836,8,913,1.3125,"Response to stimulus","http://amigo.geneontology.org/amigo/term/GO:0050896","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396 ECO:B3987 ECO:B3988"
0.192117814408836,6,772,1.575,"Biological regulation","http://amigo.geneontology.org/amigo/term/GO:0065007","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
