#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:concatenate" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:concatenate" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:concatenate" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:concatenate" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.concatenate" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:concatenate" name="distribution" x="@BDBirthRate.t:concatenate">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:concatenate" name="distribution" x="@BDDeathRate.t:concatenate">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="UCMeanRatePrior.c:concatenate" name="distribution">
#            <parameter id="ucedMean.c:concatenate" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.9" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="All.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="All" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="bce" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="cdf" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="ebw" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="ecr" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="pae" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="pau" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="rrc" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="sau" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="seo" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="stm" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.5" lower="2801.0" name="distr" offset="3634.0" upper="Infinity"/>
#        </distribution>
#        <distribution id="ES.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="ES" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="ebw"/>
#                <taxon idref="ecr"/>
#                <taxon idref="seo"/>
#                <taxon idref="stm"/>
#            </taxonset>
#            <Uniform id="Uniform.6" lower="57.0" name="distr" offset="176.0" upper="Infinity"/>
#        </distribution>
#        <distribution id="Firmicute.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="Firmicute" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="bce"/>
#                <taxon idref="cdf"/>
#                <taxon idref="sau"/>
#            </taxonset>
#            <Uniform id="Uniform.7" lower="2587.0" name="distr" offset="3352.0" upper="Infinity"/>
#        </distribution>
#        <distribution id="proteobacteria.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:concatenate">
#            <taxonset id="proteobacteria" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="ebw"/>
#                <taxon idref="ecr"/>
#                <taxon idref="rrc"/>
#                <taxon idref="seo"/>
#                <taxon idref="stm"/>
#            </taxonset>
#            <Uniform id="Uniform.8" lower="2801.0" name="distr" offset="3634.0" upper="Infinity"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@concatenate" id="treeLikelihood.concatenate" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:concatenate">
#            <siteModel id="SiteModel.s:concatenate" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:concatenate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:concatenate" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:concatenate" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:concatenate" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucedMean.c:concatenate" id="ExponentialRelaxedClock.c:concatenate" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:concatenate">
#                <Exponential id="Exponential.c:concatenate" name="distr">
#                    <parameter id="UCExpLambda.c:concatenate" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </Exponential>
#                <rateCategories dimension="18" id="expRateCategories.c:concatenate" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.concatenate	TreeHeight	monophyletic(ES)	logP(mrca(ES))	mrca.age(ES)	monophyletic(Firmicute)	logP(mrca(Firmicute))	mrca.age(Firmicute)	monophyletic(proteobacteria)	logP(mrca(proteobacteria))	mrca.age(proteobacteria)	monophyletic(All)	logP(mrca(All))	mrca.age(All)	ucedMean	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
16000	-87250.3028891193	-87179.1323263584	-71.17056276088977	-87179.1323263584	6797.2297253705165	0	0.0	423.521051598931	0	0.0	6797.2297253705165	0	0.0	6797.2297253705165	0	0.0	6797.2297253705165	0.0026935702518785624	2.097068740965934E-4	1.061503484995736E-5	1.3039926944543898	-64.26280748190763	1.953047501043775E-4	0.9733413081986726
17000	-84781.23124262906	-84705.93759970456	-75.29364292450227	-84705.93759970456	9050.206471371976	0	0.0	323.0798814098431	0	0.0	9050.206471371976	0	0.0	9050.206471371976	0	0.0	9050.206471371976	0.0013385923240054483	1.3363012530049072E-4	2.4514505912467324E-6	1.3296544049111196	-68.38588764552013	1.7212525608640745E-4	0.9734450819034002
18000	-83805.73810235468	-83729.70407730466	-76.03402505001385	-83729.70407730466	7884.528993593871	0	0.0	332.944093298755	0	0.0	7884.528993593871	0	0.0	7884.528993593871	0	0.0	7884.528993593871	8.648051737200802E-4	1.3338440282965574E-4	1.082976178006297E-6	1.2840509040994577	-69.12626977103172	1.2210187577746013E-4	0.9774582085930824
19000	-82228.23424025046	-82147.41601491706	-80.81822533339859	-82147.41601491706	9347.711195452031	1	0.0	291.4825760038618	0	0.0	9347.711195452031	0	0.0	9347.711195452031	0	0.0	9347.711195452031	3.447033675521086E-4	9.990539419043207E-5	2.0412592046846183E-7	1.155617376634309	-73.91047005441645	1.0703148942071873E-4	0.9454901338208677
20000	-81998.0895116152	-81915.96988717146	-82.11962444372924	-81915.96988717146	7263.272525321321	1	0.0	358.24233098706867	0	0.0	7263.272525321321	0	0.0	7263.272525321321	0	0.0	7263.272525321321	3.103491802930044E-4	1.1028542527250263E-4	1.696613649954851E-7	1.146866963675567	-75.2118691647471	3.425092490953148E-4	0.8960536824355229
21000	-81951.15273060415	-81865.56031326391	-85.59241734023905	-81865.56031326391	8615.376484996004	1	0.0	634.0994279244305	0	0.0	8615.376484996004	0	0.0	8615.376484996004	0	0.0	8615.376484996004	1.902111936396496E-4	8.217641710235978E-5	6.596059489819297E-8	1.184224156673619	-78.68466206125692	8.426350782565966E-5	0.8460254262693608
22000	-81930.0787133555	-81846.55723638092	-83.5214769745791	-81846.55723638092	6698.859038609571	1	0.0	540.6419315925314	0	0.0	6698.859038609571	0	0.0	6698.859038609571	0	0.0	6698.859038609571	2.1864627675131725E-4	9.738674347939139E-5	8.180083711312507E-8	1.323036909237102	-76.61372169559696	1.9838889825859297E-4	0.8213487101053257
23000	-81929.79178907814	-81843.76092085586	-86.03086822228008	-81843.76092085586	7927.171717707089	1	0.0	685.0717106309787	0	0.0	7927.171717707089	0	0.0	7284.961271164878	0	0.0	7927.171717707089	1.7786730144926207E-4	8.18799112903368E-5	6.326357070687191E-8	1.1696063689845666	-79.12311294329794	1.997567721536661E-4	0.6378444671800502
24000	-81923.70139721454	-81838.46700279057	-85.23439442397549	-81838.46700279057	6877.637129269591	1	0.0	619.617237157752	0	0.0	6877.637129269591	0	0.0	6801.403590085479	0	0.0	6877.637129269591	1.9571327877564005E-4	9.261194375699139E-5	6.649503702067184E-8	1.3831446395982498	-78.32663914499335	1.5107730809804467E-4	0.7085019556752159
25000	-81926.39333393902	-81840.35527607186	-86.03805786715667	-81840.35527607186	8349.202714140358	0	0.0	754.8863355745125	0	0.0	8349.202714140358	0	0.0	8011.774580676958	0	0.0	8349.202714140358	1.6119377050373965E-4	7.586117675934174E-5	4.4547307073346956E-8	1.349442360708532	-79.13030258817453	1.8296521887298107E-4	0.8051156570459109
26000	-81927.28772834153	-81839.57463046726	-87.713097874261	-81839.57463046726	9954.35291840879	1	0.0	919.4385004869733	0	0.0	9954.35291840879	0	0.0	9712.32871142898	0	0.0	9954.35291840879	1.3518131963262533E-4	6.30262002480995E-5	3.095212173813269E-8	1.2359764725310303	-80.80534259527886	1.4355656693169498E-4	0.8020198481385514
27000	-81929.83484239553	-81842.3218760869	-87.51296630862088	-81842.3218760869	8291.520104007228	1	0.0	763.5516970265211	0	0.0	8291.520104007228	0	0.0	7934.57866580674	0	0.0	8291.520104007228	1.624001867159656E-4	7.615696177298633E-5	4.4107440443988976E-8	1.2812315850599312	-80.60521102963874	2.398676434331291E-4	0.38294026846091656
28000	-81926.90206870338	-81840.60302886489	-86.29903983848014	-81840.60302886489	7460.973471998037	1	0.0	683.7331793898408	0	0.0	7460.973471998037	0	0.0	7329.77039730719	0	0.0	7460.973471998037	1.784510607344252E-4	8.399047732662281E-5	5.3228867769800695E-8	1.181831800104433	-79.391284559498	3.5399965772994876E-4	0.7474139428626853
29000	-81926.45585260178	-81839.91748218107	-86.53837042071208	-81839.91748218107	7107.247479526446	1	0.0	639.9655495827687	0	0.0	7049.7524248853315	0	0.0	7107.247479526446	0	0.0	7107.247479526446	1.8648403647953532E-4	8.823872354439672E-5	5.847752682145863E-8	1.2732026693597511	-79.63061514172995	3.330648179671806E-4	0.2380066266222091
30000	-81932.23381304041	-81840.31090844268	-91.92290459773336	-81840.31090844268	11022.715612363634	1	0.0	1016.9732966997362	0	0.0	11022.715612363634	0	0.0	10929.955672463213	0	0.0	11022.715612363634	1.2025145180676943E-4	5.7173300487995715E-5	2.5149442380815476E-8	1.354688104056408	-85.01514931875123	3.6641718517384296E-4	0.19433751267998997
31000	-81926.14840584174	-81839.13363623449	-87.01476960725797	-81839.13363623449	7300.51837703214	1	0.0	674.2329716500966	0	0.0	7300.51837703214	0	0.0	6903.393418995494	0	0.0	7300.51837703214	1.8145162655116548E-4	8.654217334084725E-5	5.675621995893115E-8	1.2942098973182574	-80.10701432827584	3.630562805799287E-4	0.12430051047746525
32000	-81927.9026246905	-81840.39141550941	-87.51120918109271	-81840.39141550941	7064.364751513231	0	0.0	633.9470929360047	0	0.0	7064.364751513231	0	0.0	6936.868878518946	0	0.0	7064.364751513231	1.8752664985667212E-4	8.997913404619111E-5	5.9283710327226526E-8	1.2743895284632554	-80.60345390211057	1.7264730370799872E-4	0.3282316090258838
33000	-81929.40168631701	-81841.35623264758	-88.0454536694375	-81841.35623264758	9825.683949138684	1	0.0	884.8150657017001	0	0.0	9645.03344441912	0	0.0	9825.683949138684	0	0.0	9825.683949138684	1.32558220536375E-4	6.38704648808688E-5	3.0350970553626315E-8	1.1333763198053768	-81.13769839045537	1.7543791058199657E-4	0.6688605967070762
34000	-81927.06396424404	-81840.34401040236	-86.71995384166938	-81840.34401040236	8837.165213583634	1	0.0	793.1082192306399	0	0.0	8837.165213583634	0	0.0	8695.240680783538	0	0.0	8837.165213583634	1.4732605473016976E-4	7.116202375185871E-5	3.461230587063157E-8	1.0920844669924499	-79.81219856268724	5.272243967181552E-5	0.9066168425017908
35000	-81927.73551032493	-81841.68844831693	-86.04706200800018	-81841.68844831693	8398.138101788145	1	0.0	744.2491223805398	0	0.0	8398.138101788145	0	0.0	8103.674381025348	0	0.0	8398.138101788145	1.5240577066032976E-4	7.38504516038775E-5	3.928506977042202E-8	1.30314436041332	-79.13930672901805	1.7415755706319828E-4	0.819127483039514
36000	-81934.284654479	-81838.79656333293	-95.48809114606864	-81838.79656333293	16183.623407029601	1	0.0	1419.4599592348402	0	0.0	16183.623407029601	0	0.0	16035.358973832326	0	0.0	16183.623407029601	8.220795071045843E-5	3.90361812722641E-5	1.1172619807964426E-8	1.2577535967187528	-88.5803358670865	2.623086789246889E-4	0.40907698523693814
37000	-81926.13416836709	-81841.53475360751	-84.59941475958432	-81841.53475360751	7191.162797517716	1	0.0	638.5017344673893	0	0.0	7191.162797517716	0	0.0	6682.596143542342	0	0.0	7191.162797517716	1.8707824921182685E-4	8.745840544092676E-5	6.995023741642918E-8	1.147684861709125	-77.69165948060218	2.2581809139865034E-4	0.8387392192885482
38000	-81952.11868841329	-81843.47022122893	-108.6484671843616	-81843.47022122893	101988.40351215095	1	0.0	9444.562856859606	0	0.0	101988.40351215095	0	0.0	100048.53310021466	0	0.0	101988.40351215095	1.2632409692416599E-5	6.219833214027079E-6	3.227867564723709E-10	1.2022619475928373	-101.74071190537947	7.712861154890859E-6	0.8680324668420027
39000	-81937.75324862162	-81839.62576743784	-98.12748118377263	-81839.62576743784	30709.842604808393	1	0.0	2732.2876796867426	1	0.0	30221.771561890717	0	0.0	30709.842604808393	0	0.0	30709.842604808393	4.24261670448399E-5	2.03097264791453E-5	3.7196966259325883E-9	1.2589401234809479	-91.2197259047905	2.9646338085559535E-5	0.8068371195176676
40000	-81923.10493823669	-81838.46140410427	-84.6435341324282	-81838.46140410427	6975.2907875028795	1	0.0	606.476795960981	0	0.0	6968.415509221317	0	0.0	6975.2907875028795	0	0.0	6975.2907875028795	1.8762196828792338E-4	8.937629435939631E-5	5.830905115064796E-8	1.2356283822596301	-77.73577885344606	1.662505722738896E-4	0.7826361831078472
41000	-81929.90758199661	-81840.59648403242	-89.31109796419085	-81840.59648403242	12008.839842616057	1	0.0	1078.1290763257944	0	0.0	11770.077441716337	0	0.0	12008.839842616057	0	0.0	12008.839842616057	1.0865113116052885E-4	5.206283856136821E-5	2.0079780274745805E-8	1.206510483059763	-82.40334268520871	1.139733067204893E-4	0.8963691491217969
42000	-81930.39962835248	-81841.14374173176	-89.25588662071678	-81841.14374173176	9598.87584582475	1	0.0	888.7930977815038	0	0.0	9598.87584582475	0	0.0	9541.295863012305	0	0.0	9598.87584582475	1.3454145557283468E-4	6.447979455358977E-5	3.0517938246829936E-8	1.1778035946397514	-82.34813134173464	3.2559686009409864E-4	0.5912300541340111
43000	-81926.5060355811	-81841.0948495068	-85.41118607430099	-81841.0948495068	6882.600070787103	1	0.0	660.7481030195729	0	0.0	6592.207560134875	0	0.0	6882.600070787103	0	0.0	6882.600070787103	1.8543677825468E-4	9.173453786696036E-5	5.8581264290472835E-8	1.0769190850579353	-78.50343079531885	2.2892703512587966E-4	0.5738172214629489
44000	-81927.47761641617	-81840.01701826013	-87.4605981560481	-81840.01701826013	8129.223312418922	1	0.0	834.1659111178536	0	0.0	7909.661970469346	0	0.0	8129.223312418922	0	0.0	8129.223312418922	1.618175326908726E-4	7.74498513780132E-5	4.688646997934984E-8	1.2288686600541618	-80.55284287706597	2.801961510618848E-4	0.38869625651001694
45000	-81924.38923634581	-81838.52136308154	-85.86787326426902	-81838.52136308154	6589.447128081708	1	0.0	701.2119905401329	0	0.0	6589.447128081708	0	0.0	6582.980495841715	0	0.0	6589.447128081708	1.9842467812353773E-4	9.434459377116402E-5	6.392749664728454E-8	1.2154890564159295	-78.96011798528689	4.235167352435689E-4	0.39754338643268483
46000	-81939.6928315139	-81846.73384752098	-92.9589839929058	-81846.73384752098	13535.6262753652	1	0.0	1495.0751588579292	0	0.0	13535.6262753652	0	0.0	13535.6262753652	0	0.0	13535.6262753652	9.822452431246634E-5	4.5330125444621136E-5	1.5746898143463336E-8	1.1416977774609414	-86.05122871392366	9.00130006934733E-5	0.42099129736440044
47000	-81936.30578591954	-81841.1640158472	-95.14177007234193	-81841.1640158472	22676.971125727265	1	0.0	2399.709719725193	0	0.0	22676.971125727265	0	0.0	21233.47988801164	0	0.0	22676.971125727265	6.0129546989725534E-5	2.7574477500202085E-5	6.24355072907481E-9	1.2088186696178316	-88.23401479335979	4.0501075491756385E-5	0.8365019927802454
48000	-81931.15941876953	-81843.4211963567	-87.73822241282059	-81843.4211963567	7834.760510103931	1	0.0	820.1040486019559	0	0.0	7834.760510103931	0	0.0	7040.19318892062	0	0.0	7834.760510103931	1.7587305906687157E-4	8.079326380327005E-5	5.339210339350072E-8	1.3745457674316566	-80.83046713383845	4.0499997260297696E-4	0.1623375129380073
