drug_pair;Drug1;Drug2;drugdrug;code_3letter1;code_3letter2;drug_cat;drug_category1;drug_category2;categorycategory;targ;targeted_cellular_process1;targeted_cellular_process2;processprocess;us;use1;use2;useuse;ebw;ecr;seo;stm;pae;pau;int_sign_ebw;int_sign_ecr;int_sign_seo;int_sign_stm;int_sign_pae;int_sign_pau;ebw_g;ecr_g;seo_g;stm_g;pae_g;pau_g;sum_g;SR_ebw_D1;SR_ecr_D1;SR_stm_D1;SR_seo_D1;SR_pae_D1;SR_pau_D1;SR_ebw_D2;SR_ecr_D2;SR_stm_D2;SR_seo_D2;SR_pae_D2;SR_pau_D2;SR_ebw;SR_ecr;SR_stm;SR_seo;SR_pae;SR_pau;SR_score_ebw;SR_score_ecr;SR_score_stm;SR_score_seo;SR_score_pae;SR_score_pau;SR_score_total;HDC_ebw_D1;HDC_ecr_D1;HDC_stm_D1;HDC_seo_D1;HDC_pae_D1;HDC_pau_D1;LF_ebw_D1;LF_ecr_D1;LF_stm_D1;LF_seo_D1;LF_pae_D1;LF_pau_D1;HDC_ebw_D2;HDC_ecr_D2;HDC_stm_D2;HDC_seo_D2;HDC_pae_D2;HDC_pau_D2;LF_ebw_D2;LF_ecr_D2;LF_stm_D2;LF_seo_D2;LF_pae_D2;LF_pau_D2
Amoxicillin_Mitomycin C;Amoxicillin;Mitomycin C;Amoxicillin-Mitomycin C;AMX;MMC;0;beta-lactam;other DNA;beta-lactam-other DNA;0;cell wall;DNA;cell wall-DNA;0;antibiotic;research used drug;antibiotic-research used drug;-0,075749199;0,099528198;0,131922192;0,180633578;0,089492823;0,118613231;Additivity;Additivity;Antagonism;Antagonism;Additivity;Additivity;0;0;1;1;0;0;2;S;S;R;R;R;R;S;S;S;S;S;S;SS;SS;RS;RS;RS;RS;-1;-1;0;0;0;0;-2;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,500;0,500;0,250;0,250;1,500;0,200;0,34;0,00;0,33;0,54;0,40;0,00
Amoxicillin_Rifampicin;Amoxicillin;Rifampicin;Amoxicillin-Rifampicin;AMX;RIF;0;beta-lactam;RNA polymerase;beta-lactam-RNA polymerase;0;cell wall;DNA;cell wall-DNA;1;antibiotic;antibiotic;antibiotic-antibiotic;0,102283465;0,201708819;0,045657681;0,030674652;0,053311115;-0,028703126;Additivity;Antagonism;Additivity;Additivity;Additivity;Additivity;0;1;0;0;0;0;1;S;S;R;R;R;R;S;S;S;S;S;R;SS;SS;RS;RS;RS;RR;-1;-1;0;0;0;1;-1;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;8,000;8,000;8,000;8,000;16,000;20,000;0,41;0,00;0,17;0,00;0,00;0,87
Amoxicillin_Ciprofloxacin;Amoxicillin;Ciprofloxacin;Amoxicillin-Ciprofloxacin;AMX;CIP;0;beta-lactam;quinolones;beta-lactam-quinolones;0;cell wall;DNA;cell wall-DNA;1;antibiotic;antibiotic;antibiotic-antibiotic;0,073230637;0,085121072;0,112760117;-0,047860774;0,097174327;0,266802603;Additivity;Additivity;Antagonism;Additivity;Additivity;Antagonism;0;0;1;0;0;1;2;S;S;R;R;R;R;S;S;S;S;S;S;SS;SS;RS;RS;RS;RS;-1;-1;0;0;0;0;-2;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,010;0,010;0,015;0,015;1,250;0,080;0,00;0,00;0,00;0,00;0,00;0,00
Amoxicillin_Novobiocin;Amoxicillin;Novobiocin;Amoxicillin-Novobiocin;AMX;NVB;0;beta-lactam;quinolones;beta-lactam-quinolones;0;cell wall;DNA;cell wall-DNA;1;antibiotic;antibiotic;antibiotic-antibiotic;0,066903584;-0,065558675;0,082819994;-0,054962249;0,045879939;-0,023972867;Additivity;Additivity;Additivity;Additivity;Additivity;Additivity;0;0;0;0;0;0;0;S;S;R;R;R;R;S;S;R;S;R;R;SS;SS;RR;RS;RR;RR;-1;-1;1;0;1;1;1;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;20,000;20,000;20,000;20,000;20,000;20,000;0,45;0,00;0,85;0,28;0,86;0,91
Amoxicillin_Levofloxacin;Amoxicillin;Levofloxacin;Amoxicillin-Levofloxacin;AMX;LCX;0;beta-lactam;DNA gyrase;beta-lactam-DNA gyrase;0;cell wall;DNA;cell wall-DNA;1;antibiotic;antibiotic;antibiotic-antibiotic;0,041196462;0,104154232;0,075445848;0,071997404;0,092005420;0,213789549;Additivity;Additivity;Additivity;Additivity;Additivity;Additivity;0;0;0;0;0;0;0;S;S;R;R;R;R;S;S;S;S;S;S;SS;SS;RS;RS;RS;RS;-1;-1;0;0;0;0;-2;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,040;0,040;0,080;0,080;2,000;0,500;0,00;0,00;0,00;0,00;0,00;0,00
Amoxicillin_Trimethoprim;Amoxicillin;Trimethoprim;Amoxicillin-Trimethoprim;AMX;TMP;0;beta-lactam;folic acid biosynthesis;beta-lactam-folic acid biosynthesis;0;cell wall;DNA;cell wall-DNA;1;antibiotic;antibiotic;antibiotic-antibiotic;-0,168981691;0,092046379;0,115637791;0,093074035;-0,034292259;-0,025290124;Synergy;Additivity;Additivity;Additivity;Additivity;Additivity;-1;0;0;0;0;0;-1;S;S;R;R;R;R;S;S;S;S;R;R;SS;SS;RS;RS;RR;RR;-1;-1;0;0;1;1;0;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,500;0,500;0,500;0,500;1,000;1,000;0,49;0,46;0,53;0,46;0,83;0,85
Amoxicillin_Nitrofurantoin;Amoxicillin;Nitrofurantoin;Amoxicillin-Nitrofurantoin;AMX;NIT;0;beta-lactam;multiple;beta-lactam-multiple;0;cell wall;DNA;cell wall-DNA;1;antibiotic;antibiotic;antibiotic-antibiotic;0,073837160;0,082839020;0,036861862;-0,028514628;-0,041268669;-0,038461742;Additivity;Additivity;Additivity;Additivity;Additivity;Additivity;0;0;0;0;0;0;0;S;S;R;R;R;R;S;S;R;R;S;R;SS;SS;RR;RR;RS;RR;-1;-1;1;1;0;1;1;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;4,000;4,000;4,000;4,000;32,000;32,000;0,55;0,40;0,75;0,81;0,35;0,71
Amoxicillin_Bleomycin;Amoxicillin;Bleomycin;Amoxicillin-Bleomycin;AMX;BLM;0;beta-lactam;multiple;beta-lactam-multiple;0;cell wall;DNA;cell wall-DNA;0;antibiotic;human-targeted drug;antibiotic-human-targeted drug;-0,125651414;0,058523278;0,099075469;0,073391103;0,016456465;-0,022183858;Additivity;Additivity;Additivity;Additivity;Additivity;Additivity;0;0;0;0;0;0;0;S;S;R;R;R;R;S;S;S;R;R;R;SS;SS;RS;RR;RR;RR;-1;-1;0;1;1;1;1;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,300;0,300;0,300;0,300;3,000;3,000;0,34;0,28;0,47;0,77;0,91;0,88
Amoxicillin_Polymyxin B;Amoxicillin;Polymyxin B;Amoxicillin-Polymyxin B;AMX;PMB;0;beta-lactam;LPS;beta-lactam-LPS;0;cell wall;membrane;cell wall-membrane;1;antibiotic;antibiotic;antibiotic-antibiotic;-0,059787935;0,035720311;0,070896557;0,099513419;-0,041158027;0,039351614;Additivity;Additivity;Additivity;Antagonism;Additivity;Additivity;0;0;0;1;0;0;1;S;S;R;R;R;R;S;R;R;R;R;S;SS;SR;RR;RR;RR;RS;-1;0;1;1;1;0;2;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,300;0,300;0,300;0,300;0,500;0,500;0,29;0,79;0,84;0,85;0,76;0,08
Amoxicillin_Chlorhexidine;Amoxicillin;Chlorhexidine;Amoxicillin-Chlorhexidine;AMX;CHG;0;beta-lactam;LPS;beta-lactam-LPS;0;cell wall;membrane;cell wall-membrane;0;antibiotic;antiseptic;antibiotic-antiseptic;0,055577870;0,098055642;0,081111979;0,116018728;0,143799441;0,103050643;Additivity;Additivity;Additivity;Additivity;Additivity;Antagonism;0;0;0;0;0;1;1;S;S;R;R;R;R;S;S;R;R;S;S;SS;SS;RR;RR;RS;RS;-1;-1;1;1;0;0;0;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,500;0,500;2,000;2,000;10,000;10,000;0,00;0,12;0,85;0,83;0,00;0,00
Amoxicillin_Benzalkonium;Amoxicillin;Benzalkonium;Amoxicillin-Benzalkonium;AMX;BZK;0;beta-lactam;other membrane;beta-lactam-other membrane;0;cell wall;membrane;cell wall-membrane;0;antibiotic;antiseptic;antibiotic-antiseptic;0,109147827;0,120453563;0,075919472;0,069068698;0,050412119;0,034027920;Additivity;Additivity;Antagonism;Additivity;Additivity;Additivity;0;0;1;0;0;0;1;S;S;R;R;R;R;S;S;S;S;S;S;SS;SS;RS;RS;RS;RS;-1;-1;0;0;0;0;-2;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;15,000;15,000;15,000;15,000;50,000;50,000;0,00;0,00;0,65;0,70;0,00;0,00
Amoxicillin_CCCP;Amoxicillin;CCCP;Amoxicillin-CCCP;AMX;CCCP;0;beta-lactam;PMF;beta-lactam-PMF;0;cell wall;PMF;cell wall-PMF;0;antibiotic;research used drug;antibiotic-research used drug;0,045364396;0,054131169;0,061780481;-0,049746304;-0,035096202;-0,024957476;Additivity;Additivity;Additivity;Additivity;Additivity;Additivity;0;0;0;0;0;0;0;S;S;R;R;R;R;S;S;S;S;R;R;SS;SS;RS;RS;RR;RR;-1;-1;0;0;1;1;0;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;5,000;5,000;5,000;5,000;5,000;5,000;0,26;0,04;0,61;0,37;0,85;0,85
Amoxicillin_Fusidic acid;Amoxicillin;Fusidic acid;Amoxicillin-Fusidic acid;AMX;FUS;0;beta-lactam;other protein synthesis inhibitor;beta-lactam-other protein synthesis inhibitor;0;cell wall;protein synthesis inhibitor;cell wall-protein synthesis inhibitor;1;antibiotic;antibiotic;antibiotic-antibiotic;0,062409106;-0,058405106;0,044725621;0,052123106;0,027466794;-0,046666980;Additivity;Additivity;Additivity;Additivity;Additivity;Additivity;0;0;0;0;0;0;0;S;S;R;R;R;R;S;S;R;R;R;R;SS;SS;RR;RR;RR;RR;-1;-1;1;1;1;1;2;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;100,000;100,000;100,000;100,000;100,000;100,000;0,56;0,43;0,86;0,73;0,83;0,84
Amoxicillin_Puromycin;Amoxicillin;Puromycin;Amoxicillin-Puromycin;AMX;PUR;0;beta-lactam;other protein synthesis inhibitor;beta-lactam-other protein synthesis inhibitor;0;cell wall;protein synthesis inhibitor;cell wall-protein synthesis inhibitor;1;antibiotic;antibiotic;antibiotic-antibiotic;0,109955131;0,136538228;0,036769239;0,058442330;-0,050129381;0,028484835;Additivity;Additivity;Additivity;Additivity;Additivity;Additivity;0;0;0;0;0;0;0;S;S;R;R;R;R;S;S;R;R;R;R;SS;SS;RR;RR;RR;RR;-1;-1;1;1;1;1;2;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;25,000;25,000;25,000;25,000;25,000;25,000;0,63;0,00;0,78;0,72;0,78;0,77
Amoxicillin_Chloramphenicol;Amoxicillin;Chloramphenicol;Amoxicillin-Chloramphenicol;AMX;CHL;0;beta-lactam;other protein synthesis inhibitor;beta-lactam-other protein synthesis inhibitor;0;cell wall;protein synthesis inhibitor;cell wall-protein synthesis inhibitor;1;antibiotic;antibiotic;antibiotic-antibiotic;0,077172890;-0,149438427;-0,053337785;-0,058175811;-0,033012747;-0,030424299;Additivity;Synergy;Additivity;Additivity;Additivity;Additivity;0;-1;0;0;0;0;-1;S;S;R;R;R;R;S;S;S;S;R;S;SS;SS;RS;RS;RR;RS;-1;-1;0;0;1;0;-1;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;1,000;1,000;1,000;1,000;4,000;4,000;0,51;0,00;0,63;0,63;0,87;0,00
Amoxicillin_Doxycycline;Amoxicillin;Doxycycline;Amoxicillin-Doxycycline;AMX;DOX;0;beta-lactam;tetracycline;beta-lactam-tetracycline;0;cell wall;protein synthesis inhibitor;cell wall-protein synthesis inhibitor;1;antibiotic;antibiotic;antibiotic-antibiotic;0,108376005;0,087607451;0,089512339;0,077768827;0,046590168;0,050145944;Antagonism;Additivity;Additivity;Additivity;Additivity;Additivity;1;0;0;0;0;0;1;S;S;R;R;R;R;S;S;S;S;R;S;SS;SS;RS;RS;RR;RS;-1;-1;0;0;1;0;-1;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,500;0,500;1,000;1,000;4,000;4,000;0,42;0,00;0,55;0,40;0,85;0,50
Amoxicillin_Minocycline;Amoxicillin;Minocycline;Amoxicillin-Minocycline;AMX;MIN;0;beta-lactam;tetracycline;beta-lactam-tetracycline;0;cell wall;protein synthesis inhibitor;cell wall-protein synthesis inhibitor;1;antibiotic;antibiotic;antibiotic-antibiotic;0,069340845;0,068264457;0,090197155;0,061436214;-0,036858263;0,000000000;Additivity;Additivity;Additivity;Additivity;Additivity;Additivity;0;0;0;0;0;0;0;S;S;R;R;R;R;S;S;R;R;S;S;SS;SS;RR;RR;RS;RS;-1;-1;1;1;0;0;0;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;0,500;0,500;1,000;1,000;40,000;20,000;0,70;0,66;0,82;0,71;0,00;0,00
Amoxicillin_Spectinomycin;Amoxicillin;Spectinomycin;Amoxicillin-Spectinomycin;AMX;SPT;0;beta-lactam;aminoglycoside;aminoglycoside-beta-lactam;0;cell wall;protein synthesis inhibitor;cell wall-protein synthesis inhibitor;1;antibiotic;antibiotic;antibiotic-antibiotic;0,154611472;0,076680145;-0,058418851;-0,080763590;-0,038603839;0,024341619;Antagonism;Additivity;Additivity;Additivity;Additivity;Additivity;1;0;0;0;0;0;1;S;S;R;R;R;R;S;S;S;S;R;S;SS;SS;RS;RS;RR;RS;-1;-1;0;0;1;0;-1;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;6,000;6,000;16,000;16,000;32,000;32,000;0,51;0,53;0,58;0,66;0,72;0,67
Amoxicillin_Tobramycin;Amoxicillin;Tobramycin;Amoxicillin-Tobramycin;AMX;TOB;0;beta-lactam;aminoglycoside;aminoglycoside-beta-lactam;0;cell wall;protein synthesis inhibitor;cell wall-protein synthesis inhibitor;1;antibiotic;antibiotic;antibiotic-antibiotic;-0,081119612;0,056760914;-0,076970649;-0,029764792;-0,172212690;-0,034888823;Additivity;Additivity;Additivity;Additivity;Synergy;Additivity;0;0;0;0;-1;0;-1;S;S;R;R;R;R;S;R;S;R;S;S;SS;SR;RS;RR;RS;RS;-1;0;0;1;0;0;0;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;1,000;1,000;2,000;2,000;1,000;1,000;0,00;0,83;0,00;0,85;0,00;0,00
Amoxicillin_Erythromycin;Amoxicillin;Erythromycin;Amoxicillin-Erythromycin;AMX;ERI;0;beta-lactam;macrolide;beta-lactam-macrolide;0;cell wall;protein synthesis inhibitor;cell wall-protein synthesis inhibitor;1;antibiotic;antibiotic;antibiotic-antibiotic;-0,094927260;-0,080255840;0,056126267;0,072934683;-0,028884708;0,053990501;Additivity;Additivity;Additivity;Additivity;Additivity;Additivity;0;0;0;0;0;0;0;S;S;R;R;R;R;S;S;S;S;S;S;SS;SS;RS;RS;RS;RS;-1;-1;0;0;0;0;-2;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;15,000;15,000;32,000;32,000;32,000;32,000;0,54;0,65;0,52;0,49;0,61;0,59
Amoxicillin_Clarithromycin;Amoxicillin;Clarithromycin;Amoxicillin-Clarithromycin;AMX;CLR;0;beta-lactam;macrolide;beta-lactam-macrolide;0;cell wall;protein synthesis inhibitor;cell wall-protein synthesis inhibitor;1;antibiotic;antibiotic;antibiotic-antibiotic;0,077276014;-0,116672940;0,050501313;0,053402490;-0,059762105;0,076169310;Additivity;Additivity;Additivity;Additivity;Additivity;Additivity;0;0;0;0;0;0;0;S;S;R;R;R;R;S;S;S;S;S;S;SS;SS;RS;RS;RS;RS;-1;-1;0;0;0;0;-2;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;30,000;30,000;30,000;30,000;60,000;60,000;0,45;0,57;0,60;0,54;0,36;0,44
Amoxicillin_Procaine;Amoxicillin;Procaine;Amoxicillin-Procaine;AMX;PRC;0;beta-lactam;human drug;beta-lactam-human drug;0;cell wall;human;cell wall-human;0;antibiotic;human-targeted drug;antibiotic-human-targeted drug;0,233405322;0,261823236;0,060998534;0,041476244;-0,043793347;0,029389096;Antagonism;Antagonism;Additivity;Additivity;Additivity;Additivity;1;1;0;0;0;0;2;S;S;R;R;R;R;S;S;S;S;S;S;SS;SS;RS;RS;RS;RS;-1;-1;0;0;0;0;-2;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;10910,800;10910,800;10910,800;10910,800;10910,800;10910,800;0,42;0,50;0,40;0,26;0,20;0,38
Amoxicillin_Loperamide;Amoxicillin;Loperamide;Amoxicillin-Loperamide;AMX;LOP;0;beta-lactam;human drug;beta-lactam-human drug;0;cell wall;human;cell wall-human;0;antibiotic;human-targeted drug;antibiotic-human-targeted drug;0,050598585;0,062930226;0,041880440;0,059415164;0,068018335;-0,025587824;Additivity;Additivity;Additivity;Additivity;Additivity;Additivity;0;0;0;0;0;0;0;S;S;R;R;R;R;S;S;R;R;R;R;SS;SS;RR;RR;RR;RR;-1;-1;1;1;1;1;2;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;200,000;200,000;200,000;200,000;200,000;200,000;0,59;0,66;0,82;0,85;0,71;0,79
Amoxicillin_PMS;Amoxicillin;PMS;Amoxicillin-PMS;AMX;PMS;0;beta-lactam;oxidative stress;beta-lactam-oxidative stress;0;cell wall;oxidative stress;cell wall-oxidative stress;0;antibiotic;research used drug;antibiotic-research used drug;0,082613777;-0,130692993;0,112979936;-0,065295200;NA;NA;Additivity;Additivity;Antagonism;Additivity;Additivity;Additivity;0;0;1;0;0;0;1;S;S;R;R;R;R;S;S;R;S;R;R;SS;SS;RR;RS;RR;RR;-1;-1;1;0;1;1;1;2,000;2,000;0,300;0,300;4,000;4,000;0,45;0,00;0,84;0,76;0,89;0,92;10,000;10,000;15,000;15,000;NA;NA;0,46;0,00;0,70;0,68;NA;NA
