"compound","cal","cgi","cne","sce"
"Amidopyrine",9.91,-14.6,-16.54,-13.09
"Amikacin hydrate",-0.95,-7.75,2.55,6.02
"Amiloride hydrochloride dihydrate",1.5,-1.09,8.71,1.25
"Aminocaproic acid",-3.78,-2.09,-5.88,-1.46
"Aminohippuric acid",5.12,-7.65,-41.07,5.68
"Aminophylline",6.59,-17.74,-32.83,-7.16
"Aminopurine, 6-benzyl",10.48,-4.31,10.85,-10.75
"Amiodarone hydrochloride",-15.62,-303.99,-24.01,-2.15
"Amiprilose hydrochloride",0.64,-3.2,-3.44,-3.37
"Amitryptiline hydrochloride",7,30.71,20.5,8.91
"Amodiaquin dihydrochloride dihydrate",5.35,11,-22.88,-4.67
"Amoxapine",-2.07,29.88,21.44,-7.9
"Amoxicillin",-0.58,-3.31,-50.22,-0.7
"Amphotericin B",-12.93,NA,-103.99,-7.52
"Ampicillin trihydrate",0.54,-1.61,0.44,8.46
"Amprolium hydrochloride",11.2,-8.14,5.81,-3.95
"Ampyrone",-43.86,26.07,-24.96,18.82
"Amrinone",-10.91,0.16,-42.47,10.24
"Amyleine hydrochloride",-3.93,-3.72,-8.14,1.68
"Anabasine",-5.12,14.06,9.05,2.5
"Androsterone",5.2,12.86,-41.84,7.14
"Anisomycin",6.49,0.66,10.67,-5.85
"Antazoline hydrochloride",-6.02,-4.75,-2.22,0.08
"Antimycin A",18.03,17.11,5.03,-4.63
"Antipyrine",4.03,-12.32,0.9,10.11
"Antipyrine, 4-hydroxy",-0.71,-7.41,-7.39,-4.01
"Apigenin",-7.45,-3.21,23.74,-0.39
"Apramycin",-2.91,-20.88,-34.15,-2.91
"Arbutin",6.57,-10.36,-28.23,6.56
"Arcaine sulfate",-0.45,-22.04,-12.77,7.84
"Arecoline hydrobromide",-6.55,-20.34,33.67,3.32
"Artemisinin",-241.86,2.64,-4.05,91.31
"Articaine hydrochloride",-4.04,6.61,-8.44,-4.04
"Ascorbic acid",2.03,-8.46,-11.15,-0.11
"Asiaticoside",-3.08,-6.38,12.53,-3.08
"Aspartic acid, N-acetyl (R,S)",8.62,-12.54,-17.95,4.65
"Astemizole",-4.16,100,85.07,6.57
"Atovaquone",0.77,0.65,-26.38,-3.25
"Atractyloside potassium salt",-3.11,-1.53,-0.97,-6.26
"Atracurium besylate",-4.49,20.41,8.86,1.82
"Atropine sulfate monohydrate",7.97,-33.8,-21.81,1.34
"Austricine",-2.08,-4.4,16.14,9.51
"Avermectin B1",5.37,34.19,35.63,4.8
"Azacyclonol",6.15,-24.23,-44.81,6.44
"Azacytidine-5",-2.93,-27.23,0.03,-2.33
"Azaguanine-8",5.81,28.72,5.26,12.02
"Azaperone",94.03,-13.22,25.49,94.03
"Azapropazone",-1.62,-11.32,-11.24,-1.62
"Azathioprine",3.93,-19.15,-4.27,-3.22
"Azathymine, 6",-3.51,4.85,-4.26,1.17
"Azlocillin sodium salt",-3.84,12.18,-7.08,4.23
"Aztreonam",6.51,14.25,-15.43,-14.63
"Bacampicillin hydrochloride",-1.37,-6.66,-4.04,2.87
"Bacitracin",12.94,35.23,15.38,16.29
"Baclofen (R,S)",5.74,-30.85,-6.65,-19.25
"Bambuterol hydrochloride",-35.71,3.41,-16.04,0.03
"Beclomethasone dipropionate",1.64,22.6,18.31,8.9
"Bemegride",8.72,-15.66,-21.54,-7.57
"Bendroflumethiazide",0.7,2.12,1.21,0.94
"Benfluorex hydrochloride",4.23,57.34,47.85,-0.57
"Benfotiamine",0.89,3.7,-1.86,-0.5
"Benoxinate hydrochloride",11.67,10.17,27.22,-5.37
"Benperidol",-10.84,8.4,-9.9,-2.38
"Benserazide hydrochloride",2.56,-23.22,57.6,-12.18
"Benzamil hydrochloride",0.24,11.12,-1.5,-12.2
"Benzathine benzylpenicillin",-9.96,5.1,-4.03,-9.96
"Benzbromarone",-866.59,100,3.94,-23.71
"Benzethonium chloride",NA,-14.09,NA,-812.93
"Benzocaine",-0.11,-4.28,-5.42,-0.95
"Benzonatate",11.4,31.86,2.03,1.97
"Benzthiazide",6.05,-9.19,-43.3,-6.44
"Benzydamine hydrochloride",-0.45,6.85,7.95,-6.01
"Benzylpenicillin sodium",-1.97,-27.92,-1.04,-1.97
"Bephenium hydroxynaphthoate",-5.02,-4.98,-0.69,10.36
"Bepridil hydrochloride",-2.54,80.39,49.86,12.4
"Berberine chloride",-3.5,-61.35,14.28,7.06
"Bergenin monohydrate",4.71,-4.74,-17.65,1.49
"beta- Belladonnine dichloroethylate",0.14,-55.8,15.97,-3.41
"Beta-Escin",-0.77,35.07,7.15,1.09
"Betahistine mesylate",-2.43,-11.32,-2.65,2.63
"Betamethasone",-3.57,-17.01,-26.77,4.82
"Beta-sistosterol",4.73,-11.78,-7.13,4.73
"Betaxolol hydrochloride",-7.06,-5.06,-5.17,-37.17
"Betazole hydrochloride",-1.44,-4.26,-10.42,-4.95
"Bethanechol chloride",-0.91,-2.39,-31.92,-0.9
"Betonicine",-1.94,-5.6,-5.98,3.94
"Betulin",-0.44,-18.68,30.13,-0.44
"Betulinic acid",-6.17,43.28,28.98,5.73
"Bezafibrate",-1.1,-36.75,-25.74,2.07
"Bicuculline (+)",-7.79,-14.27,-14.81,-0.61
"Biotin",-6.11,-11.37,-6.77,0.84
"Biperiden hydrochloride",-5.14,3.33,-0.58,-2.14
"Bisacodyl",3.91,12.27,-3.56,-4.27
"Bisoprolol fumarate",-9.31,-2.02,-18.99,-8.68
"Boldine",11.47,-22.51,21.01,-18.48
"Bretylium tosylate",-4.92,-8.61,-27.17,3.62
"Brinzolamide",3.98,-0.46,-33.15,-3.82
"Bromocryptine mesylate",-14.21,40.03,17.37,7.18
"Bromopride",5.31,3.13,-1.75,-3.13
"Bromperidol",-3.95,22.58,17.01,-2.13
"Brompheniramine maleate",6.6,-45.77,13.61,-7.31
"Bucladesine sodium salt",-9.2,-13.6,14.06,1.62
"Budesonide",2.99,23.95,-4.91,-3.12
"Bufexamac",13.57,-20.21,4.25,0.49
"Buflomedil hydrochloride",3.31,-21.77,-36.85,3.98
"Bumetanide",13.46,-41.76,-22.43,-2.22
"Bupivacaine hydrochloride",0.97,-2.38,-27.22,13.61
"Bupropion hydrochloride",1.63,-8.02,1.14,-1.82
"Buspirone hydrochloride",-0.58,4.91,-12.96,5.59
"Butacaine",6.15,11.85,33.41,-5.01
"Butamben",5.27,-6.99,-61.53,1.43
"Butirosin disulfate salt",-0.57,-8.69,-0.36,2.08
"Butoconazole nitrate",-6.17,-2805.49,2.96,-14.88
"Butylparaben",-9.51,-125.06,-87.18,-15.88
"Caffeic acid",-6.76,4.53,-24.52,-3.78
"Calciferol",1.16,31.92,37.24,-4.57
"Calycanthine",-12.3,1.75,-23.44,3.4
"Camptothecine (S,+)",80.87,-67.3,2.02,-10.34
"Canavanine sulfate monohydrate (L,+)",-5.71,-2.18,1.38,-9.02
"Canrenoic acid potassium salt",0.87,-17.12,-33.98,-6.46
"Cantharidin",81.3,-29.27,-10.69,-158.04
"Capsaicin",6.83,33.1,37.22,-9.13
"Captopril",-2.17,-2.61,4.96,9.4
"Carbachol",1.84,-18.09,-46.85,-1.61
"Carbamazepine",-6.22,-25.06,-2.41,-21.52
"Carbarsone",10.86,-12.07,-4.76,-10.22
"Carbenoxolone disodium salt",10.33,22.61,-1.01,0.45
"Carbetapentane citrate",12.83,-29.78,7.74,8.8
"Carbimazole",-5.61,9.52,73.14,2.91
"Carbinoxamine maleate salt",0.97,15.42,12.76,-1.99
"Carcinine",1.35,18.86,-15.56,7.47
"Carisoprodol",3.93,-25.02,-18.5,-4.28
"Carteolol hydrochloride",6.18,-10.13,-60.47,7.29
"Catechin-(+,-) hydrate",0.53,-9.6,-10.7,2.09
"Cefaclor",-20.47,-23.45,-7.43,7.22
"Cefadroxil",3.14,-0.28,10.03,2.14
"Cefalonium",12,7.34,9.12,12
"Cefamandole sodium salt",6.28,21.95,22.62,-9.19
"Cefazolin sodium salt",0,4.69,2.33,7.83
"Cefepime hydrochloride",-3.25,-26.72,33.95,-3.23
"Cefixime",8.75,-2.6,-0.68,1.94
"Cefmetazole sodium salt",4.22,17.39,13.74,2.78
"Cefoperazone dihydrate",8.28,-2.12,16.99,-6.26
"Ceforanide",-6.15,3.98,17.94,-9.07
"Cefotaxime sodium salt",-3.02,11.5,6.16,-4.92
"Cefotetan",0.33,35,5.8,-6.9
"Cefotiam hydrochloride",-2.29,28.44,6.35,3.95
"Cefoxitin sodium salt",3.39,-18,-13.88,1.08
"Cefsulodin sodium salt",5.05,0.21,5.94,-6.48
"Ceftazidime pentahydrate",-0.63,-29.22,-4.65,0.41
"Cefuroxime sodium salt",3.27,-2.03,-0.61,1.6
"Cephaeline dihydrochloride heptahydrate",3.55,10.58,-9.18,-8.01
"Cephalexin monohydrate",8.58,13.89,-17.8,-11.18
"Cephalosporanic acid, 7-amino",7.09,-15.47,-15.84,1.33
"Cephalothin sodium salt",5.35,32.08,10.77,-0.49
"Cetirizine dihydrochloride",0.05,3,-18.29,-8.92
"Chelidonine (+)",1.91,11.67,-7.59,3.73
"Chenodiol",15.33,26.51,3.58,-3.42
"Chicago sky blue 6B",9.49,-1.55,-15.69,2.25
"Chlorambucil",-4.77,-4.32,-17.98,-4.76
"Chloramphenicol",1.06,-0.16,-4.45,4.27
"Chlorhexidine",NA,-595.01,NA,NA
"Chlormezanone",-14.82,-29.22,-3.96,-2.52
"Chlorogenic acid",3.8,0.12,-9.18,2.94
"Chloropyramine hydrochloride",-10.8,26.71,12.72,5.22
"Chloroquine diphosphate",5.54,-23.18,-9.66,-4.94
"Chlorothiazide",-6.93,0.96,19.8,3.66
"Chlorotrianisene",3.08,6.51,-24.24,2.77
"Chlorpheniramine maleate",-10.97,-0.67,2.46,1.23
"Chlorphensin carbamate",15.09,9.87,-17.74,3.01
"Chlorpromazine hydrochloride",2.32,96.55,83.2,7.28
"Chlorpropamide",6.39,20.08,4.97,-23.85
"Chlorprothixene hydrochloride",4.8,91.47,100,3.19
"Chlortetracycline hydrochloride",2.59,-4.47,14.21,8.41
"Chlorthalidone",14.21,8.82,18.07,-2.5
"Chlorzoxazone",3.65,-8.44,-3.42,2.25
"Cholecalciferol",-8.9,37.64,35.81,-6.45
"Chrysene-1,4-quinone",-33.33,-12.88,-63.29,-145.51
"Chrysin",16.8,-21.51,-31.3,1.22
"Ciclopirox ethanolamine",NA,100,37.26,NA
"Cimetidine",-0.93,-6.14,-1.99,6.55
"Cinchonine",5.05,-7.09,-0.42,-1.87
"Cinnarizine",-5.55,83.05,48.17,-11.13
"Cinoxacin",5.85,0.21,-14.31,2.12
"Ciprofibrate",1.51,-19.17,-9.46,1.52
"Ciprofloxacin hydrochloride",-3.1,-12.06,-49.33,-3.61
"Cisapride",5.93,15.37,36.15,-0.9
"Citalopram Hydrobromide",1.34,16.7,-9.39,10.2
"Clebopride maleate",-5.34,-3.56,-11.26,9.1
"Clemastine fumarate",-1.07,23.75,41.01,7.5
"Clemizole hydrochloride",NA,22.82,-1.47,NA
"Clenbuterol hydrochloride",-6.47,-14.81,4,-0.73
"Clidinium bromide",1.16,-11.09,-7.49,-1.06
"Clindamycin hydrochloride",2.66,-5.22,-20.31,-3.04
"Clioquinol",90.77,NA,NA,-100.35
"Clobetasol propionate",-2.69,18.36,18.75,5.55
"Clocortolone pivalate",-11.18,4.44,-39.38,-11.16
"Clofazimine",-105.39,-66,-13.5,80.36
"Clofibric acid",5.39,-2.15,-23.59,-10.81
"Clofilium tosylate",-6.62,87.77,87.38,54.41
"Clomiphene citrate (Z,E)",-10.23,NA,NA,98.84
"Clomipramine hydrochloride",-9.77,40.02,38.62,11.1
"Clonidine hydrochloride",5.19,4.63,19.99,14.47
"Clopamide",-3.74,-14.97,-25.73,-2.85
"Cloperastine hydrochloride",2.09,35.2,43.67,-1.31
"Clorgyline hydrochloride",8.65,50.13,94.48,11.52
"Clorsulon",2.89,-6.98,-18.17,-1.68
"Clotrimazole",NA,-197.99,25.74,NA
"Cloxacillin sodium salt",-7.85,4.4,-10.65,-4.86
"Clozapine",3.52,28.67,2.3,-7.08
"Colchicine",3.87,-0.36,6.67,-13.69
"Colistin sulfate",-19.43,12.11,23.76,11.48
"Condelphine",8.5,-4.91,-12.33,8.5
"Conessine",-4.85,-81.28,-7.66,-1.88
"Convolamine hydrochloride",2.01,-4.59,-5.36,-4.77
"Coralyne chloride hydrate",15.44,43.85,36.6,5.79
"Corticosterone",4.83,-0.16,-5.99,-5.48
"Cortisone",-2.48,-11.76,-28.72,-1.6
"Corynanthine hydrochloride",-7.43,1.13,8.22,8.43
"Cotinine (-)",-1.41,3.66,13.61,-0.6
"Cromolyn disodium salt",0,-14.49,-0.1,-0.29
"Crotamiton",-0.54,-7.63,-19.37,-1.56
"Cyanocobalamin",4.09,-7.72,-9.85,7.63
"Cyclacillin",1.58,5.44,-28.69,1.59
"Cyclizine hydrochloride",5.94,-5.31,9.78,1.34
"Cyclobenzaprine hydrochloride",4.72,27.15,22.01,1.9
"Cycloheximide",NA,-6.15,-2313.97,NA
"Cyclopenthiazide",-3.03,-3.45,2.21,-3.04
"Cyclopentolate hydrochloride",-1.17,10.35,-16.77,-1.16
"Cyclosporin A",-6.47,68.03,55.31,1.59
"Cyproheptadine hydrochloride",3.51,20.11,2.18,-16.9
"Cyproterone acetate",2.89,5.26,-27.82,2.9
"Cytisine (-)",-5.19,-8.74,-2.09,-0.76
"Dacarbazine",-9.19,-23.74,19.13,-3.14
"Danazol",20.4,0.73,-16,-27.21
"Dantrolene sodium salt",-5.04,-21.41,-10.08,-1.05
"Dapsone",2.91,-1.48,-19.13,-1.55
"Daunorubicin hydrochloride",42.36,31.38,3.16,75.3
"D-cycloserine",4.44,-51.94,6.35,4.45
"Debrisoquin sulfate",-3.32,-0.33,-14.59,-5.17
"Decamethonium bromide",-2.77,-3.24,6.51,-2.77
"Deferoxamine mesylate",3.74,-12.04,100,-6.96
"Dehydrocholic acid",12.52,-4.02,-32.2,-5.5
"Dehydroisoandosterone 3-acetate",-14.07,45.38,-9.32,2.26
"Delcorine",2.7,1.17,-2.62,3.86
"Delsoline",7.96,9.16,-24.11,3.74
"Deltaline",3.44,-5.39,1.28,8.67
"Demecarium bromide",-30.2,25.49,22.21,-8.48
"Demeclocycline hydrochloride",-2.29,-6.42,-10.06,-0.2
"Denatonium benzoate",-1.62,12.84,-20.28,-1.62
"Deoxycorticosterone",-11.51,13.13,-37.95,-5.83
"Deptropine citrate",-2.22,23.31,6.55,-2.22
"Dequalinium dichloride",NA,-362.86,88.54,NA
"Desipramine hydrochloride",6.94,-24.13,12.74,-2.75
"Dexamethasone acetate",-10.27,-16.36,-16.36,9.82
"Dextromethorphan hydrobromide monohydrate",-2.03,-6.26,-0.92,2.9
"Diazoxide",-5.73,-9.5,-9.17,2.58
"Dibucaine",-9.63,5.66,14.25,-14.46
"Dichlorphenamide",3.09,1.61,0.29,-9.47
"Diclofenac sodium",-23.04,-7.2,-4.04,-4.01
"Dicloxacillin sodium salt",-5.47,-1.02,12.34,-4.55
"Dicumarol",-4.52,12.68,-4.49,-3.08
"Dicyclomine hydrochloride",0.77,33.42,9.55,-10.91
"Dienestrol",-8.06,48.79,62.39,-8.89
"Diethylcarbamazine citrate",9.7,-0.88,-21.88,-4.18
"Diethylstilbestrol",7.85,0.54,-6.12,-3.04
"Diflorasone Diacetate",4.39,9.26,-0.51,-4.29
"Diflunisal",12.82,-13.96,-19.28,-1.13
"Digitoxigenin",8.54,-11.4,-48.15,-7.34
"Digoxigenin",7.76,-1.91,-18.63,-7.7
"Digoxin",-0.98,28.8,3.38,2.63
"Dihydroergocristine mesylate",3.18,1.35,5.9,-0.1
"Dihydroergotamine tartrate",-9.31,14.4,22.46,-4.86
"Dihydroergotoxine mesylate",100,27.87,9.72,NA
"Dihydrostreptomycin sulfate",1.33,-7.03,8.28,0.18
"Dilazep dihydrochloride",-0.18,22.64,16.97,2.65
"Diloxanide furoate",-6.37,-15.92,-13.34,7.51
"Diltiazem hydrochloride",-3.27,2.31,-19.18,7.92
"Dimaprit dihydrochloride",-7.74,5.61,-21.32,-7.74
"Dimenhydrinate",2.74,0.26,-11.83,6.81
"Dimethadione",-0.54,-7.13,-15.17,-4.31
"Dimethisoquin hydrochloride",-5.61,99.29,67.84,6.21
"Dinoprost trometamol",-3.33,-22.6,3.18,-7.58
"Dioxybenzone",-0.46,8.32,-87.34,2.05
"Diperodon hydrochloride",-3.17,2.11,8.54,-0.72
"Diphemanil methylsulfate",4.17,14.39,-11.49,8.92
"Diphenhydramine hydrochloride",-5.17,-7.68,-11.67,2.25
"Diphenidol hydrochloride",-2.45,-36.78,-8.98,0.11
"Diphenylpyraline hydrochloride",1.84,11.69,2.08,-0.68
"Dipivefrin hydrochloride",6.2,13.02,8.81,-5.13
"Diprophylline",10.87,-9.38,4.32,6.59
"Dipyridamole",2.67,-14.1,3.46,2.85
"Dipyrone",7.79,-6.5,-15.36,-0.26
"Dirithromycin",3.5,-6.78,-27.74,-8.35
"Disopyramide",-64.24,-4.41,-40.49,1.03
"Disulfiram",NA,NA,NA,81.03
"Dizocilpine maleate",-0.9,-12.27,-6.75,4.09
"DO 897/99",-0.05,39.74,-2.23,5.36
"Dobutamine hydrochloride",-2.19,6.92,15.34,-11.2
"Domperidone maleate",8.94,13.96,0.2,10.98
"Dorzolamide hydrochloride",5.24,2.55,10.51,5.24
"Dosulepin hydrochloride",NA,37,2.01,NA
"Doxazosin mesylate",-3.52,19.7,18.36,-7.58
"Doxepin hydrochloride",1.66,4.99,-20.31,-28.57
"Doxorubicin hydrochloride",-94.63,24.97,16.45,NA
"Doxycycline hydrochloride",6.95,5.57,11.25,-5.88
"Doxylamine succinate",-3.34,-12.66,-13.29,-1.83
"Drofenine hydrochloride",-4.27,29.03,42.12,0.74
"Droperidol",5.38,-7.48,1.2,-5.64
"Dropropizine (R,S)",2.1,-1.73,-7.35,6.29
"Dubinidine",-0.97,8.31,-6.87,-0.96
"Dyclonine hydrochloride",1.33,-13.12,-41.22,6.68
"Dydrogesterone",12.24,-0.18,-13.24,3.88
"Ebselen",NA,NA,NA,NA
"Eburnamonine (-)",-2.03,12.41,14.73,-4.51
"Econazole nitrate",NA,NA,NA,NA
"Edrophonium chloride",-3.4,-2.41,4.71,1.03
"Ellipticine",NA,NA,NA,38.74
"Emetine dihydrochloride",-5.51,-15.17,1.9,11.41
"Enalapril maleate",-1.52,-16.44,-2.12,-6.36
"Enilconazole",NA,NA,99.63,NA
"Enoxacin",0.76,-17.47,8.36,-3.78
"Epiandrosterone",-65.48,86.34,100,100
"Epicatechin-(-)",-9.71,38.34,6.79,-1.32
"Epirizole",6.49,2.1,22.61,3.89
"Epitiostanol",7.71,-17.65,-32.23,7.71
"Epivincamine",15.79,12.88,4.62,-5.27
"Equilin",1.11,-36,71.51,-1.44
"Ergocryptine-alpha",0.51,25.99,2.51,7.53
"Erythromycin",4.03,-15.27,-7.56,-12.34
"Esculetin",1.27,-3.67,2.71,-4.32
"Esculin Hydrate",-5.98,-6,-28.05,-9.22
"Eserine sulfate, physostigmine sulfate",2.98,-60.85,-33.87,-9.95
"Estradiol-17 beta",6.65,-27.63,-18.77,4.53
"Estriol",2.06,-1.49,-8.87,2.07
"Estrone",-13.18,-7.25,-8.21,2.17
"Estropipate",9.92,4.15,-14.96,-8.16
"Etanidazole",8.6,6.77,1.16,-0.79
"Ethacrynic acid",-11.25,-4.35,-7,-6.92
"Ethambutol dihydrochloride",3.8,37.34,-9.04,-12.08
"Ethamivan",-2.79,-16.75,-12.23,1.13
"Ethamsylate",-9.96,-3.03,-20.79,-9.97
"Ethaverine hydrochloride",-0.49,21.18,24.22,-5.72
"Ethionamide",1.46,-7.44,-7.98,-10.43
"Ethisterone",-14.97,-31.13,-19.72,1.98
"Ethopropazine hydrochloride",3.12,17.71,-23.48,-6.03
"Ethosuximide",7.45,0.97,-1.32,2.25
"Ethotoin",3.41,-4.85,-31.68,0.25
"Ethoxyquin",-0.24,12.5,11.02,0.27
"Ethynodiol diacetate",-0.2,25.26,-5.01,-12.52
"Ethynylestradiol 3-methyl ether",13.11,-9.1,-0.99,7.89
"Etidronic acid, disodium salt",0.98,0.92,7.29,0.67
"Etifenin",-7.18,-5.03,4.06,4.9
"Etilefrine hydrochloride",-1.76,-12.58,-16.29,-1.77
"Etodolac",-22.88,-0.39,-10.02,0.18
"Etofylline",9.1,1.2,-10.03,2.74
"Etomidate",2,-42.06,-47.12,2.02
"Etoposide",7.71,5.85,2.89,-5.4
"Eucatropine hydrochloride",-3.28,1.47,7.95,-3.56
"Evoxine",-0.63,-11.95,-13.6,-5.73
"Famotidine",-7.47,-11.58,-11.45,-11.72
"Famprofazone",4.16,7.33,6.38,-3.72
"Felbinac",-13.52,-4.45,-61.76,-73.08
"Felodipine",-10.71,14.82,13.58,2.38
"Fenbendazole",4.49,NA,5.03,23.16
"Fenbufen",28.31,2.56,-16.74,-6.26
"Fendiline hydrochloride",1.25,78.87,49.01,-6.66
"Fenofibrate",3.83,7.52,-41.33,-49.04
"Fenoprofen calcium salt dihydrate",-10.41,-4.01,-26.67,0.74
"Fenoterol hydrobromide",0.56,-6.63,-4.38,-2.41
"Fenspiride hydrochloride",-0.82,-11.73,24.85,-17.65
"Fillalbin",8.18,12.32,-12.43,0.63
"Finasteride",1.32,-8.86,11.93,1.23
"Fipexide hydrochloride",-7.75,14.23,22.24,-0.23
"Flavoxate hydrochloride",8.66,4.9,9.44,3.84
"Flecainide acetate",9.11,2.28,5,-3.15
"Florfenicol",-1.91,-18.84,-0.23,0.84
"Flucloxacillin sodium",3.62,4.67,6.18,3.62
"Flucytosine",NA,1.56,-28.91,74.35
"Fludrocortisone acetate",-1.81,-6.44,-26.61,0.41
"Flufenamic acid",100,-94.06,-35.26,32.37
"Flumequine",6.72,-8.06,-2.56,9.78
"Flumethasone",1.23,1.83,-6.6,1.58
"Flunarizine dihydrochloride",-2.65,96.95,77.64,-2.74
"Flunisolide",-2.01,10.2,-7.79,4.2
"Flunixin meglumine",3.06,-8.92,-36.07,9.57
"Fluocinonide",-1.86,8.67,-2.3,-0.86
"Fluorocurarine chloride",-5.05,2.37,-8.81,-7.35
"Fluorometholone",-5.81,-10.41,-35.51,1.86
"Fluoxetine hydrochloride",7.04,55.79,32.17,3.14
"Flupentixol dihydrochloride cis-(Z)",-9.88,94.55,81.67,9.72
"Fluphenazine dihydrochloride",4.75,59.86,92.67,22.96
"Flurandrenolide",1.69,-2.94,-2.24,2.01
"Flurbiprofen",-16.54,12.86,-4.57,6.61
"Fluspirilen",2.95,81.94,75.46,9.21
"Flutamide",-6.06,11.28,-9.56,0.21
"Fluticasone propionate",-13.26,-25.2,-7.68,-13.27
"Fluvastatin sodium salt",-12.07,99.97,79.29,100
"Fluvoxamine maleate",0.83,31.33,21.23,0.83
"Folic acid",1.52,28.91,-6.58,4.41
"Folinic acid calcium salt",5.98,-5.57,-11.47,-0.51
"Foliosidine",0.83,-1.56,-25.67,7.92
"Fosfosal",-0.3,-21.47,-6.07,2.27
"Furaltadone hydrochloride",0.57,-13.46,61.35,2.51
"Furazolidone",-8.31,7.37,100,10.78
"Furosemide",-15.72,-0.98,8.24,2.87
"Fursultiamine Hydrochloride",5.42,-14.97,-13.36,5.42
"Fusaric acid",-5.72,47.72,25.43,0.66
"Fusidic acid sodium salt",10.93,-15.22,7.57,4.42
"Gabapentin",0.74,-8.35,-4.82,0.35
"Gabazine",4.83,-0.77,-28.79,4.1
"Gabexate mesilate",1.35,14.25,12.27,1.34
"Galanthamine hydrobromide",0.98,9.04,-14.6,2.67
"Gallamine triethiodide",-1,-30.32,7.63,7.34
"Ganciclovir",5.7,-11.44,11.6,-0.43
