"compound","cal","cne","sce","spo"
"(-)-cis-(1s,2r)-u-50488 tartrate_DMSO",96.96,97.48,101.79,97.7
"(-)-cis-(1s,2r)-u-50488 tartrate_FL",92.97,74.71,100.68,96.51
"(-)-cis-(1s,2r)-u-50488 tartrate_TB",101.2,104.93,92.39,99.45
"(-)-epinephrine bitartrate_AmpB",100.4,100.95,104.61,101.83
"(-)-epinephrine bitartrate_Ben",102.61,107.37,98.92,102.86
"(-)-epinephrine bitartrate_CF",100.2,98.44,104.92,101.71
"(-)-epinephrine bitartrate_Cyp",100.91,110.71,102.84,100.95
"(-)-epinephrine bitartrate_DMSO",103.49,104.05,101.3,100.68
"(-)-epinephrine bitartrate_FL",92.99,88.1,107.12,99.7
"(-)-epinephrine bitartrate_TB",102.4,103.21,100.08,98.76
"(-)-eseroline fumarate salt_AmpB",101.01,98.35,103.13,102.2
"(-)-eseroline fumarate salt_Ben",80.81,119.6,100.06,101.09
"(-)-eseroline fumarate salt_CF",99.79,101.6,102.22,101.79
"(-)-eseroline fumarate salt_Cyp",101,106.33,99.68,101.7
"(-)-eseroline fumarate salt_DMSO",101.47,100.04,104.02,101.03
"(-)-eseroline fumarate salt_FL",89.51,104.5,102.36,101.3
"(-)-eseroline fumarate salt_TB",104.92,85.81,93.18,102.03
"(-)-isoproterenol hydrochloride_AmpB",99.44,100.11,102.18,102.97
"(-)-isoproterenol hydrochloride_Ben",100.01,103.68,101.62,100.48
"(-)-isoproterenol hydrochloride_CF",101.185,100.39,102.84,102.29
"(-)-isoproterenol hydrochloride_Cyp",98.87,101.95,101.31,100.6
"(-)-isoproterenol hydrochloride_DMSO",98.905,100.2,102.52,99.95
"(-)-isoproterenol hydrochloride_FL",104.78,90.29,101.07,104.38
"(-)-isoproterenol hydrochloride_TB",101.53,88.855,96.47,102.35
"(-)-mk 801 hydrogen maleate_AmpB",101.48,105.47,98.94,99.98
"(-)-mk 801 hydrogen maleate_Ben",96.28,97.47,100.64,98.53
"(-)-mk 801 hydrogen maleate_CF",103.67,101.45,103.61,104.68
"(-)-mk 801 hydrogen maleate_Cyp",99.46,99.1,99.22,101.16
"(-)-mk 801 hydrogen maleate_DMSO",100.91,100.68,96.73,101.78
"(-)-mk 801 hydrogen maleate_FL",92.52,105.62,100.42,99.42
"(-)-mk 801 hydrogen maleate_TB",104.6,102.83,102.83,101.58
"(-)-naproxen sodium_AmpB",97.14,100.93,95.01,100.06
"(-)-naproxen sodium_Ben",99.43,86.24,96.16,103.06
"(-)-naproxen sodium_CF",98.74,96.76,101.74,97.24
"(-)-naproxen sodium_Cyp",97.16,103.35,102.33,98.22
"(-)-naproxen sodium_DMSO",97.22,97.13,90.46,96.72
"(-)-naproxen sodium_FL",98.86,94.61,99.89,100.37
"(-)-naproxen sodium_TB",97.27,93.42,96.26,96.82
"(-)-nicotine hydrogen tartrate salt_AmpB",102.26,101.75,102.11,101.13
"(-)-nicotine hydrogen tartrate salt_Ben",100.75,98.15,100.59,101.92
"(-)-nicotine hydrogen tartrate salt_CF",103.32,98.78,102.86,99.33
"(-)-nicotine hydrogen tartrate salt_Cyp",98.95,102.84,102.23,100.82
"(-)-nicotine hydrogen tartrate salt_DMSO",96.91,97.43,100.99,100.29
"(-)-nicotine hydrogen tartrate salt_FL",103.02,100.46,96.3,99.66
"(-)-nicotine hydrogen tartrate salt_TB",97.32,98.55,99.67,99.6
"(-)-perillic acid_AmpB",90.36,98.96,99.67,97.85
"(-)-perillic acid_Ben",91.43,99.61,97.11,100.95
"(-)-perillic acid_CF",94.68,86.88,100.05,100.26
"(-)-perillic acid_Cyp",87.32,101.56,101.6,101.32
"(-)-perillic acid_DMSO",86,86.33,97.31,99.39
"(-)-perillic acid_FL",93.05,102.67,-1.6,101.53
"(-)-perillic acid_TB",83.61,86.28,95.9,97.54
"(-)-physostigmine_AmpB",101.33,96.29,97.71,100.1
"(-)-physostigmine_Ben",100.85,117.28,100.23,101.35
"(-)-physostigmine_CF",99.75,98.43,100.31,102.04
"(-)-physostigmine_Cyp",96.77,103.92,89.77,100.3
"(-)-physostigmine_DMSO",100.63,91.83,104.72,102.54
"(-)-physostigmine_FL",99.43,85.83,99.46,100.53
"(-)-physostigmine_TB",101.68,83.11,97.96,100.42
"(-)-quinpirole hydrochloride_AmpB",101.125,102.92,96.95,101.08
"(-)-quinpirole hydrochloride_Ben",101.145,112.285,101.96,102.05
"(-)-quinpirole hydrochloride_CF",101.205,100.41,101.91,100.91
"(-)-quinpirole hydrochloride_Cyp",102.035,67.38,99.98,100.09
"(-)-quinpirole hydrochloride_DMSO",101.72,99.875,101.47,102.46
"(-)-quinpirole hydrochloride_FL",98.07,96.425,99.46,101.19
"(-)-quinpirole hydrochloride_TB",100.175,100.97,100.4,103.05
"(-)-scopolamine methyl bromide_AmpB",103.15,97.57,103.12,99.07
"(-)-scopolamine methyl bromide_Ben",99.99,91.7,103.78,97.51
"(-)-scopolamine methyl bromide_CF",103.19,106.96,100.05,98.33
"(-)-scopolamine methyl bromide_Cyp",100.01,81.26,100.72,102.34
"(-)-scopolamine methyl bromide_DMSO",102.95,103.89,99.27,100.45
"(-)-scopolamine methyl bromide_FL",99.12,92.42,100.44,99.94
"(-)-scopolamine methyl bromide_TB",102.79,98.84,103.26,101.38
"(-)-scopolamine methyl nitrate_AmpB",103.23,101.69,101.7,99.98
"(-)-scopolamine methyl nitrate_Ben",102.6,103.51,101.23,99.02
"(-)-scopolamine methyl nitrate_CF",101.16,102.26,98.54,102.06
"(-)-scopolamine methyl nitrate_Cyp",100.44,101.17,99.98,101.56
"(-)-scopolamine methyl nitrate_DMSO",104.35,104.96,100.78,99.5
"(-)-scopolamine methyl nitrate_FL",102.79,99.01,94.81,99.81
"(-)-scopolamine methyl nitrate_TB",98.37,102.21,103.5,100.09
"(-)-scopolamine,n-butyl-, bromide_AmpB",98.62,100.54,97.23,97.94
"(-)-scopolamine,n-butyl-, bromide_Ben",100.99,102.15,103.41,100.13
"(-)-scopolamine,n-butyl-, bromide_CF",99.79,101.37,103.45,102.16
"(-)-scopolamine,n-butyl-, bromide_Cyp",103.68,99.95,105.8,100.16
"(-)-scopolamine,n-butyl-, bromide_DMSO",102.94,103.54,102.19,103.3
"(-)-scopolamine,n-butyl-, bromide_FL",102.9,110.3,102.9,99.94
"(-)-scopolamine,n-butyl-, bromide_TB",102,102.8,100.91,99.7
"(-)-tetramisole hydrochloride_AmpB",101.4,103.1,99.92,97.23
"(-)-tetramisole hydrochloride_Ben",103.35,102.33,99.45,98.57
"(-)-tetramisole hydrochloride_CF",100.1,101.36,99.92,97.63
"(-)-tetramisole hydrochloride_Cyp",100.2,96.08,101.88,97.68
"(-)-tetramisole hydrochloride_DMSO",98.86,99.4,101.28,98.43
"(-)-tetramisole hydrochloride_FL",105.73,99.33,93.37,97.51
"(-)-tetramisole hydrochloride_TB",105.63,84.67,102.68,97.35
"(-)-trans-(1s,2s)-u-50488 hydrochloride_AmpB",103.785,100.08,98.96,98.67
"(-)-trans-(1s,2s)-u-50488 hydrochloride_Ben",101.565,93.22,103.61,101.96
"(-)-trans-(1s,2s)-u-50488 hydrochloride_CF",95.135,101.765,104.45,101.45
"(-)-trans-(1s,2s)-u-50488 hydrochloride_Cyp",100.085,88.53,101.24,100.05
"(-)-trans-(1s,2s)-u-50488 hydrochloride_DMSO",103.455,96.8,100,100.24
"(-)-trans-(1s,2s)-u-50488 hydrochloride_FL",102.56,97.68,94.47,100.72
"(-)-trans-(1s,2s)-u-50488 hydrochloride_TB",99.05,55.24,101.62,101.12
"(+,-)-octopamine hydrochloride_AmpB",97.89,99.25,99.72,97.79
"(+,-)-octopamine hydrochloride_Ben",101.58,104.62,98.74,101.11
"(+,-)-octopamine hydrochloride_CF",100.75,101.04,109.35,93.81
"(+,-)-octopamine hydrochloride_Cyp",102.63,93.49,98.86,100.42
"(+,-)-octopamine hydrochloride_DMSO",100.12,99.9,102.32,102.38
"(+,-)-octopamine hydrochloride_FL",100.4,79.45,94.5,96.77
"(+,-)-octopamine hydrochloride_TB",100.01,99.32,101.91,100.92
"(+,-)-synephrine_AmpB",104.53,109.49,94.73,98.97
"(+,-)-synephrine_Ben",103.14,103.38,102.4,99.98
"(+,-)-synephrine_CF",101.25,104.19,100.01,92.76
"(+,-)-synephrine_Cyp",101.92,72.63,99.28,100.93
"(+,-)-synephrine_DMSO",98.07,101.06,95.87,101.13
"(+,-)-synephrine_FL",98.53,100.73,98.39,103.85
"(+,-)-synephrine_TB",100.52,102.49,99.25,104.51
"(+) -levobunolol hydrochloride_AmpB",101.48,106.55,103.1,99.28
"(+) -levobunolol hydrochloride_Ben",103.3,99.48,97.41,102.36
"(+) -levobunolol hydrochloride_CF",103.41,104.55,97.48,97.87
"(+) -levobunolol hydrochloride_Cyp",109.29,104.32,100.64,98.54
"(+) -levobunolol hydrochloride_DMSO",101.15,100.92,103.52,104.96
"(+) -levobunolol hydrochloride_FL",94.87,110.76,104.72,99.44
"(+) -levobunolol hydrochloride_TB",100.95,98.97,100.66,99.75
"(+)-butaclamol hydrochloride_AmpB",100.21,102.11,96.29,100.3
"(+)-butaclamol hydrochloride_Ben",100.81,101.23,100.07,98.89
"(+)-butaclamol hydrochloride_CF",90.22,91.94,96.11,99.89
"(+)-butaclamol hydrochloride_Cyp",97.46,101.29,98.74,99.55
"(+)-butaclamol hydrochloride_DMSO",102.65,102.95,99.86,98.88
"(+)-butaclamol hydrochloride_FL",112.83,71.1,95.96,101.16
"(+)-butaclamol hydrochloride_TB",103.34,66.85,100.98,100
"(+)-chlorpheniramine maleate_AmpB",97.83,96.96,101.82,98.15
"(+)-chlorpheniramine maleate_Ben",98.74,100.89,101.42,100.15
"(+)-chlorpheniramine maleate_CF",100.2,102.62,101.03,97.32
"(+)-chlorpheniramine maleate_Cyp",104.22,101.29,98.61,99.91
"(+)-chlorpheniramine maleate_DMSO",101.03,102.07,93.06,100.93
"(+)-chlorpheniramine maleate_FL",92.96,106.08,100.33,99.83
"(+)-chlorpheniramine maleate_TB",95.93,97.84,106.38,100.11
"(+)-cyclazocine_AmpB",100.76,101.18,98.4,100.06
"(+)-cyclazocine_Ben",97.88,96.96,99.39,100.23
"(+)-cyclazocine_CF",100.05,101.15,99.62,100.3
"(+)-cyclazocine_Cyp",101.52,90.34,106,101.69
"(+)-cyclazocine_DMSO",101.23,102.39,97.1,100.62
"(+)-cyclazocine_FL",98.25,105.72,97.46,100.03
"(+)-cyclazocine_TB",103.24,101.5,87.34,101.31
"(+)-isoproterenol (+)-bitartrate salt_AmpB",106.45,99.57,102.27,98.92
"(+)-isoproterenol (+)-bitartrate salt_Ben",57.77,57.32,103.06,101.06
"(+)-isoproterenol (+)-bitartrate salt_CF",97.24,101.42,103.76,104.84
"(+)-isoproterenol (+)-bitartrate salt_Cyp",101.73,98.57,101.85,100.67
"(+)-isoproterenol (+)-bitartrate salt_DMSO",100.55,100.73,103.93,100.18
"(+)-isoproterenol (+)-bitartrate salt_FL",100.78,104.07,101.92,103.42
"(+)-isoproterenol (+)-bitartrate salt_TB",102.02,89.58,104.63,103.67
"(+)-nicotine (+)-di-p-toluoyl tartrate_AmpB",101.66,97.3,104.56,102.35
"(+)-nicotine (+)-di-p-toluoyl tartrate_Ben",101.5,112.09,100.34,98.82
"(+)-nicotine (+)-di-p-toluoyl tartrate_CF",101.93,100.64,100.05,100.55
"(+)-nicotine (+)-di-p-toluoyl tartrate_Cyp",99.79,101.24,102.89,98.73
"(+)-nicotine (+)-di-p-toluoyl tartrate_DMSO",98.72,99.26,103.77,98.61
"(+)-nicotine (+)-di-p-toluoyl tartrate_FL",100.48,108.61,104.19,98.57
"(+)-nicotine (+)-di-p-toluoyl tartrate_TB",102.99,103.75,99.07,100.98
"(+)-quisqualic acid_AmpB",99.54,99.81,103.42,100.37
"(+)-quisqualic acid_Ben",98.36,101.89,96.84,100.26
"(+)-quisqualic acid_CF",98.16,102.26,103.47,100.28
"(+)-quisqualic acid_Cyp",103.3,111.34,104.17,101.1
"(+)-quisqualic acid_DMSO",95.34,95.89,101.76,99.86
"(+)-quisqualic acid_FL",94.96,95.38,103.61,99.91
"(+)-quisqualic acid_TB",102.81,103.11,100.77,101.38
"(6r)-5,6,7,8-tetrahydro-l-biopterin hydrochloride_AmpB",105.99,102.77,103.74,100.08
"(6r)-5,6,7,8-tetrahydro-l-biopterin hydrochloride_Ben",97.76,82.63,104.19,106.18
"(6r)-5,6,7,8-tetrahydro-l-biopterin hydrochloride_CF",102.1,102.57,99.1,101.56
"(6r)-5,6,7,8-tetrahydro-l-biopterin hydrochloride_Cyp",102.63,103.68,102.23,101.08
"(6r)-5,6,7,8-tetrahydro-l-biopterin hydrochloride_DMSO",99.7,100.28,99.79,100.85
"(6r)-5,6,7,8-tetrahydro-l-biopterin hydrochloride_FL",99.12,94.53,98.88,102.69
"(6r)-5,6,7,8-tetrahydro-l-biopterin hydrochloride_TB",102.58,101.49,101.93,99.8
"(d,l)-tetrahydroberberine_AmpB",95.85,95.99,98.57,101.37
"(d,l)-tetrahydroberberine_Ben",94.38,100.03,101.41,101.51
"(d,l)-tetrahydroberberine_CF",98.24,97.59,102.54,98.94
"(d,l)-tetrahydroberberine_Cyp",97.63,78.31,99.42,100
"(d,l)-tetrahydroberberine_DMSO",104.1,102.91,101.84,101.22
"(d,l)-tetrahydroberberine_FL",133.88,78.23,98.31,104.4
"(d,l)-tetrahydroberberine_TB",97.73,95.73,102.03,102.62
"(e)-4-amino-2-butenoic acid_AmpB",97.6,100.23,103.39,101.62
"(e)-4-amino-2-butenoic acid_Ben",100.79,93.15,99.92,98.03
"(e)-4-amino-2-butenoic acid_CF",98.65,98.67,104.33,98.11
"(e)-4-amino-2-butenoic acid_Cyp",98.07,76.36,97.26,98.47
"(e)-4-amino-2-butenoic acid_DMSO",100.64,101.22,98.33,99.02
"(e)-4-amino-2-butenoic acid_FL",107.28,119.06,100.73,98
"(e)-4-amino-2-butenoic acid_TB",97.75,101.44,93.07,99.21
"(r,r)-cis-diethyl tetrahydro-2,8-chrysenediol_AmpB",92.2,-0.71,91.99,99.07
"(r,r)-cis-diethyl tetrahydro-2,8-chrysenediol_Ben",93.03,-0.51,97.97,100.48
"(r,r)-cis-diethyl tetrahydro-2,8-chrysenediol_CF",92.32,0.22,99.69,102.48
"(r,r)-cis-diethyl tetrahydro-2,8-chrysenediol_Cyp",98.55,19.46,98.24,99.3
"(r,r)-cis-diethyl tetrahydro-2,8-chrysenediol_DMSO",96.9,-0.66,95.87,100.98
"(r,r)-cis-diethyl tetrahydro-2,8-chrysenediol_FL",113.4,0.17,97.36,99.73
"(r,r)-cis-diethyl tetrahydro-2,8-chrysenediol_TB",96.4,-1.38,88.71,100.8
"(r) -naproxen sodium salt_AmpB",90.99,99.85,99.65,96.72
"(r) -naproxen sodium salt_Ben",95.77,102.11,95.48,95.71
"(r) -naproxen sodium salt_CF",98.69,93.1,94.88,100.12
"(r) -naproxen sodium salt_Cyp",93.93,100.05,97.56,100.48
"(r) -naproxen sodium salt_DMSO",90.3,93.13,99.42,97.69
"(r) -naproxen sodium salt_FL",119.95,61.65,94.8,102.45
"(r) -naproxen sodium salt_TB",93.23,92.75,100.18,97.71
"(r)-(+)-atenolol_AmpB",103.75,95.27,106.16,101.4
"(r)-(+)-atenolol_Ben",95.74,85.46,103.08,100.73
"(r)-(+)-atenolol_CF",97.01,101.75,96.24,102.21
"(r)-(+)-atenolol_Cyp",98.81,103.07,102.11,99.99
"(r)-(+)-atenolol_DMSO",101.45,106.1,101.45,101.27
"(r)-(+)-atenolol_FL",93.03,85.16,99.01,101.88
"(r)-(+)-atenolol_TB",102.5,97.09,100.53,102.34
"(r)-propranolol hydrochloride_AmpB",100.7,95.35,100.96,101.54
"(r)-propranolol hydrochloride_Ben",91.34,70.29,97.02,100.23
"(r)-propranolol hydrochloride_CF",100.1,100.47,102.22,100.58
"(r)-propranolol hydrochloride_Cyp",99.27,96.95,101.95,99.33
"(r)-propranolol hydrochloride_DMSO",98.61,100.74,99.25,100.59
"(r)-propranolol hydrochloride_FL",90.09,71.95,100.7,100.24
"(r)-propranolol hydrochloride_TB",99.03,116.82,102.31,100.89
"(s)-(-)-atenolol_AmpB",101.7,114.48,102.1,100.79
"(s)-(-)-atenolol_Ben",110.72,106.46,96.34,102.1
"(s)-(-)-atenolol_CF",102.95,101.53,101.97,100.3
"(s)-(-)-atenolol_Cyp",99.69,90.3,101.39,102.03
"(s)-(-)-atenolol_DMSO",97.33,97.3,100.45,100.1
"(s)-(-)-atenolol_FL",103.34,104.05,103.7,99.81
"(s)-(-)-atenolol_TB",101.28,104.12,97.27,99.15
"(s)-(-)-cycloserine_AmpB",97.43,101.32,103.41,100.81
"(s)-(-)-cycloserine_Ben",99.7,102.59,85.43,100.27
"(s)-(-)-cycloserine_CF",81.58,100.16,82.02,100.85
"(s)-(-)-cycloserine_Cyp",103.58,73.84,92.32,100.26
"(s)-(-)-cycloserine_DMSO",97.72,100.21,103.68,100.39
"(s)-(-)-cycloserine_FL",75.64,65.52,101.34,100.4
"(s)-(-)-cycloserine_TB",96.4,103.5,94.91,99.7
"(s)-(-)-propafenone hydrochloride_AmpB",102.32,83.39,102.2,99.23
"(s)-(-)-propafenone hydrochloride_Ben",98.51,103.45,100,99.37
"(s)-(-)-propafenone hydrochloride_CF",67.82,97.91,102.75,98.5
"(s)-(-)-propafenone hydrochloride_Cyp",97.62,100.35,101.65,100.18
"(s)-(-)-propafenone hydrochloride_DMSO",100.82,100.74,103.36,100.74
"(s)-(-)-propafenone hydrochloride_FL",101.8,92.49,103.82,98.25
"(s)-(-)-propafenone hydrochloride_TB",103.32,75.51,99.45,99.61
"(s)-3,5-dihydroxyphenylglycine_AmpB",99.59,104.75,97,99.88
"(s)-3,5-dihydroxyphenylglycine_Ben",100.71,105.92,98.66,100.73
"(s)-3,5-dihydroxyphenylglycine_CF",99.91,100.16,100.03,100.47
"(s)-3,5-dihydroxyphenylglycine_Cyp",102.19,78.82,101.17,100.94
"(s)-3,5-dihydroxyphenylglycine_DMSO",99.74,97.22,95.69,99.93
"(s)-3,5-dihydroxyphenylglycine_FL",101.27,99.06,101.38,98.02
"(s)-3,5-dihydroxyphenylglycine_TB",99.92,102.21,91.52,99.84
"(s)-enba_AmpB",98.32,103.63,97.31,100.4
"(s)-enba_Ben",102.66,78.09,105,99.29
"(s)-enba_CF",100.79,98.94,103.62,99.94
"(s)-enba_Cyp",97.6,105.73,101.93,99.7
"(s)-enba_DMSO",101.03,102.19,99.97,100.13
"(s)-enba_FL",99.57,104.08,98.78,103.35
"(s)-enba_TB",95.78,98.41,105.72,99.22
"(s)-map4 hydrochloride_AmpB",103.54,112.42,103.79,101.04
"(s)-map4 hydrochloride_Ben",99.72,98.25,101.79,98.66
"(s)-map4 hydrochloride_CF",101.51,104.54,100.85,99.71
"(s)-map4 hydrochloride_Cyp",101.12,94.99,101.03,99.11
"(s)-map4 hydrochloride_DMSO",97.84,98.37,98.59,99.36
"(s)-map4 hydrochloride_FL",100.39,98.6,104.47,99.79
"(s)-map4 hydrochloride_TB",103.04,102.39,103.58,98.26
"(s)-propranolol hydrochloride_AmpB",104.085,106.945,97.07,103.74
"(s)-propranolol hydrochloride_Ben",102.39,102.88,99.46,97.7
"(s)-propranolol hydrochloride_CF",102.43,82.6,100.77,101.73
"(s)-propranolol hydrochloride_Cyp",100.275,99.285,99.68,100.41
"(s)-propranolol hydrochloride_DMSO",100.415,100.21,100.42,98.67
"(s)-propranolol hydrochloride_FL",94.185,105.11,100.11,99.71
"(s)-propranolol hydrochloride_TB",100.385,102.805,99.77,103.32
"1-(1-naphthyl)piperazine hydrochloride_AmpB",98.76,100.26,98.67,93.1
"1-(1-naphthyl)piperazine hydrochloride_Ben",102.18,102.58,98.2,98.95
"1-(1-naphthyl)piperazine hydrochloride_CF",95.87,100.86,98.5,99.43
"1-(1-naphthyl)piperazine hydrochloride_Cyp",101.17,75.97,100.26,98.8
"1-(1-naphthyl)piperazine hydrochloride_DMSO",101.27,99.56,99.17,99.12
"1-(1-naphthyl)piperazine hydrochloride_FL",101.64,77.21,101.02,99.5
"1-(1-naphthyl)piperazine hydrochloride_TB",100.14,103.05,104.86,98.29
"1-(2-chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane_AmpB",99.86,100.71,104.12,99.3
"1-(2-chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane_Ben",98.88,91.94,102.35,101.06
"1-(2-chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane_CF",94.35,101.9,102.3,101.25
"1-(2-chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane_Cyp",105.77,93.03,104.62,100.94
"1-(2-chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane_DMSO",100.59,101.74,105.96,99.41
"1-(2-chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane_FL",98.75,70.55,100.94,100.6
"1-(2-chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane_TB",92.88,68.32,101.85,101.21
"1-(2-methoxyphenyl)piperazine hydrochloride_AmpB",103.18,104.36,97.05,99.52
"1-(2-methoxyphenyl)piperazine hydrochloride_Ben",100.67,102.18,102.04,101.05
"1-(2-methoxyphenyl)piperazine hydrochloride_CF",100.57,60.48,104.25,99.75
"1-(2-methoxyphenyl)piperazine hydrochloride_Cyp",100.68,100.54,105.33,100.06
"1-(2-methoxyphenyl)piperazine hydrochloride_DMSO",101.59,101.71,103.13,100.9
"1-(2-methoxyphenyl)piperazine hydrochloride_FL",95.13,98.96,104.52,103.19
"1-(2-methoxyphenyl)piperazine hydrochloride_TB",99.65,102.52,101.55,100.82
"1-(4-chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid_AmpB",106,98.05,99.29,102.86
"1-(4-chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid_Ben",100.83,99.74,100.28,99.77
"1-(4-chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid_CF",101.61,100.25,98.86,101.91
"1-(4-chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid_Cyp",97.26,100.49,95.94,100.79
"1-(4-chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid_DMSO",98.65,98.72,94.21,100.05
"1-(4-chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid_FL",107.3,105.77,97.37,97.79
"1-(4-chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid_TB",100.47,99.44,97.86,101.16
"1-(4-fluorobenzyl)-5-methoxy-2-methylindole-3-acetic acid_AmpB",104.21,97.88,97.75,100.26
"1-(4-fluorobenzyl)-5-methoxy-2-methylindole-3-acetic acid_Ben",99.35,100.74,98.4,99.33
"1-(4-fluorobenzyl)-5-methoxy-2-methylindole-3-acetic acid_CF",93.66,101.85,100.6,100.08
"1-(4-fluorobenzyl)-5-methoxy-2-methylindole-3-acetic acid_Cyp",99.27,102.01,102.3,96.66
"1-(4-fluorobenzyl)-5-methoxy-2-methylindole-3-acetic acid_DMSO",97.78,98.9,102.18,98.51
"1-(4-fluorobenzyl)-5-methoxy-2-methylindole-3-acetic acid_FL",96.94,83.21,96.29,99.33
"1-(4-fluorobenzyl)-5-methoxy-2-methylindole-3-acetic acid_TB",96.16,97.84,102.82,98.3
"1-(4-hydroxybenzyl)imidazole-2-thiol_AmpB",99.31,104.29,100.85,100.41
"1-(4-hydroxybenzyl)imidazole-2-thiol_Ben",100.66,101.76,102.29,101.92
"1-(4-hydroxybenzyl)imidazole-2-thiol_CF",99.48,98.28,101.53,101.29
"1-(4-hydroxybenzyl)imidazole-2-thiol_Cyp",98.54,81.52,100.62,100.2
"1-(4-hydroxybenzyl)imidazole-2-thiol_DMSO",101.51,90.75,97.11,101.26
"1-(4-hydroxybenzyl)imidazole-2-thiol_FL",96.98,46.19,99.24,99.69
"1-(4-hydroxybenzyl)imidazole-2-thiol_TB",102.59,101.6,99.57,102.09
"1-(5-isoquinolinylsulfonyl)-2-methylpiperazine dihydrochloride_AmpB",98.78,99.21,99.33,99.1
"1-(5-isoquinolinylsulfonyl)-2-methylpiperazine dihydrochloride_Ben",106.83,103.33,100.01,99.77
"1-(5-isoquinolinylsulfonyl)-2-methylpiperazine dihydrochloride_CF",100.47,101.27,104.95,102.92
"1-(5-isoquinolinylsulfonyl)-2-methylpiperazine dihydrochloride_Cyp",102.78,108.45,100.67,99.27
"1-(5-isoquinolinylsulfonyl)-2-methylpiperazine dihydrochloride_DMSO",97.24,99.66,100.61,101.06
"1-(5-isoquinolinylsulfonyl)-2-methylpiperazine dihydrochloride_FL",104.28,94.46,98.9,100.47
"1-(5-isoquinolinylsulfonyl)-2-methylpiperazine dihydrochloride_TB",104.06,104.65,100.66,100.69
"1-(5-isoquinolinylsulfonyl)-3-methylpiperazine dihydrochloride_AmpB",98.37,98.65,103.93,100.7
"1-(5-isoquinolinylsulfonyl)-3-methylpiperazine dihydrochloride_Ben",100.75,83.57,99.91,100.13
"1-(5-isoquinolinylsulfonyl)-3-methylpiperazine dihydrochloride_CF",99.78,100.76,101.53,99.45
