"compound","cid"
"(±)-8-Hydroxy-DPAT hydrobromide",NA
"(±)-alpha-Lipoic Acid",NA
"(±)-alpha-Methyl-4-carboxyphenylglycine",NA
"(±)-AMPA hydrobromide",NA
"(±)-AMT hydrochloride",NA
"(±)-Atenolol",NA
"(±)-Baclofen",NA
"(±)-Bay K 8644",NA
"(±)-Brompheniramine maleate",NA
"(±)-Butaclamol hydrochloride",NA
"(±)-CGP-12177A hydrochloride",NA
"(±)-Chloro-APB hydrobromide",NA
"(±)-Chlorpheniramine maleate",NA
"(±)-cis-Piperidine-2,3-dicarboxylic acid",NA
"(±)-CPP",NA
"(±)-DOI hydrochloride",NA
"(±)-Epinephrine hydrochloride",NA
"(±)-gamma-Vinyl GABA",NA
"(±)-HA-966",NA
"(±)-Ibotenic acid",NA
"(±)-Ibuprofen",NA
"(±)-Isoproterenol hydrochloride",NA
"(±)-Methoxyverapamil hydrochloride",NA
"(±)-Metoprolol (+)-tartrate",NA
"(±)-Muscarine chloride",NA
"(±)-Nipecotic acid",NA
"(±)-Norepinephrine (+)bitartrate",NA
"(±)-Normetanephrine hydrochloride",NA
"(±)-Octoclothepin maleate",NA
"(±)-Octopamine hydrochloride",NA
"(±)-p-Aminoglutethimide",NA
"(±)-p-Chlorophenylalanine",NA
"(±)-PD 128,907 hydrochloride",NA
"(±)-PPHT hydrochloride",NA
"(±)-Propranolol hydrochloride",NA
"(±)-Quinpirole dihydrochloride",NA
"(±)-SKF 38393, N-allyl-, hydrobromide",NA
"(±)-SKF-38393 hydrochloride",NA
"(±)-Sotalol hydrochloride",NA
"(±)-Sulpiride",NA
"(±)-Synephrine",NA
"(±)-Taxifolin",NA
"(±)-Thalidomide",NA
"(±)-threo-1-Phenyl-2-decanoylamino-3-morpholino-1-propanol hydrochloride",NA
"(±)-Vanillylmandelic acid",NA
"(±)-Verapamil hydrochloride",NA
"(±)-Vesamicol hydrochloride",NA
"(2S,1'S,2'S)-2-(carboxycyclopropyl)glycine",5310956
"(6R)-5,6,7,8-Tetrahydro-L-biopterin hydrochloride",135444567
"(d,l)-Tetrahydroberberine",34458
"(E)-4-amino-2-butenoic acid",5310987
"(E)-5-(2-Bromovinyl)-2'-deoxyuridine",446727
"(R) -Naproxen sodium salt",23675324
"(R)-(+)-Atenolol",180559
"(R)-Propranolol hydrochloride",62882
"(R,R)-cis-Diethyl tetrahydro-2,8-chrysenediol",446849
"(S)-(-)-Atenolol",175540
"(S)-(-)-Cycloserine",449215
"(S)-(-)-propafenone hydrochloride",184820
"(S)-(+)-Camptothecin",24360
"(S)-3,5-Dihydroxyphenylglycine",443586
"(S)-ENBA",11957545
"(S)-MAP4 hydrochloride",11957608
"(S)-propranolol hydrochloride",165193
"(S)-Propranolol hydrochloride",165193
"(Z)-Guggulsterone",6450278
"1-(1-Naphthyl)piperazine hydrochloride",2737391
"1-(2-Chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane",4211
"1-(2-Methoxyphenyl)piperazine hydrochloride",9899402
"1-(2-TRIFLUOROMETHYLPHENYL)IMIDAZOLE",1359
"1-(4-Chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid",4059895
"1-(4-Fluorobenzyl)-5-methoxy-2-methylindole-3-acetic acid",3448892
"1-(4-Hydroxybenzyl)imidazole-2-thiol",3035523
"1-(5-Isoquinolinylsulfonyl)-2-methylpiperazine dihydrochloride",73332
"1-(5-Isoquinolinylsulfonyl)-3-methylpiperazine dihydrochloride",11957580
"1-(m-Chlorophenyl)-biguanide hydrochloride",2730228
"1,10-Diaminodecane",1317
"1,10-Phenanthroline monohydrate",21226
"1,1-Dimethyl-4-phenyl-piperazinium iodide",5911
"1,2alpha-EPOXYDEACETOXYDIHYDROGEDUNIN",6708599
"1,3,5-tris(4-hydroxyphenyl)-4-propyl-1H-pyrazole",5040063
"1,3-DIDEACETYL-7-DEACETOXY-7-OXOKHIVORIN",6708618
"1,3-Dimethyl-8-phenylxanthine",1922
"1,3-Dipropyl-7-methylxanthine",161713
"1,3-Dipropyl-8-p-sulfophenylxanthine",1330
"1,3-PBIT dihydrobromide",11957662
"1,4-Dideoxy-1,4-imino-D-arabinitol",451991
"1,4-NAPHTHOQUINONE",8530
"1,4-PBIT dihydrobromide",11957667
"1,5-Isoquinolinediol",1340
"1,7-DIDEACETOXY-1,7-DIOXO-3-DEACETYLKHIVORIN",6708622
"1,7-DIDEACETOXY-1,7-DIOXOKHIVORIN",6708553
"1,7-Dimethylxanthine",4687
"1-[2-(Trifluoromethyl)phenyl]imidazole",1359
"10-HYDROXYCAMPTOTHECIN",97226
"11a-ACETOXYPROGESTERONE",16667715
"12a-HYDROXY-5-DEOXYDEHYDROMUNDUSERONE",4620898
"12a-HYDROXY-9-DEMETHYLMUNDUSERONE-8-CARBOXYLIC ACID",4646739
"13-cis-retinoic acid",5282379
"13-METHYL-4,4-BISNOR-8,11,13-PODOCARPATRIEN-3-ONE",6708561
"1400W dihydrochloride",2733515
"15-NORCARYOPHYLLEN-3-ONE",6857764
"17alpha-hydroxyprogesterone",6238
"18alpha-GLYCYRRHETINIC ACID",73398
"18-AMINOABIETA-8,11,13-TRIENE SULFATE",16725076
"1-Allyl-3,7-dimethyl-8-p-sulfophenylxanthine",1365
"1-Amino-1-cyclohexanecarboxylic acid hydrochloride",2724466
"1-Aminobenzotriazole",1367
"1-AMINOCYCLOBUTANE CARBOXYLIC ACID",89643
"1-Aminocyclopropanecarboxylic acid hydrochloride",11957445
"1-benzoyl-5-methoxy-2-methylindole-3-acetic acid",4177957
"1-Deoxynojirimycin hydrochloride",377339
"1-HYDROXY-3,6,7-TRIMETHOXY-2,8-DIPRENYLXANTHONE",231412
"1-Methylhistamine dihydrochloride",11957601
"1-Methylimidazole",1390
"1-MONOPALMITIN",14900
"1-Phenyl-3-(2-thiazolyl)-2-thiourea",719408
"1-Phenylbiguanide",4780
"1-PHENYLBIGUANIDE HYDROCHLORIDE",5932
"1R,2S-PHENYLPROPYLAMINE",26934
"2-(2-Aminoethyl)isothiourea dihydrobromide",5940
"2-(N,N-DIETHYLAMINO)DIAZENOLATE-2-OXIDE DIETHYLAMONIUM SALT",135503456
"2,2'-AZO-bis-2-AMINOPROPANE",1969
"2,2'-Bipyridyl",1474
"2,3,4-TRIHYDROXY-4'-ETHOXYBENZOPHENONE",6708739
"2,3-Butanedione",650
"2,3-Butanedione monoxime",6409633
"2,3-DICHLORO-5,8-DIHYDROXYNAPTHOQUINONE",4407
"2',3'-didehydro-3'-deoxythymidine",18283
"2',3'-dideoxycytidine",24066
"2',3-DIHYDROXY-4,4',6'-TRIMETHOXYCHALCONE",5379071
"2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE",6728940
"2,3-DIMERCAPTOSUCCINIC ACID",9354
"2,3-Dimethoxy-1,4-naphthoquinone",3136
"2,4,5-TRICHLOROPHENOXYACETIC ACID",1480
"2,4,5-TRICHLOROPHENOXYACETIC ACID, METHYL ESTER",1482
"2,4-Diamino-6-pyrimidinone",135408763
"2,4-DICHLOROPHENOXYACETIC ACID",1486
"2,4-DICHLOROPHENOXYACETIC ACID, ISOOCTYL ESTER",NA
"2,4-DICHLOROPHENOXYACETIC ACID, METHYL ESTER",1488
"2,4-DICHLOROPHENOXYBUTYRIC ACID",1489
"2,4-DICHLOROPHENOXYBUTYRIC ACID, METHYL ESTER",1490
"2',4-DIHYDROXY-3,4',6'-TRIMETHOXYCHALCONE",5955473
"2',4'-DIHYDROXY-4-METHOXYCHALCONE",5711223
"2',4'-DIHYDROXY-6'-METHOXYACETOPHENONE",10965145
"2',4'-DIHYDROXYCHALCONE",5376979
"2',4-DIHYDROXYCHALCONE",5357218
"2',4'-DIHYDROXYCHALCONE 4'-GLUCOSIDE",6857762
"2,4-DINITROPHENOL",1493
"2,4-Dinitrophenyl 2-fluoro-2-deoxy-beta-D-glucopyranoside",445227
"2,5-DIHYDROXY-3,4-DIMETHOXY-4'-ETHOXYBENZOPHENONE",3985760
"2',5'-DIHYDROXY-4-METHOXYCHALCONE",5355888
"2,5-DI-t-BUTYL-4-HYDROXYANISOLE",74812
"2,6-Difluoro-4-[2-(phenylsulfonylamino)ethylthio]phenoxyacetamide",6603828
"2,6-DIHYDROXY-4-METHOXYTOLUENE",238769
"2,6-DI-t-BUTYL-4-METHYLPHENOL",31404
"21-ACETOXYPREGNENOLONE",248856
"2-ACETYLPYRROLE",14079
"2-Aminobenzenesulfonamide",72894
"2-AMINOGUANIDINE HEMISULFATE",NA
"2-BENZOYL-5-METHOXYBENZOQUINONE",6710718
"2-Chloro-2-deoxy-D-glucose",151933
"2-Chloroadenosine",8974
"2-Chloroadenosine triphosphate tetrasodium",11957510
"2-Chloropyrazine",73277
"2-Cyclooctyl-2-hydroxyethylamine hydrochloride",11957507
"2-HYDROXY-3,4-DIMETHOXYBENZOIC ACID",79737
"2-HYDROXY-5 (6)EPOXY-TETRAHYDROCARYOPHYLLENE",5024745
"2-Hydroxysaclofen",1564
"2-MERCAPTOBENZOTHIAZOLE",697993
"2-METHOXY-5 (6)EPOXY-TETRAHYDROCARYOPHYLLENE",3344818
"2-methoxyestradiol",66414
"2-METHOXYRESORCINOL",121805
"2-METHYL-4-(PIPERIDIN-1-YLCARBOXY)-5-ISOPROPYLPHENYLTRIMETHYLAMMONIUM CHLORIDE",17103
"2-Methyl-5-hydroxytryptamine maleate",9836150
"2-METHYLENE-5-(2,5-DIOXOTETRAHYDROFURAN-3-YL)-6-OXO--10,10-DIMETHYLBICYCLO[7: 2: 0]UNDECANE",3554670
"2-Methylthioadenosine triphosphate tetrasodium",11957466
"2-Phenylaminoadenosine",6917803
"2-THIOURACIL",1269845
"3-(1H-Imidazol-4-yl)propyl di(p-fluorophenyl)methyl ether hydrochloride",11957588
"3,16-DIDEOXYMEXICANOLIDE-3beta-DIOL",6708619
"3,3'-DIINDOLYLMETHANE",3071
"3,4',5,6,7-PENTAMETHOXYFLAVONE",521171
"3',4'-Dichlorobenzamil",114771
"3,4-Dichloroisocoumarin",1609
"3,4-DIDESMETHYL-5-DESHYDROXY-3'-ETHOXYSCLEROIN",4000243
"3,4-DIHYDROXYCARANE",89242
"3,4'-DIHYDROXYFLAVONE",688715
"3,4-Dihydroxyphenylacetic acid",547
"3,4-DIMETHOXYCINNAMIC ACID",717531
"3,4'-DIMETHOXYFLAVONE",688666
"3,5-DIHYDROXYFLAVONE",5393151
"3,5-Dinitrocatechol",3870203
"3,6-DIMETHOXYFLAVONE",676292
"3,7-DIHYDROXYFLAVONE",5393152
"3,7-DIMETHOXYFLAVONE",688664
"3,7-Dimethyl-1-propargylxanthine",99562
"3,7-EPOXYCARYOPHYLLAN-6-OL",5176389
"3,7-EPOXYCARYOPHYLLAN-6-ONE",4330530
"3-Acetamidocoumarin",136620
"3-Acetylcoumarin",77553
"3-alpha,21-Dihydroxy-5-alpha-pregnan-20-one",11957655
"3alpha-ACETOXYDIHYDRODEOXYGEDUNIN",6708514
"3alpha-HYDROXY-3-DEOXYANGOLENSIC ACID METHYL ESTER",6708562
"3-alpha-Hydroxy-5-beta-androstan-17-one",6420080
"3-AMINO-1,2,4-TRIAZOLE",1639
"3-Amino-1-propanesulfonic acid sodium",23663660
"3-aminobenzamide",1645
"3-AMINO-beta-PINENE",16667746
"3-AMINOPROPANESULPHONIC ACID",1646
"3-Aminopropionitrile fumarate",NA
"3-Aminopropylphosphonic acid",97587
"3'-Azido-3'-deoxythymidine",35370
"3beta-ACETOXYDEOXODIHYDROGEDUNIN",6708506
"3beta-HYDROXYISOALLOSPIROST-9(11)-ENE",6708606
"3-BROMO-3,4,4-TRIMETHYL-3,4-DIHYDRODIAZETE-1.2-DIOXIDE",382423
"3-Bromo-7-nitroindazole",1649
"3-BROMO-7-NITROINDAZOLE",1649
"3-DEACETYLKHIVORIN",6708634
"3-deazaadenosine",23190
"3-DEOXO-3beta-HYDROXYMEXICANOLIDE 16-ENOL ETHER",6708594
"3-DEOXY-3beta-HYDROXYANGOLENSIC ACID METHYL ESTER",6710724
"3-DESHYDROXYSAPPANOL TRIMETHYL ETHER",6708683
"3-HYDROXY-3',4'-DIMETHOXYFLAVONE",97143
"3-HYDROXY-4-(SUCCIN-2-YL)-CARYOLANE delta-LACTONE",6857784
"3-HYDROXYFLAVONE",11349
"3-HYDROXYTYRAMINE",681
"3-Iodo-L-tyrosine",439744
"3-Isobutyl-1-methylxanthine",3758
"3-ISOBUTYL-1-METHYLXANTHINE (IBMX)",3758
"3-METHOXYCATECHOL",13622
"3-Methoxy-morphanin hydrochloride",11565569
"3-Methyl-6-(3-[trifluoromethyl]phenyl)-1,2,4-triazolo[4,3-b]pyridazine",6603922
"3-METHYLORSELLINIC ACID",736228
"3-METHYLXANTHINE",70639
"3-Morpholinosydnonimine hydrochloride",9859122
"3-Nitropropionic acid",1678
"3-NOR-3-OXOPANASINSAN-6-OL",4579738
"3-n-Propylxanthine",1676
"3-OXOURSAN (28-13)OLIDE",6708660
"3-Phenylpropargylamine hydrochloride",11957674
"3-PINANONE OXIME",9605260
"3-Tropanyl-3,5-dichlorobenzoate",1683
"3-Tropanyl-indole-3-carboxylate hydrochloride",9818540
"3-Tropanylindole-3-carboxylate methiodide",11957728
"4-(2-Aminoethyl)benzenesulfonyl fluoride hydrochloride",186136
"4-(3-BUTOXY-4-METHOXYBENZYL)IMIDAZOLIDIN-2-ONE",5087
"4,4'-DIISOTHIOCYANOSTILBENE-2,2'-SUFONIC ACID SODIUM SALT",6146472
"4,4'-DIMETHOXYDALBERGIONE",364106
"4-Amino-1,8-naphthalimide",1720
"4-Aminobenzamidine dihydrochloride",75626
"4-AMINOETHYLBENZENESULFONYL FLUORIDE HYDROCHLORIDE",16667735
"4-Aminopyridine",1727
"4-Androsten-4-ol-3,17-dione",3408
"4-Chloromercuribenzoic acid",1730
"4-DAMP methiodide",3014059
"4'-DEMETHYLEPIPODOPHYLLOTOXIN",122797
"4-Diphenylacetoxy-N-(2-chloroethyl)piperidine hydrochloride",11417991
"4-Hydroxy-3-methoxyphenylacetic acid",1738
"4-HYDROXY-6-METHYLPYRAN-2-ONE",54675757
"4-Hydroxybenzhydrazide",1742
"4'-HYDROXYCHALCONE",5282362
"4-Hydroxyphenethylamine hydrochloride",66449
"4-Imidazoleacrylic acid",736715
"4-Imidazolemethanol hydrochloride",122926
"4'-METHOXYCHALCONE",641818
"4-METHOXYDALBERGIONE",99926
"4'-METHOXYFLAVONE",77793
"4-METHYLDAPHNETIN",5355836
"4-METHYLESCULETIN",5319502
"4-Methylpyrazole hydrochloride",11957593
"4-NAPHTHALIMIDOBUTYRIC ACID",145949
"4-NONYLPHENOL",1752
"4-O-METHYLPHLORACETOPHENONE",24135
"4-Phenyl-3-furoxancarbonitrile",1756
"5-(N,N-Dimethyl)amiloride hydrochloride",11957442
"5-(N,N-hexamethylene)amiloride",1794
"5-(N-Ethyl-N-isopropyl)amiloride",1795
"5-(N-Methyl-N-isobutyl)amiloride",73314
"5,5-Dimethyl-1-pyrroline-N-oxide",1774
"5,5-Diphenylhydantoin",1775
"5,7-Dichlorokynurenic acid",1779
"5alpha-CHOLESTAN-3beta-OL-6-ONE",102008
"5alpha-Pregnan-3alpha-ol-11,20-dione",104845
"5alpha-Pregnan-3alpha-ol-20-one",92786
"5-AMINOPENTANOIC ACID HYDROCHLORIDE",69398
"5-Aminovaleric acid hydrochloride",69398
"5-azacytidine",9444
"5-Bromo-2'-deoxyuridine",6035
"5-Carboxamidotryptamine maleate",11709509
"5-CHLOROINDOLE-2-CARBOXYLIC ACID",82693
"5-fluoro-5'-deoxyuridine",18343
"5-Fluoroindole-2-carboxylic acid",1820
"5-FLUOROINDOLE-2-CARBOXYLIC ACID",1820
"5-Fluorouracil",3385
"5-HYDROXY-2',4',7,8-TETRAMETHOXYFLAVONE",14307943
"5-hydroxydecanoic acid sodium",23676659
"5-Hydroxyindolacetic acid",1826
"5-Hydroxy-L-tryptophan",439280
"5'-N-Ethylcarboxamidoadenosine",448222
"5-Nitro-2-(3-phenylpropylamino)benzoic acid",4549
"5'-N-Methyl carboxamidoadenosine",11957446
"6(5H)-Phenanthridinone",1853
"6,2'-DIMETHOXYFLAVONE",676288
"6,3'-DIMETHOXYFLAVONE",676293
"6,4'-DIHYDROXYFLAVONE",182362
"6,4'-DIMETHOXYFLAVONE",688670
"6,7-ADTN hydrobromide",11957526
"6,7-DICHLORO-3-HYDROXY-2-QUINOXALINECARBOXYLIC ACID",3018579
"6,7-Dichloroquinoxaline-2,3-dione",NA
"6,7-DIHYDROXYFLAVONE",5353357
"6alpha-METHYLPREDNISOLONE ACETATE",5877
"6-Aminohexanoic acid",564
"6-AMINONICOTINAMIDE",9500
"6-Chloromelatonin",1858
"6-Fluoronorepinephrine hydrochloride",11957479
"6-Furfurylaminopurine",3830
"6-HYDROXYANGOLENSIC ACID METHYL ESTER",6708540
"6-Hydroxy-DL-DOPA",107794
"6-Hydroxymelatonin",1864
"6-Hydroxytropinone",51346151
"6-Methoxy-1,2,3,4-tetrahydro-9H-pyrido[3,4b] indole",1868
"6-Methyl-2-(phenylethynyl)pyridine hydrochloride",9794588
"6-Nitroso-1,2-benzopyrone",1871
"6-PHENYL-4-AZOBICYCLO[5.4.0]UNDECA-7,9,11-TRIENE-9,10-DIOL",1242
"7,2'-DIHYDROXYFLAVONE",5391149
"7,4'-DIHYDROXYFLAVONE",5282073
"7,7-Dimethyl-(5Z,8Z)-eicosadienoic acid",5312331
"7,8-DIHYDROXYFLAVONE",1880
"7-AMINOCEPHALOSPORANIC ACID",441328
"7beta-HYDROXY-7-DESACETOXYKHIVORINIC ACID, METHYL ESTER",6708583
"7-Chloro-4-hydroxy-2-phenyl-1,8-naphthyridine",6105572
"7-Cyclopentyl-5-(4-phenoxy)phenyl-7H-pyrrolo[2,3-d]pyrimidin-4-ylamine",6603792
"7-DEACETOXY-7-OXOKHIVORIN",6708526
"7-DEACETYLKHIVORIN",6708579
"7-DESACETOXY-6,7-DEHYDROGEDUNIN",6708625
"7-DESHYDROXYPYROGALLIN-4-CARBOXYLIC ACID",5098885
"7-HYDROXYETHYLTHEOPHYLLINE",1892
"7-Nitroindazole",1893
"7-NITROINDAZOLE",1893
"7-OXOCHOLESTEROL",91474
"8-(3-Chlorostyryl)caffeine",5353365
"8-(4-Chlorophenylthio)-cAMP sodium",23672705
"8-(p-Sulfophenyl)theophylline",1908
"8beta-HYDROXYCARAPIN, 3,8-HEMIACETAL",6708727
"8-Bromo-cAMP sodium",23695848
"8-Bromo-cGMP sodium",135510967
"8-Cyclopentyl-1,3-dimethylxanthine",1917
"8-Cyclopentyl-1,3-dipropylxanthine",1329
"8-CYCLOPENTYLTHEOPHYLLINE",1917
"8-HYDROXY-15,16-BISNOR-11-LABDEN-13-ONE",6857787
"8-HYDROXYCARAPINIC ACID",6857755
"8-Methoxymethyl-3-isobutyl-1-methylxanthine",155806
"9-Amino-1,2,3,4-tetrahydroacridine hydrochloride",2723754
"9-cyclopentyladenine",12852
"A3 hydrochloride",9861903
"A-315456",6603710
"A-77636 hydrochloride",9951033
"AA-861",1967
"ABAMECTIN",6435890
"ABIETIC ACID",10569
"AB-MECA",5310992
"ABRINE (L)",914
"ABSCISIC ACID (cis,trans; +/-)",NA
"Abscisic acid, (±)-",NA
"ABT-418 hydrochloride",10375597
"AC 915 oxalate",5236783
"AC-55649",1714884
"AC-93253 iodide",16078948
"Acacetin",5280442
"ACACETIN",5280442
"ACACETIN DIACETATE",4303567
"Acacetine",5280442
"ACADESINE",17513
"ACAMPROSATE CALCIUM",155434
"ACARBOSE",41774
"Acebutolol hydrochloride",441307
"ACEBUTOLOL HYDROCHLORIDE",441307
"ACECAINIDE HYDROCHLORIDE",71417
"Aceclofenac",71771
"ACEDAPSONE",6477
"Acemetacin",1981
"ACEMETACIN",1981
"Acenocoumarol",54676537
"ACEPROMAZINE MALEATE",6420038
"Acetamide",178
"Acetaminophen",1983
"ACETAMINOSALOL",1984
"ACETANILIDE",904
"ACETARSOL",1985
"Acetazolamide",1986
"ACETAZOLAMIDE",1986
"Acetohexamide",1989
"ACETOHEXAMIDE",1989
"ACETOHYDROXAMIC ACID",1990
"Acetopromazine maleate salt",6420038
"ACETOSYRINGONE",17198
"ACETRIAZOIC ACID",6806
"ACETYL TYROSINE ETHYL ESTER",2004
"Acetyl-beta-methylcholine chloride",6114
"ACETYLCHOLINE",187
"ACETYLGLUCOSAMINE",24139
"ACETYLGLUTAMIC ACID",70914
"ACETYL-L-LEUCINE",70912
"ACETYLPHENYLALANINE",74839
"Acetylsalicylic acid",2244
"Acetylsalicylsalicylic acid",10745
"Acetylthiocholine chloride",22411
"ACETYLTRYPTOPHAN",700653
"ACETYLTRYPTOPHANAMIDE",94230
"Acivicin",294641
"ACONITIC ACID",643757
"Aconitine",245005
"ACONITINE",245005
"ACRIFLAVINIUM HYDROCHLORIDE",6842
"ACRISORCIN",24144
"Actinomycin D",457193
"Actinonin",443600
"ACTINONIN",443600
"Acyclovir",135398513
"Adamantamine fumarate",6364531
"ADENINE",190
"Adenosine",60961
"ADENOSINE",60961
"Adenosine 3',5'-cyclic monophosphate",6076
"Adenosine 5'-monophosphate monohydrate",6419976
"ADENOSINE PHOSPHATE",6083
"Adiphenine hydrochloride",5763
"ADIPHENINE HYDROCHLORIDE",5763
"ADONITOL",6912
"ADRENALINE BITARTRATE",5815
"Adrenosterone",223997
"AESCULIN",5281417
"AFMK",171161
"AGARIC ACID",12629
"AGELASINE (stereochemistry of diterpene unknown)",16667745
"Agmatine sulfate",2794990
"AGMATINE SULFATE",2794990
"AIDA",2071
"Ajmalicine hydrochloride",168978
"Ajmaline",6100671
"AJMALINE",6100671
"AKLAVINE HYDROCHLORIDE",5701988
"AKLOMIDE",2075
"AL-8810",5311238
"ALANYL-dl-LEUCINE",96801
"ALANYL-dl-PHENYLALANINE",2080
"ALAPROCLATE",2081
"Alaproclate hydrochloride",11957454
"Albendazole",2082
"ALBENDAZOLE",2082
"ALBUTEROL (+/-)",NA
"Albuterol hemisulfate",39859
"Alclometasone dipropionate",636374
"ALCLOMETAZONE DIPROPIONATE",16667717
"Alcuronium chloride",21158559
"ALDRIN",12310947
"ALENDRONATE SODIUM",16760285
"ALEURETIC ACID",10790
"Alexidine dihydrochloride",102678
"ALEXIDINE HYDROCHLORIDE",102678
"Alfadolone acetate",24733
"Alfaxalone",104845
"Alfuzosin hydrochloride",71764
"ALGESTERONE ACETOPHENIDE",32327
"Alinidine",36354
"ALISKIREN HEMIFUMARATE",6918427
"Alizapride HCl",135497066
"ALIZARIN",6293
"Allantoin",204
"ALLANTOIN",204
"ALLOPREGNANOLONE",92786
"Allopurinol",135401907
"ALLOPURINOL",135401907
"ALLOXAN",5781
"Alloxazine",5372720
"ALMOTRIPTAN",123606
"Aloe-emodine",10207
"ALOIN",12305761
"alpha,beta-Methylene adenosine 5'-triphosphate dilithium",11957603
"alpha-CYANO-3-HYDROXYCINNAMIC ACID",5353398
"alpha-CYANO-4-HYDROXYCINNAMIC ACID",5328791
"alpha-DIHYDROGEDUNOL",6708675
"alpha-Guanidinoglutaric acid",135313
"alpha-Lobeline hydrochloride",101615
"alpha-MANGOSTIN",5281650
"alpha-Methyl-5-hydroxytryptamine maleate",9922558
"alpha-Methyl-DL-tyrosine methyl ester hydrochloride",11957616
"alpha-METHYL-L-TYROSINE",441350
"alpha-Santonin",221071
"alpha-TOCHOPHEROL",2116
"alpha-TOCHOPHERYL ACETATE",2117
"ALPINETIN METHYL ETHER",378567
"ALPRENOLOL",2119
"Alprenolol hydrochloride",66368
"Alprostadil",5280723
"ALRESTATIN",2120
"Althiazide",2122
"ALTHIAZIDE",2122
"ALTRENOGEST",10041070
"Altretamine",2123
"ALTRETAMINE",2123
"ALVERINE CITRATE",21718
"Alverine citrate salt",21718
"Amantadine hydrochloride",64150
"AMANTADINE HYDROCHLORIDE",64150
"Ambroxol hydrochloride",108013
"AMBROXOL HYDROCHLORIDE",108013
"AMCINONIDE",443958
"Amentoflavone",5281600
"Amethopterin (R,S)",4112
"AMG 9810",680502
"Amidopyrine",6009
"Amifostine",2141
"Amikacin hydrate",16218899
"AMIKACIN SULFATE",38351
"Amiloride hydrochloride",16230
"AMILORIDE HYDROCHLORIDE",16230
"Amiloride hydrochloride dihydrate",68540
"AMINACRINE",7019
"Aminobenztropine",2143
"AMINOBENZTROPINE",2143
"Aminocaproic acid",564
"AMINOCAPROIC ACID",564
"AMINOCYCLOPROPANECARBOXYLIC ACID",535
"AMINOETHOXYDIPHENYLBORANE",1598
"AMINOETHYLISOTHIOUREA DIHYDROBROMIDE",2039
"AMINOGLUTETHIMIDE",2145
"Aminoguanidine hemisulfate",2734952
"Aminoguanidine hydrochloride",2734687
"Aminohippuric acid",2148
"AMINOHIPPURIC ACID",2148
"AMINOHYDROXYBUTYRIC ACID",NA
"AMINOLEVULINIC ACID HYDROCHLORIDE",123608
"AMINOPENTAMIDE",22565
"Aminophylline",9433
"Aminophylline ethylenediamine",9433
"Aminopterin",169371
"Aminopurine, 6-benzyl",62389
"AMINOPYRINE",6009
"AMINOSALICYLATE SODIUM",2724368
"Amiodarone hydrochloride",441325
"AMIODARONE HYDROCHLORIDE",441325
"AMIPRILOSE",121928
"Amiprilose hydrochloride",9798098
"AMITRAZ",36324
"Amitriptyline hydrochloride",11065
"AMITRIPTYLINE HYDROCHLORIDE",11065
