"drug_pair","Drug1","Drug2","drugdrug","code_3letter1","code_3letter2","drug_cat","drug_category1","drug_category2","categorycategory","targ","targeted_cellular_process1","targeted_cellular_process2","processprocess","us","use1","use2","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","LF_ebw_D2","LF_ecr_D2","LF_stm_D2","LF_seo_D2","LF_pae_D2","LF_pau_D2"
"Amoxicillin_Cycloserine D","Amoxicillin","Cycloserine D","Amoxicillin-Cycloserine D","AMX","DCS",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.255258347,-0.129666155,-0.388167819,-0.343596764,-0.048903878,-0.029948508,"Synergy","Additivity","Synergy","Synergy","Additivity","Additivity",-1,0,-1,-1,0,0,-3,"S","S","R","R","R","R","S","S","R","S","R","R","SS","SS","RR","RS","RR","RR",-1,-1,1,0,1,1,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,8,8,20,20,35,35,0.58,0.67,0.89,0,0.86,0.84
"Amoxicillin_Teicoplanin","Amoxicillin","Teicoplanin","Amoxicillin-Teicoplanin","AMX","TEC",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.060894629,0.064722835,0.032520524,-0.048222997,0.038148748,-0.043324381,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.3,0.3,0.3,0.3,5,5,0.88,0.88,0.85,0.87,0.82,0.83
"Amoxicillin_Bacitracin","Amoxicillin","Bacitracin","Amoxicillin-Bacitracin","AMX","BAC",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.052112607,-0.084331375,-0.075084324,-0.058159366,-0.03119344,0.033273932,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,300,300,300,300,300,300,0.73,0.79,0.83,0.78,0.9,0.91
"Amoxicillin_Fosfomycin","Amoxicillin","Fosfomycin","Amoxicillin-Fosfomycin","AMX","FOF",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.235424396,-0.197434681,-0.233475371,-0.21533938,0.098113534,-0.079069555,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","R","S","S","SS","SS","RS","RR","RS","RS",-1,-1,0,1,0,0,-1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0
"Amoxicillin_Metronidazole","Amoxicillin","Metronidazole","Amoxicillin-Metronidazole","AMX","MTZ",0,"beta-lactam","other DNA","beta-lactam-other DNA",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.063426595,0.066117595,0.054744704,0.050756283,-0.040419038,-0.028436748,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85
"Amoxicillin_Clofazimine","Amoxicillin","Clofazimine","Amoxicillin-Clofazimine","AMX","CLO",0,"beta-lactam","other DNA","beta-lactam-other DNA",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.066663136,0.051100742,0.070548588,0.064926528,0.0444618,-0.031819789,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,4,4,4,4,4,4,0.88,0.9,0.9,0.9,0.82,0.83
"Amoxicillin_Doxorubicin","Amoxicillin","Doxorubicin","Amoxicillin-Doxorubicin","AMX","DXR",0,"beta-lactam","other DNA","beta-lactam-other DNA",0,"cell wall","DNA","cell wall-DNA",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",-0.040201094,0.066710218,0.051094592,0.035249313,-0.051253729,-0.038320548,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,2.5,2.5,2.5,2.5,5,5,0.81,0.86,0.81,0.84,0.9,0.91
"Amoxicillin_Mitomycin C","Amoxicillin","Mitomycin C","Amoxicillin-Mitomycin C","AMX","MMC",0,"beta-lactam","other DNA","beta-lactam-other DNA",0,"cell wall","DNA","cell wall-DNA",0,"antibiotic","research used drug","antibiotic-research used drug",-0.075749199,0.099528198,0.131922192,0.180633578,0.089492823,0.118613231,"Additivity","Additivity","Antagonism","Antagonism","Additivity","Additivity",0,0,1,1,0,0,2,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.5,0.5,0.25,0.25,1.5,0.2,0.34,0,0.33,0.54,0.4,0
"Amoxicillin_Rifampicin","Amoxicillin","Rifampicin","Amoxicillin-Rifampicin","AMX","RIF",0,"beta-lactam","RNA polymerase","beta-lactam-RNA polymerase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.102283465,0.201708819,0.045657681,0.030674652,0.053311115,-0.028703126,"Additivity","Antagonism","Additivity","Additivity","Additivity","Additivity",0,1,0,0,0,0,1,"S","S","R","R","R","R","S","S","S","S","S","R","SS","SS","RS","RS","RS","RR",-1,-1,0,0,0,1,-1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,8,8,8,8,16,20,0.41,0,0.17,0,0,0.87
"Amoxicillin_Ciprofloxacin","Amoxicillin","Ciprofloxacin","Amoxicillin-Ciprofloxacin","AMX","CIP",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.073230637,0.085121072,0.112760117,-0.047860774,0.097174327,0.266802603,"Additivity","Additivity","Antagonism","Additivity","Additivity","Antagonism",0,0,1,0,0,1,2,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0
"Amoxicillin_Novobiocin","Amoxicillin","Novobiocin","Amoxicillin-Novobiocin","AMX","NVB",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.066903584,-0.065558675,0.082819994,-0.054962249,0.045879939,-0.023972867,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","S","S","R","S","R","R","SS","SS","RR","RS","RR","RR",-1,-1,1,0,1,1,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91
"Amoxicillin_Levofloxacin","Amoxicillin","Levofloxacin","Amoxicillin-Levofloxacin","AMX","LCX",0,"beta-lactam","DNA gyrase","beta-lactam-DNA gyrase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.041196462,0.104154232,0.075445848,0.071997404,0.09200542,0.213789549,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0
"Amoxicillin_Trimethoprim","Amoxicillin","Trimethoprim","Amoxicillin-Trimethoprim","AMX","TMP",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.168981691,0.092046379,0.115637791,0.093074035,-0.034292259,-0.025290124,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity",-1,0,0,0,0,0,-1,"S","S","R","R","R","R","S","S","S","S","R","R","SS","SS","RS","RS","RR","RR",-1,-1,0,0,1,1,0,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85
"Amoxicillin_Sulfamonomethoxine","Amoxicillin","Sulfamonomethoxine","Amoxicillin-Sulfamonomethoxine","AMX","SMM",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.047994639,-0.046296549,-0.050586416,-0.089903089,-0.033508523,-0.034663075,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81
"Amoxicillin_Nitrofurantoin","Amoxicillin","Nitrofurantoin","Amoxicillin-Nitrofurantoin","AMX","NIT",0,"beta-lactam","multiple","beta-lactam-multiple",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.07383716,0.08283902,0.036861862,-0.028514628,-0.041268669,-0.038461742,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","S","S","R","R","S","R","SS","SS","RR","RR","RS","RR",-1,-1,1,1,0,1,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,4,4,4,4,32,32,0.55,0.4,0.75,0.81,0.35,0.71
"Amoxicillin_Bleomycin","Amoxicillin","Bleomycin","Amoxicillin-Bleomycin","AMX","BLM",0,"beta-lactam","multiple","beta-lactam-multiple",0,"cell wall","DNA","cell wall-DNA",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",-0.125651414,0.058523278,0.099075469,0.073391103,0.016456465,-0.022183858,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","S","S","S","R","R","R","SS","SS","RS","RR","RR","RR",-1,-1,0,1,1,1,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.3,0.3,0.3,0.3,3,3,0.34,0.28,0.47,0.77,0.91,0.88
"Amoxicillin_Polymyxin B","Amoxicillin","Polymyxin B","Amoxicillin-Polymyxin B","AMX","PMB",0,"beta-lactam","LPS","beta-lactam-LPS",0,"cell wall","membrane","cell wall-membrane",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.059787935,0.035720311,0.070896557,0.099513419,-0.041158027,0.039351614,"Additivity","Additivity","Additivity","Antagonism","Additivity","Additivity",0,0,0,1,0,0,1,"S","S","R","R","R","R","S","R","R","R","R","S","SS","SR","RR","RR","RR","RS",-1,0,1,1,1,0,2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.3,0.3,0.3,0.3,0.5,0.5,0.29,0.79,0.84,0.85,0.76,0.08
"Amoxicillin_Chlorhexidine","Amoxicillin","Chlorhexidine","Amoxicillin-Chlorhexidine","AMX","CHG",0,"beta-lactam","LPS","beta-lactam-LPS",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","antiseptic","antibiotic-antiseptic",0.05557787,0.098055642,0.081111979,0.116018728,0.143799441,0.103050643,"Additivity","Additivity","Additivity","Additivity","Additivity","Antagonism",0,0,0,0,0,1,1,"S","S","R","R","R","R","S","S","R","R","S","S","SS","SS","RR","RR","RS","RS",-1,-1,1,1,0,0,0,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.5,0.5,2,2,10,10,0,0.12,0.85,0.83,0,0
"Amoxicillin_Benzalkonium","Amoxicillin","Benzalkonium","Amoxicillin-Benzalkonium","AMX","BZK",0,"beta-lactam","other membrane","beta-lactam-other membrane",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","antiseptic","antibiotic-antiseptic",0.109147827,0.120453563,0.075919472,0.069068698,0.050412119,0.03402792,"Additivity","Additivity","Antagonism","Additivity","Additivity","Additivity",0,0,1,0,0,0,1,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,15,15,15,15,50,50,0,0,0.65,0.7,0,0
"Amoxicillin_EGCG","Amoxicillin","EGCG","Amoxicillin-EGCG","AMX","EGCG",0,"beta-lactam","fatty acid biosynthesis","beta-lactam-fatty acid biosynthesis",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","food additive","antibiotic-food additive",-0.082112177,0.101948413,0.053224112,0.029795846,-0.043519353,-0.045969135,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","S","R","SR","SR","RR","RR","RS","RR",0,0,1,1,0,1,3,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,20,20,20,20,23,23,0.8,0.76,0.88,0.8,0.46,0.7
"Amoxicillin_Cerulenin","Amoxicillin","Cerulenin","Amoxicillin-Cerulenin","AMX","CER",0,"beta-lactam","fatty acid biosynthesis","beta-lactam-fatty acid biosynthesis",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","anti-infective","anti-infective-antibiotic",-0.113381056,0.086800493,-0.085780104,0.044673716,0.055892084,0.028705744,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,10,10,10,10,10,10,0.8,0.81,0.8,0.84,0.89,0.86
"Amoxicillin_Nisin","Amoxicillin","Nisin","Amoxicillin-Nisin","AMX","NSN",0,"beta-lactam","PMF","beta-lactam-PMF",0,"cell wall","PMF","cell wall-PMF",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.076069055,-0.058640791,0.041031559,-0.042445903,-0.025395574,0.025511642,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,25,25,25,25,20,20,0.83,0.92,0.85,0.87,0.84,0.88
"Amoxicillin_Daptomycin","Amoxicillin","Daptomycin","Amoxicillin-Daptomycin","AMX","DAP",0,"beta-lactam","PMF","beta-lactam-PMF",0,"cell wall","PMF","cell wall-PMF",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.080788904,0.075569246,0.061205313,0.052842662,0.047818106,-0.02199686,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,1,1,1,1,1,1,0.84,0.89,0.88,0.9,0.88,0.9
"Amoxicillin_CCCP","Amoxicillin","CCCP","Amoxicillin-CCCP","AMX","CCCP",0,"beta-lactam","PMF","beta-lactam-PMF",0,"cell wall","PMF","cell wall-PMF",0,"antibiotic","research used drug","antibiotic-research used drug",0.045364396,0.054131169,0.061780481,-0.049746304,-0.035096202,-0.024957476,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","S","S","S","S","R","R","SS","SS","RS","RS","RR","RR",-1,-1,0,0,1,1,0,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,5,5,5,5,5,5,0.26,0.04,0.61,0.37,0.85,0.85
"Amoxicillin_Nonactin","Amoxicillin","Nonactin","Amoxicillin-Nonactin","AMX","NON",0,"beta-lactam","PMF","beta-lactam-PMF",0,"cell wall","PMF","cell wall-PMF",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.083863858,0.055654795,-0.032825906,0.054106697,-0.046725432,-0.032321663,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,1,1,1,1,2,2,0.88,0.89,0.93,0.91,0.81,0.83
